House of Representatives - 1998 Election: Tasmania																																		
First Preference Votes and TCP																																		
By Candidate by Polling Place 																																		


Bass (65933)																																		

		SMITH			# O'BYRNE			BAIRD			LOCKHART			SMITH			MUIR			FORMAL			INFORMAL			TOTAL								
		Warwick		          	Michelle		           	Stuart		         	Allan		        	Harvey		         	Brian		        			     			     			     	Two Candidate Preferred		    			    
		LP			ALP			GRN			HAN			TFP			DEM					 			 			 	 SMITH LP			# O'BYRNE ALP		
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%	
Windermere	                                  	249	23.85	  	11	1.05	  	18	1.72	  	30	2.87	  	736	70.5	  	1044	97.12	  	31	2.88	  	1075	1.67	  	272	26.05	  	772	73.95	  
Special Hospitals	                           	196	42.89	  	7	1.53	  	11	2.41	  	10	2.19	  	233	50.98	  	457	96.82	  	15	3.18	  	472	0.73	  	209	45.73	  	248	54.27	  
Total Ordinary	                              	17117	31.93	  	422	0.79	  	3773	7.04	  	2104	3.92	  	30194	56.32	  	53610	97.28	  	1501	2.72	  	55111	85.78	  	18861	35.18	  	34749	64.82	  
ABSENT	                                      	880	31.8	  	22	0.8	  	343	12.4	  	126	4.55	  	1396	50.45	  	2767	97.95	  	58	2.05	  	2825	4.4	  	1026	37.08	  	1741	62.92	  
POSTAL	                                      	1033	33.27	  	31	1	  	178	5.73	  	85	2.74	  	1778	57.26	  	3105	99.11	  	28	0.89	  	3133	4.88	  	1116	35.94	  	1989	64.06	  
PRE_POLL	                                    	1062	35.31	  	18	0.6	  	385	12.8	  	135	4.49	  	1408	46.81	  	3008	98.91	  	33	1.09	  	3041	4.73	  	1192	39.63	  	1816	60.37	  
PROVISIONAL	                                 	22	16.54	  	4	3.01	  	19	14.29	  	10	7.52	  	78	58.65	  	133	97.08	  	4	2.92	  	137	0.21	  	29	21.8	  	104	78.2	  
Division Summary	                            	20114	32.12	  	497	0.79	  	4698	7.5	  	2460	3.93	  	34854	55.66	  	62623	97.47	  	1624	2.53	  	64247	95.38	  	22224	35.49	  	40399	64.51	  



Franklin (65769)																															

		FISHER			GOODLUCK			# QUICK			MCFARLANE			FORMAL			INFORMAL			TOTAL											
		Irene		        	Jane		       	Harry		        	Kay		      			     			     			     	Two Candidate Preferred		    			    			
		DEM			LP			ALP			GRN					 			 			 	 GOODLUCK LP			# QUICK ALP					
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Adventure Bay	                               	4	2.99	  	39	29.1	  	68	50.75	  	23	17.16	  	134	94.37	  	8	5.63	  	142	0.22	  	45	33.58	  	89	66.42	  			
Alonnah	                                     	8	4.15	  	61	31.61	  	86	44.56	  	38	19.69	  	193	96.98	  	6	3.02	  	199	0.32	  	70	36.27	  	123	63.73	  			
Barnes Bay	                                  	7	6.8	  	32	31.07	  	53	51.46	  	11	10.68	  	103	97.17	  	3	2.83	  	106	0.17	  	39	37.86	  	64	62.14	  			
Bellerive	                                   	137	4.93	  	1244	44.75	  	1243	44.71	  	156	5.61	  	2780	97.2	  	80	2.8	  	2860	4.53	  	1347	48.45	  	1433	51.55	  			
Blackmans Bay	                               	160	5.97	  	1233	46.01	  	1098	40.97	  	189	7.05	  	2680	97.21	  	77	2.79	  	2757	4.36	  	1360	50.75	  	1320	49.25	  
Bligh	                                       	20	2.39	  	161	19.21	  	628	74.94	  	29	3.46	  	838	94.48	  	49	5.52	  	887	1.4	  	178	21.24	  	660	78.76	  
Bridgewater	                                 	71	3.06	  	413	17.81	  	1794	77.36	  	41	1.77	  	2319	95.75	  	103	4.25	  	2422	3.83	  	461	19.88	  	1858	80.12	  
Cambridge	                                   	55	6.6	  	430	51.62	  	294	35.29	  	54	6.48	  	833	98.12	  	16	1.88	  	849	1.34	  	471	56.54	  	362	43.46	  
Clarendon Vale	                              	27	3.77	  	87	12.13	  	581	81.03	  	22	3.07	  	717	95.98	  	30	4.02	  	747	1.18	  	114	15.9	  	603	84.1	  
Cradoc	                                      	12	5.36	  	98	43.75	  	88	39.29	  	26	11.61	  	224	97.82	  	5	2.18	  	229	0.36	  	108	48.21	  	116	51.79	  
Cygnet	                                      	76	5.01	  	495	32.61	  	794	52.31	  	153	10.08	  	1518	97.18	  	44	2.82	  	1562	2.47	  	552	36.36	  	966	63.64	  
Dover	                                       	28	5.66	  	144	29.09	  	295	59.6	  	28	5.66	  	495	96.3	  	19	3.7	  	514	0.81	  	168	33.94	  	327	66.06	  
East Risdon	                                 	10	3.88	  	119	46.12	  	118	45.74	  	11	4.26	  	258	97.73	  	6	2.27	  	264	0.42	  	126	48.84	  	132	51.16	  
Franklin	                                    	23	4.54	  	182	35.9	  	244	48.13	  	58	11.44	  	507	96.76	  	17	3.24	  	524	0.83	  	205	40.43	  	302	59.57	  
Gagebrook	                                   	54	3.19	  	369	21.77	  	1233	72.74	  	39	2.3	  	1695	96.8	  	56	3.2	  	1751	2.77	  	410	24.19	  	1285	75.81	  
Geeveston	                                   	40	5.31	  	276	36.65	  	409	54.32	  	28	3.72	  	753	95.32	  	37	4.68	  	790	1.25	  	298	39.58	  	455	60.42	  
Geilston Bay	                                	69	4.64	  	620	41.67	  	725	48.72	  	74	4.97	  	1488	98.09	  	29	1.91	  	1517	2.4	  	674	45.3	  	814	54.7	  
Glen Huon	                                   	26	10.74	  	117	48.35	  	83	34.3	  	16	6.61	  	242	94.9	  	13	5.1	  	255	0.4	  	133	54.96	  	109	45.04	  
Grove	                                       	25	4.41	  	245	43.21	  	243	42.86	  	54	9.52	  	567	94.97	  	30	5.03	  	597	0.95	  	267	47.09	  	300	52.91	  
Howden	                                      	25	10.68	  	88	37.61	  	95	40.6	  	26	11.11	  	234	97.91	  	5	2.09	  	239	0.38	  	105	44.87	  	129	55.13	  
Howrah	                                      	105	3.81	  	1359	49.29	  	1178	42.73	  	115	4.17	  	2757	98.01	  	56	1.99	  	2813	4.45	  	1461	52.99	  	1296	47.01	  
Huonville	                                   	90	6.09	  	613	41.45	  	690	46.65	  	86	5.81	  	1479	95.24	  	74	4.76	  	1553	2.46	  	678	45.84	  	801	54.16	  
Judbury	                                     	7	3.21	  	90	41.28	  	99	45.41	  	22	10.09	  	218	98.2	  	4	1.8	  	222	0.35	  	94	43.12	  	124	56.88	  
Kettering	                                   	25	5.48	  	189	41.45	  	183	40.13	  	59	12.94	  	456	97.44	  	12	2.56	  	468	0.74	  	222	48.68	  	234	51.32	  
Kingston	                                    	203	5.15	  	1833	46.53	  	1637	41.56	  	266	6.75	  	3939	97.21	  	113	2.79	  	4052	6.41	  	1992	50.57	  	1947	49.43	  
Kingston Beach	                              	158	6.17	  	1207	47.17	  	1001	39.12	  	193	7.54	  	2559	97.78	  	58	2.22	  	2617	4.14	  	1338	52.29	  	1221	47.71	  
Lauderdale	                                  	101	4.41	  	1066	46.59	  	957	41.83	  	164	7.17	  	2288	97.44	  	60	2.56	  	2348	3.72	  	1160	50.7	  	1128	49.3	  
Lindisfarne	                                 	118	4.72	  	1221	48.88	  	1021	40.87	  	138	5.52	  	2498	98.15	  	47	1.85	  	2545	4.03	  	1297	51.92	  	1201	48.08	  
Loatta Road	                                 	86	5.64	  	735	48.23	  	619	40.62	  	84	5.51	  	1524	97.88	  	33	2.12	  	1557	2.46	  	792	51.97	  	732	48.03	  
Margate	                                     	101	6.63	  	623	40.88	  	663	43.5	  	137	8.99	  	1524	97.01	  	47	2.99	  	1571	2.49	  	686	45.01	  	838	54.99	  
Middleton	                                   	27	10.42	  	58	22.39	  	154	59.46	  	20	7.72	  	259	95.57	  	12	4.43	  	271	0.43	  	74	28.57	  	185	71.43	  
Montagu Bay	                                 	59	4.76	  	609	49.11	  	494	39.84	  	78	6.29	  	1240	97.64	  	30	2.36	  	1270	2.01	  	653	52.66	  	587	47.34	  
Mornington	                                  	10	2.35	  	95	22.35	  	300	70.59	  	20	4.71	  	425	96.15	  	17	3.85	  	442	0.7	  	104	24.47	  	321	75.53	  
Opossum Bay	                                 	7	3.89	  	88	48.89	  	73	40.56	  	12	6.67	  	180	97.83	  	4	2.17	  	184	0.29	  	94	52.22	  	86	47.78	  
Port Huon	                                   	8	3.36	  	104	43.7	  	121	50.84	  	5	2.1	  	238	95.97	  	10	4.03	  	248	0.39	  	111	46.64	  	127	53.36	  
Ranelagh	                                    	24	3.85	  	270	43.27	  	274	43.91	  	56	8.97	  	624	96	  	26	4	  	650	1.03	  	287	45.99	  	337	54.01	  
Risdon Vale	                                 	43	2.87	  	241	16.09	  	1182	78.91	  	32	2.14	  	1498	95.96	  	63	4.04	  	1561	2.47	  	273	18.22	  	1225	81.78	  
Rokeby	                                      	58	3.41	  	384	22.6	  	1203	70.81	  	54	3.18	  	1699	96.7	  	58	3.3	  	1757	2.78	  	433	25.49	  	1266	74.51	  
Sandfly	                                     	38	5.22	  	319	43.82	  	271	37.23	  	100	13.74	  	728	97.72	  	17	2.28	  	745	1.18	  	361	49.59	  	367	50.41	  
Sandford	                                    	39	4.11	  	428	45.1	  	373	39.3	  	109	11.49	  	949	96.64	  	33	3.36	  	982	1.55	  	474	49.95	  	475	50.05	  
Seven Mile Beach	                            	39	5.26	  	336	45.28	  	319	42.99	  	48	6.47	  	742	97.76	  	17	2.24	  	759	1.2	  	364	49.06	  	378	50.94	  
Snug	                                        	54	6.26	  	287	33.26	  	432	50.06	  	90	10.43	  	863	96.32	  	33	3.68	  	896	1.42	  	319	36.96	  	544	63.04	  
South Arm	                                   	14	3.04	  	201	43.7	  	208	45.22	  	37	8.04	  	460	98.92	  	5	1.08	  	465	0.74	  	216	46.96	  	244	53.04	  
Southport	                                   	5	4.03	  	32	25.81	  	66	53.23	  	21	16.94	  	124	93.94	  	8	6.06	  	132	0.21	  	34	27.42	  	90	72.58	  
Strathblane	                                 	9	6.87	  	49	37.4	  	68	51.91	  	5	3.82	  	131	98.5	  	2	1.5	  	133	0.21	  	55	41.98	  	76	58.02	  
Surges Bay	                                  	4	2.84	  	77	54.61	  	56	39.72	  	4	2.84	  	141	94.63	  	8	5.37	  	149	0.24	  	80	56.74	  	61	43.26	  
Tranmere	                                    	89	5	  	881	49.49	  	735	41.29	  	75	4.21	  	1780	98.02	  	36	1.98	  	1816	2.87	  	937	52.64	  	843	47.36	  
Warrane	                                     	50	3.27	  	401	26.23	  	1014	66.32	  	64	4.19	  	1529	97.57	  	38	2.43	  	1567	2.48	  	444	29.04	  	1085	70.96	  
Wentworth Street	                            	60	4.49	  	578	43.26	  	631	47.23	  	67	5.01	  	1336	97.45	  	35	2.55	  	1371	2.17	  	629	47.08	  	707	52.92	  
Woodbridge	                                  	25	6.87	  	125	34.34	  	157	43.13	  	57	15.66	  	364	98.64	  	5	1.36	  	369	0.58	  	146	40.11	  	218	59.89	  
Special Hospitals	                           	25	7	  	193	54.06	  	132	36.97	  	7	1.96	  	357	95.71	  	16	4.29	  	373	0.59	  	215	60.22	  	142	39.78	  
Total Ordinary	                              	2558	4.78	  	21145	39.53	  	26483	49.51	  	3301	6.17	  	53487	97.08	  	1610	2.92	  	55097	87.21	  	23154	43.29	  	30333	56.71	  
ABSENT	                                      	198	5.92	  	1254	37.47	  	1580	47.21	  	315	9.41	  	3347	97.84	  	74	2.16	  	3421	5.42	  	1434	42.84	  	1913	57.16	  						
POSTAL	                                      	100	4.41	  	894	39.44	  	1154	50.9	  	119	5.25	  	2267	98.87	  	26	1.13	  	2293	3.63	  	975	43.01	  	1292	56.99	  						
PRE_POLL	                                    	138	6.29	  	938	42.73	  	903	41.14	  	216	9.84	  	2195	97.99	  	45	2.01	  	2240	3.55	  	1050	47.84	  	1145	52.16	  						
PROVISIONAL	                                 	9	7.83	  	35	30.43	  	60	52.17	  	11	9.57	  	115	93.5	  	8	6.5	  	123	0.19	  	39	33.91	  	76	66.09	  						
Division Summary	                            	3003	4.89	  	24266	39.51	  	30180	49.14	  	3962	6.45	  	61411	97.21	  	1763	2.79	  	63174	96.05	  	26652	43.4	  	34759	56.6	  						



Lyons (68639)																																		

