House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State
"WILLIAMS, Vaughan"	DEM		Burke	VIC
"WILLOCK, Annie"	GRN		Lyons	TAS
"WILSON, Andrew A"	HAN		Lyons	TAS
"WILSON, Geoff"	ASP		Murray	VIC
"WILSON, Matt"	IND		Batman	VIC
"WILSON, Robert Ian"	IND		Parkes	NSW
"WILTON, Greg"	ALP		Isaacs	VIC
"WISE, Damian"	DEM		Menzies	VIC
"WOHLTMANN, Mike"	IND		Makin	SA
"WOLOWSKI, Diana"	UNI		Melbourne Ports	VIC
"WONG, Chris"	UNI		Lowe	NSW
"WONG, Matthew"	UNI		Parramatta	NSW
"WOOD, Jason"	DEM		Fraser	ACT
"WOOD, Jim"	LP		Bruce	VIC
"WOOD, Michelle"	GRN		Macarthur	NSW
"WOODBRIDGE, Pauline"	AWP		Herbert	QLD
"WOODROFFE, Andrew"	GRN		North Sydney	NSW
"WOOLDRIDGE, Michael"	LP		Casey	VIC
"WOOLLEY, Graham"	ACS		La Trobe	VIC
"WORRALL, Lance"	ALP		Sturt	SA
"WORTH, Trish"	LP		Adelaide	SA
"WRIGHT, Claire"	HAN		Watson	NSW
"WRIGHT, Dona"	HAN		Barker	SA
"WRIGHT, John"	HAN		Lowe	NSW
"WRIGHT, Peter"	GRN		Parramatta	NSW
"WRIGHTSON, Peter"	DEM		Page	NSW
"WYNESS, Joseph"	CTA		Chifley	NSW
"WYNN, Ian"	CTA		Mayo	SA

"YOUNG, Pamela"	HAN		Charlton	NSW
"YOUNG, Peri"	ALP		Cook	NSW

"ZAHRA, Christian John"	ALP		McMillan	VIC
"ZAKNIC, Jakica"	DEM		Fremantle	WA
"ZAMMIT, Paul"			Lowe	NSW
"ZEGERS, Karel"	HAN		Bendigo	VIC
"ZIGOURAS, John Nicholas"	ALP		Mallee	VIC
"ZIRNGAST, Natalie"	DSL		Northern Territory	NT
"ZYNGIER, David"	UNI		Higgins	VIC
