House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State
"CONNORS, Libby"	GRN		Blair	QLD
"CONSANDINE, Peter"	RPA		Parramatta	NSW
"COOK, Harry"	CTA		Fairfax	QLD
"COOK, Terry"	SEP		Hunter	NSW
"COOMBE, Anthony M"	NLP		Mayo	SA
"COOMBE, Howie F"	IND		Mayo	SA
"COOPER, Roger"	NP		Pearce	WA
"CORBEN, Paul Anthony"	DEM		Cowper	NSW
"CORDON, John"	NLP		Hotham	VIC
"CORKIN, Terence"	ALP		Calare	NSW
"CORNISH, Philip Maurice"	CTA		Barker	SA
"COSTELLO, Peter"	LP		Higgins	VIC
"COTTER, Neil"	DEM		Fadden	QLD
"COX, Dave"	IND		Hume	NSW
"COX, David"	ALP		Kingston	SA
"CRAIG, Dean"	DEM		Canning	WA
"CRAIG, Peter"	LP		Shortland	NSW
"CRANNY, Jillian"	GRN		Cowper	NSW
"CRAWFORD, Peter"	HAN		Goldstein	VIC
"CREAN, Simon"	ALP		Hotham	VIC
"CRITICOS, Harry"	IND		Newcastle	NSW
"CROFT, Bill"	HAN		Mallee	VIC
"CRONIN, James Kenneth"	GRN		New England	NSW
"CROOK, Brett"	CTA		Swan	WA
"CROSIO, Janice"	ALP		Prospect	NSW
"CROSS, Mathew"	LP		Greenway	NSW
"CUBIT, Lee"	CEC		Mallee	VIC
"CULLEN, Peter G"	DEM		Richmond	NSW
"CULLEY, Darren"	HAN		Hunter	NSW
"CUMMINGS, Katherine Fiona"	DEM		Grayndler	NSW
"CUMMINS, Jim"	CTA		Forrest	WA
"CUNNINGHAM, Barry T"	IND		McMillan	VIC
"CURRY, David John"	LP		Wills	VIC
"CURSIO, Anthony James"	LP		Gellibrand	VIC
"CURTIS, John"	HAN		Cunningham	NSW
"CZAUSOV, Andre M"	DEM		Corio	VIC

"DALTON, Jayson"	HAN		Kennedy	QLD
"DAMJANOVIC, Joe"	HAN		Chifley	NSW
"DANBY, Michael"	ALP		Melbourne Ports	VIC
"DANIELS, Geoff"	FLR		Forde	QLD
"DANTON, Ray"	HAN		Lyne	NSW
"DAVIES, Owen"	CTA		Lowe	NSW
"DAVIS, Jan"	GRN		Paterson	NSW
"DAWSON, John"	IND		Bennelong	NSW
"DAWSON, Lee"	HAN		Brand	WA
"DEAHM, Maggie"	ALP		Macquarie	NSW
"DEAN, Adrian"	HAN		Forde	QLD
"DEAN, Frank"	IND		La Trobe	VIC
"DEAN, Tony"	ALP		Forrest	WA
"DEARING, Jackie"	DEM		Sturt	SA
"DEEGAN, Leonie"	GWA		Fremantle	WA
"DELL, Tom"	HAN		Gilmore	NSW
"DELLER, Bill"	PLP		Wills	VIC
"DELLIT, Alison"	DSL		Paterson	NSW
"DENGATE, Lyn"	DEM		Ryan	QLD
"DENMAN, Alf"	DEM		Forrest	WA
"DETCHON, David"	ALP		Barker	SA
"DEVENDRA, Alan"	IND		Richmond	NSW
"DHILLON, Salvinder"	IND		Greenway	NSW
"DICKINS, Joan"	NLP		Goldstein	VIC
"DICKINS, Michael"	NLP		Higgins	VIC
"DICKSON, Alan L"	DEM		Forde	QLD
"DICKSON, Hugh"	NLP		Kingston	SA
"DICKSON, Lynne"	CTA		Holt	VIC
"DICKSON, Noel Thomas"	HAN		Grey	SA
"DIMITRIOU, Steve"	IND		Leichhardt	QLD
"DIMOND, Vicki"	DEM		Mackellar	NSW
"DIXON, Pat"	ALP		New England	NSW
"DOBLE, Burl"	HAN		Canberra	ACT
"DOHERTY, Denis"			Sydney	NSW
"DONDAS, Nick"	CLP		Northern Territory	NT
"DONNELLY, Benjamin"	GRN		Blaxland	NSW
"DOONER, Lorna"	LP		Fowler	NSW
"DORIC, Stephen"	NLP		Mackellar	NSW
"DORRINGTON, Kate"	IND		Brand	WA
"DORRON, Cheryl"	ALP		Hinkler	QLD
"DOUGLAS, Mark"	GWA		O'Connor	WA
"DOUST, Adele"	GRN		Macquarie	NSW
"DOUST, Jon"			Forrest	WA
"DOWNER, Alexander"	LP		Mayo	SA
"DRAPER, Trish"	LP		Makin	SA
"DROULERS, Julien Paul"	IND		Bennelong	NSW
"DUNCAN-STRELEC, Amanda"	IND		Farrer	NSW
"DUNLOP, Nick"	GWA		Brand	WA
"DUNNE, Eddie"	FLR		Dickson	QLD
"DUNNING, Sandra Janette"	NLP		Hindmarsh	SA
"DWYER, Philip"	GRN		Dobell	NSW
"DWYER, Russell"	IND		Higgins	VIC

"EASTWOOD, Jeni"	AWP		Griffith	QLD
"EDGE, Simon"	HAN		Wannon	VIC
"EDMISTON, John Anthony"	CTA		Herbert	QLD
"EDWARDS, Gary"	IND		Gwydir	NSW
"EDWARDS, Graham"	ALP		Cowan	WA
"EDWARDS, Lesley"	GRN		Lindsay	NSW
"EDWARDS, Nelle"	UNI		Calare	NSW
"EGGERS, Barbara"	HAN		Dawson	QLD
"ELDRIDGE, Ilana"	GRN		Northern Territory	NT
"ELLARD, Anthony"	ALP		Mitchell	NSW
"ELLERMAN, Sue"	GRN		Canberra	ACT
"ELLIOTT, Paul"	ALP		Parramatta	NSW
"ELLIS, Annette"	ALP		Canberra	ACT
"ELLIS, Bob"	IND		Mackellar	NSW
"ELSON, Kay"	LP		Forde	QLD
"EMBRY, Paddy"	HAN		Forrest	WA
"EMERSON, Craig"	ALP		Rankin	QLD
"ENGLAND, Maryan"	NLP		Canberra	ACT
"ENTREKIN, Brendon"	DEM		Perth	WA
"ENTSCH, Warren"	LP		Leichhardt	QLD
"EVANS, Gareth"	ALP		Holt	VIC
"EVANS, Jade"	ALP		Mayo	SA
"EVANS, John"	HAN		Stirling	WA
"EVANS, Martyn"	ALP		Bonython	SA
"EVANS, Richard"	LP		Cowan	WA
"EVANS, Robyn"	GRN		Deakin	VIC
"EYKAMP, Jean M"	CTA		Lindsay	NSW

