Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Forde (86672)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Roadvale		1	0.27		55	15.03		0	0.00		56	15.30		2	0.55		9	2.46		2	0.55		0	0.00		86	23.50		134	36.61		9	2.46		12	3.28		0	0.00		366	97.60		9	2.40		375	0.46
Shailer Park (Forde)		2	0.33		192	31.37		0	0.00		28	4.58		8	1.31		7	1.14		7	1.14		0	0.00		28	4.58		310	50.65		6	0.98		24	3.92		0	0.00		612	96.38		23	3.62		635	0.77
St. Bernard		2	0.22		183	20.29		0	0.00		66	7.32		9	1.00		41	4.55		7	0.78		0	0.00		90	9.98		429	47.56		1	0.11		72	7.98		2	0.22		902	97.62		22	2.38		924	1.13
Studio Village		7	0.34		632	30.97		1	0.05		50	2.45		30	1.47		41	2.01		31	1.52		3	0.15		190	9.31		918	44.98		24	1.18		114	5.59		0	0.00		2041	96.91		65	3.09		2106	2.56
Tamborine		4	0.36		308	28.03		1	0.09		42	3.82		5	0.45		47	4.28		16	1.46		1	0.09		178	16.20		415	37.76		11	1.00		68	6.19		3	0.27		1099	97.69		26	2.31		1125	1.37
Tamborine North		2	0.09		465	21.51		4	0.19		120	5.55		20	0.93		147	6.80		33	1.53		3	0.14		225	10.41		918	42.46		14	0.65		208	9.62		3	0.14		2162	97.08		65	2.92		2227	2.71
Tamrookum		3	0.46		120	18.32		0	0.00		114	17.40		1	0.15		16	2.44		5	0.76		0	0.00		102	15.57		265	40.46		5	0.76		24	3.66		0	0.00		655	97.18		19	2.82		674	0.82
Upper Coomera		3	0.24		257	20.66		1	0.08		53	4.26		9	0.72		41	3.30		22	1.77		0	0.00		168	13.50		620	49.84		12	0.96		58	4.66		0	0.00		1244	96.21		49	3.79		1293	1.57
Waterford		2	0.51		124	31.47		1	0.25		13	3.30		2	0.51		7	1.78		3	0.76		0	0.00		47	11.93		162	41.12		7	1.78		26	6.60		0	0.00		394	97.52		10	2.48		404	0.49
Waterford West		11	0.41		1061	40.01		3	0.11		67	2.53		20	0.75		52	1.96		52	1.96		3	0.11		278	10.48		887	33.45		55	2.07		163	6.15		0	0.00		2652	95.74		118	4.26		2770	3.37
Windaroo		2	0.09		588	27.46		0	0.00		98	4.58		24	1.12		57	2.66		25	1.17		2	0.09		191	8.92		1022	47.73		26	1.21		106	4.95		0	0.00		2141	97.58		53	2.42		2194	2.67
Woodhill		2	0.23		193	21.86		0	0.00		109	12.34		7	0.79		16	1.81		6	0.68		1	0.11		156	17.67		346	39.18		3	0.34		44	4.98		0	0.00		883	97.35		24	2.65		907	1.10
Special Hospitals		1	0.44		80	35.09		1	0.44		38	16.67		0	0.00		3	1.32		0	0.00		0	0.00		10	4.39		86	37.72		1	0.44		8	3.51		0	0.00		228	95.40		11	4.60		239	0.29
Total Ordinary		249	0.37		20264	30.10		50	0.07		3603	5.35		710	1.05		1798	2.67		873	1.30		60	0.09		8219	12.21		26675	39.63		879	1.31		3916	5.82		22	0.03		67318	96.72		2282	3.28		69600	84.76
ABSENT		17	0.31		1608	29.61		8	0.15		243	4.48		42	0.77		220	4.05		119	2.19		7	0.13		535	9.85		2099	38.66		108	1.99		423	7.79		1	0.02		5430	97.56		136	2.44		5566	6.78
POSTAL		9	0.27		991	30.16		2	0.06		170	5.17		47	1.43		73	2.22		24	0.73		4	0.12		342	10.41		1391	42.33		39	1.19		189	5.75		5	0.15		3286	98.47		51	1.53		3337	4.06
PRE_POLL		12	0.44		816	29.92		2	0.07		111	4.07		32	1.17		84	3.08		26	0.95		4	0.15		280	10.27		1142	41.88		39	1.43		177	6.49		2	0.07		2727	98.38		45	1.62		2772	3.38
PROVISIONAL		8	0.98		314	38.39		4	0.49		23	2.81		3	0.37		24	2.93		15	1.83		1	0.12		97	11.86		269	32.89		19	2.32		41	5.01		0	0.00		818	96.92		26	3.08		844	1.03
Division Summary		295	0.37		23993	30.15		66	0.08		4150	5.21		834	1.05		2199	2.76		1057	1.33		76	0.1		9473	11.9		31576	39.68		1084	1.36		4746	5.96		30	0.04		79579	96.91		2540	3.09		82119	94.75
