Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Capricornia (81499)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mount Archer		7	0.33		944	44.36		0	0.00		257	12.08		22	1.03		43	2.02		31	1.46		2	0.09		203	9.54		475	22.32		27	1.27		117	5.50		0	0.00		2128	98.15		40	1.85		2168	2.79
Muttaburra		0	0.00		29	36.25		0	0.00		27	33.75		0	0.00		0	0.00		1	1.25		0	0.00		14	17.50		9	11.25		0	0.00		0	0.00		0	0.00		80	97.56		2	2.44		82	0.11
Nebo		2	0.84		69	28.87		3	1.26		82	34.31		4	1.67		0	0.00		3	1.26		0	0.00		32	13.39		37	15.48		2	0.84		5	2.09		0	0.00		239	96.76		8	3.24		247	0.32
Norman Road		9	0.46		795	40.71		1	0.05		252	12.90		34	1.74		33	1.69		24	1.23		1	0.05		181	9.27		484	24.78		26	1.33		113	5.79		0	0.00		1953	97.94		41	2.06		1994	2.57
North Rockhampton		15	0.44		1510	44.10		3	0.09		432	12.62		51	1.49		55	1.61		47	1.37		4	0.12		314	9.17		760	22.20		45	1.31		188	5.49		0	0.00		3424	96.72		116	3.28		3540	4.56
Park Avenue		14	0.56		1210	48.42		4	0.16		230	9.20		20	0.80		42	1.68		47	1.88		3	0.12		305	12.20		482	19.29		33	1.32		107	4.28		2	0.08		2499	98.04		50	1.96		2549	3.28
Parkhurst		6	0.36		568	34.38		1	0.06		295	17.86		19	1.15		30	1.82		16	0.97		1	0.06		194	11.74		449	27.18		13	0.79		60	3.63		0	0.00		1652	98.04		33	1.96		1685	2.17
Port Curtis		2	0.90		106	47.53		0	0.00		26	11.66		4	1.79		6	2.69		4	1.79		0	0.00		35	15.70		32	14.35		3	1.35		5	2.24		0	0.00		223	96.96		7	3.04		230	0.30
Ridgelands		0	0.00		22	12.64		0	0.00		73	41.95		0	0.00		4	2.30		1	0.57		0	0.00		42	24.14		30	17.24		0	0.00		2	1.15		0	0.00		174	98.31		3	1.69		177	0.23
Rockhampton		6	0.91		301	45.54		0	0.00		63	9.53		9	1.36		15	2.27		12	1.82		1	0.15		71	10.74		128	19.36		10	1.51		45	6.81		0	0.00		661	97.06		20	2.94		681	0.88
