Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Leichhardt (85689)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Parramatta		19	0.66		962	33.55		3	0.10		95	3.31		14	0.49		179	6.24		65	2.27		6	0.21		309	10.78		1001	34.91		29	1.01		184	6.42		1	0.03		2867	96.34		109	3.66		2976	3.76
Pormpuraaw		7	2.26		160	51.61		1	0.32		13	4.19		5	1.61		9	2.90		8	2.58		11	3.55		7	2.26		58	18.71		23	7.42		8	2.58		0	0.00		310	93.66		21	6.34		331	0.42
Port Douglas		2	0.12		362	22.02		2	0.12		39	2.37		5	0.30		125	7.60		38	2.31		1	0.06		144	8.76		804	48.91		13	0.79		109	6.63		0	0.00		1644	98.09		32	1.91		1676	2.12
Redlynch		3	0.21		328	22.45		0	0.00		45	3.08		4	0.27		72	4.93		12	0.82		0	0.00		152	10.40		733	50.17		20	1.37		91	6.23		1	0.07		1461	98.12		28	1.88		1489	1.88
Stratford		1	0.11		218	23.32		0	0.00		25	2.67		10	1.07		97	10.37		13	1.39		0	0.00		84	8.98		394	42.14		1	0.11		91	9.73		1	0.11		935	97.91		20	2.09		955	1.21
Tamwoy		9	3.02		196	65.77		1	0.34		1	0.34		1	0.34		3	1.01		2	0.67		2	0.67		1	0.34		56	18.79		19	6.38		7	2.35		0	0.00		298	97.39		8	2.61		306	0.39
Thursday Island		4	0.43		496	53.80		3	0.33		23	2.49		10	1.08		34	3.69		13	1.41		0	0.00		18	1.95		260	28.20		20	2.17		41	4.45		0	0.00		922	97.88		20	2.12		942	1.19
Trinity Beach		2	0.06		911	27.54		2	0.06		66	2.00		12	0.36		191	5.77		48	1.45		3	0.09		260	7.86		1553	46.95		24	0.73		236	7.13		0	0.00		3308	96.67		114	3.33		3422	4.33
Weipa North		2	0.22		315	34.65		4	0.44		31	3.41		4	0.44		18	1.98		11	1.21		0	0.00		106	11.66		363	39.93		11	1.21		44	4.84		0	0.00		909	97.01		28	2.99		937	1.19
White Rock		9	0.42		685	32.34		1	0.05		93	4.39		20	0.94		71	3.35		36	1.70		3	0.14		272	12.84		803	37.91		27	1.27		98	4.63		0	0.00		2118	96.67		73	3.33		2191	2.77
Whitfield		10	0.45		558	25.03		2	0.09		112	5.02		19	0.85		103	4.62		31	1.39		4	0.18		208	9.33		1000	44.86		13	0.58		167	7.49		2	0.09		2229	97.25		63	2.75		2292	2.90
Wonga Beach		1	0.25		114	28.57		0	0.00		20	5.01		1	0.25		12	3.01		2	0.50		0	0.00		76	19.05		144	36.09		1	0.25		28	7.02		0	0.00		399	97.56		10	2.44		409	0.52
Woree		8	0.20		1143	28.38		3	0.07		228	5.66		22	0.55		113	2.81		59	1.47		2	0.05		502	12.47		1693	42.04		33	0.82		220	5.46		1	0.02		4027	97.34		110	2.66		4137	5.23
Yarrabah		17	2.17		644	82.25		6	0.77		14	1.79		14	1.79		10	1.28		1	0.13		3	0.38		4	0.51		38	4.85		11	1.40		20	2.55		1	0.13		783	91.79		70	8.21		853	1.08
Yorkeys Knob		13	1.01		361	28.14		1	0.08		26	2.03		5	0.39		78	6.08		19	1.48		3	0.23		132	10.29		544	42.40		7	0.55		94	7.33		0	0.00		1283	96.25		50	3.75		1333	1.69
Special Hospitals		2	0.86		116	49.79		0	0.00		9	3.86		0	0.00		5	2.15		2	0.86		1	0.43		10	4.29		82	35.19		3	1.29		3	1.29		0	0.00		233	95.49		11	4.51		244	0.31
Remote Mobiles		22	1.17		1332	70.78		5	0.27		37	1.97		16	0.85		23	1.22		17	0.90		6	0.32		27	1.43		313	16.63		58	3.08		26	1.38		0	0.00		1882	95.19		95	4.81		1977	2.50
Total Ordinary		333	0.51		21907	33.37		84	0.13		2475	3.77		516	0.79		3090	4.71		979	1.49		113	0.17		6733	10.26		24814	37.80		764	1.16		3817	5.81		24	0.04		65649	96.69		2248	3.31		67897	85.87
ABSENT		18	0.50		1048	29.22		4	0.11		254	7.08		48	1.34		157	4.38		80	2.23		3	0.08		394	10.98		1290	35.96		57	1.59		231	6.44		3	0.08		3587	98.09		70	1.91		3657	4.63
POSTAL		4	0.17		636	26.58		1	0.04		94	3.93		20	0.84		85	3.55		29	1.21		2	0.08		320	13.37		1023	42.75		26	1.09		152	6.35		1	0.04		2393	98.64		33	1.36		2426	3.07
PRE_POLL		21	0.57		959	26.11		5	0.14		122	3.32		25	0.68		202	5.50		54	1.47		3	0.08		324	8.82		1634	44.49		33	0.90		287	7.81		4	0.11		3673	98.66		50	1.34		3723	4.71
PROVISIONAL		11	0.84		519	39.41		2	0.15		33	2.51		10	0.76		87	6.61		17	1.29		0	0.00		123	9.34		412	31.28		21	1.59		82	6.23		0	0.00		1317	96.55		47	3.45		1364	1.73
Division Summary		387	0.51		25069	32.72		96	0.13		2978	3.89		619	0.81		3621	4.73		1159	1.51		121	0.16		7894	10.3		29173	38.08		901	1.18		4569	5.96		32	0.04		76619	96.9		2448	3.1		79067	92.27
