Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Wide Bay (81391)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Monto		4	0.41		167	17.09		2	0.20		440	45.04		5	0.51		14	1.43		11	1.13		1	0.10		220	22.52		68	6.96		16	1.64		27	2.76		2	0.20		977	95.88		42	4.12		1019	1.32
Moonford Hall		0	0.00		13	12.15		1	0.93		55	51.40		0	0.00		2	1.87		0	0.00		0	0.00		22	20.56		7	6.54		2	1.87		5	4.67		0	0.00		107	100.00		0	0.00		107	0.14
Mount Perry		3	1.32		51	22.47		0	0.00		90	39.65		1	0.44		3	1.32		4	1.76		0	0.00		41	18.06		23	10.13		2	0.88		9	3.96		0	0.00		227	95.78		10	4.22		237	0.31
Moura		6	0.56		452	42.28		7	0.65		236	22.08		8	0.75		23	2.15		16	1.50		0	0.00		167	15.62		106	9.92		22	2.06		23	2.15		3	0.28		1069	97.36		29	2.64		1098	1.42
Mulgildie		1	0.41		33	13.47		0	0.00		148	60.41		1	0.41		6	2.45		0	0.00		1	0.41		40	16.33		8	3.27		2	0.82		4	1.63		1	0.41		245	97.22		7	2.78		252	0.33
Mundubbera		6	0.59		188	18.54		0	0.00		469	46.25		15	1.48		11	1.08		12	1.18		0	0.00		174	17.16		83	8.19		20	1.97		33	3.25		3	0.30		1014	97.50		26	2.50		1040	1.34
Mungar		1	0.25		98	24.81		0	0.00		123	31.14		1	0.25		12	3.04		6	1.52		0	0.00		103	26.08		33	8.35		2	0.51		15	3.80		1	0.25		395	96.81		13	3.19		408	0.53
Murgon		5	0.31		287	18.02		3	0.19		604	37.92		20	1.26		21	1.32		17	1.07		2	0.13		389	24.42		186	11.68		19	1.19		38	2.39		2	0.13		1593	96.84		52	3.16		1645	2.12
Pialba		14	0.46		970	31.57		2	0.07		552	17.96		28	0.91		74	2.41		43	1.40		5	0.16		424	13.80		786	25.58		53	1.72		120	3.90		2	0.07		3073	97.00		95	3.00		3168	4.09
Point Vernon		10	0.45		651	29.26		0	0.00		541	24.31		27	1.21		39	1.75		22	0.99		1	0.04		343	15.42		479	21.53		20	0.90		86	3.87		6	0.27		2225	96.24		87	3.76		2312	2.98
Proston		2	0.48		54	12.89		1	0.24		156	37.23		20	4.77		6	1.43		6	1.43		0	0.00		104	24.82		47	11.22		4	0.95		17	4.06		2	0.48		419	95.44		20	4.56		439	0.57
Rainbow Beach		3	0.63		112	23.53		0	0.00		163	34.24		4	0.84		12	2.52		6	1.26		1	0.21		77	16.18		79	16.60		4	0.84		11	2.31		4	0.84		476	95.97		20	4.03		496	0.64
St Helens		0	0.00		190	26.28		1	0.14		196	27.11		8	1.11		15	2.07		13	1.80		0	0.00		170	23.51		95	13.14		14	1.94		21	2.90		0	0.00		723	97.83		16	2.17		739	0.95
Scarness		4	0.29		413	30.32		1	0.07		382	28.05		22	1.62		28	2.06		15	1.10		1	0.07		222	16.30		210	15.42		14	1.03		44	3.23		6	0.44		1362	97.01		42	2.99		1404	1.81
Tansey		0	0.00		10	8.20		0	0.00		60	49.18		2	1.64		0	0.00		0	0.00		1	0.82		34	27.87		10	8.20		1	0.82		4	3.28		0	0.00		122	96.06		5	3.94		127	0.16
Thangool		0	0.00		80	19.80		2	0.50		180	44.55		3	0.74		2	0.50		8	1.98		0	0.00		82	20.30		34	8.42		2	0.50		7	1.73		4	0.99		404	98.06		8	1.94		412	0.53
Theodore		5	0.98		83	16.31		5	0.98		236	46.37		0	0.00		2	0.39		4	0.79		0	0.00		107	21.02		50	9.82		6	1.18		11	2.16		0	0.00		509	96.22		20	3.78		529	0.68
Tiaro		3	0.66		94	20.66		0	0.00		164	36.04		6	1.32		11	2.42		9	1.98		0	0.00		83	18.24		62	13.63		5	1.10		15	3.30		3	0.66		455	95.59		21	4.41		476	0.61
Tinana		7	0.35		535	26.50		2	0.10		548	27.14		29	1.44		35	1.73		24	1.19		4	0.20		425	21.05		312	15.45		35	1.73		60	2.97		3	0.15		2019	97.91		43	2.09		2062	2.66
Tin Can Bay		12	0.72		536	32.29		3	0.18		406	24.46		11	0.66		23	1.39		11	0.66		1	0.06		360	21.69		228	13.73		13	0.78		56	3.37		0	0.00		1660	96.23		65	3.77		1725	2.23
Toogoom		2	0.34		161	27.71		1	0.17		136	23.41		2	0.34		25	4.30		5	0.86		1	0.17		128	22.03		84	14.46		3	0.52		32	5.51		1	0.17		581	95.09		30	4.91		611	0.79
Torbanlea		3	0.72		125	30.19		0	0.00		89	21.50		3	0.72		11	2.66		9	2.17		0	0.00		98	23.67		54	13.04		5	1.21		17	4.11		0	0.00		414	96.28		16	3.72		430	0.56
Torquay		18	0.55		1058	32.13		11	0.33		808	24.54		28	0.85		71	2.16		42	1.28		1	0.03		497	15.09		595	18.07		41	1.25		118	3.58		5	0.15		3293	96.77		110	3.23		3403	4.39
Urangan		15	0.40		1317	35.14		4	0.11		837	22.33		30	0.80		67	1.79		47	1.25		4	0.11		607	16.20		652	17.40		41	1.09		119	3.18		8	0.21		3748	96.37		141	3.63		3889	5.02
Urraween		3	0.18		404	23.60		1	0.06		589	34.40		31	1.81		28	1.64		18	1.05		0	0.00		265	15.48		297	17.35		18	1.05		57	3.33		1	0.06		1712	96.67		59	3.33		1771	2.29
Wallaville		4	1.32		60	19.80		0	0.00		134	44.22		5	1.65		6	1.98		7	2.31		0	0.00		55	18.15		22	7.26		2	0.66		7	2.31		1	0.33		303	96.50		11	3.50		314	0.41
Widgee		0	0.00		63	19.63		0	0.00		95	29.60		1	0.31		5	1.56		4	1.25		0	0.00		85	26.48		48	14.95		8	2.49		12	3.74		0	0.00		321	96.11		13	3.89		334	0.43
Wondai		12	0.88		225	16.51		5	0.37		390	28.61		15	1.10		28	2.05		16	1.17		2	0.15		438	32.13		162	11.89		17	1.25		45	3.30		8	0.59		1363	96.19		54	3.81		1417	1.83
Wonga Lower		1	0.42		40	16.81		1	0.42		67	28.15		5	2.10		7	2.94		4	1.68		0	0.00		81	34.03		24	10.08		4	1.68		4	1.68		0	0.00		238	97.14		7	2.86		245	0.32
Woolooga		0	0.00		18	16.51		0	0.00		45	41.28		1	0.92		1	0.92		0	0.00		0	0.00		30	27.52		12	11.01		1	0.92		1	0.92		0	0.00		109	97.32		3	2.68		112	0.14
Wowan		1	0.40		36	14.57		2	0.81		119	48.18		0	0.00		2	0.81		1	0.40		1	0.40		66	26.72		14	5.67		3	1.21		2	0.81		0	0.00		247	98.02		5	1.98		252	0.33
Special Hospitals		1	0.28		132	37.61		1	0.28		126	35.90		5	1.42		1	0.28		2	0.57		0	0.00		30	8.55		48	13.68		2	0.57		3	0.85		0	0.00		351	94.61		20	5.39		371	0.48
Total Ordinary		253	0.41		17436	28.43		151	0.25		17277	28.17		690	1.13		1247	2.03		819	1.34		64	0.10		11654	19.00		8722	14.22		869	1.42		2024	3.30		127	0.21		61333	96.70		2094	3.30		63427	81.88
ABSENT		23	0.48		1364	28.19		13	0.27		944	19.51		64	1.32		150	3.10		72	1.49		11	0.23		734	15.17		1131	23.38		96	1.98		228	4.71		8	0.17		4838	98.25		86	1.75		4924	6.36
POSTAL		15	0.30		1187	23.39		16	0.32		1740	34.29		53	1.04		46	0.91		33	0.65		5	0.10		980	19.31		748	14.74		69	1.36		171	3.37		11	0.22		5074	98.11		98	1.89		5172	6.68
PRE_POLL		6	0.18		936	27.68		5	0.15		750	22.18		37	1.09		90	2.66		50	1.48		7	0.21		545	16.11		742	21.94		53	1.57		156	4.61		5	0.15		3382	98.80		41	1.20		3423	4.42
PROVISIONAL		2	0.41		171	34.69		1	0.20		89	18.05		4	0.81		15	3.04		16	3.25		1	0.20		83	16.84		73	14.81		20	4.06		18	3.65		0	0.00		493	95.36		24	4.64		517	0.67
Division Summary		299	0.4		21094	28.08		186	0.25		20800	27.69		848	1.13		1548	2.06		990	1.32		88	0.12		13996	18.63		11416	15.2		1107	1.47		2597	3.46		151	0.2		75120	96.98		2343	3.02		77463	95.17
