Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Maranoa (84022)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Dalveen		0	0.00		17	14.66		0	0.00		44	37.93		0	0.00		4	3.45		0	0.00		0	0.00		24	20.69		22	18.97		0	0.00		5	4.31		0	0.00		116	96.67		4	3.33		120	0.15
Dingo		0	0.00		40	27.59		0	0.00		67	46.21		0	0.00		0	0.00		0	0.00		0	0.00		24	16.55		10	6.90		1	0.69		2	1.38		1	0.69		145	99.32		1	0.68		146	0.18
Dirranbandi		4	1.19		131	38.87		1	0.30		120	35.61		0	0.00		1	0.30		1	0.30		0	0.00		20	5.93		49	14.54		4	1.19		6	1.78		0	0.00		337	99.12		3	0.88		340	0.43
Drillham		2	1.77		14	12.39		1	0.88		59	52.21		0	0.00		0	0.00		1	0.88		1	0.88		17	15.04		14	12.39		1	0.88		3	2.65		0	0.00		113	98.26		2	1.74		115	0.14
Duaringa		1	0.46		42	19.18		3	1.37		89	40.64		0	0.00		0	0.00		6	2.74		0	0.00		43	19.63		26	11.87		3	1.37		6	2.74		0	0.00		219	95.22		11	4.78		230	0.29
Dulacca		0	0.00		5	3.31		1	0.66		91	60.26		1	0.66		0	0.00		0	0.00		0	0.00		40	26.49		9	5.96		1	0.66		3	1.99		0	0.00		151	97.42		4	2.58		155	0.20
Emerald		5	0.20		742	29.59		8	0.32		809	32.26		38	1.52		32	1.28		27	1.08		4	0.16		351	14.00		344	13.72		39	1.56		106	4.23		3	0.12		2508	97.51		64	2.49		2572	3.24
Emerald North		8	0.56		517	36.43		2	0.14		385	27.13		16	1.13		31	2.18		11	0.78		3	0.21		157	11.06		206	14.52		20	1.41		61	4.30		2	0.14		1419	97.46		37	2.54		1456	1.83
Emerald South		5	0.67		236	31.51		1	0.13		233	31.11		7	0.93		9	1.20		8	1.07		2	0.27		93	12.42		112	14.95		12	1.60		31	4.14		0	0.00		749	97.15		22	2.85		771	0.97
Eukey		1	0.67		30	20.00		0	0.00		49	32.67		4	2.67		7	4.67		3	2.00		0	0.00		25	16.67		22	14.67		0	0.00		8	5.33		1	0.67		150	98.68		2	1.32		152	0.19
Eulo		0	0.00		13	18.57		0	0.00		33	47.14		0	0.00		0	0.00		0	0.00		0	0.00		9	12.86		15	21.43		0	0.00		0	0.00		0	0.00		70	98.59		1	1.41		71	0.09
Eumamurrin		0	0.00		1	1.59		0	0.00		51	80.95		0	0.00		0	0.00		0	0.00		0	0.00		5	7.94		4	6.35		1	1.59		1	1.59		0	0.00		63	100.00		0	0.00		63	0.08
Gindie		0	0.00		12	11.88		0	0.00		67	66.34		0	0.00		0	0.00		2	1.98		0	0.00		13	12.87		4	3.96		3	2.97		0	0.00		0	0.00		101	99.02		1	0.98		102	0.13
Glen Aplin		2	0.60		82	24.55		0	0.00		99	29.64		0	0.00		16	4.79		6	1.80		1	0.30		68	20.36		29	8.68		4	1.20		27	8.08		0	0.00		334	97.09		10	2.91		344	0.43
Goomburra		0	0.00		14	8.92		1	0.64		68	43.31		0	0.00		4	2.55		0	0.00		0	0.00		42	26.75		28	17.83		0	0.00		0	0.00		0	0.00		157	97.52		4	2.48		161	0.20
Goondiwindi		2	0.24		191	22.68		0	0.00		278	33.02		5	0.59		12	1.43		1	0.12		0	0.00		117	13.90		180	21.38		10	1.19		46	5.46		0	0.00		842	95.14		43	4.86		885	1.11
Goondiwindi West		18	0.82		443	20.15		5	0.23		674	30.65		12	0.55		22	1.00		30	1.36		2	0.09		405	18.42		489	22.24		45	2.05		53	2.41		1	0.05		2199	95.94		93	4.06		2292	2.88
Guluguba		1	1.82		1	1.82		1	1.82		36	65.45		2	3.64		0	0.00		1	1.82		0	0.00		6	10.91		4	7.27		2	3.64		0	0.00		1	1.82		55	96.49		2	3.51		57	0.07
Hannaford		0	0.00		1	1.96		0	0.00		35	68.63		2	3.92		0	0.00		0	0.00		0	0.00		10	19.61		1	1.96		1	1.96		1	1.96		0	0.00		51	96.23		2	3.77		53	0.07
