Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Denison (67938)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Goodwood		8	0.90		6	0.68		0	0.00		1	0.11		15	1.69		3	0.34		1	0.11		0	0.00		4	0.45		20	2.25		6	0.68		2	0.23		28	3.15		1	0.11		0	0.00		0	0.00		1	0.11		36	4.05		29	3.27		65	7.32		169	19.03		17	1.91		2	0.23		1	0.11		1	0.11		190	21.40		1	0.11		0	0.00		0	0.00		1	0.11		28	3.15		4	0.45		0	0.00		32	3.60		473	53.27		35	3.94		34	3.83		6	0.68		548	61.71		2	0.23		1	0.11		0	0.00		3	0.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		1	0.11		888	94.37		53	5.63		941	1.45																																																																																				
	Hill Street		3	0.45		0	0.00		0	0.00		0	0.00		3	0.45		0	0.00		0	0.00		0	0.00		0	0.00		4	0.59		1	0.15		0	0.00		5	0.74		0	0.00		0	0.00		0	0.00		0	0.00		163	24.18		150	22.26		313	46.44		96	14.24		16	2.37		3	0.45		1	0.15		3	0.45		119	17.66		2	0.30		0	0.00		0	0.00		2	0.30		24	3.56		16	2.37		0	0.00		40	5.93		147	21.81		25	3.71		10	1.48		3	0.45		185	27.45		2	0.30		0	0.00		0	0.00		2	0.30		0	0.00		0	0.00		1	0.15		1	0.15		0	0.00		1	0.15		2	0.30		1	0.15		4	0.59		674	97.40		18	2.60		692	1.06																																																																																				
	Hobart		4	0.57		1	0.14		0	0.00		0	0.00		5	0.71		0	0.00		1	0.14		0	0.00		1	0.14		7	1.00		4	0.57		0	0.00		11	1.56		1	0.14		0	0.00		0	0.00		1	0.14		167	23.76		117	16.64		284	40.40		136	19.35		34	4.84		4	0.57		2	0.28		0	0.00		176	25.04		0	0.00		1	0.14		0	0.00		1	0.14		26	3.70		13	1.85		1	0.14		40	5.69		147	20.91		18	2.56		10	1.42		4	0.57		179	25.46		1	0.14		0	0.00		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.14		3	0.43		0	0.00		4	0.57		703	98.18		13	1.82		716	1.10																																																																																				
	Hobart Central		2	0.84		1	0.42		0	0.00		0	0.00		3	1.27		0	0.00		0	0.00		0	0.00		0	0.00		2	0.84		1	0.42		0	0.00		3	1.27		0	0.00		0	0.00		0	0.00		0	0.00		52	21.94		38	16.03		90	37.97		60	25.32		6	2.53		0	0.00		0	0.00		0	0.00		66	27.85		0	0.00		1	0.42		0	0.00		1	0.42		5	2.11		5	2.11		1	0.42		11	4.64		54	22.78		3	1.27		4	1.69		1	0.42		62	26.16		1	0.42		0	0.00		0	0.00		1	0.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		237	96.73		8	3.27		245	0.38																																																																																				
	Hobart North		1	0.16		2	0.32		0	0.00		0	0.00		3	0.48		0	0.00		0	0.00		0	0.00		0	0.00		7	1.13		1	0.16		0	0.00		8	1.29		1	0.16		0	0.00		0	0.00		1	0.16		87	14.03		81	13.06		168	27.10		128	20.65		23	3.71		4	0.65		3	0.48		5	0.81		163	26.29		2	0.32		0	0.00		0	0.00		2	0.32		29	4.68		11	1.77		1	0.16		41	6.61		181	29.19		27	4.35		18	2.90		5	0.81		231	37.26		1	0.16		0	0.00		0	0.00		1	0.16		1	0.16		1	0.16		0	0.00		2	0.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		620	97.18		18	2.82		638	0.98																																																																																				
	Hobart South		9	0.54		6	0.36		0	0.00		4	0.24		19	1.14		0	0.00		0	0.00		0	0.00		0	0.00		13	0.78		2	0.12		1	0.06		16	0.96		0	0.00		0	0.00		0	0.00		0	0.00		342	20.48		342	20.48		684	40.96		390	23.35		40	2.40		12	0.72		2	0.12		4	0.24		448	26.83		3	0.18		2	0.12		0	0.00		5	0.30		51	3.05		38	2.28		3	0.18		92	5.51		295	17.66		56	3.35		28	1.68		2	0.12		381	22.81		6	0.36		6	0.36		1	0.06		13	0.78		2	0.12		1	0.06		0	0.00		3	0.18		0	0.00		2	0.12		3	0.18		4	0.24		9	0.54		1670	97.38		45	2.62		1715	2.64																																																																																				
	Hobart West		4	0.45		0	0.00		0	0.00		0	0.00		4	0.45		0	0.00		0	0.00		0	0.00		0	0.00		10	1.13		2	0.23		1	0.11		13	1.47		0	0.00		2	0.23		0	0.00		2	0.23		177	20.00		201	22.71		378	42.71		156	17.63		23	2.60		4	0.45		2	0.23		1	0.11		186	21.02		1	0.11		0	0.00		0	0.00		1	0.11		34	3.84		23	2.60		1	0.11		58	6.55		185	20.90		30	3.39		18	2.03		2	0.23		235	26.55		1	0.11		1	0.11		1	0.11		3	0.34		0	0.00		1	0.11		0	0.00		1	0.11		0	0.00		1	0.11		1	0.11		2	0.23		4	0.45		885	98.66		12	1.34		897	1.38																																																																																				
	Lansdowne Crescent		3	0.36		0	0.00		0	0.00		0	0.00		3	0.36		0	0.00		0	0.00		0	0.00		0	0.00		4	0.48		2	0.24		0	0.00		6	0.72		0	0.00		0	0.00		0	0.00		0	0.00		147	17.75		162	19.57		309	37.32		200	24.15		22	2.66		2	0.24		3	0.36		3	0.36		230	27.78		0	0.00		4	0.48		2	0.24		6	0.72		41	4.95		20	2.42		1	0.12		62	7.49		162	19.57		24	2.90		14	1.69		4	0.48		204	24.64		4	0.48		1	0.12		0	0.00		5	0.60		1	0.12		0	0.00		0	0.00		1	0.12		0	0.00		1	0.12		0	0.00		1	0.12		2	0.24		828	98.81		10	1.19		838	1.29																																																																																				
	Lenah Valley		9	0.55		2	0.12		2	0.12		3	0.18		16	0.97		4	0.24		0	0.00		1	0.06		5	0.30		14	0.85		4	0.24		3	0.18		21	1.27		4	0.24		0	0.00		0	0.00		4	0.24		162	9.82		140	8.48		302	18.30		541	32.79		64	3.88		5	0.30		4	0.24		12	0.73		626	37.94		4	0.24		1	0.06		1	0.06		6	0.36		93	5.64		28	1.70		4	0.24		125	7.58		440	26.67		44	2.67		40	2.42		10	0.61		534	32.36		7	0.42		0	0.00		0	0.00		7	0.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		3	0.18		4	0.24		1650	98.21		30	1.79		1680	2.58																																																																																				
	Lower Sandy Bay		4	0.19		1	0.05		0	0.00		0	0.00		5	0.24		1	0.05		0	0.00		0	0.00		1	0.05		11	0.52		4	0.19		0	0.00		15	0.71		2	0.10		3	0.14		0	0.00		5	0.24		244	11.62		216	10.29		460	21.90		986	46.95		137	6.52		10	0.48		6	0.29		16	0.76		1155	55.00		0	0.00		1	0.05		2	0.10		3	0.14		84	4.00		24	1.14		0	0.00		108	5.14		267	12.71		35	1.67		14	0.67		3	0.14		319	15.19		8	0.38		4	0.19		1	0.05		13	0.62		3	0.14		2	0.10		0	0.00		5	0.24		0	0.00		1	0.05		3	0.14		7	0.33		11	0.52		2100	97.22		60	2.78		2160	3.32																																																																																				
