Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Braddon (67749)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Gawler		4	1.06		1	0.26		1	0.26		1	0.26		7	1.85		0	0.00		0	0.00		0	0.00		0	0.00		17	4.49		0	0.00		4	1.06		21	5.54		0	0.00		0	0.00		0	0.00		0	0.00		23	6.07		19	5.01		42	11.08		159	41.95		6	1.58		5	1.32		1	0.26		39	10.29		210	55.41		0	0.00		0	0.00		0	0.00		0	0.00		8	2.11		1	0.26		0	0.00		9	2.37		70	18.47		5	1.32		11	2.90		1	0.26		87	22.96		3	0.79		0	0.00		0	0.00		3	0.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		379	96.19		15	3.81		394	0.60																																																																																				
	Grassy		2	1.67		1	0.83		0	0.00		0	0.00		3	2.50		0	0.00		0	0.00		0	0.00		0	0.00		12	10.00		1	0.83		0	0.00		13	10.83		0	0.00		0	0.00		0	0.00		0	0.00		8	6.67		2	1.67		10	8.33		46	38.33		3	2.50		2	1.67		0	0.00		1	0.83		52	43.33		0	0.00		0	0.00		0	0.00		0	0.00		2	1.67		1	0.83		0	0.00		3	2.50		31	25.83		4	3.33		2	1.67		1	0.83		38	31.67		0	0.00		0	0.00		0	0.00		0	0.00		1	0.83		0	0.00		0	0.00		1	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		120	99.17		1	0.83		121	0.19																																																																																				
	Gunns Plains		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	5.13		0	0.00		1	1.28		5	6.41		0	0.00		0	0.00		0	0.00		0	0.00		10	12.82		5	6.41		15	19.23		35	44.87		1	1.28		0	0.00		0	0.00		4	5.13		40	51.28		0	0.00		0	0.00		0	0.00		0	0.00		3	3.85		1	1.28		0	0.00		4	5.13		13	16.67		0	0.00		0	0.00		0	0.00		13	16.67		1	1.28		0	0.00		0	0.00		1	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		78	95.12		4	4.88		82	0.13																																																																																				
	Havenview		4	0.71		1	0.18		1	0.18		1	0.18		7	1.24		1	0.18		0	0.00		0	0.00		1	0.18		27	4.77		3	0.53		1	0.18		31	5.48		0	0.00		0	0.00		0	0.00		0	0.00		29	5.12		13	2.30		42	7.42		112	19.79		5	0.88		7	1.24		2	0.35		40	7.07		166	29.33		1	0.18		0	0.00		0	0.00		1	0.18		20	3.53		6	1.06		0	0.00		26	4.59		241	42.58		10	1.77		32	5.65		0	0.00		283	50.00		5	0.88		3	0.53		0	0.00		8	1.41		0	0.00		1	0.18		0	0.00		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		566	97.25		16	2.75		582	0.89																																																																																				
	Highclere		1	0.64		1	0.64		0	0.00		0	0.00		2	1.28		1	0.64		0	0.00		0	0.00		1	0.64		17	10.90		2	1.28		0	0.00		19	12.18		0	0.00		0	0.00		0	0.00		0	0.00		8	5.13		6	3.85		14	8.97		51	32.69		1	0.64		3	1.92		0	0.00		7	4.49		62	39.74		0	0.00		0	0.00		0	0.00		0	0.00		5	3.21		2	1.28		0	0.00		7	4.49		49	31.41		0	0.00		1	0.64		0	0.00		50	32.05		1	0.64		0	0.00		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		156	95.71		7	4.29		163	0.25																																																																																				
	Irishtown		1	0.34		1	0.34		0	0.00		0	0.00		2	0.68		0	0.00		0	0.00		0	0.00		0	0.00		5	1.69		5	1.69		0	0.00		10	3.38		1	0.34		0	0.00		0	0.00		1	0.34		5	1.69		6	2.03		11	3.72		143	48.31		8	2.70		2	0.68		1	0.34		18	6.08		172	58.11		1	0.34		0	0.00		0	0.00		1	0.34		6	2.03		2	0.68		0	0.00		8	2.70		70	23.65		3	1.01		13	4.39		1	0.34		87	29.39		3	1.01		1	0.34		0	0.00		4	1.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		296	97.05		9	2.95		305	0.47																																																																																				
	Latrobe		31	1.34		16	0.69		2	0.09		3	0.13		52	2.25		2	0.09		1	0.04		0	0.00		3	0.13		81	3.50		16	0.69		9	0.39		106	4.58		5	0.22		1	0.04		1	0.04		7	0.30		112	4.84		71	3.07		183	7.90		710	30.67		19	0.82		42	1.81		16	0.69		54	2.33		841	36.33		1	0.04		1	0.04		0	0.00		2	0.09		46	1.99		8	0.35		0	0.00		54	2.33		895	38.66		41	1.77		97	4.19		7	0.30		1040	44.92		14	0.60		3	0.13		0	0.00		17	0.73		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		0	0.00		8	0.35		9	0.39		2315	95.70		104	4.30		2419	3.70																																																																																				
	Marrawah		1	0.43		1	0.43		0	0.00		0	0.00		2	0.87		0	0.00		0	0.00		0	0.00		0	0.00		25	10.82		8	3.46		0	0.00		33	14.29		0	0.00		0	0.00		0	0.00		0	0.00		12	5.19		14	6.06		26	11.26		87	37.66		7	3.03		5	2.16		3	1.30		15	6.49		117	50.65		0	0.00		0	0.00		0	0.00		0	0.00		8	3.46		2	0.87		0	0.00		10	4.33		30	12.99		3	1.30		9	3.90		0	0.00		42	18.18		1	0.43		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		231	97.06		7	2.94		238	0.36																																																																																				
	Mawbanna		1	1.79		0	0.00		0	0.00		0	0.00		1	1.79		0	0.00		0	0.00		0	0.00		0	0.00		3	5.36		2	3.57		0	0.00		5	8.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.79		1	1.79		23	41.07		5	8.93		2	3.57		0	0.00		5	8.93		35	62.50		0	0.00		0	0.00		0	0.00		0	0.00		1	1.79		0	0.00		0	0.00		1	1.79		11	19.64		1	1.79		0	0.00		0	0.00		12	21.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.79		0	0.00		0	0.00		0	0.00		1	1.79		56	100.00		0	0.00		56	0.09																																																																																				
	Melrose		1	0.74		2	1.48		0	0.00		1	0.74		4	2.96		0	0.00		0	0.00		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		14	10.37		11	8.15		25	18.52		52	38.52		3	2.22		8	5.93		0	0.00		6	4.44		69	51.11		0	0.00		0	0.00		0	0.00		0	0.00		2	1.48		0	0.00		0	0.00		2	1.48		30	22.22		1	0.74		1	0.74		0	0.00		32	23.70		1	0.74		0	0.00		0	0.00		1	0.74		1	0.74		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		135	97.12		4	2.88		139	0.21																																																																																				
