House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Braddon (67749)												
		Candidate		                  	"SIDEBOTTOM, Sid"		            	"PATTISON, Alan"		             	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
		"COOPER, Craig (DEM)"	5		3	60.00		2	40.00		5	
		"PICKFORD, Steve (HAN)"	4		3	75.00		1	25.00		4	
		Total	26		67	49.26		69	50.74		136	

	Miandetta											
			1st Prefs		182	50.98		175	49.02		357	
		"THOMPSON, Clare (GRN)"	28		12	42.86		16	57.14		28	
		"COOPER, Craig (DEM)"	16		8	50.00		8	50.00		16	
		"PICKFORD, Steve (HAN)"	17		8	47.06		9	52.94		17	
		Total	61		210	50.24		208	49.76		418	

	Montagu											
			1st Prefs		61	44.85		75	55.15		136	
		"THOMPSON, Clare (GRN)"	7		5	71.43		2	28.57		7	
		"COOPER, Craig (DEM)"	0		0	0.00		0	0.00		0	
		"PICKFORD, Steve (HAN)"	4		2	50.00		2	50.00		4	
		Total	11		68	46.26		79	53.74		147	

	Montello											
			1st Prefs		865	71.61		343	28.39		1208	
		"THOMPSON, Clare (GRN)"	56		40	71.43		16	28.57		56	
		"COOPER, Craig (DEM)"	45		31	68.89		14	31.11		45	
		"PICKFORD, Steve (HAN)"	41		26	63.41		15	36.59		41	
		Total	142		962	71.26		388	28.74		1350	

	Moorleah											
			1st Prefs		59	51.30		56	48.70		115	
		"THOMPSON, Clare (GRN)"	26		21	80.77		5	19.23		26	
		"COOPER, Craig (DEM)"	10		10	100.00		0	0.00		10	
		"PICKFORD, Steve (HAN)"	11		5	45.45		6	54.55		11	
		Total	47		95	58.64		67	41.36		162	

	Moriarty											
			1st Prefs		71	33.18		143	66.82		214	
		"THOMPSON, Clare (GRN)"	13		9	69.23		4	30.77		13	
		"COOPER, Craig (DEM)"	5		0	0.00		5	100.00		5	
		"PICKFORD, Steve (HAN)"	17		9	52.94		8	47.06		17	
		Total	35		89	35.74		160	64.26		249	

	Natone											
			1st Prefs		80	54.05		68	45.95		148	
		"THOMPSON, Clare (GRN)"	15		13	86.67		2	13.33		15	
		"COOPER, Craig (DEM)"	4		2	50.00		2	50.00		4	
		"PICKFORD, Steve (HAN)"	14		8	57.14		6	42.86		14	
		Total	33		103	56.91		78	43.09		181	

	Nietta											
			1st Prefs		24	54.55		20	45.45		44	
		"THOMPSON, Clare (GRN)"	10		6	60.00		4	40.00		10	
		"COOPER, Craig (DEM)"	1		1	100.00		0	0.00		1	
		"PICKFORD, Steve (HAN)"	6		3	50.00		3	50.00		6	
		Total	17		34	55.74		27	44.26		61	

	Nixon Street											
			1st Prefs		1318	54.44		1103	45.56		2421	
		"THOMPSON, Clare (GRN)"	117		88	75.21		29	24.79		117	
		"COOPER, Craig (DEM)"	100		70	70.00		30	30.00		100	
		"PICKFORD, Steve (HAN)"	81		43	53.09		38	46.91		81	
		Total	298		1519	55.87		1200	44.13		2719	

	North Motton											
			1st Prefs		70	40.23		104	59.77		174	
