Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Bass (65927)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Lady Barron		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	10.16		2	1.56		0	0.00		15	11.72		0	0.00		0	0.00		0	0.00		0	0.00		8	6.25		5	3.91		13	10.16		52	40.63		3	2.34		4	3.13		0	0.00		0	0.00		59	46.09		0	0.00		0	0.00		0	0.00		0	0.00		1	0.78		0	0.00		0	0.00		1	0.78		36	28.13		3	2.34		0	0.00		0	0.00		39	30.47		1	0.78		0	0.00		0	0.00		1	0.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		128	98.46		2	1.54		130	0.20																																																																																				
	Launceston		9	1.23		4	0.55		0	0.00		0	0.00		13	1.78		0	0.00		1	0.14		0	0.00		1	0.14		12	1.64		2	0.27		1	0.14		15	2.05		1	0.14		0	0.00		0	0.00		1	0.14		105	14.34		69	9.43		174	23.77		233	31.83		12	1.64		9	1.23		1	0.14		0	0.00		255	34.84		2	0.27		0	0.00		0	0.00		2	0.27		42	5.74		19	2.60		3	0.41		64	8.74		165	22.54		20	2.73		14	1.91		2	0.27		201	27.46		2	0.27		0	0.00		0	0.00		2	0.27		0	0.00		0	0.00		0	0.00		0	0.00		1	0.14		1	0.14		0	0.00		2	0.27		4	0.55		732	97.34		20	2.66		752	1.19																																																																																				
	Launceston Central		6	0.58		1	0.10		1	0.10		0	0.00		8	0.78		3	0.29		1	0.10		0	0.00		4	0.39		9	0.87		2	0.19		1	0.10		12	1.17		0	0.00		0	0.00		0	0.00		0	0.00		162	15.74		124	12.05		286	27.79		351	34.11		29	2.82		43	4.18		1	0.10		2	0.19		426	41.40		1	0.10		1	0.10		0	0.00		2	0.19		53	5.15		12	1.17		1	0.10		66	6.41		184	17.88		17	1.65		6	0.58		5	0.49		212	20.60		4	0.39		2	0.19		1	0.10		7	0.68		4	0.39		0	0.00		0	0.00		4	0.39		1	0.10		0	0.00		0	0.00		1	0.10		2	0.19		1029	97.44		27	2.56		1056	1.67																																																																																				
	Lebrina		2	0.92		3	1.38		0	0.00		2	0.92		7	3.23		1	0.46		0	0.00		0	0.00		1	0.46		7	3.23		2	0.92		0	0.00		9	4.15		0	0.00		0	0.00		0	0.00		0	0.00		23	10.60		14	6.45		37	17.05		79	36.41		5	2.30		3	1.38		0	0.00		0	0.00		87	40.09		0	0.00		0	0.00		0	0.00		0	0.00		6	2.76		1	0.46		0	0.00		7	3.23		59	27.19		4	1.84		3	1.38		0	0.00		66	30.41		2	0.92		0	0.00		0	0.00		2	0.92		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		1	0.46		217	99.09		2	0.91		219	0.35																																																																																				
	Legana (Bass)		14	1.03		2	0.15		1	0.07		0	0.00		17	1.26		0	0.00		0	0.00		0	0.00		0	0.00		26	1.92		5	0.37		1	0.07		32	2.37		0	0.00		0	0.00		0	0.00		0	0.00		80	5.91		75	5.54		155	11.46		598	44.20		43	3.18		35	2.59		7	0.52		2	0.15		685	50.63		2	0.15		0	0.00		0	0.00		2	0.15		63	4.66		25	1.85		1	0.07		89	6.58		306	22.62		34	2.51		20	1.48		3	0.22		363	26.83		4	0.30		0	0.00		0	0.00		4	0.30		2	0.15		0	0.00		0	0.00		2	0.15		1	0.07		1	0.07		0	0.00		2	0.15		4	0.30		1353	96.85		44	3.15		1397	2.20																																																																																				
	Lilydale		10	1.56		2	0.31		0	0.00		1	0.16		13	2.02		2	0.31		0	0.00		0	0.00		2	0.31		33	5.14		2	0.31		5	0.78		40	6.23		0	0.00		1	0.16		0	0.00		1	0.16		72	11.21		55	8.57		127	19.78		181	28.19		18	2.80		22	3.43		2	0.31		0	0.00		223	34.74		0	0.00		0	0.00		0	0.00		0	0.00		18	2.80		14	2.18		1	0.16		33	5.14		161	25.08		21	3.27		4	0.62		1	0.16		187	29.13		12	1.87		4	0.62		0	0.00		16	2.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		642	96.25		25	3.75		667	1.05																																																																																				
	Mowbray		13	0.82		6	0.38		1	0.06		0	0.00		20	1.27		4	0.25		0	0.00		0	0.00		4	0.25		29	1.83		9	0.57		0	0.00		38	2.40		1	0.06		0	0.00		0	0.00		1	0.06		84	5.31		72	4.55		156	9.87		440	27.83		19	1.20		34	2.15		2	0.13		4	0.25		499	31.56		1	0.06		1	0.06		0	0.00		2	0.13		67	4.24		14	0.89		2	0.13		83	5.25		688	43.52		43	2.72		32	2.02		2	0.13		765	48.39		9	0.57		1	0.06		0	0.00		10	0.63		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		2	0.13		1581	95.47		75	4.53		1656	2.61																																																																																				
	Myrtle Park		1	2.00		0	0.00		0	0.00		0	0.00		1	2.00		0	0.00		0	0.00		0	0.00		0	0.00		3	6.00		1	2.00		0	0.00		4	8.00		0	0.00		0	0.00		0	0.00		0	0.00		6	12.00		1	2.00		7	14.00		12	24.00		3	6.00		0	0.00		0	0.00		0	0.00		15	30.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.00		1	2.00		0	0.00		3	6.00		16	32.00		0	0.00		3	6.00		0	0.00		19	38.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.00		0	0.00		1	2.00		50	96.15		2	3.85		52	0.08																																																																																				
	Nabowla		0	0.00		1	1.20		0	0.00		0	0.00		1	1.20		0	0.00		0	0.00		0	0.00		0	0.00		5	6.02		0	0.00		1	1.20		6	7.23		0	0.00		0	0.00		0	0.00		0	0.00		14	16.87		6	7.23		20	24.10		29	34.94		1	1.20		4	4.82		0	0.00		0	0.00		34	40.96		0	0.00		0	0.00		0	0.00		0	0.00		2	2.41		0	0.00		0	0.00		2	2.41		16	19.28		3	3.61		0	0.00		1	1.20		20	24.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		83	98.81		1	1.19		84	0.13																																																																																				
	Newnham		14	0.52		11	0.41		1	0.04		1	0.04		27	1.01		2	0.07		2	0.07		0	0.00		4	0.15		54	2.01		12	0.45		1	0.04		67	2.50		1	0.04		0	0.00		1	0.04		2	0.07		130	4.85		88	3.28		218	8.13		845	31.49		45	1.68		48	1.79		3	0.11		5	0.19		946	35.26		3	0.11		1	0.04		0	0.00		4	0.15		108	4.03		24	0.89		2	0.07		134	4.99		1107	41.26		85	3.17		55	2.05		10	0.37		1257	46.85		13	0.48		6	0.22		0	0.00		19	0.71		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		4	0.15		5	0.19		2683	96.23		105	3.77		2788	4.40																																																																																				
