House of Representatives - 2001 Election: Tasmania							
Swing to ALP							
By Division by Polling Place							

Bass							
							
Polling Place	Formal	O'BYRNE		BENNEWORTH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Waimea Heights	704	287	40.77	417	59.23	6.04	
Windermere	1100	772	70.18	328	29.82	-3.76	
ABSENT	3045	1936	63.58	1109	36.42	-	
POSTAL	3063	1827	59.65	1236	40.35	-	
PRE POLL	2859	1765	61.73	1094	38.27	-	
PROVISIONAL	590	438	74.24	152	25.76	-	
Division Total	63073	40530	64.26	22543	35.74	-0.25	
							
							
Franklin							
							
Polling Place	Formal	QUICK		HODGMAN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Adventure Bay	162	106	65.43	56	34.57	-0.99	
Alonnah	189	137	72.49	52	27.51	8.76	
Barnes Bay	124	85	68.55	39	31.45	6.41	
Bellerive	2845	1535	53.95	1310	46.05	2.41	
Blackmans Bay	2727	1385	50.79	1342	49.21	1.53	
Bligh	965	755	78.24	210	21.76	-0.52	
Bridgewater	2290	1834	80.09	456	19.91	-0.03	
Cambridge	937	452	48.24	485	51.76	4.78	
Clarendon Vale	653	551	84.38	102	15.62	0.28	
Cradoc	281	145	51.60	136	48.40	-0.18	
Cygnet	1577	1015	64.36	562	35.64	0.73	
Dover	510	300	58.82	210	41.18	-7.24	
Franklin	495	275	55.56	220	44.44	-4.01	
Gagebrook	1584	1190	75.13	394	24.87	-0.68	
Geeveston	710	387	54.51	323	45.49	-5.92	
Geilston Bay	1640	952	58.05	688	41.95	3.63	
Glen Huon	248	123	49.60	125	50.40	4.56	
Grove	532	257	48.31	275	51.69	-4.60	
Howden	284	165	58.10	119	41.90	2.97	
Howrah	2820	1461	51.81	1359	48.19	4.80	
Huonville	1441	745	51.70	696	48.30	-2.46	
Judbury	208	103	49.52	105	50.48	-7.36	
Kettering	439	219	49.89	220	50.11	-1.43	
Kingston	4350	2193	50.41	2157	49.59	0.99	
Kingston Beach	2637	1354	51.35	1283	48.65	3.63	
Lauderdale	2428	1396	57.50	1032	42.50	8.20	
Lindisfarne	2467	1226	49.70	1241	50.30	1.62	
Loatta Road	1593	841	52.79	752	47.21	4.76	
Margate	1471	828	56.29	643	43.71	1.30	
Middleton	258	156	60.47	102	39.53	-10.96	
Montagu Bay	1234	698	56.56	536	43.44	9.23	
Mornington	424	296	69.81	128	30.19	-5.72	
Opossum Bay	158	70	44.30	88	55.70	-3.47	
Port Huon	219	107	48.86	112	51.14	-4.50	
Ranelagh	622	350	56.27	272	43.73	2.26	
Risdon Vale	1452	1157	79.68	295	20.32	0.33	
Rokeby	1618	1243	76.82	375	23.18	2.31	
Sandfly	760	413	54.34	347	45.66	3.93	
Sandford	1050	610	58.10	440	41.90	8.04	
Seven Mile Beach	694	381	54.90	313	45.10	3.96	
Snug	844	502	59.48	342	40.52	-3.56	
South Arm	483	276	57.14	207	42.86	4.10	
Southport	181	125	69.06	56	30.94	-3.52	
Special Hospital Team 1	187	90	48.13	97	51.87	0.11	
Special Hospital Team 2	193	61	31.61	132	68.39	-0.06	
Strathblane	124	72	58.06	52	41.94	0.05	
Surges Bay	149	57	38.26	92	61.74	-5.01	
Tranmere	1815	918	50.58	897	49.42	3.22	
Warrane	1368	951	69.52	417	30.48	-1.44	
Wentworth Street	1228	705	57.41	523	42.59	4.49	
Woodbridge	343	214	62.39	129	37.61	2.50	
ABSENT	3473	2020	58.16	1453	41.84	-	
POSTAL	2653	1479	55.75	1174	44.25	-	
PRE POLL	2101	1108	52.74	993	47.26	-	
PROVISIONAL	459	316	68.85	143	31.15	-	
Division Total	62697	36390	58.04	26307	41.96	1.44	
							
							
Lyons							
							
Polling Place	Formal	ADAMS		PAGE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Avoca	210	146	69.52	64	30.48	-1.12	
Bagdad	632	403	63.77	229	36.23	-6.13	
Beaconsfield	911	623	68.39	288	31.61	-2.28	
Beauty Point	689	437	63.43	252	36.57	-1.59	
Bicheno	567	307	54.14	260	45.86	-1.11	
Bishopsbourne	92	28	30.43	64	69.57	-3.21	
Bothwell	341	187	54.84	154	45.16	-4.74	
Bracknell	416	220	52.88	196	47.12	0.21	
Brighton	1431	903	63.10	528	36.90	-2.21	
Broadmarsh	166	73	43.98	93	56.02	-6.02	
Bronte	85	50	58.82	35	41.18	0.11	
Buckland	110	55	50.00	55	50.00	-5.20	
Campania	445	212	47.64	233	52.36	-2.25	
Campbell Town	629	435	69.16	194	30.84	-3.89	
Carrick	460	199	43.26	261	56.74	-5.37	
