Senate - 2001 Election: Tasmania																																													
First Preference Votes by Group 																																													
By Polling Place																																													

Lyons (62942)																																													
		Group Total TFP			Group Total HPA			Group Total HAN			Group Total 			Group Total GRN			Group Total LP			Group Total 			Group Total DEM			Group Total ALP			Group Total LFF			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Saltwater River		3	2.97		0	0.00		4	3.96		0	0.00		11	10.89		35	34.65		0	0.00		6	5.94		40	39.60		2	1.98		0	0.00		0	0.00		101	93.52		7	6.48		108	0.18
Scamander		3	0.56		0	0.00		18	3.38		0	0.00		77	14.45		169	31.71		0	0.00		18	3.38		245	45.97		3	0.56		0	0.00		0	0.00		533	97.26		15	2.74		548	0.90
Sheffield		18	1.56		2	0.17		73	6.32		0	0.00		136	11.77		533	46.15		1	0.09		39	3.38		331	28.66		12	1.04		0	0.00		10	0.87		1155	95.14		59	4.86		1214	2.00
Sidmouth		11	2.10		2	0.38		27	5.15		1	0.19		78	14.89		225	42.94		0	0.00		23	4.39		154	29.39		3	0.57		0	0.00		0	0.00		524	96.32		20	3.68		544	0.90
Sorell		38	1.95		1	0.05		68	3.49		2	0.10		184	9.44		851	43.64		1	0.05		80	4.10		707	36.26		10	0.51		2	0.10		6	0.31		1950	96.25		76	3.75		2026	3.34
Strahan		7	1.68		0	0.00		30	7.21		0	0.00		42	10.10		171	41.11		1	0.24		5	1.20		155	37.26		2	0.48		1	0.24		2	0.48		416	95.63		19	4.37		435	0.72
Swansea		14	2.23		0	0.00		23	3.66		1	0.16		64	10.17		256	40.70		1	0.16		20	3.18		243	38.63		1	0.16		2	0.32		4	0.64		629	94.87		34	5.13		663	1.09
Taranna		3	0.92		2	0.61		15	4.59		0	0.00		63	19.27		114	34.86		0	0.00		16	4.89		111	33.94		1	0.31		1	0.31		1	0.31		327	97.90		7	2.10		334	0.55
Tea Tree		1	0.60		1	0.60		12	7.19		0	0.00		26	15.57		85	50.90		0	0.00		8	4.79		33	19.76		0	0.00		0	0.00		1	0.60		167	97.09		5	2.91		172	0.28
Triabunna		20	3.02		0	0.00		45	6.80		0	0.00		36	5.44		234	35.35		1	0.15		13	1.96		306	46.22		3	0.45		2	0.30		2	0.30		662	95.80		29	4.20		691	1.14
Tullah		2	1.08		1	0.54		7	3.78		0	0.00		18	9.73		54	29.19		0	0.00		4	2.16		96	51.89		1	0.54		2	1.08		0	0.00		185	95.85		8	4.15		193	0.32
Tunbridge		3	3.53		0	0.00		7	8.24		1	1.18		5	5.88		26	30.59		0	0.00		0	0.00		43	50.59		0	0.00		0	0.00		0	0.00		85	96.59		3	3.41		88	0.15
Tunnack		3	1.61		0	0.00		13	6.99		0	0.00		12	6.45		83	44.62		0	0.00		2	1.08		72	38.71		0	0.00		0	0.00		1	0.54		186	93.94		12	6.06		198	0.33
Wayatinah		0	0.00		1	3.13		1	3.13		0	0.00		3	9.38		13	40.63		0	0.00		3	9.38		10	31.25		1	3.13		0	0.00		0	0.00		32	96.97		1	3.03		33	0.05
Westbury		20	1.56		1	0.08		82	6.42		2	0.16		168	13.15		550	43.04		1	0.08		53	4.15		386	30.20		11	0.86		1	0.08		3	0.23		1278	93.28		92	6.72		1370	2.26
Westerway		5	2.55		0	0.00		8	4.08		0	0.00		22	11.22		63	32.14		0	0.00		2	1.02		94	47.96		2	1.02		0	0.00		0	0.00		196	91.16		19	8.84		215	0.35
Whitemore		0	0.00		0	0.00		5	4.27		0	0.00		7	5.98		78	66.67		0	0.00		3	2.56		24	20.51		0	0.00		0	0.00		0	0.00		117	98.32		2	1.68		119	0.20
Wilmot		6	2.28		1	0.38		14	5.32		0	0.00		56	21.29		113	42.97		1	0.38		6	2.28		65	24.71		0	0.00		0	0.00		1	0.38		263	97.77		6	2.23		269	0.44
Zeehan		11	2.60		3	0.71		30	7.09		0	0.00		24	5.67		131	30.97		1	0.24		9	2.13		210	49.65		2	0.47		0	0.00		2	0.47		423	96.36		16	3.64		439	0.72
Special Hospitals		12	6.45		1	0.54		6	3.23		0	0.00		6	3.23		61	32.80		1	0.54		9	4.84		84	45.16		4	2.15		2	1.08		0	0.00		186	97.38		5	2.62		191	0.31
Total Ordinary		892	1.79		69	0.14		2362	4.73		71	0.14		5388	10.79		19175	38.41		83	0.17		2009	4.02		19350	38.76		343	0.69		47	0.09		135	0.27		49924	95.72		2235	4.28		52159	85.98
ABSENT		59	1.54		5	0.13		157	4.09		4	0.10		587	15.31		1413	36.85		6	0.16		239	6.23		1336	34.85		14	0.37		4	0.10		10	0.26		3834	98.21		70	1.79		3904	6.44
POSTAL		42	1.64		1	0.04		167	6.51		0	0.00		260	10.14		1018	39.70		2	0.08		104	4.06		945	36.86		14	0.55		5	0.20		6	0.23		2564	99.07		24	0.93		2588	4.27
PRE_POLL		36	2.31		1	0.06		81	5.20		0	0.00		219	14.07		652	41.88		1	0.06		88	5.65		458	29.42		12	0.77		4	0.26		5	0.32		1557	98.54		23	1.46		1580	2.60
PROVISIONAL		16	3.82		1	0.24		25	5.97		1	0.24		42	10.02		110	26.25		1	0.24		18	4.30		198	47.26		5	1.19		2	0.48		0	0.00		419	97.22		12	2.78		431	0.71
Division Summary		1045	1.79		77	0.13		2792	4.79		76	0.13		6496	11.14		22368	38.37		93	0.16		2458	4.22		22287	38.23		388	0.67		62	0.11		156	0.27		58298	96.1		2364	3.9		60662	96.38
