Senate - 2001 Election: Tasmania																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												

Franklin (67119)																																																																																																																																																																																																																																																												
			 A Tasmania First Party															 B Hope Party Australia												 C Pauline Hanson's One Nation												 D 												 E Australian Greens									 F Liberal Party of Australia - Tasmanian Division																		 G 												 H Australian Democrats												 I Australian Labor Party (Tasmanian Branch)															 J liberals for forests												 K Republican Party of Australia												Ungrouped																																																																																																												
	    		TICKET VOTES			CRACK			JACKSON			PRESSER			Group Total			TICKET VOTES			BRISTOW			PETHERBRIDGE-DE TISSERA			Group Total			TICKET VOTES			BOAG			STOKES			Group Total			TICKET VOTES			BONNER			HOWARD			Group Total			TICKET VOTES			# BROWN			Group Total			TICKET VOTES			# CALVERT			# WATSON			# COLBECK			PARRY			Group Total			TICKET VOTES			BAINBRIDGE			CLEARY			Group Total			TICKET VOTES			BUTLER			TOOHEY			Group Total			TICKET VOTES			# MACKAY			# SHERRY			BILYK			Group Total			TICKET VOTES			PULLINGER			THOMAS			Group Total			TICKET VOTES			CONSANDINE			LAWATSCH			Group Total			LARNER			MARMARINOS			LANE			LOCKETT			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																							
	    					Merilyn			David			John									James Tate			Shamara									Bronwyn			Peter									Stephen			Geoff									Bob									Paul			John			Richard			Stephen									Alex			Sarah									Debbie			Brendan									Sue			Nick			Catryna									Peter			Michael									Peter			Bert						Rob			John Victor			Helen			Eric																																																																																																			
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																						
	Huonville		15	1.04		4	0.28		0	0.00		0	0.00		19	1.32		2	0.14		0	0.00		0	0.00		2	0.14		36	2.49		6	0.42		0	0.00		42	2.91		0	0.00		0	0.00		2	0.14		2	0.14		126	8.73		80	5.54		206	14.27		523	36.22		61	4.22		3	0.21		2	0.14		6	0.42		595	41.20		1	0.07		1	0.07		0	0.00		2	0.14		59	4.09		17	1.18		0	0.00		76	5.26		408	28.25		44	3.05		27	1.87		3	0.21		482	33.38		12	0.83		1	0.07		0	0.00		13	0.90		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		1	0.07		0	0.00		3	0.21		4	0.28		1444	95.06		75	4.94		1519	2.35																																																																																				
	Judbury		0	0.00		1	0.47		0	0.00		0	0.00		1	0.47		1	0.47		0	0.00		0	0.00		1	0.47		2	0.95		0	0.00		0	0.00		2	0.95		0	0.00		0	0.00		1	0.47		1	0.47		32	15.17		20	9.48		52	24.64		84	39.81		17	8.06		0	0.00		0	0.00		1	0.47		102	48.34		0	0.00		0	0.00		0	0.00		0	0.00		3	1.42		1	0.47		0	0.00		4	1.90		37	17.54		6	2.84		3	1.42		0	0.00		46	21.80		2	0.95		0	0.00		0	0.00		2	0.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		211	98.60		3	1.40		214	0.33																																																																																				
	Kettering		3	0.69		0	0.00		0	0.00		0	0.00		3	0.69		0	0.00		0	0.00		0	0.00		0	0.00		12	2.75		0	0.00		1	0.23		13	2.97		0	0.00		0	0.00		0	0.00		0	0.00		65	14.87		62	14.19		127	29.06		152	34.78		25	5.72		2	0.46		0	0.00		1	0.23		180	41.19		0	0.00		0	0.00		0	0.00		0	0.00		13	2.97		5	1.14		0	0.00		18	4.12		73	16.70		11	2.52		5	1.14		4	0.92		93	21.28		2	0.46		0	0.00		0	0.00		2	0.46		1	0.23		0	0.00		0	0.00		1	0.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		437	96.90		14	3.10		451	0.70																																																																																				
	Kingston		20	0.46		8	0.18		1	0.02		2	0.05		31	0.71		5	0.11		1	0.02		0	0.00		6	0.14		53	1.21		12	0.27		3	0.07		68	1.55		7	0.16		5	0.11		1	0.02		13	0.30		417	9.50		307	6.99		724	16.49		1654	37.68		165	3.76		24	0.55		8	0.18		14	0.32		1865	42.48		5	0.11		2	0.05		0	0.00		7	0.16		201	4.58		68	1.55		2	0.05		271	6.17		1133	25.81		131	2.98		66	1.50		36	0.82		1366	31.12		13	0.30		3	0.07		0	0.00		16	0.36		5	0.11		0	0.00		0	0.00		5	0.11		0	0.00		0	0.00		5	0.11		13	0.30		18	0.41		4390	97.84		97	2.16		4487	6.94																																																																																				
	Kingston Beach		9	0.34		4	0.15		2	0.08		1	0.04		16	0.61		3	0.11		0	0.00		0	0.00		3	0.11		35	1.32		16	0.61		1	0.04		52	1.97		4	0.15		2	0.08		0	0.00		6	0.23		298	11.28		310	11.73		608	23.01		974	36.87		106	4.01		12	0.45		5	0.19		5	0.19		1102	41.71		0	0.00		0	0.00		1	0.04		1	0.04		119	4.50		41	1.55		2	0.08		162	6.13		532	20.14		75	2.84		38	1.44		25	0.95		670	25.36		8	0.30		5	0.19		0	0.00		13	0.49		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		3	0.11		4	0.15		8	0.30		2642	98.33		45	1.67		2687	4.15																																																																																				
	Lauderdale		9	0.37		3	0.12		0	0.00		0	0.00		12	0.49		3	0.12		0	0.00		0	0.00		3	0.12		35	1.44		16	0.66		2	0.08		53	2.17		0	0.00		2	0.08		0	0.00		2	0.08		226	9.27		206	8.45		432	17.71		831	34.07		114	4.67		7	0.29		3	0.12		2	0.08		957	39.24		1	0.04		0	0.00		0	0.00		1	0.04		124	5.08		25	1.03		4	0.16		153	6.27		682	27.96		63	2.58		51	2.09		13	0.53		809	33.17		4	0.16		2	0.08		1	0.04		7	0.29		1	0.04		1	0.04		0	0.00		2	0.08		1	0.04		1	0.04		3	0.12		3	0.12		8	0.33		2439	97.44		64	2.56		2503	3.87																																																																																				
	Lindisfarne		15	0.61		2	0.08		0	0.00		0	0.00		17	0.69		0	0.00		0	0.00		0	0.00		0	0.00		24	0.98		7	0.29		3	0.12		34	1.39		0	0.00		1	0.04		0	0.00		1	0.04		209	8.52		205	8.36		414	16.88		997	40.64		127	5.18		16	0.65		4	0.16		2	0.08		1146	46.72		0	0.00		0	0.00		1	0.04		1	0.04		96	3.91		32	1.30		3	0.12		131	5.34		578	23.56		49	2.00		39	1.59		10	0.41		676	27.56		8	0.33		2	0.08		0	0.00		10	0.41		2	0.08		0	0.00		1	0.04		3	0.12		0	0.00		0	0.00		10	0.41		10	0.41		20	0.82		2453	97.81		55	2.19		2508	3.88																																																																																				
	Loatta Road		11	0.69		0	0.00		3	0.19		2	0.13		16	1.01		0	0.00		0	0.00		0	0.00		0	0.00		15	0.95		3	0.19		1	0.06		19	1.20		2	0.13		4	0.25		0	0.00		6	0.38		127	8.02		156	9.85		283	17.87		588	37.12		65	4.10		12	0.76		8	0.51		3	0.19		676	42.68		1	0.06		0	0.00		0	0.00		1	0.06		60	3.79		31	1.96		1	0.06		92	5.81		380	23.99		37	2.34		34	2.15		7	0.44		458	28.91		5	0.32		0	0.00		0	0.00		5	0.32		0	0.00		1	0.06		0	0.00		1	0.06		0	0.00		1	0.06		10	0.63		16	1.01		27	1.70		1584	97.54		40	2.46		1624	2.51																																																																																				
	Margate		6	0.41		4	0.27		2	0.14		0	0.00		12	0.82		0	0.00		0	0.00		0	0.00		0	0.00		28	1.90		10	0.68		1	0.07		39	2.65		0	0.00		2	0.14		0	0.00		2	0.14		224	15.22		160	10.87		384	26.09		486	33.02		58	3.94		7	0.48		1	0.07		1	0.07		553	37.57		0	0.00		0	0.00		0	0.00		0	0.00		55	3.74		12	0.82		3	0.20		70	4.76		357	24.25		24	1.63		14	0.95		4	0.27		399	27.11		4	0.27		3	0.20		0	0.00		7	0.48		2	0.14		0	0.00		0	0.00		2	0.14		0	0.00		1	0.07		0	0.00		3	0.20		4	0.27		1472	96.84		48	3.16		1520	2.35																																																																																				
	Middleton		1	0.38		2	0.76		0	0.00		0	0.00		3	1.14		0	0.00		0	0.00		0	0.00		0	0.00		3	1.14		2	0.76		0	0.00		5	1.90		0	0.00		0	0.00		0	0.00		0	0.00		43	16.35		22	8.37		65	24.71		72	27.38		10	3.80		2	0.76		0	0.00		1	0.38		85	32.32		0	0.00		0	0.00		0	0.00		0	0.00		3	1.14		4	1.52		0	0.00		7	2.66		81	30.80		10	3.80		6	2.28		0	0.00		97	36.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.38		1	0.38		263	97.77		6	2.23		269	0.42																																																																																				
