State;Division;Polling Place;Count;Ballot Position;Candidate Status;Vote Distributed;Vote;Vote Pc;Elected Swing;Exhausted Transfer;Exhausted
NSW;Banks;Picnic Point;1;5;R;0;65;48.87;;;
NSW;Banks;Picnic Point;1;6;R;0;2;1.50;;;
NSW;Banks;Picnic Point North;1;1;R;0;66;3.24;;;
NSW;Banks;Picnic Point North;1;2;R;0;74;3.64;;;
NSW;Banks;Picnic Point North;1;3;R;0;1048;51.50;;;
NSW;Banks;Picnic Point North;1;4;R;0;73;3.59;;;
NSW;Banks;Picnic Point North;1;5;R;0;751;36.90;;;
NSW;Banks;Picnic Point North;1;6;R;0;23;1.13;;;
NSW;Banks;Punchbowl (Banks);1;1;R;0;99;4.48;;;
NSW;Banks;Punchbowl (Banks);1;2;R;0;27;1.22;;;
NSW;Banks;Punchbowl (Banks);1;3;R;0;1553;70.21;;;
NSW;Banks;Punchbowl (Banks);1;4;R;0;47;2.12;;;
NSW;Banks;Punchbowl (Banks);1;5;R;0;473;21.38;;;
NSW;Banks;Punchbowl (Banks);1;6;R;0;13;0.59;;;
NSW;Banks;Revesby;1;1;R;0;55;3.74;;;
NSW;Banks;Revesby;1;2;R;0;21;1.43;;;
NSW;Banks;Revesby;1;3;R;0;965;65.56;;;
NSW;Banks;Revesby;1;4;R;0;43;2.92;;;
NSW;Banks;Revesby;1;5;R;0;377;25.61;;;
NSW;Banks;Revesby;1;6;R;0;11;0.75;;;
NSW;Banks;Revesby North;1;1;R;0;119;3.72;;;
NSW;Banks;Revesby North;1;2;R;0;59;1.85;;;
NSW;Banks;Revesby North;1;3;R;0;1956;61.18;;;
NSW;Banks;Revesby North;1;4;R;0;134;4.19;;;
NSW;Banks;Revesby North;1;5;R;0;902;28.21;;;
NSW;Banks;Revesby North;1;6;R;0;27;0.84;;;
NSW;Banks;Revesby South;1;1;R;0;105;4.26;;;
NSW;Banks;Revesby South;1;2;R;0;57;2.31;;;
NSW;Banks;Revesby South;1;3;R;0;1428;57.93;;;
NSW;Banks;Revesby South;1;4;R;0;70;2.84;;;
NSW;Banks;Revesby South;1;5;R;0;779;31.60;;;
NSW;Banks;Revesby South;1;6;R;0;26;1.05;;;
NSW;Banks;Riverwood North;1;1;R;0;59;3.58;;;
NSW;Banks;Riverwood North;1;2;R;0;35;2.13;;;
NSW;Banks;Riverwood North;1;3;R;0;1203;73.09;;;
NSW;Banks;Riverwood North;1;4;R;0;43;2.61;;;
NSW;Banks;Riverwood North;1;5;R;0;294;17.86;;;
NSW;Banks;Riverwood North;1;6;R;0;12;0.73;;;
NSW;Banks;Riverwood South;1;1;R;0;24;1.80;;;
NSW;Banks;Riverwood South;1;2;R;0;30;2.25;;;
NSW;Banks;Riverwood South;1;3;R;0;749;56.27;;;
NSW;Banks;Riverwood South;1;4;R;0;34;2.55;;;
NSW;Banks;Riverwood South;1;5;R;0;486;36.51;;;
NSW;Banks;Riverwood South;1;6;R;0;8;0.60;;;
NSW;Banks;Special Hospital Team 1;1;1;R;0;2;1.21;;;
NSW;Banks;Special Hospital Team 1;1;2;R;0;1;0.61;;;
NSW;Banks;Special Hospital Team 1;1;3;R;0;92;55.76;;;
NSW;Banks;Special Hospital Team 1;1;4;R;0;3;1.82;;;
NSW;Banks;Special Hospital Team 1;1;5;R;0;66;40.00;;;
NSW;Banks;Special Hospital Team 1;1;6;R;0;1;0.61;;;
NSW;Banks;Sydney (Banks);1;1;R;0;3;4.29;;;
NSW;Banks;Sydney (Banks);1;2;R;0;2;2.86;;;
NSW;Banks;Sydney (Banks);1;3;R;0;37;52.86;;;
NSW;Banks;Sydney (Banks);1;4;R;0;2;2.86;;;
NSW;Banks;Sydney (Banks);1;5;R;0;24;34.29;;;
NSW;Banks;Sydney (Banks);1;6;R;0;2;2.86;;;
NSW;Banks;ABSENT;1;1;R;0;212;4.62;;;
NSW;Banks;ABSENT;1;2;R;0;105;2.29;;;
NSW;Banks;ABSENT;1;3;R;0;2412;52.61;;;
NSW;Banks;ABSENT;1;4;R;0;212;4.62;;;
NSW;Banks;ABSENT;1;5;R;0;1550;33.81;;;
NSW;Banks;ABSENT;1;6;R;0;94;2.05;;;
NSW;Banks;POSTAL;1;1;R;0;57;2.81;;;
NSW;Banks;POSTAL;1;2;R;0;42;2.07;;;
NSW;Banks;POSTAL;1;3;R;0;1120;55.23;;;
NSW;Banks;POSTAL;1;4;R;0;69;3.40;;;
NSW;Banks;POSTAL;1;5;R;0;710;35.01;;;
NSW;Banks;POSTAL;1;6;R;0;30;1.48;;;
NSW;Banks;PRE POLL;1;1;R;0;59;3.02;;;
NSW;Banks;PRE POLL;1;2;R;0;57;2.92;;;
NSW;Banks;PRE POLL;1;3;R;0;932;47.75;;;
NSW;Banks;PRE POLL;1;4;R;0;84;4.30;;;
NSW;Banks;PRE POLL;1;5;R;0;792;40.57;;;
NSW;Banks;PRE POLL;1;6;R;0;28;1.43;;;
NSW;Banks;PROVISIONAL;1;1;R;0;12;4.84;;;
NSW;Banks;PROVISIONAL;1;2;R;0;2;0.81;;;
