House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Gwydir (84602)											
		Candidate		"ANDERSON, John"		             	"MURNAIN, Anne"		              	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
		"WEBER, Harry (LEF)"	6	6	100.00		0	0.00		6	
		"EDWARDS, Gary (IND)"	1	1	100.00		0	0.00		1	
		"O'REGAN, Bevan (IND)"	3	3	100.00		0	0.00		3	
		Total	125	440	71.78		173	28.22		613	

	Bellata										
			1st Prefs	140	92.11		12	7.89		152	
		"WITTEN, Richard (CEC)"	2	1	50.00		1	50.00		2	
		"HAIGH, Bruce (IND)"	13	6	46.15		7	53.85		13	
		"GRAHAM, Ken (DEM)"	2	1	50.00		1	50.00		2	
		"ROGERS, Colin (HAN)"	25	14	56.00		11	44.00		25	
		"STRACHAN, Neil (GRN)"	2	0	0.00		2	100.00		2	
		"WEBER, Harry (LEF)"	3	2	66.67		1	33.33		3	
		"EDWARDS, Gary (IND)"	2	2	100.00		0	0.00		2	
		"O'REGAN, Bevan (IND)"	19	14	73.68		5	26.32		19	
		Total	68	180	81.82		40	18.18		220	

	Binnaway										
			1st Prefs	165	56.51		127	43.49		292	
		"WITTEN, Richard (CEC)"	18	11	61.11		7	38.89		18	
		"HAIGH, Bruce (IND)"	35	20	57.14		15	42.86		35	
		"GRAHAM, Ken (DEM)"	8	5	62.50		3	37.50		8	
		"ROGERS, Colin (HAN)"	75	29	38.67		46	61.33		75	
		"STRACHAN, Neil (GRN)"	9	3	33.33		6	66.67		9	
		"WEBER, Harry (LEF)"	10	5	50.00		5	50.00		10	
		"EDWARDS, Gary (IND)"	1	0	0.00		1	100.00		1	
		"O'REGAN, Bevan (IND)"	3	1	33.33		2	66.67		3	
		Total	159	239	52.99		212	47.01		451	

	Blackville										
			1st Prefs	67	94.37		4	5.63		71	
		"WITTEN, Richard (CEC)"	4	3	75.00		1	25.00		4	
		"HAIGH, Bruce (IND)"	1	1	100.00		0	0.00		1	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	5	0	0.00		5	100.00		5	
