Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Kingsford Smith (86647)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Maroubra East		36	3.43		10	0.95		4	0.38		1	0.10		12	1.14		2	0.19		56	5.34		9	0.86		5	0.48		252	24.02		3	0.29		0	0.00		6	0.57		0	0.00		0	0.00		1	0.10		579	55.20		8	0.76		4	0.38		56	5.34		0	0.00		0	0.00		4	0.38		1	0.10		1049	96.86		34	3.14		1083	1.32
Maroubra Junction		136	3.22		50	1.18		60	1.42		2	0.05		75	1.77		4	0.09		257	6.08		32	0.76		13	0.31		1675	39.64		14	0.33		4	0.09		25	0.59		0	0.00		4	0.09		6	0.14		1624	38.43		19	0.45		8	0.19		198	4.69		5	0.12		1	0.02		14	0.33		0	0.00		4226	94.27		257	5.73		4483	5.48
Mascot		93	5.42		13	0.76		14	0.82		2	0.12		50	2.91		1	0.06		53	3.09		13	0.76		8	0.47		964	56.18		6	0.35		4	0.23		14	0.82		1	0.06		1	0.06		0	0.00		394	22.96		14	0.82		1	0.06		65	3.79		0	0.00		0	0.00		5	0.29		0	0.00		1716	95.23		86	4.77		1802	2.20
Mascot East		135	4.68		30	1.04		13	0.45		3	0.10		72	2.50		2	0.07		93	3.22		17	0.59		9	0.31		1634	56.64		13	0.45		4	0.14		15	0.52		8	0.28		1	0.03		8	0.28		707	24.51		16	0.55		8	0.28		88	3.05		0	0.00		2	0.07		7	0.24		0	0.00		2885	94.04		183	5.96		3068	3.75
Mascot North		40	4.85		5	0.61		1	0.12		0	0.00		19	2.31		2	0.24		34	4.13		5	0.61		0	0.00		498	60.44		4	0.49		0	0.00		8	0.97		0	0.00		0	0.00		0	0.00		175	21.24		9	1.09		3	0.36		18	2.18		1	0.12		0	0.00		2	0.24		0	0.00		824	93.64		56	6.36		880	1.08
Matraville		88	6.52		12	0.89		9	0.67		1	0.07		24	1.78		2	0.15		62	4.59		4	0.30		2	0.15		642	47.56		3	0.22		0	0.00		7	0.52		0	0.00		0	0.00		2	0.15		429	31.78		10	0.74		2	0.15		44	3.26		0	0.00		0	0.00		7	0.52		0	0.00		1350	95.07		70	4.93		1420	1.74
Nagle Park		85	4.46		28	1.47		11	0.58		0	0.00		29	1.52		3	0.16		110	5.77		20	1.05		5	0.26		778	40.82		10	0.52		1	0.05		9	0.47		1	0.05		2	0.10		3	0.16		708	37.15		6	0.31		1	0.05		87	4.56		1	0.05		1	0.05		7	0.37		0	0.00		1906	94.26		116	5.74		2022	2.47
Ocean View Park		130	3.98		23	0.70		14	0.43		1	0.03		64	1.96		7	0.21		206	6.30		36	1.10		9	0.28		1320	40.37		20	0.61		2	0.06		21	0.64		1	0.03		1	0.03		4	0.12		1174	35.90		23	0.70		5	0.15		196	5.99		0	0.00		0	0.00		12	0.37		1	0.03		3270	94.45		192	5.55		3462	4.23
Peters Corner (Kingsford Smith)		35	2.46		27	1.90		9	0.63		0	0.00		20	1.41		5	0.35		159	11.17		16	1.12		3	0.21		505	35.49		7	0.49		0	0.00		5	0.35		0	0.00		1	0.07		1	0.07		464	32.61		5	0.35		2	0.14		148	10.40		5	0.35		1	0.07		5	0.35		0	0.00		1423	96.08		58	3.92		1481	1.81
Prince Henry		61	9.43		7	1.08		2	0.31		0	0.00		9	1.39		0	0.00		26	4.02		2	0.31		1	0.15		298	46.06		0	0.00		2	0.31		5	0.77		1	0.15		1	0.15		2	0.31		200	30.91		3	0.46		4	0.62		19	2.94		0	0.00		1	0.15		3	0.46		0	0.00		647	93.90		42	6.10		689	0.84
Prince Of Wales		7	2.56		3	1.10		2	0.73		0	0.00		11	4.03		0	0.00		22	8.06		0	0.00		1	0.37		112	41.03		0	0.00		0	0.00		2	0.73		0	0.00		0	0.00		0	0.00		94	34.43		1	0.37		1	0.37		17	6.23		0	0.00		0	0.00		0	0.00		0	0.00		273	97.85		6	2.15		279	0.34
