Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Eden-Monaro (85815)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Moruya		213	7.73		38	1.38		2	0.07		2	0.07		63	2.29		7	0.25		149	5.41		29	1.05		2	0.07		925	33.58		18	0.65		0	0.00		15	0.54		0	0.00		1	0.04		1	0.04		1072	38.91		8	0.29		4	0.15		192	6.97		0	0.00		2	0.07		7	0.25		5	0.18		2755	96.67		95	3.33		2850	3.47
Narooma		140	7.46		30	1.60		2	0.11		0	0.00		13	0.69		4	0.21		92	4.90		16	0.85		1	0.05		609	32.46		6	0.32		2	0.11		16	0.85		1	0.05		1	0.05		2	0.11		821	43.76		7	0.37		2	0.11		100	5.33		0	0.00		1	0.05		9	0.48		1	0.05		1876	96.95		59	3.05		1935	2.35
Nelligen		31	12.40		1	0.40		1	0.40		0	0.00		3	1.20		1	0.40		6	2.40		5	2.00		1	0.40		63	25.20		2	0.80		0	0.00		5	2.00		0	0.00		0	0.00		0	0.00		110	44.00		3	1.20		0	0.00		18	7.20		0	0.00		0	0.00		0	0.00		0	0.00		250	96.15		10	3.85		260	0.32
Nimmitabel		36	11.46		3	0.96		0	0.00		0	0.00		3	0.96		0	0.00		8	2.55		0	0.00		1	0.32		98	31.21		0	0.00		0	0.00		1	0.32		0	0.00		0	0.00		0	0.00		148	47.13		0	0.00		1	0.32		15	4.78		0	0.00		0	0.00		0	0.00		0	0.00		314	99.05		3	0.95		317	0.39
Numeralla		15	11.63		0	0.00		0	0.00		0	0.00		2	1.55		0	0.00		5	3.88		0	0.00		0	0.00		32	24.81		1	0.78		2	1.55		0	0.00		0	0.00		0	0.00		0	0.00		64	49.61		2	1.55		0	0.00		5	3.88		0	0.00		0	0.00		1	0.78		0	0.00		129	96.27		5	3.73		134	0.16
Pambula		73	4.80		17	1.12		0	0.00		1	0.07		19	1.25		3	0.20		70	4.60		17	1.12		3	0.20		430	28.27		8	0.53		0	0.00		16	1.05		0	0.00		2	0.13		5	0.33		747	49.11		8	0.53		0	0.00		95	6.25		0	0.00		1	0.07		4	0.26		2	0.13		1521	97.50		39	2.50		1560	1.90
Perisher Valley		3	13.04		0	0.00		0	0.00		0	0.00		0	0.00		1	4.35		3	13.04		0	0.00		0	0.00		3	13.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	47.83		0	0.00		0	0.00		1	4.35		0	0.00		0	0.00		1	4.35		0	0.00		23	100.00		0	0.00		23	0.03
Quaama		45	13.39		3	0.89		0	0.00		0	0.00		3	0.89		1	0.30		27	8.04		1	0.30		0	0.00		99	29.46		3	0.89		0	0.00		2	0.60		0	0.00		0	0.00		0	0.00		103	30.65		0	0.00		0	0.00		49	14.58		0	0.00		0	0.00		0	0.00		0	0.00		336	97.11		10	2.89		346	0.42
Queanbeyan		73	4.12		25	1.41		2	0.11		0	0.00		39	2.20		2	0.11		139	7.84		12	0.68		5	0.28		705	39.79		10	0.56		1	0.06		15	0.85		0	0.00		1	0.06		1	0.06		655	36.96		6	0.34		1	0.06		75	4.23		0	0.00		0	0.00		5	0.28		0	0.00		1772	95.01		93	4.99		1865	2.27
Queanbeyan Central		105	4.85		38	1.76		1	0.05		0	0.00		37	1.71		4	0.18		215	9.94		14	0.65		2	0.09		815	37.68		6	0.28		3	0.14		16	0.74		0	0.00		7	0.32		5	0.23		780	36.06		14	0.65		6	0.28		80	3.70		2	0.09		2	0.09		10	0.46		1	0.05		2163	95.08		112	4.92		2275	2.77
