Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Fowler (82745)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mount Pritchard		186	6.30		38	1.29		65	2.20		1	0.03		95	3.22		2	0.07		99	3.35		19	0.64		10	0.34		1451	49.12		14	0.47		0	0.00		21	0.71		1	0.03		4	0.14		11	0.37		843	28.54		23	0.78		6	0.20		34	1.15		1	0.03		2	0.07		28	0.95		0	0.00		2954	92.40		243	7.60		3197	4.12
Mount Pritchard East		119	6.84		36	2.07		25	1.44		1	0.06		67	3.85		2	0.11		46	2.64		9	0.52		9	0.52		955	54.85		5	0.29		1	0.06		11	0.63		0	0.00		1	0.06		2	0.11		379	21.77		22	1.26		2	0.11		29	1.67		1	0.06		2	0.11		17	0.98		0	0.00		1741	93.30		125	6.70		1866	2.40
Sadleir		110	8.61		13	1.02		22	1.72		3	0.23		36	2.82		0	0.00		24	1.88		6	0.47		7	0.55		780	61.03		4	0.31		2	0.16		12	0.94		0	0.00		0	0.00		1	0.08		212	16.59		12	0.94		4	0.31		15	1.17		1	0.08		2	0.16		12	0.94		0	0.00		1278	93.08		95	6.92		1373	1.77
St Johns Park		86	2.58		36	1.08		86	2.58		4	0.12		94	2.82		4	0.12		103	3.09		22	0.66		6	0.18		2091	62.66		4	0.12		5	0.15		14	0.42		4	0.12		7	0.21		1	0.03		698	20.92		37	1.11		2	0.06		19	0.57		1	0.03		3	0.09		10	0.30		0	0.00		3337	93.95		215	6.05		3552	4.57
Sydney (Fowler)		0	0.00		2	2.33		6	6.98		0	0.00		3	3.49		0	0.00		3	3.49		0	0.00		0	0.00		38	44.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	24.42		4	4.65		1	1.16		8	9.30		0	0.00		0	0.00		0	0.00		0	0.00		86	94.51		5	5.49		91	0.12
Villawood		101	4.89		24	1.16		72	3.48		1	0.05		67	3.24		2	0.10		69	3.34		9	0.44		9	0.44		1261	61.01		10	0.48		0	0.00		10	0.48		0	0.00		0	0.00		1	0.05		366	17.71		19	0.92		3	0.15		35	1.69		1	0.05		0	0.00		7	0.34		0	0.00		2067	94.08		130	5.92		2197	2.83
Villawood North		65	4.13		13	0.83		56	3.56		3	0.19		78	4.95		2	0.13		34	2.16		4	0.25		8	0.51		973	61.78		3	0.19		1	0.06		4	0.25		2	0.13		0	0.00		1	0.06		270	17.14		16	1.02		3	0.19		23	1.46		2	0.13		4	0.25		10	0.63		0	0.00		1575	91.84		140	8.16		1715	2.21
Wakeley (Fowler)		51	4.81		26	2.45		35	3.30		1	0.09		29	2.74		2	0.19		19	1.79		5	0.47		2	0.19		617	58.21		0	0.00		2	0.19		6	0.57		0	0.00		0	0.00		1	0.09		233	21.98		13	1.23		1	0.09		12	1.13		0	0.00		0	0.00		5	0.47		0	0.00		1060	93.97		68	6.03		1128	1.45
Warwick Farm		87	6.43		23	1.70		16	1.18		0	0.00		55	4.07		2	0.15		22	1.63		20	1.48		7	0.52		831	61.46		5	0.37		2	0.15		10	0.74		1	0.07		1	0.07		1	0.07		229	16.94		14	1.04		2	0.15		14	1.04		0	0.00		0	0.00		10	0.74		0	0.00		1352	94.08		85	5.92		1437	1.85
Yennora (Fowler)		12	3.65		3	0.91		7	2.13		1	0.30		15	4.56		1	0.30		7	2.13		2	0.61		2	0.61		176	53.50		0	0.00		1	0.30		1	0.30		0	0.00		0	0.00		0	0.00		88	26.75		3	0.91		0	0.00		5	1.52		0	0.00		1	0.30		4	1.22		0	0.00		329	92.94		25	7.06		354	0.46
Total Ordinary		2719	4.27		714	1.12		2037	3.20		64	0.10		2424	3.81		53	0.08		1593	2.50		336	0.53		230	0.36		38316	60.20		180	0.28		71	0.11		272	0.43		24	0.04		48	0.08		64	0.10		12500	19.64		679	1.07		87	0.14		831	1.31		22	0.03		37	0.06		339	0.53		3	0.00		63643	93.20		4647	6.80		68290	87.92
ABSENT		187	3.97		80	1.70		59	1.25		4	0.08		250	5.30		6	0.13		160	3.39		45	0.95		7	0.15		2114	44.85		43	0.91		5	0.11		52	1.10		1	0.02		6	0.13		4	0.08		1417	30.07		94	1.99		5	0.11		132	2.80		2	0.04		4	0.08		36	0.76		0	0.00		4713	95.10		243	4.90		4956	6.38
POSTAL		101	6.73		38	2.53		20	1.33		1	0.07		47	3.13		2	0.13		34	2.27		2	0.13		2	0.13		739	49.27		3	0.20		0	0.00		2	0.13		0	0.00		1	0.07		2	0.13		452	30.13		22	1.47		0	0.00		11	0.73		0	0.00		1	0.07		20	1.33		0	0.00		1500	97.91		32	2.09		1532	1.97
PRE_POLL		116	6.05		26	1.36		51	2.66		6	0.31		131	6.83		4	0.21		68	3.55		10	0.52		4	0.21		943	49.17		15	0.78		3	0.16		7	0.36		3	0.16		2	0.10		4	0.21		425	22.16		48	2.50		6	0.31		34	1.77		0	0.00		0	0.00		12	0.63		0	0.00		1918	95.85		83	4.15		2001	2.58
PROVISIONAL		18	2.17		7	0.84		19	2.29		0	0.00		62	7.48		1	0.12		13	1.57		4	0.48		2	0.24		540	65.14		2	0.24		2	0.24		7	0.84		0	0.00		0	0.00		0	0.00		119	14.35		18	2.17		4	0.48		8	0.97		0	0.00		0	0.00		3	0.36		0	0.00		829	92.63		66	7.37		895	1.15
Division Summary		3141	4.33		865	1.19		2186	3.01		75	0.10		2914	4.01		66	0.09		1868	2.57		397	0.55		245	0.34		42652	58.75		243	0.33		81	0.11		340	0.47		28	0.04		57	0.08		74	0.10		14913	20.54		861	1.19		102	0.14		1016	1.40		24	0.03		42	0.06		410	0.56		3	0.00		72603	93.47		5071	6.53		77674	93.87
