Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Hume (85640)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Goulburn North		178	11.54		27	1.75		4	0.26		0	0.00		32	2.07		1	0.06		72	4.67		16	1.04		4	0.26		546	35.39		11	0.71		1	0.06		13	0.84		0	0.00		3	0.19		3	0.19		571	37.01		10	0.65		1	0.06		41	2.66		0	0.00		0	0.00		9	0.58		0	0.00		1543	95.66		70	4.34		1613	1.96
Goulburn South		257	10.57		27	1.11		1	0.04		0	0.00		64	2.63		1	0.04		111	4.57		30	1.23		3	0.12		922	37.93		16	0.66		1	0.04		17	0.70		0	0.00		1	0.04		3	0.12		881	36.24		22	0.90		3	0.12		61	2.51		0	0.00		0	0.00		8	0.33		2	0.08		2431	95.52		114	4.48		2545	3.10
Goulburn West		149	8.62		45	2.60		1	0.06		1	0.06		25	1.45		2	0.12		100	5.78		25	1.45		2	0.12		571	33.02		13	0.75		3	0.17		16	0.93		0	0.00		4	0.23		4	0.23		715	41.35		7	0.40		2	0.12		33	1.91		0	0.00		3	0.17		7	0.40		1	0.06		1729	96.54		62	3.46		1791	2.18
Grabben Gullen		16	8.29		3	1.55		0	0.00		0	0.00		1	0.52		0	0.00		3	1.55		0	0.00		0	0.00		24	12.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		143	74.09		0	0.00		0	0.00		1	0.52		0	0.00		1	0.52		1	0.52		0	0.00		193	96.02		8	3.98		201	0.24
Gundaroo		16	3.58		6	1.34		1	0.22		1	0.22		3	0.67		2	0.45		49	10.96		3	0.67		2	0.45		160	35.79		3	0.67		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		161	36.02		1	0.22		0	0.00		38	8.50		0	0.00		0	0.00		0	0.00		0	0.00		447	98.24		8	1.76		455	0.55
Gunning		47	8.58		11	2.01		0	0.00		0	0.00		5	0.91		0	0.00		42	7.66		1	0.18		0	0.00		134	24.45		1	0.18		0	0.00		7	1.28		0	0.00		0	0.00		0	0.00		288	52.55		0	0.00		0	0.00		11	2.01		0	0.00		1	0.18		0	0.00		0	0.00		548	97.34		15	2.66		563	0.68
Harden		74	7.96		8	0.86		0	0.00		0	0.00		14	1.51		1	0.11		12	1.29		5	0.54		2	0.22		375	40.32		9	0.97		1	0.11		9	0.97		0	0.00		0	0.00		0	0.00		403	43.33		4	0.43		0	0.00		10	1.08		0	0.00		0	0.00		2	0.22		1	0.11		930	95.58		43	4.42		973	1.18
Hill Top		106	10.23		29	2.80		1	0.10		0	0.00		10	0.97		0	0.00		73	7.05		19	1.83		2	0.19		338	32.63		6	0.58		0	0.00		9	0.87		0	0.00		0	0.00		1	0.10		373	36.00		7	0.68		2	0.19		48	4.63		0	0.00		0	0.00		11	1.06		1	0.10		1036	96.01		43	3.99		1079	1.31
Jugiong		12	6.45		4	2.15		0	0.00		1	0.54		3	1.61		1	0.54		6	3.23		1	0.54		0	0.00		61	32.80		0	0.00		0	0.00		1	0.54		0	0.00		0	0.00		1	0.54		94	50.54		0	0.00		0	0.00		1	0.54		0	0.00		0	0.00		0	0.00		0	0.00		186	98.41		3	1.59		189	0.23
Kangaloon		6	4.48		3	2.24		0	0.00		0	0.00		3	2.24		1	0.75		14	10.45		1	0.75		0	0.00		19	14.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		77	57.46		0	0.00		0	0.00		9	6.72		0	0.00		0	0.00		1	0.75		0	0.00		134	98.53		2	1.47		136	0.17
Koorawatha		25	13.74		3	1.65		0	0.00		0	0.00		6	3.30		0	0.00		7	3.85		5	2.75		1	0.55		51	28.02		4	2.20		0	0.00		4	2.20		0	0.00		0	0.00		1	0.55		66	36.26		5	2.75		0	0.00		1	0.55		0	0.00		0	0.00		3	1.65		0	0.00		182	96.30		7	3.70		189	0.23
Laggan		15	5.86		2	0.78		0	0.00		0	0.00		0	0.00		0	0.00		12	4.69		1	0.39		2	0.78		29	11.33		1	0.39		0	0.00		6	2.34		0	0.00		0	0.00		0	0.00		177	69.14		0	0.00		1	0.39		9	3.52		0	0.00		0	0.00		1	0.39		0	0.00		256	97.71		6	2.29		262	0.32
Maimuru		1	1.12		8	8.99		0	0.00		0	0.00		3	3.37		0	0.00		4	4.49		0	0.00		0	0.00		12	13.48		0	0.00		0	0.00		2	2.25		1	1.12		0	0.00		0	0.00		56	62.92		0	0.00		0	0.00		2	2.25		0	0.00		0	0.00		0	0.00		0	0.00		89	98.89		1	1.11		90	0.11
Marulan		63	11.19		1	0.18		0	0.00		0	0.00		11	1.95		0	0.00		30	5.33		3	0.53		0	0.00		170	30.20		1	0.18		1	0.18		7	1.24		0	0.00		1	0.18		0	0.00		255	45.29		4	0.71		0	0.00		11	1.95		0	0.00		1	0.18		4	0.71		0	0.00		563	97.74		13	2.26		576	0.70
Menangle (Hume)		25	7.72		9	2.78		0	0.00		0	0.00		1	0.31		1	0.31		17	5.25		1	0.31		3	0.93		63	19.44		3	0.93		0	0.00		2	0.62		0	0.00		0	0.00		0	0.00		178	54.94		2	0.62		1	0.31		15	4.63		0	0.00		0	0.00		3	0.93		0	0.00		324	98.78		4	1.22		328	0.40
Milvale		3	4.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.86		0	0.00		0	0.00		6	8.57		0	0.00		0	0.00		0	0.00		0	0.00		1	1.43		0	0.00		55	78.57		1	1.43		0	0.00		1	1.43		0	0.00		0	0.00		1	1.43		0	0.00		70	98.59		1	1.41		71	0.09
Mittagong		140	5.51		69	2.71		0	0.00		2	0.08		37	1.45		6	0.24		241	9.48		21	0.83		6	0.24		646	25.40		15	0.59		2	0.08		24	0.94		0	0.00		1	0.04		3	0.12		1154	45.38		14	0.55		1	0.04		148	5.82		0	0.00		1	0.04		12	0.47		0	0.00		2543	96.80		84	3.20		2627	3.19
Mittagong South		36	4.16		20	2.31		0	0.00		0	0.00		6	0.69		0	0.00		90	10.40		0	0.00		0	0.00		161	18.61		12	1.39		0	0.00		6	0.69		0	0.00		0	0.00		0	0.00		473	54.68		2	0.23		0	0.00		57	6.59		0	0.00		0	0.00		1	0.12		1	0.12		865	97.63		21	2.37		886	1.08
Monteagle		11	8.46		0	0.00		0	0.00		0	0.00		1	0.77		0	0.00		1	0.77		1	0.77		0	0.00		31	23.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		82	63.08		0	0.00		0	0.00		1	0.77		0	0.00		0	0.00		1	0.77		1	0.77		130	99.24		1	0.76		131	0.16
Mount Hunter		35	5.94		2	0.34		0	0.00		1	0.17		4	0.68		0	0.00		27	4.58		6	1.02		0	0.00		103	17.49		4	0.68		0	0.00		5	0.85		0	0.00		0	0.00		1	0.17		370	62.82		7	1.19		0	0.00		19	3.23		0	0.00		0	0.00		5	0.85		0	0.00		589	97.03		18	2.97		607	0.74
Murringo		19	10.98		1	0.58		0	0.00		0	0.00		9	5.20		0	0.00		7	4.05		0	0.00		1	0.58		33	19.08		1	0.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		95	54.91		0	0.00		0	0.00		2	1.16		0	0.00		0	0.00		3	1.73		2	1.16		173	98.30		3	1.70		176	0.21
