House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hume (85640)											
		Candidate		"SCHULTZ, Alby"		              	"MERRIMAN, Jan"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"ROXBURGH, James (DEM)"	193	57	29.53		136	70.47		193	
		"PRELL, Charlie (HAN)"	130	50	38.46		80	61.54		130	
		Total	505	1391	55.42		1119	44.58		2510	

	Mittagong South										
			1st Prefs	501	70.86		206	29.14		707	
		"WATCHIRS, Kevin (GRN)"	47	8	17.02		39	82.98		47	
		"ROXBURGH, James (DEM)"	66	27	40.91		39	59.09		66	
		"PRELL, Charlie (HAN)"	33	20	60.61		13	39.39		33	
		Total	146	556	65.18		297	34.82		853	

	Monteagle										
			1st Prefs	90	75.63		29	24.37		119	
		"WATCHIRS, Kevin (GRN)"	1	0	0.00		1	100.00		1	
		"ROXBURGH, James (DEM)"	0	0	0.00		0	0.00		0	
		"PRELL, Charlie (HAN)"	8	6	75.00		2	25.00		8	
		Total	9	96	75.00		32	25.00		128	

	Mount Hunter										
			1st Prefs	381	74.85		128	25.15		509	
		"WATCHIRS, Kevin (GRN)"	21	7	33.33		14	66.67		21	
		"ROXBURGH, James (DEM)"	23	3	13.04		20	86.96		23	
		"PRELL, Charlie (HAN)"	32	16	50.00		16	50.00		32	
		Total	76	407	69.57		178	30.43		585	

	Murringo										
			1st Prefs	116	77.33		34	22.67		150	
		"WATCHIRS, Kevin (GRN)"	1	1	100.00		0	0.00		1	
		"ROXBURGH, James (DEM)"	5	0	0.00		5	100.00		5	
		"PRELL, Charlie (HAN)"	15	6	40.00		9	60.00		15	
		Total	21	123	71.93		48	28.07		171	

	Murrumbateman										
			1st Prefs	533	60.98		341	39.02		874	
		"WATCHIRS, Kevin (GRN)"	55	13	23.64		42	76.36		55	
		"ROXBURGH, James (DEM)"	106	38	35.85		68	64.15		106	
		"PRELL, Charlie (HAN)"	61	32	52.46		29	47.54		61	
		Total	222	616	56.20		480	43.80		1096	

	Murrumburrah										
			1st Prefs	308	62.86		182	37.14		490	
		"WATCHIRS, Kevin (GRN)"	7	5	71.43		2	28.57		7	
		"ROXBURGH, James (DEM)"	5	3	60.00		2	40.00		5	
		"PRELL, Charlie (HAN)"	50	20	40.00		30	60.00		50	
		Total	62	336	60.87		216	39.13		552	

	New Berrima										
			1st Prefs	110	52.88		98	47.12		208	
		"WATCHIRS, Kevin (GRN)"	14	4	28.57		10	71.43		14	
		"ROXBURGH, James (DEM)"	15	7	46.67		8	53.33		15	
		"PRELL, Charlie (HAN)"	29	11	37.93		18	62.07		29	
		Total	58	132	49.62		134	50.38		266	

	Oakdale										
			1st Prefs	467	65.41		247	34.59		714	
		"WATCHIRS, Kevin (GRN)"	38	16	42.11		22	57.89		38	
		"ROXBURGH, James (DEM)"	33	13	39.39		20	60.61		33	
		"PRELL, Charlie (HAN)"	111	55	49.55		56	50.45		111	
		Total	182	551	61.50		345	38.50		896	

	Orangeville										
			1st Prefs	381	84.29		71	15.71		452	
		"WATCHIRS, Kevin (GRN)"	23	13	56.52		10	43.48		23	
		"ROXBURGH, James (DEM)"	14	5	35.71		9	64.29		14	
		"PRELL, Charlie (HAN)"	46	34	73.91		12	26.09		46	
		Total	83	433	80.93		102	19.07		535	

	Picton										
			1st Prefs	1113	64.82		604	35.18		1717	
		"WATCHIRS, Kevin (GRN)"	134	38	28.36		96	71.64		134	
		"ROXBURGH, James (DEM)"	111	38	34.23		73	65.77		111	
		"PRELL, Charlie (HAN)"	146	52	35.62		94	64.38		146	
		Total	391	1241	58.87		867	41.13		2108	

	Reids Flat										
			1st Prefs	40	59.70		27	40.30		67	
		"WATCHIRS, Kevin (GRN)"	2	2	100.00		0	0.00		2	
		"ROXBURGH, James (DEM)"	1	0	0.00		1	100.00		1	
		"PRELL, Charlie (HAN)"	11	4	36.36		7	63.64		11	
