Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Gilmore (83909)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Kangaroo Valley		27	3.83		25	3.55		2	0.28		0	0.00		2	0.28		0	0.00		83	11.77		3	0.43		0	0.00		132	18.72		4	0.57		0	0.00		2	0.28		0	0.00		0	0.00		1	0.14		317	44.96		2	0.28		0	0.00		101	14.33		0	0.00		0	0.00		1	0.14		3	0.43		705	97.24		20	2.76		725	0.90
Kiama		127	4.59		43	1.56		3	0.11		0	0.00		23	0.83		0	0.00		275	9.95		23	0.83		3	0.11		707	25.58		20	0.72		0	0.00		20	0.72		0	0.00		0	0.00		3	0.11		1327	48.01		1	0.04		2	0.07		171	6.19		1	0.04		0	0.00		14	0.51		1	0.04		2764	95.91		118	4.09		2882	3.58
Kiama Downs		72	5.07		45	3.17		0	0.00		0	0.00		16	1.13		1	0.07		141	9.94		5	0.35		1	0.07		441	31.08		12	0.85		0	0.00		16	1.13		0	0.00		1	0.07		0	0.00		563	39.68		4	0.28		0	0.00		98	6.91		0	0.00		0	0.00		3	0.21		0	0.00		1419	97.26		40	2.74		1459	1.81
Kiama South		50	5.30		21	2.23		0	0.00		0	0.00		8	0.85		2	0.21		80	8.48		5	0.53		0	0.00		274	29.06		3	0.32		0	0.00		4	0.42		0	0.00		1	0.11		0	0.00		411	43.58		2	0.21		2	0.21		72	7.64		0	0.00		1	0.11		5	0.53		2	0.21		943	97.52		24	2.48		967	1.20
Lake Conjola		30	5.96		0	0.00		1	0.20		0	0.00		9	1.79		0	0.00		15	2.98		4	0.80		0	0.00		159	31.61		4	0.80		0	0.00		11	2.19		0	0.00		0	0.00		0	0.00		253	50.30		0	0.00		1	0.20		11	2.19		0	0.00		1	0.20		3	0.60		1	0.20		503	98.24		9	1.76		512	0.64
Manyana		44	11.08		4	1.01		0	0.00		1	0.25		6	1.51		0	0.00		23	5.79		6	1.51		1	0.25		122	30.73		2	0.50		0	0.00		2	0.50		0	0.00		0	0.00		0	0.00		150	37.78		4	1.01		0	0.00		31	7.81		0	0.00		0	0.00		1	0.25		0	0.00		397	97.78		9	2.22		406	0.50
Mayflower		7	2.32		13	4.30		0	0.00		0	0.00		3	0.99		0	0.00		18	5.96		1	0.33		1	0.33		86	28.48		2	0.66		0	0.00		1	0.33		0	0.00		0	0.00		0	0.00		165	54.64		0	0.00		1	0.33		3	0.99		0	0.00		0	0.00		1	0.33		0	0.00		302	94.67		17	5.33		319	0.40
Milton		87	6.17		19	1.35		7	0.50		1	0.07		15	1.06		2	0.14		86	6.10		14	0.99		3	0.21		308	21.86		7	0.50		0	0.00		7	0.50		0	0.00		1	0.07		2	0.14		736	52.24		7	0.50		3	0.21		96	6.81		0	0.00		0	0.00		7	0.50		1	0.07		1409	95.98		59	4.02		1468	1.83
Minnamurra		112	6.15		50	2.75		1	0.05		0	0.00		22	1.21		2	0.11		170	9.34		21	1.15		5	0.27		477	26.21		10	0.55		2	0.11		16	0.88		0	0.00		1	0.05		3	0.16		768	42.20		8	0.44		2	0.11		132	7.25		0	0.00		1	0.05		13	0.71		4	0.22		1820	97.69		43	2.31		1863	2.32
Mollymook		85	6.46		20	1.52		0	0.00		0	0.00		8	0.61		1	0.08		63	4.79		9	0.68		0	0.00		353	26.82		5	0.38		0	0.00		7	0.53		0	0.00		1	0.08		1	0.08		670	50.91		7	0.53		2	0.15		78	5.93		0	0.00		0	0.00		5	0.38		1	0.08		1316	97.41		35	2.59		1351	1.68
