Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Wentworth (86457)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Randwick East		28	2.58		7	0.64		5	0.46		1	0.09		11	1.01		2	0.18		98	9.02		9	0.83		4	0.37		322	29.65		4	0.37		0	0.00		2	0.18		1	0.09		0	0.00		2	0.18		502	46.22		5	0.46		3	0.28		76	7.00		0	0.00		1	0.09		3	0.28		0	0.00		1086	97.66		26	2.34		1112	1.39
Randwick North		58	2.36		17	0.69		3	0.12		2	0.08		18	0.73		6	0.24		248	10.11		19	0.77		8	0.33		754	30.73		12	0.49		1	0.04		6	0.24		2	0.08		1	0.04		1	0.04		1057	43.07		7	0.29		5	0.20		220	8.96		1	0.04		0	0.00		6	0.24		2	0.08		2454	95.64		112	4.36		2566	3.21
Rose Bay		41	1.85		5	0.23		18	0.81		1	0.05		13	0.59		5	0.23		158	7.13		27	1.22		2	0.09		385	17.37		4	0.18		1	0.05		1	0.05		1	0.05		5	0.23		5	0.23		1377	62.11		10	0.45		1	0.05		153	6.90		0	0.00		2	0.09		2	0.09		0	0.00		2217	94.74		123	5.26		2340	2.93
Rose Bay Central		19	1.76		5	0.46		4	0.37		0	0.00		4	0.37		1	0.09		71	6.59		4	0.37		3	0.28		171	15.88		3	0.28		0	0.00		0	0.00		0	0.00		3	0.28		3	0.28		719	66.76		2	0.19		0	0.00		62	5.76		0	0.00		0	0.00		3	0.28		0	0.00		1077	97.03		33	2.97		1110	1.39
Sydney (Wentworth)		5	2.34		3	1.40		0	0.00		0	0.00		5	2.34		0	0.00		25	11.68		1	0.47		0	0.00		61	28.50		0	0.00		0	0.00		1	0.47		0	0.00		1	0.47		0	0.00		89	41.59		0	0.00		0	0.00		23	10.75		0	0.00		0	0.00		0	0.00		0	0.00		214	97.72		5	2.28		219	0.27
Vaucluse		5	0.50		10	1.00		5	0.50		0	0.00		0	0.00		0	0.00		42	4.20		4	0.40		0	0.00		109	10.90		0	0.00		0	0.00		2	0.20		0	0.00		3	0.30		1	0.10		740	74.00		5	0.50		2	0.20		72	7.20		0	0.00		0	0.00		0	0.00		0	0.00		1000	96.34		38	3.66		1038	1.30
Watsons Bay		24	2.56		9	0.96		5	0.53		1	0.11		4	0.43		4	0.43		55	5.88		1	0.11		0	0.00		151	16.13		1	0.11		1	0.11		4	0.43		0	0.00		1	0.11		1	0.11		566	60.47		3	0.32		0	0.00		101	10.79		0	0.00		0	0.00		3	0.32		1	0.11		936	95.90		40	4.10		976	1.22
Waverley		37	2.18		3	0.18		3	0.18		1	0.06		15	0.88		1	0.06		175	10.32		18	1.06		5	0.29		501	29.54		3	0.18		0	0.00		4	0.24		0	0.00		0	0.00		3	0.18		678	39.98		5	0.29		2	0.12		233	13.74		1	0.06		3	0.18		3	0.18		2	0.12		1696	96.64		59	3.36		1755	2.19
Waverley College		22	1.92		3	0.26		3	0.26		0	0.00		8	0.70		3	0.26		140	12.22		11	0.96		3	0.26		304	26.53		4	0.35		0	0.00		1	0.09		0	0.00		2	0.17		1	0.09		497	43.37		3	0.26		1	0.09		137	11.95		1	0.09		0	0.00		1	0.09		1	0.09		1146	95.82		50	4.18		1196	1.50
Woollahra		18	1.03		3	0.17		2	0.11		0	0.00		10	0.57		11	0.63		168	9.57		13	0.74		4	0.23		318	18.11		2	0.11		0	0.00		10	0.57		0	0.00		4	0.23		2	0.11		969	55.18		5	0.28		8	0.46		205	11.67		0	0.00		0	0.00		4	0.23		0	0.00		1756	97.56		44	2.44		1800	2.25
Woollahra East		21	1.84		8	0.70		3	0.26		0	0.00		2	0.18		1	0.09		113	9.89		7	0.61		2	0.18		242	21.19		4	0.35		0	0.00		2	0.18		0	0.00		0	0.00		1	0.09		614	53.77		3	0.26		0	0.00		114	9.98		1	0.09		0	0.00		3	0.26		1	0.09		1142	97.86		25	2.14		1167	1.46
Special Hospitals		2	0.88		2	0.88		0	0.00		0	0.00		3	1.32		0	0.00		4	1.75		1	0.44		1	0.44		87	38.16		0	0.00		0	0.00		0	0.00		0	0.00		1	0.44		0	0.00		123	53.95		1	0.44		0	0.00		2	0.88		0	0.00		1	0.44		0	0.00		0	0.00		228	96.20		9	3.80		237	0.30
Total Ordinary		987	1.66		312	0.53		260	0.44		15	0.03		449	0.76		146	0.25		5336	8.98		484	0.81		104	0.18		14387	24.21		137	0.23		24	0.04		144	0.24		13	0.02		44	0.07		83	0.14		29998	50.48		214	0.36		101	0.17		6019	10.13		15	0.03		9	0.02		116	0.20		30	0.05		59427	96.25		2318	3.75		61745	77.21
ABSENT		98	1.57		37	0.59		13	0.21		3	0.05		84	1.35		19	0.30		703	11.27		88	1.41		6	0.10		1606	25.75		25	0.40		1	0.02		30	0.48		2	0.03		4	0.06		9	0.14		2633	42.21		21	0.34		11	0.18		829	13.29		2	0.03		2	0.03		10	0.16		2	0.03		6238	98.42		100	1.58		6338	7.93
POSTAL		68	1.75		20	0.51		14	0.36		0	0.00		16	0.41		6	0.15		292	7.51		15	0.39		4	0.10		759	19.51		10	0.26		0	0.00		12	0.31		0	0.00		1	0.03		2	0.05		2482	63.80		19	0.49		3	0.08		149	3.83		1	0.03		0	0.00		16	0.41		1	0.03		3890	98.58		56	1.42		3946	4.93
PRE_POLL		116	1.70		34	0.50		34	0.50		3	0.04		65	0.96		8	0.12		665	9.77		44	0.65		18	0.26		1708	25.10		17	0.25		0	0.00		16	0.24		0	0.00		4	0.06		4	0.06		3424	50.32		22	0.32		15	0.22		589	8.66		3	0.04		3	0.04		13	0.19		0	0.00		6805	97.94		143	2.06		6948	8.69
PROVISIONAL		8	0.84		2	0.21		6	0.63		0	0.00		8	0.84		3	0.31		105	10.99		16	1.68		3	0.31		244	25.55		5	0.52		1	0.10		2	0.21		0	0.00		1	0.10		0	0.00		412	43.14		13	1.36		1	0.10		123	12.88		0	0.00		0	0.00		2	0.21		0	0.00		955	96.17		38	3.83		993	1.24
Division Summary		1277	1.65		405	0.52		327	0.42		21	0.03		622	0.8		182	0.24		7101	9.18		647	0.84		135	0.17		18704	24.19		194	0.25		26	0.03		204	0.26		15	0.02		54	0.07		98	0.13		38949	50.38		289	0.37		131	0.17		7709	9.97		21	0.03		14	0.02		157	0.2		33	0.04		77315	96.68		2655	3.32		79970	92.5
