Senate - 2001 Election: New South Wales																																																																																			
First Preference Votes by Group 																																																																																			
By Polling Place																																																																																			

Berowra (85766)																																																																																			
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 			
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent												
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
Maroota South		38	10.58		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		9	2.51		1	0.28		1	0.28		41	11.42		1	0.28		0	0.00		3	0.84		0	0.00		0	0.00		1	0.28		241	67.13		3	0.84		1	0.28		17	4.74		0	0.00		1	0.28		0	0.00		0	0.00		359	99.17		3	0.83		362	0.44
Middle Dural		23	2.38		19	1.97		1	0.10		0	0.00		6	0.62		2	0.21		60	6.21		9	0.93		1	0.10		109	11.28		2	0.21		0	0.00		3	0.31		0	0.00		1	0.10		0	0.00		665	68.84		6	0.62		0	0.00		52	5.38		0	0.00		0	0.00		5	0.52		2	0.21		966	96.60		34	3.40		1000	1.22
Mount Colah		90	3.28		64	2.33		13	0.47		0	0.00		25	0.91		2	0.07		303	11.03		20	0.73		2	0.07		631	22.96		11	0.40		0	0.00		21	0.76		0	0.00		4	0.15		3	0.11		1377	50.11		42	1.53		7	0.25		113	4.11		0	0.00		0	0.00		17	0.62		3	0.11		2748	97.45		72	2.55		2820	3.45
Mount Kuring-Gai		51	4.34		22	1.87		7	0.60		1	0.09		12	1.02		1	0.09		98	8.33		13	1.11		2	0.17		253	21.51		9	0.77		0	0.00		7	0.60		0	0.00		2	0.17		0	0.00		602	51.19		5	0.43		1	0.09		81	6.89		2	0.17		0	0.00		6	0.51		1	0.09		1176	97.84		26	2.16		1202	1.47
Normanhurst		46	2.21		53	2.55		20	0.96		1	0.05		13	0.63		0	0.00		222	10.69		16	0.77		2	0.10		428	20.61		8	0.39		0	0.00		7	0.34		1	0.05		1	0.05		4	0.19		1105	53.20		14	0.67		4	0.19		123	5.92		0	0.00		0	0.00		8	0.39		1	0.05		2077	97.06		63	2.94		2140	2.62
Normanhurst West		56	2.60		68	3.16		7	0.32		1	0.05		14	0.65		3	0.14		261	12.12		13	0.60		0	0.00		472	21.91		13	0.60		0	0.00		15	0.70		0	0.00		0	0.00		1	0.05		1078	50.05		5	0.23		5	0.23		129	5.99		0	0.00		0	0.00		10	0.46		3	0.14		2154	98.81		26	1.19		2180	2.67
Oakhill Drive (Berowra)		7	0.81		11	1.28		19	2.20		0	0.00		12	1.39		0	0.00		52	6.03		2	0.23		1	0.12		229	26.57		2	0.23		0	0.00		4	0.46		0	0.00		0	0.00		0	0.00		504	58.47		0	0.00		0	0.00		18	2.09		0	0.00		0	0.00		1	0.12		0	0.00		862	98.51		13	1.49		875	1.07
Pennant Hills		73	2.17		131	3.90		52	1.55		1	0.03		31	0.92		4	0.12		339	10.10		28	0.83		3	0.09		761	22.67		11	0.33		3	0.09		8	0.24		0	0.00		0	0.00		5	0.15		1664	49.57		12	0.36		5	0.15		213	6.34		2	0.06		1	0.03		6	0.18		4	0.12		3357	97.96		70	2.04		3427	4.19
Roselea (Berowra)		28	2.26		39	3.15		36	2.91		0	0.00		6	0.48		2	0.16		114	9.21		5	0.40		2	0.16		219	17.69		7	0.57		0	0.00		4	0.32		0	0.00		0	0.00		3	0.24		699	56.46		2	0.16		2	0.16		64	5.17		0	0.00		0	0.00		5	0.40		1	0.08		1238	98.41		20	1.59		1258	1.54
Sydney (Berowra)		1	0.86		0	0.00		1	0.86		0	0.00		0	0.00		0	0.00		24	20.69		4	3.45		0	0.00		23	19.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.86		47	40.52		0	0.00		1	0.86		14	12.07		0	0.00		0	0.00		0	0.00		0	0.00		116	95.08		6	4.92		122	0.15
