Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Parramatta (87286)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Pendle Hill North		38	4.66		26	3.19		4	0.49		0	0.00		4	0.49		1	0.12		43	5.28		5	0.61		1	0.12		295	36.20		6	0.74		0	0.00		9	1.10		0	0.00		1	0.12		0	0.00		347	42.58		1	0.12		0	0.00		23	2.82		2	0.25		1	0.12		6	0.74		2	0.25		815	95.77		36	4.23		851	1.03
Pitt Row		41	4.19		13	1.33		6	0.61		0	0.00		29	2.96		0	0.00		37	3.78		7	0.72		1	0.10		419	42.80		3	0.31		2	0.20		1	0.10		0	0.00		1	0.10		1	0.10		378	38.61		7	0.72		1	0.10		29	2.96		0	0.00		0	0.00		2	0.20		1	0.10		979	93.68		66	6.32		1045	1.26
Rosehill		45	3.10		19	1.31		29	2.00		0	0.00		44	3.03		0	0.00		57	3.93		19	1.31		1	0.07		663	45.72		4	0.28		2	0.14		3	0.21		1	0.07		1	0.07		1	0.07		491	33.86		13	0.90		3	0.21		48	3.31		2	0.14		0	0.00		4	0.28		0	0.00		1450	95.33		71	4.67		1521	1.84
Rowland Hassall		30	2.96		11	1.08		29	2.86		1	0.10		25	2.46		0	0.00		55	5.42		10	0.99		1	0.10		450	44.33		4	0.39		1	0.10		6	0.59		1	0.10		1	0.10		1	0.10		351	34.58		8	0.79		1	0.10		22	2.17		0	0.00		0	0.00		7	0.69		0	0.00		1015	94.24		62	5.76		1077	1.30
Rydalmere		69	5.03		14	1.02		19	1.38		0	0.00		37	2.70		0	0.00		53	3.86		12	0.87		3	0.22		521	37.97		7	0.51		0	0.00		12	0.87		0	0.00		1	0.07		1	0.07		568	41.40		4	0.29		0	0.00		45	3.28		0	0.00		0	0.00		6	0.44		0	0.00		1372	95.15		70	4.85		1442	1.74
Sydney (Parramatta)		3	2.07		2	1.38		3	2.07		0	0.00		3	2.07		0	0.00		15	10.34		1	0.69		0	0.00		52	35.86		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		1	0.69		56	38.62		2	1.38		0	0.00		6	4.14		0	0.00		0	0.00		0	0.00		0	0.00		145	97.32		4	2.68		149	0.18
Telopea		85	3.56		57	2.39		62	2.60		0	0.00		34	1.42		0	0.00		124	5.19		21	0.88		4	0.17		877	36.74		6	0.25		0	0.00		13	0.54		0	0.00		1	0.04		0	0.00		995	41.68		12	0.50		3	0.13		83	3.48		0	0.00		0	0.00		8	0.34		2	0.08		2387	95.37		116	4.63		2503	3.02
Toongabbie East		33	3.87		11	1.29		8	0.94		0	0.00		29	3.40		0	0.00		24	2.81		9	1.06		1	0.12		381	44.67		6	0.70		2	0.23		4	0.47		0	0.00		0	0.00		2	0.23		316	37.05		5	0.59		1	0.12		15	1.76		0	0.00		0	0.00		6	0.70		0	0.00		853	94.99		45	5.01		898	1.09
Wentworthville		80	3.65		18	0.82		24	1.10		0	0.00		37	1.69		0	0.00		98	4.47		14	0.64		5	0.23		1023	46.69		6	0.27		1	0.05		12	0.55		1	0.05		2	0.09		1	0.05		793	36.19		15	0.68		1	0.05		43	1.96		1	0.05		2	0.09		13	0.59		1	0.05		2191	94.44		129	5.56		2320	2.80
Wentworthville Central		24	3.68		10	1.53		15	2.30		0	0.00		19	2.91		0	0.00		25	3.83		7	1.07		3	0.46		306	46.93		0	0.00		0	0.00		1	0.15		2	0.31		1	0.15		0	0.00		221	33.90		3	0.46		0	0.00		14	2.15		0	0.00		0	0.00		1	0.15		0	0.00		652	94.22		40	5.78		692	0.84
Westmead		81	3.10		40	1.53		45	1.72		2	0.08		36	1.38		4	0.15		135	5.16		14	0.54		2	0.08		1260	48.17		10	0.38		2	0.08		11	0.42		0	0.00		3	0.11		5	0.19		844	32.26		11	0.42		3	0.11		100	3.82		1	0.04		0	0.00		7	0.27		0	0.00		2616	95.54		122	4.46		2738	3.31
Westmead Hospital		8	2.76		4	1.38		3	1.03		0	0.00		7	2.41		0	0.00		26	8.97		2	0.69		3	1.03		95	32.76		0	0.00		0	0.00		1	0.34		1	0.34		0	0.00		1	0.34		129	44.48		2	0.69		0	0.00		8	2.76		0	0.00		0	0.00		0	0.00		0	0.00		290	96.35		11	3.65		301	0.36
Westmead North		9	1.31		16	2.33		16	2.33		0	0.00		11	1.60		0	0.00		51	7.41		4	0.58		0	0.00		265	38.52		1	0.15		0	0.00		0	0.00		0	0.00		1	0.15		1	0.15		273	39.68		4	0.58		0	0.00		33	4.80		0	0.00		0	0.00		2	0.29		1	0.15		688	97.18		20	2.82		708	0.86
Winston Heights		43	2.65		26	1.60		9	0.56		0	0.00		11	0.68		2	0.12		103	6.36		11	0.68		4	0.25		427	26.36		6	0.37		1	0.06		10	0.62		0	0.00		0	0.00		0	0.00		887	54.75		12	0.74		3	0.19		54	3.33		0	0.00		0	0.00		11	0.68		0	0.00		1620	97.83		36	2.17		1656	2.00
Winston Hills		105	3.10		64	1.89		15	0.44		0	0.00		22	0.65		1	0.03		221	6.53		23	0.68		3	0.09		836	24.71		16	0.47		1	0.03		17	0.50		0	0.00		1	0.03		5	0.15		1919	56.72		7	0.21		2	0.06		109	3.22		1	0.03		1	0.03		14	0.41		0	0.00		3383	96.05		139	3.95		3522	4.26
Winston Hills South		14	3.77		9	2.43		0	0.00		0	0.00		1	0.27		1	0.27		31	8.36		2	0.54		2	0.54		110	29.65		0	0.00		0	0.00		4	1.08		0	0.00		1	0.27		0	0.00		175	47.17		2	0.54		1	0.27		16	4.31		0	0.00		0	0.00		2	0.54		0	0.00		371	98.41		6	1.59		377	0.46
Woodberry Village		17	4.72		5	1.39		5	1.39		0	0.00		2	0.56		0	0.00		9	2.50		6	1.67		0	0.00		80	22.22		0	0.00		0	0.00		0	0.00		0	0.00		2	0.56		0	0.00		222	61.67		1	0.28		0	0.00		9	2.50		0	0.00		1	0.28		1	0.28		0	0.00		360	93.02		27	6.98		387	0.47
Yates Avenue		105	5.30		25	1.26		12	0.61		1	0.05		18	0.91		3	0.15		116	5.86		15	0.76		5	0.25		725	36.62		3	0.15		1	0.05		4	0.20		1	0.05		3	0.15		2	0.10		839	42.37		14	0.71		2	0.10		80	4.04		0	0.00		0	0.00		3	0.15		3	0.15		1980	95.38		96	4.62		2076	2.51
Special Hospitals		6	1.97		4	1.31		0	0.00		0	0.00		6	1.97		0	0.00		3	0.98		0	0.00		0	0.00		104	34.10		1	0.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		179	58.69		0	0.00		1	0.33		1	0.33		0	0.00		0	0.00		0	0.00		0	0.00		305	96.21		12	3.79		317	0.38
Prison Mobiles		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
Total Ordinary		2329	3.59		1202	1.85		953	1.47		31	0.05		953	1.47		47	0.07		3573	5.51		438	0.68		93	0.14		23768	36.67		257	0.40		34	0.05		270	0.42		16	0.02		66	0.10		63	0.10		27981	43.17		333	0.51		79	0.12		1992	3.07		19	0.03		16	0.02		273	0.42		25	0.04		64811	95.65		2944	4.35		67755	81.88
ABSENT		245	3.60		130	1.91		46	0.68		1	0.01		196	2.88		7	0.10		489	7.18		80	1.18		11	0.16		2270	33.34		47	0.69		3	0.04		64	0.94		2	0.03		4	0.06		15	0.22		2796	41.07		63	0.93		9	0.13		257	3.77		9	0.13		3	0.04		59	0.87		2	0.03		6808	97.42		180	2.58		6988	8.44
POSTAL		171	4.67		77	2.10		44	1.20		1	0.03		66	1.80		4	0.11		162	4.42		8	0.22		9	0.25		1259	34.36		6	0.16		0	0.00		16	0.44		0	0.00		9	0.25		1	0.03		1712	46.72		20	0.55		8	0.22		55	1.50		0	0.00		2	0.05		31	0.85		3	0.08		3664	98.52		55	1.48		3719	4.49
PRE_POLL		121	3.72		56	1.72		49	1.50		1	0.03		83	2.55		3	0.09		213	6.54		20	0.61		11	0.34		1232	37.83		12	0.37		1	0.03		23	0.71		0	0.00		5	0.15		5	0.15		1291	39.64		17	0.52		10	0.31		88	2.70		0	0.00		2	0.06		12	0.37		2	0.06		3257	96.99		101	3.01		3358	4.06
PROVISIONAL		31	3.53		13	1.48		15	1.71		0	0.00		37	4.21		1	0.11		38	4.32		15	1.71		2	0.23		366	41.64		5	0.57		2	0.23		7	0.80		1	0.11		0	0.00		3	0.34		300	34.13		6	0.68		4	0.46		27	3.07		0	0.00		0	0.00		6	0.68		0	0.00		879	94.62		50	5.38		929	1.12
Division Summary		2897	3.65		1478	1.86		1107	1.39		34	0.04		1335	1.68		62	0.08		4475	5.63		561	0.71		126	0.16		28895	36.38		327	0.41		40	0.05		380	0.48		19	0.02		84	0.11		87	0.11		34080	42.91		439	0.55		110	0.14		2419	3.05		28	0.04		23	0.03		381	0.48		32	0.04		79419	95.98		3330	4.02		82749	94.8
