House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Richmond (81312)											
		Candidate		"ANTHONY, Larry"		             	"MCALLISTER, Jenny"		          	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Alstonville										
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	87	20	22.99		67	77.01		87	
		"JEFFERYS, Dean (HMP)"	62	14	22.58		48	77.42		62	
		"ROLFE, Dell (HAN)"	30	20	66.67		10	33.33		30	
		"SIMPSON, Rob (IND)"	7	5	71.43		2	28.57		7	
		Total	799	753	36.36		1318	63.64		2071	

	Cabarita Beach										
			1st Prefs	577	45.61		688	54.39		1265	
		"NATHAN, Julie (IND)"	15	9	60.00		6	40.00		15	
		"PENHALIGON, John (IND)"	9	7	77.78		2	22.22		9	
		"FAULKNER, Nicolas de Bray (IND)"	2	2	100.00		0	0.00		2	
		"BARHAM, Jan (GRN)"	109	21	19.27		88	80.73		109	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	38	12	31.58		26	68.42		38	
		"JEFFERYS, Dean (HMP)"	9	2	22.22		7	77.78		9	
		"ROLFE, Dell (HAN)"	94	73	77.66		21	22.34		94	
		"SIMPSON, Rob (IND)"	3	1	33.33		2	66.67		3	
		Total	280	705	45.63		840	54.37		1545	

	Carool										
			1st Prefs	50	53.19		44	46.81		94	
		"NATHAN, Julie (IND)"	0	0	0.00		0	0.00		0	
		"PENHALIGON, John (IND)"	5	3	60.00		2	40.00		5	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	5	0	0.00		5	100.00		5	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	2	1	50.00		1	50.00		2	
		"JEFFERYS, Dean (HMP)"	1	0	0.00		1	100.00		1	
		"ROLFE, Dell (HAN)"	7	3	42.86		4	57.14		7	
		"SIMPSON, Rob (IND)"	1	1	100.00		0	0.00		1	
		Total	21	58	50.43		57	49.57		115	

	Chillingham										
			1st Prefs	106	60.57		69	39.43		175	
		"NATHAN, Julie (IND)"	2	1	50.00		1	50.00		2	
		"PENHALIGON, John (IND)"	5	3	60.00		2	40.00		5	
		"FAULKNER, Nicolas de Bray (IND)"	1	0	0.00		1	100.00		1	
		"BARHAM, Jan (GRN)"	41	7	17.07		34	82.93		41	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	1	1	100.00		0	0.00		1	
		"JEFFERYS, Dean (HMP)"	1	0	0.00		1	100.00		1	
		"ROLFE, Dell (HAN)"	12	7	58.33		5	41.67		12	
		"SIMPSON, Rob (IND)"	2	1	50.00		1	50.00		2	
		Total	65	126	52.50		114	47.50		240	

	Chinderah										
			1st Prefs	359	41.99		496	58.01		855	
		"NATHAN, Julie (IND)"	16	9	56.25		7	43.75		16	
		"PENHALIGON, John (IND)"	9	7	77.78		2	22.22		9	
		"FAULKNER, Nicolas de Bray (IND)"	3	0	0.00		3	100.00		3	
		"BARHAM, Jan (GRN)"	45	10	22.22		35	77.78		45	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	21	4	19.05		17	80.95		21	
		"JEFFERYS, Dean (HMP)"	14	8	57.14		6	42.86		14	
		"ROLFE, Dell (HAN)"	59	43	72.88		16	27.12		59	
		"SIMPSON, Rob (IND)"	2	1	50.00		1	50.00		2	
		Total	169	441	43.07		583	56.93		1024	

	Condong										
			1st Prefs	429	60.00		286	40.00		715	
		"NATHAN, Julie (IND)"	11	6	54.55		5	45.45		11	
		"PENHALIGON, John (IND)"	10	7	70.00		3	30.00		10	
		"FAULKNER, Nicolas de Bray (IND)"	2	0	0.00		2	100.00		2	
		"BARHAM, Jan (GRN)"	43	11	25.58		32	74.42		43	
		"PENIAZEV, Alexander (NCP)"	1	0	0.00		1	100.00		1	
		"BALK, Casey (DEM)"	16	6	37.50		10	62.50		16	
		"JEFFERYS, Dean (HMP)"	3	2	66.67		1	33.33		3	
		"ROLFE, Dell (HAN)"	43	33	76.74		10	23.26		43	
		"SIMPSON, Rob (IND)"	1	0	0.00		1	100.00		1	
		Total	130	494	58.46		351	41.54		845	

	Coorabell										
			1st Prefs	59	59.00		41	41.00		100	
		"NATHAN, Julie (IND)"	3	0	0.00		3	100.00		3	
		"PENHALIGON, John (IND)"	2	1	50.00		1	50.00		2	
		"FAULKNER, Nicolas de Bray (IND)"	1	0	0.00		1	100.00		1	
		"BARHAM, Jan (GRN)"	34	3	8.82		31	91.18		34	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	6	1	16.67		5	83.33		6	
		"JEFFERYS, Dean (HMP)"	3	0	0.00		3	100.00		3	
		"ROLFE, Dell (HAN)"	4	2	50.00		2	50.00		4	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	54	67	43.51		87	56.49		154	

	Crabbes Creek										
			1st Prefs	53	59.55		36	40.45		89	
		"NATHAN, Julie (IND)"	3	2	66.67		1	33.33		3	
		"PENHALIGON, John (IND)"	3	2	66.67		1	33.33		3	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	26	4	15.38		22	84.62		26	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	2	1	50.00		1	50.00		2	
		"JEFFERYS, Dean (HMP)"	2	0	0.00		2	100.00		2	
