Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Macquarie (86364)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Maraylya (Macquarie)		23	5.13		12	2.68		0	0.00		0	0.00		3	0.67		0	0.00		21	4.69		4	0.89		0	0.00		53	11.83		2	0.45		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		306	68.30		0	0.00		0	0.00		21	4.69		0	0.00		0	0.00		2	0.45		0	0.00		448	96.14		18	3.86		466	0.57
Medlow Bath		18	4.97		8	2.21		0	0.00		0	0.00		0	0.00		0	0.00		28	7.73		1	0.28		1	0.28		112	30.94		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		140	38.67		0	0.00		0	0.00		52	14.36		0	0.00		0	0.00		1	0.28		0	0.00		362	97.31		10	2.69		372	0.45
Mount Riverview		88	5.58		75	4.76		1	0.06		1	0.06		12	0.76		0	0.00		154	9.77		11	0.70		0	0.00		336	21.31		14	0.89		1	0.06		6	0.38		1	0.06		1	0.06		1	0.06		775	49.14		6	0.38		1	0.06		81	5.14		0	0.00		1	0.06		10	0.63		1	0.06		1577	99.12		14	0.88		1591	1.93
Mount Victoria		32	7.21		16	3.60		0	0.00		0	0.00		1	0.23		1	0.23		46	10.36		4	0.90		0	0.00		125	28.15		0	0.00		0	0.00		1	0.23		0	0.00		0	0.00		1	0.23		151	34.01		5	1.13		0	0.00		59	13.29		0	0.00		0	0.00		2	0.45		0	0.00		444	96.73		15	3.27		459	0.56
Mount Wilson		2	2.33		0	0.00		0	0.00		1	1.16		0	0.00		1	1.16		2	2.33		1	1.16		0	0.00		17	19.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		51	59.30		0	0.00		0	0.00		10	11.63		0	0.00		0	0.00		1	1.16		0	0.00		86	97.73		2	2.27		88	0.11
North Richmond		195	7.18		67	2.47		1	0.04		1	0.04		29	1.07		5	0.18		134	4.93		33	1.22		6	0.22		493	18.15		27	0.99		1	0.04		14	0.52		1	0.04		0	0.00		4	0.15		1560	57.44		16	0.59		2	0.07		106	3.90		0	0.00		2	0.07		19	0.70		0	0.00		2716	97.94		57	2.06		2773	3.37
Oakville		69	5.45		13	1.03		1	0.08		0	0.00		15	1.18		1	0.08		39	3.08		10	0.79		4	0.32		152	12.01		4	0.32		0	0.00		8	0.63		0	0.00		0	0.00		1	0.08		889	70.22		11	0.87		0	0.00		40	3.16		2	0.16		0	0.00		7	0.55		0	0.00		1266	94.62		72	5.38		1338	1.63
Pitt Town		57	5.22		10	0.91		0	0.00		1	0.09		9	0.82		1	0.09		33	3.02		8	0.73		0	0.00		181	16.56		5	0.46		0	0.00		13	1.19		0	0.00		0	0.00		2	0.18		719	65.78		9	0.82		0	0.00		39	3.57		0	0.00		0	0.00		6	0.55		0	0.00		1093	96.13		44	3.87		1137	1.38
Richmond		143	6.86		41	1.97		1	0.05		0	0.00		46	2.21		2	0.10		99	4.75		27	1.29		3	0.14		479	22.97		13	0.62		2	0.10		13	0.62		0	0.00		5	0.24		5	0.24		1073	51.46		13	0.62		1	0.05		105	5.04		2	0.10		1	0.05		11	0.53		0	0.00		2085	96.71		71	3.29		2156	2.62
Richmond High		56	5.19		23	2.13		1	0.09		1	0.09		14	1.30		0	0.00		63	5.84		10	0.93		1	0.09		246	22.82		12	1.11		1	0.09		4	0.37		0	0.00		5	0.46		3	0.28		563	52.23		9	0.83		3	0.28		56	5.19		0	0.00		0	0.00		6	0.56		1	0.09		1078	96.51		39	3.49		1117	1.36
St Albans		9	6.25		2	1.39		0	0.00		1	0.69		1	0.69		2	1.39		13	9.03		2	1.39		0	0.00		27	18.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		73	50.69		0	0.00		0	0.00		14	9.72		0	0.00		0	0.00		0	0.00		0	0.00		144	95.36		7	4.64		151	0.18
Springwood		106	4.17		142	5.59		3	0.12		3	0.12		28	1.10		4	0.16		306	12.05		27	1.06		1	0.04		588	23.16		9	0.35		2	0.08		6	0.24		1	0.04		6	0.24		3	0.12		969	38.16		7	0.28		3	0.12		312	12.29		5	0.20		0	0.00		7	0.28		1	0.04		2539	97.62		62	2.38		2601	3.16
Springwood North		78	3.95		105	5.32		1	0.05		0	0.00		11	0.56		2	0.10		246	12.46		17	0.86		3	0.15		447	22.64		11	0.56		0	0.00		9	0.46		0	0.00		1	0.05		1	0.05		878	44.48		4	0.20		1	0.05		146	7.40		0	0.00		0	0.00		10	0.51		3	0.15		1974	97.97		41	2.03		2015	2.45
Springwood South		64	4.04		86	5.43		1	0.06		1	0.06		13	0.82		2	0.13		162	10.23		14	0.88		1	0.06		366	23.12		12	0.76		0	0.00		6	0.38		1	0.06		1	0.06		2	0.13		703	44.41		6	0.38		1	0.06		130	8.21		0	0.00		0	0.00		8	0.51		3	0.19		1583	98.20		29	1.80		1612	1.96
Sydney (Macquarie)		4	4.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	16.49		1	1.03		0	0.00		20	20.62		3	3.09		1	1.03		0	0.00		0	0.00		0	0.00		0	0.00		35	36.08		1	1.03		0	0.00		16	16.49		0	0.00		0	0.00		0	0.00		0	0.00		97	98.98		1	1.02		98	0.12
Tennyson		12	4.62		5	1.92		0	0.00		0	0.00		2	0.77		0	0.00		14	5.38		0	0.00		0	0.00		35	13.46		2	0.77		0	0.00		4	1.54		0	0.00		0	0.00		0	0.00		170	65.38		0	0.00		0	0.00		13	5.00		0	0.00		0	0.00		3	1.15		0	0.00		260	98.48		4	1.52		264	0.32
Valley Heights		59	6.97		54	6.38		0	0.00		0	0.00		5	0.59		2	0.24		95	11.23		8	0.95		1	0.12		183	21.63		5	0.59		0	0.00		10	1.18		0	0.00		0	0.00		0	0.00		362	42.79		1	0.12		0	0.00		53	6.26		0	0.00		1	0.12		7	0.83		0	0.00		846	98.49		13	1.51		859	1.04
Vineyard East (Macquarie)		33	8.59		4	1.04		1	0.26		0	0.00		6	1.56		1	0.26		8	2.08		1	0.26		0	0.00		80	20.83		3	0.78		2	0.52		2	0.52		0	0.00		0	0.00		0	0.00		232	60.42		2	0.52		0	0.00		6	1.56		0	0.00		0	0.00		3	0.78		0	0.00		384	94.35		23	5.65		407	0.49
Warrimoo		52	5.48		56	5.90		0	0.00		1	0.11		4	0.42		1	0.11		99	10.43		5	0.53		0	0.00		260	27.40		7	0.74		0	0.00		8	0.84		2	0.21		1	0.11		2	0.21		343	36.14		3	0.32		1	0.11		97	10.22		1	0.11		0	0.00		5	0.53		1	0.11		949	98.85		11	1.15		960	1.17
Wentworth Falls		141	5.29		70	2.63		2	0.08		0	0.00		15	0.56		2	0.08		328	12.30		24	0.90		5	0.19		695	26.07		4	0.15		1	0.04		7	0.26		0	0.00		1	0.04		1	0.04		1044	39.16		12	0.45		5	0.19		301	11.29		1	0.04		2	0.08		4	0.15		1	0.04		2666	97.16		78	2.84		2744	3.33
Wilberforce		102	6.21		26	1.58		0	0.00		0	0.00		14	0.85		2	0.12		78	4.75		8	0.49		1	0.06		245	14.91		12	0.73		3	0.18		19	1.16		0	0.00		3	0.18		2	0.12		1036	63.06		9	0.55		2	0.12		65	3.96		0	0.00		1	0.06		15	0.91		0	0.00		1643	98.15		31	1.85		1674	2.03
