Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Throsby (84412)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Port Kembla Central		68	5.08		17	1.27		1	0.07		3	0.22		73	5.46		5	0.37		52	3.89		12	0.90		4	0.30		856	63.98		9	0.67		1	0.07		6	0.45		0	0.00		2	0.15		1	0.07		178	13.30		5	0.37		1	0.07		32	2.39		0	0.00		8	0.60		4	0.30		0	0.00		1338	94.16		83	5.84		1421	1.76
Primbee		64	6.57		11	1.13		0	0.00		0	0.00		21	2.16		1	0.10		63	6.47		12	1.23		3	0.31		474	48.67		7	0.72		1	0.10		14	1.44		0	0.00		0	0.00		3	0.31		254	26.08		5	0.51		0	0.00		23	2.36		0	0.00		11	1.13		7	0.72		0	0.00		974	93.74		65	6.26		1039	1.29
Shellharbour		173	5.18		66	1.97		4	0.12		2	0.06		77	2.30		3	0.09		229	6.85		25	0.75		4	0.12		1403	41.98		27	0.81		1	0.03		40	1.20		0	0.00		9	0.27		3	0.09		1114	33.33		23	0.69		4	0.12		113	3.38		0	0.00		3	0.09		19	0.57		0	0.00		3342	97.01		103	2.99		3445	4.27
Sydney (Throsby)		1	2.22		1	2.22		0	0.00		0	0.00		5	11.11		0	0.00		4	8.89		0	0.00		0	0.00		17	37.78		0	0.00		0	0.00		1	2.22		0	0.00		0	0.00		0	0.00		11	24.44		1	2.22		0	0.00		4	8.89		0	0.00		0	0.00		0	0.00		0	0.00		45	97.83		1	2.17		46	0.06
Unanderra (Throsby)		148	6.27		92	3.90		1	0.04		1	0.04		74	3.14		2	0.08		215	9.11		22	0.93		12	0.51		1082	45.87		13	0.55		0	0.00		25	1.06		1	0.04		6	0.25		5	0.21		549	23.27		21	0.89		4	0.17		65	2.76		0	0.00		6	0.25		14	0.59		1	0.04		2359	95.08		122	4.92		2481	3.07
Warilla		80	6.63		15	1.24		1	0.08		0	0.00		38	3.15		0	0.00		59	4.89		17	1.41		1	0.08		676	56.05		10	0.83		0	0.00		16	1.33		0	0.00		5	0.41		2	0.17		226	18.74		8	0.66		1	0.08		38	3.15		2	0.17		1	0.08		10	0.83		0	0.00		1206	94.89		65	5.11		1271	1.57
Warilla East		132	8.09		17	1.04		1	0.06		1	0.06		51	3.13		1	0.06		87	5.33		21	1.29		5	0.31		773	47.39		11	0.67		1	0.06		12	0.74		1	0.06		1	0.06		2	0.12		428	26.24		14	0.86		5	0.31		55	3.37		1	0.06		2	0.12		9	0.55		0	0.00		1631	95.55		76	4.45		1707	2.11
Warilla North		133	7.18		30	1.62		0	0.00		2	0.11		83	4.48		1	0.05		64	3.46		22	1.19		9	0.49		1137	61.39		15	0.81		3	0.16		16	0.86		0	0.00		3	0.16		0	0.00		256	13.82		20	1.08		1	0.05		38	2.05		1	0.05		5	0.27		13	0.70		0	0.00		1852	94.88		100	5.12		1952	2.42
Warilla South		134	5.85		51	2.23		1	0.04		1	0.04		56	2.45		1	0.04		143	6.24		32	1.40		4	0.17		1119	48.86		18	0.79		3	0.13		36	1.57		1	0.04		1	0.04		7	0.31		583	25.46		20	0.87		1	0.04		58	2.53		1	0.04		5	0.22		14	0.61		0	0.00		2290	96.22		90	3.78		2380	2.95
Warrawong		65	3.79		16	0.93		2	0.12		4	0.23		105	6.13		1	0.06		65	3.79		15	0.88		10	0.58		1108	64.64		12	0.70		4	0.23		19	1.11		0	0.00		2	0.12		1	0.06		221	12.89		20	1.17		2	0.12		32	1.87		1	0.06		9	0.53		0	0.00		0	0.00		1714	90.40		182	9.60		1896	2.35
