Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Bennelong (86896)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Melrose Park		40	5.11		10	1.28		4	0.51		0	0.00		3	0.38		1	0.13		57	7.28		3	0.38		2	0.26		240	30.65		4	0.51		0	0.00		10	1.28		0	0.00		0	0.00		0	0.00		377	48.15		1	0.13		1	0.13		26	3.32		0	0.00		0	0.00		4	0.51		0	0.00		783	95.02		41	4.98		824	1.00
Parkes Street		45	3.17		24	1.69		9	0.63		1	0.07		15	1.06		1	0.07		97	6.84		6	0.42		5	0.35		472	33.26		2	0.14		1	0.07		5	0.35		0	0.00		1	0.07		2	0.14		676	47.64		9	0.63		2	0.14		40	2.82		0	0.00		2	0.14		4	0.28		0	0.00		1419	95.43		68	4.57		1487	1.80
Putney		91	2.92		47	1.51		23	0.74		0	0.00		26	0.83		2	0.06		207	6.65		16	0.51		4	0.13		813	26.11		15	0.48		0	0.00		15	0.48		0	0.00		2	0.06		5	0.16		1688	54.21		20	0.64		5	0.16		126	4.05		0	0.00		0	0.00		9	0.29		0	0.00		3114	96.26		121	3.74		3235	3.92
Roselea (Bennelong)		35	2.64		33	2.48		44	3.31		0	0.00		17	1.28		3	0.23		105	7.91		2	0.15		1	0.08		349	26.28		2	0.15		0	0.00		2	0.15		1	0.08		1	0.08		1	0.08		674	50.75		1	0.08		1	0.08		48	3.61		1	0.08		0	0.00		6	0.45		1	0.08		1328	96.93		42	3.07		1370	1.66
Royal Ryde Homes		1	0.97		0	0.00		0	0.00		0	0.00		0	0.00		1	0.97		8	7.77		0	0.00		0	0.00		30	29.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		55	53.40		0	0.00		0	0.00		8	7.77		0	0.00		0	0.00		0	0.00		0	0.00		103	96.26		4	3.74		107	0.13
Ryde		74	2.87		26	1.01		35	1.36		3	0.12		45	1.74		2	0.08		178	6.90		22	0.85		10	0.39		1052	40.76		10	0.39		0	0.00		6	0.23		0	0.00		3	0.12		2	0.08		984	38.12		19	0.74		1	0.04		99	3.84		1	0.04		2	0.08		6	0.23		1	0.04		2581	93.18		189	6.82		2770	3.36
Ryde Central		32	3.12		30	2.92		4	0.39		0	0.00		15	1.46		0	0.00		48	4.68		6	0.58		2	0.19		323	31.48		4	0.39		1	0.10		1	0.10		0	0.00		1	0.10		1	0.10		518	50.49		11	1.07		21	2.05		5	0.49		0	0.00		0	0.00		3	0.29		0	0.00		1026	92.60		82	7.40		1108	1.34
Ryde East		100	3.24		27	0.88		22	0.71		1	0.03		23	0.75		0	0.00		272	8.82		21	0.68		4	0.13		785	25.46		11	0.36		0	0.00		15	0.49		0	0.00		2	0.06		0	0.00		1623	52.64		5	0.16		3	0.10		154	5.00		0	0.00		1	0.03		12	0.39		2	0.06		3083	96.04		127	3.96		3210	3.89
Ryde Heights		24	3.73		13	2.02		1	0.16		0	0.00		11	1.71		1	0.16		52	8.09		2	0.31		0	0.00		218	33.90		3	0.47		0	0.00		3	0.47		0	0.00		1	0.16		1	0.16		284	44.17		2	0.31		1	0.16		19	2.95		0	0.00		0	0.00		6	0.93		1	0.16		643	96.69		22	3.31		665	0.81
Ryde Hospital		22	3.56		12	1.94		7	1.13		1	0.16		4	0.65		2	0.32		44	7.12		4	0.65		1	0.16		160	25.89		2	0.32		1	0.16		1	0.16		0	0.00		1	0.16		1	0.16		321	51.94		2	0.32		1	0.16		30	4.85		0	0.00		0	0.00		1	0.16		0	0.00		618	97.32		17	2.68		635	0.77
