Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Paterson (82782)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Martins Creek		35	16.83		6	2.88		0	0.00		1	0.48		0	0.00		0	0.00		13	6.25		1	0.48		0	0.00		59	28.37		3	1.44		0	0.00		2	0.96		0	0.00		1	0.48		0	0.00		76	36.54		2	0.96		1	0.48		8	3.85		0	0.00		0	0.00		0	0.00		0	0.00		208	97.65		5	2.35		213	0.27
Medowie		124	7.23		32	1.86		0	0.00		1	0.06		26	1.52		0	0.00		98	5.71		11	0.64		3	0.17		519	30.24		10	0.58		0	0.00		26	1.52		0	0.00		5	0.29		1	0.06		790	46.04		10	0.58		0	0.00		51	2.97		1	0.06		0	0.00		7	0.41		1	0.06		1716	97.67		41	2.33		1757	2.19
Millers Forest		25	9.73		4	1.56		0	0.00		0	0.00		3	1.17		0	0.00		14	5.45		0	0.00		0	0.00		56	21.79		1	0.39		0	0.00		4	1.56		0	0.00		2	0.78		0	0.00		139	54.09		0	0.00		0	0.00		6	2.33		0	0.00		0	0.00		2	0.78		1	0.39		257	94.83		14	5.17		271	0.34
Morpeth		43	5.32		22	2.72		0	0.00		0	0.00		12	1.48		1	0.12		68	8.41		5	0.62		0	0.00		284	35.11		2	0.25		1	0.12		7	0.87		1	0.12		4	0.49		0	0.00		314	38.81		1	0.12		0	0.00		40	4.94		0	0.00		0	0.00		4	0.49		0	0.00		809	98.54		12	1.46		821	1.02
Mount Kanwary		17	8.46		4	1.99		1	0.50		0	0.00		0	0.00		0	0.00		18	8.96		1	0.50		0	0.00		43	21.39		1	0.50		0	0.00		2	1.00		0	0.00		0	0.00		0	0.00		108	53.73		0	0.00		0	0.00		6	2.99		0	0.00		0	0.00		0	0.00		0	0.00		201	96.63		7	3.37		208	0.26
Nabiac		50	9.90		3	0.59		0	0.00		1	0.20		2	0.40		0	0.00		11	2.18		3	0.59		1	0.20		123	24.36		1	0.20		0	0.00		6	1.19		1	0.20		0	0.00		1	0.20		276	54.65		7	1.39		1	0.20		13	2.57		0	0.00		0	0.00		5	0.99		0	0.00		505	96.74		17	3.26		522	0.65
Nelson Bay		66	6.36		15	1.45		0	0.00		0	0.00		12	1.16		1	0.10		79	7.61		20	1.93		2	0.19		240	23.12		10	0.96		2	0.19		13	1.25		0	0.00		0	0.00		2	0.19		530	51.06		3	0.29		2	0.19		40	3.85		0	0.00		0	0.00		1	0.10		0	0.00		1038	96.29		40	3.71		1078	1.34
Nelson Bay Central		73	8.63		9	1.06		1	0.12		0	0.00		8	0.95		0	0.00		38	4.49		10	1.18		0	0.00		279	32.98		1	0.12		0	0.00		15	1.77		0	0.00		1	0.12		1	0.12		384	45.39		3	0.35		0	0.00		14	1.65		0	0.00		0	0.00		9	1.06		0	0.00		846	96.69		29	3.31		875	1.09
Nelson Bay East		25	6.67		1	0.27		0	0.00		0	0.00		10	2.67		0	0.00		13	3.47		1	0.27		0	0.00		133	35.47		0	0.00		0	0.00		1	0.27		0	0.00		1	0.27		0	0.00		181	48.27		1	0.27		1	0.27		7	1.87		0	0.00		0	0.00		0	0.00		0	0.00		375	94.70		21	5.30		396	0.49
Nelson Bay West		25	4.91		8	1.57		0	0.00		0	0.00		2	0.39		2	0.39		41	8.06		8	1.57		0	0.00		129	25.34		4	0.79		0	0.00		4	0.79		0	0.00		0	0.00		0	0.00		263	51.67		3	0.59		1	0.20		18	3.54		0	0.00		0	0.00		1	0.20		0	0.00		509	99.22		4	0.78		513	0.64
North Arm Cove		30	12.15		21	8.50		0	0.00		0	0.00		3	1.21		1	0.40		5	2.02		0	0.00		0	0.00		61	24.70		2	0.81		0	0.00		2	0.81		0	0.00		1	0.40		0	0.00		107	43.32		3	1.21		0	0.00		10	4.05		0	0.00		0	0.00		1	0.40		0	0.00		247	100.00		0	0.00		247	0.31
Pacific Palms		58	6.33		10	1.09		1	0.11		0	0.00		8	0.87		0	0.00		61	6.66		16	1.75		2	0.22		293	31.99		6	0.66		1	0.11		8	0.87		0	0.00		0	0.00		2	0.22		370	40.39		3	0.33		1	0.11		71	7.75		0	0.00		1	0.11		4	0.44		0	0.00		916	96.73		31	3.27		947	1.18
Paterson		56	10.92		5	0.97		0	0.00		1	0.19		4	0.78		0	0.00		54	10.53		3	0.58		0	0.00		112	21.83		3	0.58		0	0.00		5	0.97		0	0.00		1	0.19		0	0.00		233	45.42		1	0.19		0	0.00		29	5.65		0	0.00		0	0.00		5	0.97		1	0.19		513	99.23		4	0.77		517	0.64
Raymond Terrace		136	8.09		21	1.25		0	0.00		0	0.00		25	1.49		1	0.06		56	3.33		20	1.19		1	0.06		654	38.88		14	0.83		2	0.12		16	0.95		0	0.00		2	0.12		0	0.00		664	39.48		11	0.65		3	0.18		42	2.50		0	0.00		1	0.06		12	0.71		1	0.06		1682	96.22		66	3.78		1748	2.18
Raymond Terrace Central		104	6.56		30	1.89		2	0.13		0	0.00		30	1.89		2	0.13		79	4.98		18	1.13		1	0.06		581	36.63		10	0.63		3	0.19		18	1.13		0	0.00		0	0.00		1	0.06		658	41.49		10	0.63		2	0.13		25	1.58		0	0.00		3	0.19		9	0.57		0	0.00		1586	96.83		52	3.17		1638	2.04
Raymond Terrace East		86	6.47		12	0.90		2	0.15		1	0.08		23	1.73		2	0.15		38	2.86		27	2.03		1	0.08		598	45.00		10	0.75		0	0.00		16	1.20		0	0.00		3	0.23		1	0.08		461	34.69		13	0.98		2	0.15		28	2.11		0	0.00		0	0.00		5	0.38		0	0.00		1329	97.22		38	2.78		1367	1.70
Raymond Terrace North		82	5.79		16	1.13		1	0.07		1	0.07		44	3.11		1	0.07		48	3.39		28	1.98		1	0.07		608	42.91		13	0.92		0	0.00		18	1.27		1	0.07		0	0.00		2	0.14		498	35.14		14	0.99		0	0.00		35	2.47		0	0.00		0	0.00		6	0.42		0	0.00		1417	97.59		35	2.41		1452	1.81
Rookhurst		7	8.14		0	0.00		0	0.00		0	0.00		3	3.49		0	0.00		1	1.16		1	1.16		0	0.00		5	5.81		0	0.00		0	0.00		2	2.33		0	0.00		0	0.00		0	0.00		65	75.58		1	1.16		0	0.00		1	1.16		0	0.00		0	0.00		0	0.00		0	0.00		86	100.00		0	0.00		86	0.11
Salamander		53	4.53		20	1.71		1	0.09		0	0.00		15	1.28		1	0.09		45	3.84		10	0.85		3	0.26		341	29.12		6	0.51		0	0.00		11	0.94		0	0.00		1	0.09		2	0.17		630	53.80		3	0.26		0	0.00		24	2.05		1	0.09		0	0.00		4	0.34		0	0.00		1171	98.07		23	1.93		1194	1.49
Salamander Bay		66	4.53		9	0.62		3	0.21		0	0.00		16	1.10		1	0.07		65	4.46		8	0.55		0	0.00		448	30.73		9	0.62		0	0.00		10	0.69		0	0.00		3	0.21		0	0.00		780	53.50		5	0.34		0	0.00		30	2.06		0	0.00		0	0.00		5	0.34		0	0.00		1458	95.86		63	4.14		1521	1.90
Salisbury		6	7.06		3	3.53		0	0.00		0	0.00		0	0.00		0	0.00		3	3.53		1	1.18		0	0.00		13	15.29		0	0.00		1	1.18		1	1.18		0	0.00		0	0.00		0	0.00		54	63.53		1	1.18		0	0.00		2	2.35		0	0.00		0	0.00		0	0.00		0	0.00		85	98.84		1	1.16		86	0.11
Salt Ash		83	11.93		10	1.44		0	0.00		1	0.14		9	1.29		0	0.00		31	4.45		7	1.01		1	0.14		198	28.45		3	0.43		0	0.00		7	1.01		0	0.00		2	0.29		2	0.29		308	44.25		3	0.43		1	0.14		24	3.45		0	0.00		0	0.00		4	0.57		2	0.29		696	99.00		7	1.00		703	0.88
