Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Watson (81961)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Kingsgrove		63	3.15		38	1.90		33	1.65		3	0.15		32	1.60		3	0.15		78	3.90		7	0.35		4	0.20		968	48.42		5	0.25		2	0.10		11	0.55		2	0.10		6	0.30		1	0.05		669	33.47		12	0.60		2	0.10		52	2.60		0	0.00		2	0.10		6	0.30		0	0.00		1999	93.24		145	6.76		2144	2.80
Kingsgrove North		43	5.51		6	0.77		9	1.15		0	0.00		14	1.79		1	0.13		31	3.97		2	0.26		1	0.13		375	48.02		4	0.51		1	0.13		5	0.64		0	0.00		0	0.00		0	0.00		255	32.65		3	0.38		3	0.38		23	2.94		0	0.00		1	0.13		4	0.51		0	0.00		781	92.76		61	7.24		842	1.10
Kingsgrove South		30	2.99		21	2.09		24	2.39		0	0.00		31	3.09		1	0.10		50	4.99		2	0.20		0	0.00		500	49.85		5	0.50		0	0.00		6	0.60		0	0.00		1	0.10		1	0.10		291	29.01		5	0.50		2	0.20		23	2.29		0	0.00		1	0.10		9	0.90		0	0.00		1003	93.56		69	6.44		1072	1.40
Lakemba		54	2.86		28	1.48		57	3.02		1	0.05		56	2.96		0	0.00		43	2.28		7	0.37		5	0.26		1229	65.03		4	0.21		2	0.11		3	0.16		1	0.05		1	0.05		1	0.05		330	17.46		12	0.63		0	0.00		52	2.75		0	0.00		0	0.00		4	0.21		0	0.00		1890	94.08		119	5.92		2009	2.62
Lakemba Central		49	2.74		16	0.90		20	1.12		1	0.06		39	2.18		2	0.11		61	3.41		10	0.56		6	0.34		1079	60.38		4	0.22		3	0.17		8	0.45		4	0.22		2	0.11		2	0.11		413	23.11		14	0.78		2	0.11		46	2.57		0	0.00		0	0.00		6	0.34		0	0.00		1787	90.99		177	9.01		1964	2.56
Lakemba North		33	1.91		12	0.69		86	4.97		1	0.06		55	3.18		0	0.00		34	1.97		6	0.35		6	0.35		1176	68.02		4	0.23		6	0.35		4	0.23		1	0.06		6	0.35		1	0.06		224	12.96		15	0.87		2	0.12		53	3.07		2	0.12		0	0.00		2	0.12		0	0.00		1729	90.15		189	9.85		1918	2.50
Mccallums Hill		162	4.76		52	1.53		26	0.76		1	0.03		71	2.09		1	0.03		139	4.09		21	0.62		10	0.29		1624	47.74		9	0.26		3	0.09		28	0.82		1	0.03		1	0.03		3	0.09		1126	33.10		34	1.00		4	0.12		64	1.88		1	0.03		3	0.09		17	0.50		1	0.03		3402	93.98		218	6.02		3620	4.72
Ponyara Road		51	3.89		29	2.21		33	2.52		0	0.00		25	1.91		11	0.84		64	4.88		2	0.15		5	0.38		514	39.18		3	0.23		0	0.00		1	0.08		1	0.08		1	0.08		0	0.00		526	40.09		7	0.53		0	0.00		33	2.52		0	0.00		2	0.15		4	0.30		0	0.00		1312	95.77		58	4.23		1370	1.79
Sutton Park		48	3.77		31	2.44		11	0.86		0	0.00		23	1.81		0	0.00		52	4.08		5	0.39		2	0.16		568	44.62		4	0.31		2	0.16		4	0.31		3	0.24		1	0.08		0	0.00		463	36.37		13	1.02		1	0.08		38	2.99		0	0.00		0	0.00		4	0.31		0	0.00		1273	92.25		107	7.75		1380	1.80
Sydney (Watson)		2	1.00		2	1.00		5	2.49		1	0.50		9	4.48		0	0.00		14	6.97		2	1.00		0	0.00		104	51.74		2	1.00		0	0.00		1	0.50		0	0.00		0	0.00		1	0.50		42	20.90		3	1.49		0	0.00		11	5.47		0	0.00		0	0.00		1	0.50		1	0.50		201	95.71		9	4.29		210	0.27
Undercliffe		62	3.64		12	0.71		28	1.65		0	0.00		29	1.70		0	0.00		93	5.47		13	0.76		15	0.88		665	39.09		8	0.47		0	0.00		10	0.59		5	0.29		0	0.00		4	0.24		599	35.21		13	0.76		0	0.00		139	8.17		0	0.00		0	0.00		6	0.35		0	0.00		1701	93.36		121	6.64		1822	2.38
Wiley Park East		15	1.68		12	1.34		16	1.79		1	0.11		23	2.57		0	0.00		39	4.36		2	0.22		4	0.45		607	67.82		3	0.34		1	0.11		1	0.11		1	0.11		0	0.00		2	0.22		137	15.31		1	0.11		0	0.00		26	2.91		0	0.00		1	0.11		3	0.34		0	0.00		895	91.51		83	8.49		978	1.28
Wiley Park West (Watson)		24	4.03		11	1.85		27	4.54		0	0.00		23	3.87		2	0.34		12	2.02		1	0.17		1	0.17		377	63.36		4	0.67		1	0.17		0	0.00		1	0.17		2	0.34		1	0.17		91	15.29		6	1.01		0	0.00		6	1.01		0	0.00		2	0.34		3	0.50		0	0.00		595	90.02		66	9.98		661	0.86
Special Hospitals		2	3.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	37.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		35	59.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		59	98.33		1	1.67		60	0.08
Total Ordinary		1976	3.24		968	1.59		1357	2.22		35	0.06		1507	2.47		60	0.10		2431	3.99		277	0.45		205	0.34		31853	52.22		197	0.32		64	0.10		282	0.46		39	0.06		52	0.09		55	0.09		17200	28.20		444	0.73		63	0.10		1663	2.73		20	0.03		37	0.06		191	0.31		23	0.04		60999	93.03		4568	6.97		65567	85.52
ABSENT		196	3.58		113	2.06		91	1.66		2	0.04		262	4.78		7	0.13		304	5.55		61	1.11		16	0.29		2460	44.92		21	0.38		3	0.05		49	0.89		5	0.09		3	0.05		7	0.13		1543	28.17		71	1.30		8	0.15		224	4.09		4	0.07		0	0.00		26	0.47		1	0.02		5477	97.09		164	2.91		5641	7.36
POSTAL		108	5.64		23	1.20		33	1.72		0	0.00		27	1.41		2	0.10		64	3.34		4	0.21		1	0.05		778	40.61		5	0.26		1	0.05		9	0.47		0	0.00		0	0.00		0	0.00		798	41.65		10	0.52		2	0.10		31	1.62		3	0.16		0	0.00		16	0.84		1	0.05		1916	98.46		30	1.54		1946	2.54
PRE_POLL		78	3.20		44	1.81		106	4.35		2	0.08		113	4.64		5	0.21		132	5.42		8	0.33		7	0.29		1089	44.69		8	0.33		1	0.04		13	0.53		0	0.00		1	0.04		9	0.37		722	29.63		28	1.15		5	0.21		53	2.17		1	0.04		1	0.04		10	0.41		1	0.04		2437	97.64		59	2.36		2496	3.26
PROVISIONAL		12	1.26		12	1.26		30	3.16		1	0.11		41	4.32		1	0.11		30	3.16		7	0.74		3	0.32		583	61.43		0	0.00		4	0.42		2	0.21		0	0.00		0	0.00		5	0.53		180	18.97		11	1.16		2	0.21		20	2.11		0	0.00		1	0.11		4	0.42		0	0.00		949	93.13		70	6.87		1019	1.33
Division Summary		2370	3.3		1160	1.62		1617	2.25		40	0.06		1950	2.72		75	0.1		2961	4.13		357	0.5		232	0.32		36763	51.22		231	0.32		73	0.1		355	0.49		44	0.06		56	0.08		76	0.11		20443	28.48		564	0.79		80	0.11		1991	2.77		28	0.04		39	0.05		247	0.34		26	0.04		71778	93.62		4891	6.38		76669	93.54
