Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Charlton (83459)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Killingworth		26	6.67		3	0.77		0	0.00		0	0.00		4	1.03		0	0.00		21	5.38		5	1.28		1	0.26		200	51.28		6	1.54		0	0.00		4	1.03		0	0.00		1	0.26		1	0.26		104	26.67		1	0.26		1	0.26		8	2.05		0	0.00		0	0.00		4	1.03		0	0.00		390	98.73		5	1.27		395	0.49
Martindale St		105	5.88		28	1.57		1	0.06		1	0.06		38	2.13		3	0.17		91	5.10		24	1.34		6	0.34		812	45.49		25	1.40		2	0.11		14	0.78		0	0.00		0	0.00		1	0.06		536	30.03		16	0.90		3	0.17		71	3.98		1	0.06		3	0.17		2	0.11		2	0.11		1785	94.10		112	5.90		1897	2.37
Martinsville		20	11.24		2	1.12		0	0.00		0	0.00		7	3.93		0	0.00		13	7.30		2	1.12		0	0.00		41	23.03		1	0.56		0	0.00		1	0.56		0	0.00		0	0.00		0	0.00		78	43.82		0	0.00		0	0.00		12	6.74		0	0.00		0	0.00		1	0.56		0	0.00		178	96.74		6	3.26		184	0.23
Morisset		134	8.50		28	1.78		1	0.06		1	0.06		22	1.40		0	0.00		101	6.41		17	1.08		4	0.25		593	37.63		11	0.70		0	0.00		4	0.25		3	0.19		0	0.00		3	0.19		572	36.29		11	0.70		0	0.00		56	3.55		0	0.00		1	0.06		12	0.76		2	0.13		1576	96.16		63	3.84		1639	2.05
Mount Hutton (Charlton)		22	5.19		11	2.59		2	0.47		0	0.00		6	1.42		1	0.24		34	8.02		7	1.65		2	0.47		150	35.38		0	0.00		0	0.00		3	0.71		0	0.00		0	0.00		0	0.00		160	37.74		3	0.71		0	0.00		19	4.48		0	0.00		0	0.00		4	0.94		0	0.00		424	96.36		16	3.64		440	0.55
New Lambton Heights		15	2.81		12	2.25		0	0.00		0	0.00		1	0.19		0	0.00		66	12.38		4	0.75		0	0.00		138	25.89		2	0.38		0	0.00		3	0.56		0	0.00		0	0.00		0	0.00		231	43.34		2	0.38		1	0.19		57	10.69		0	0.00		0	0.00		1	0.19		0	0.00		533	97.98		11	2.02		544	0.68
Rathmines		188	8.00		43	1.83		1	0.04		2	0.09		34	1.45		5	0.21		189	8.04		23	0.98		4	0.17		846	36.00		28	1.19		1	0.04		42	1.79		1	0.04		1	0.04		1	0.04		826	35.15		9	0.38		3	0.13		86	3.66		1	0.04		2	0.09		14	0.60		0	0.00		2350	97.19		68	2.81		2418	3.02
Silver Ridge		33	4.75		15	2.16		1	0.14		0	0.00		8	1.15		0	0.00		44	6.33		5	0.72		1	0.14		279	40.14		6	0.86		1	0.14		3	0.43		0	0.00		1	0.14		0	0.00		268	38.56		4	0.58		0	0.00		23	3.31		0	0.00		0	0.00		3	0.43		0	0.00		695	97.34		19	2.66		714	0.89
Speers Point		250	11.66		39	1.82		4	0.19		0	0.00		39	1.82		5	0.23		104	4.85		35	1.63		6	0.28		887	41.37		16	0.75		1	0.05		20	0.93		0	0.00		2	0.09		2	0.09		638	29.76		19	0.89		1	0.05		62	2.89		1	0.05		0	0.00		13	0.61		0	0.00		2144	96.97		67	3.03		2211	2.76
Sunshine		69	9.64		17	2.37		0	0.00		0	0.00		7	0.98		1	0.14		42	5.87		5	0.70		4	0.56		278	38.83		4	0.56		0	0.00		9	1.26		0	0.00		0	0.00		3	0.42		253	35.34		1	0.14		0	0.00		20	2.79		0	0.00		1	0.14		2	0.28		0	0.00		716	96.24		28	3.76		744	0.93
Sydney (Charlton)		0	0.00		2	5.71		0	0.00		0	0.00		1	2.86		0	0.00		0	0.00		0	0.00		0	0.00		15	42.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.86		12	34.29		1	2.86		0	0.00		3	8.57		0	0.00		0	0.00		0	0.00		0	0.00		35	100.00		0	0.00		35	0.04
Teralba		101	11.44		19	2.15		0	0.00		0	0.00		21	2.38		1	0.11		38	4.30		11	1.25		2	0.23		397	44.96		5	0.57		0	0.00		12	1.36		0	0.00		2	0.23		0	0.00		242	27.41		4	0.45		0	0.00		23	2.60		0	0.00		0	0.00		5	0.57		0	0.00		883	96.71		30	3.29		913	1.14
Toronto		37	8.60		8	1.86		1	0.23		0	0.00		7	1.63		1	0.23		26	6.05		3	0.70		0	0.00		221	51.40		3	0.70		1	0.23		2	0.47		0	0.00		0	0.00		0	0.00		91	21.16		3	0.70		1	0.23		24	5.58		0	0.00		0	0.00		1	0.23		0	0.00		430	96.63		15	3.37		445	0.56
Toronto North		78	6.91		22	1.95		2	0.18		1	0.09		25	2.22		3	0.27		78	6.91		14	1.24		3	0.27		413	36.61		7	0.62		1	0.09		17	1.51		0	0.00		1	0.09		1	0.09		398	35.28		5	0.44		2	0.18		47	4.17		0	0.00		0	0.00		9	0.80		1	0.09		1128	98.52		17	1.48		1145	1.43
Wallsend South		127	4.27		49	1.65		2	0.07		0	0.00		48	1.61		2	0.07		363	12.20		22	0.74		2	0.07		1079	36.27		17	0.57		1	0.03		24	0.81		1	0.03		2	0.07		4	0.13		1086	36.50		15	0.50		6	0.20		115	3.87		0	0.00		1	0.03		9	0.30		0	0.00		2975	97.77		68	2.23		3043	3.80
Wangi Wangi		168	10.02		32	1.91		2	0.12		0	0.00		35	2.09		3	0.18		139	8.29		12	0.72		4	0.24		650	38.76		8	0.48		2	0.12		25	1.49		0	0.00		2	0.12		4	0.24		516	30.77		2	0.12		0	0.00		67	4.00		0	0.00		1	0.06		4	0.24		1	0.06		1677	95.77		74	4.23		1751	2.19
Warners Bay		195	7.25		56	2.08		1	0.04		0	0.00		55	2.04		1	0.04		188	6.99		20	0.74		5	0.19		1054	39.18		28	1.04		0	0.00		28	1.04		2	0.07		2	0.07		5	0.19		915	34.01		15	0.56		3	0.11		103	3.83		0	0.00		0	0.00		14	0.52		0	0.00		2690	97.18		78	2.82		2768	3.46
Warners Bay Central		27	4.52		14	2.35		0	0.00		0	0.00		3	0.50		0	0.00		42	7.04		6	1.01		2	0.34		236	39.53		3	0.50		0	0.00		3	0.50		0	0.00		0	0.00		1	0.17		222	37.19		3	0.50		0	0.00		32	5.36		0	0.00		0	0.00		3	0.50		0	0.00		597	95.83		26	4.17		623	0.78
West Wallsend		203	10.29		46	2.33		4	0.20		0	0.00		55	2.79		4	0.20		85	4.31		18	0.91		7	0.35		1019	51.67		10	0.51		1	0.05		26	1.32		0	0.00		1	0.05		2	0.10		386	19.57		15	0.76		5	0.25		71	3.60		0	0.00		1	0.05		13	0.66		0	0.00		1972	95.68		89	4.32		2061	2.57
Woodrising		15	4.67		4	1.25		1	0.31		0	0.00		9	2.80		0	0.00		23	7.17		2	0.62		3	0.93		172	53.58		1	0.31		0	0.00		4	1.25		0	0.00		0	0.00		0	0.00		78	24.30		2	0.62		1	0.31		5	1.56		0	0.00		0	0.00		1	0.31		0	0.00		321	97.27		9	2.73		330	0.41
Wyee		84	6.95		85	7.03		0	0.00		0	0.00		18	1.49		1	0.08		74	6.12		11	0.91		5	0.41		393	32.51		15	1.24		0	0.00		11	0.91		0	0.00		1	0.08		3	0.25		444	36.72		6	0.50		0	0.00		41	3.39		0	0.00		0	0.00		15	1.24		2	0.17		1209	97.97		25	2.03		1234	1.54
Wyee Point		21	8.79		2	0.84		0	0.00		0	0.00		6	2.51		2	0.84		11	4.60		1	0.42		0	0.00		116	48.54		3	1.26		0	0.00		1	0.42		0	0.00		0	0.00		0	0.00		70	29.29		0	0.00		0	0.00		4	1.67		0	0.00		0	0.00		2	0.84		0	0.00		239	95.60		11	4.40		250	0.31
Special Hospitals		10	2.70		4	1.08		0	0.00		0	0.00		6	1.62		0	0.00		10	2.70		0	0.00		2	0.54		172	46.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		162	43.67		2	0.54		1	0.27		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		371	97.89		8	2.11		379	0.47
Total Ordinary		5134	7.93		1300	2.01		55	0.08		19	0.03		1280	1.98		65	0.10		4161	6.43		676	1.04		164	0.25		26678	41.21		497	0.77		42	0.06		634	0.98		24	0.04		59	0.09		76	0.12		20693	31.96		363	0.56		70	0.11		2363	3.65		6	0.01		28	0.04		331	0.51		23	0.04		64741	96.86		2101	3.14		66842	83.46
ABSENT		360	6.71		114	2.13		9	0.17		1	0.02		184	3.43		7	0.13		379	7.07		91	1.70		6	0.11		1917	35.74		64	1.19		3	0.06		59	1.10		2	0.04		5	0.09		10	0.19		1767	32.95		47	0.88		11	0.21		268	5.00		5	0.09		5	0.09		46	0.86		3	0.06		5363	97.63		130	2.37		5493	6.86
POSTAL		191	7.08		55	2.04		1	0.04		2	0.07		56	2.08		2	0.07		140	5.19		8	0.30		7	0.26		902	33.43		16	0.59		0	0.00		20	0.74		1	0.04		0	0.00		4	0.15		1204	44.63		20	0.74		4	0.15		45	1.67		0	0.00		3	0.11		17	0.63		0	0.00		2698	98.90		30	1.10		2728	3.41
PRE_POLL		338	7.87		84	1.96		4	0.09		5	0.12		75	1.75		2	0.05		282	6.57		26	0.61		3	0.07		1173	27.31		37	0.86		6	0.14		36	0.84		0	0.00		1	0.02		5	0.12		2035	47.38		17	0.40		3	0.07		142	3.31		0	0.00		2	0.05		16	0.37		3	0.07		4295	98.49		66	1.51		4361	5.45
PROVISIONAL		44	6.83		14	2.17		0	0.00		1	0.16		29	4.50		0	0.00		41	6.37		19	2.95		1	0.16		261	40.53		13	2.02		1	0.16		10	1.55		1	0.16		3	0.47		3	0.47		157	24.38		4	0.62		2	0.31		37	5.75		0	0.00		0	0.00		3	0.47		0	0.00		644	96.70		22	3.30		666	0.83
Division Summary		6067	7.8		1567	2.02		69	0.09		28	0.04		1624	2.09		76	0.1		5003	6.44		820	1.05		181	0.23		30931	39.79		627	0.81		52	0.07		759	0.98		28	0.04		68	0.09		98	0.13		25856	33.26		451	0.58		90	0.12		2855	3.67		11	0.01		38	0.05		413	0.53		29	0.04		77741	97.07		2349	2.93		80090	95.96
