Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Richmond (81312)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Federal		15	3.82		8	2.04		0	0.00		0	0.00		2	0.51		15	3.82		45	11.45		7	1.78		1	0.25		94	23.92		2	0.51		1	0.25		0	0.00		0	0.00		0	0.00		0	0.00		83	21.12		1	0.25		0	0.00		116	29.52		0	0.00		0	0.00		2	0.51		1	0.25		393	98.74		5	1.26		398	0.52
Fernleigh		18	7.14		4	1.59		0	0.00		0	0.00		3	1.19		1	0.40		23	9.13		4	1.59		0	0.00		62	24.60		2	0.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		110	43.65		2	0.79		0	0.00		23	9.13		0	0.00		0	0.00		0	0.00		0	0.00		252	98.44		4	1.56		256	0.33
Fingal Head		24	7.97		4	1.33		0	0.00		0	0.00		9	2.99		0	0.00		28	9.30		2	0.66		0	0.00		106	35.22		3	1.00		0	0.00		1	0.33		0	0.00		0	0.00		1	0.33		88	29.24		2	0.66		0	0.00		32	10.63		0	0.00		0	0.00		1	0.33		0	0.00		301	97.73		7	2.27		308	0.40
Goonengerry		6	4.14		2	1.38		0	0.00		0	0.00		1	0.69		6	4.14		24	16.55		4	2.76		0	0.00		43	29.66		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		0	0.00		15	10.34		0	0.00		0	0.00		42	28.97		0	0.00		0	0.00		1	0.69		0	0.00		145	100.00		0	0.00		145	0.19
Hastings Point		25	7.60		0	0.00		0	0.00		0	0.00		4	1.22		1	0.30		11	3.34		6	1.82		0	0.00		138	41.95		1	0.30		0	0.00		2	0.61		0	0.00		1	0.30		0	0.00		115	34.95		3	0.91		0	0.00		21	6.38		0	0.00		0	0.00		0	0.00		1	0.30		329	98.21		6	1.79		335	0.44
Kingscliff		185	7.02		17	0.64		0	0.00		1	0.04		39	1.48		5	0.19		183	6.94		26	0.99		6	0.23		885	33.56		13	0.49		2	0.08		22	0.83		0	0.00		1	0.04		2	0.08		1044	39.59		16	0.61		2	0.08		178	6.75		1	0.04		1	0.04		8	0.30		0	0.00		2637	97.81		59	2.19		2696	3.51
Kunghur		18	7.56		2	0.84		0	0.00		0	0.00		2	0.84		1	0.42		24	10.08		17	7.14		3	1.26		59	24.79		0	0.00		0	0.00		1	0.42		0	0.00		0	0.00		0	0.00		68	28.57		0	0.00		0	0.00		42	17.65		0	0.00		0	0.00		1	0.42		0	0.00		238	98.76		3	1.24		241	0.31
Lennox Head		113	3.73		52	1.72		4	0.13		4	0.13		27	0.89		17	0.56		284	9.38		47	1.55		5	0.17		874	28.86		23	0.76		1	0.03		13	0.43		1	0.03		3	0.10		4	0.13		1200	39.63		9	0.30		3	0.10		330	10.90		0	0.00		1	0.03		9	0.30		4	0.13		3028	98.03		61	1.97		3089	4.02
Mcleans Ridges		2	2.70		9	12.16		0	0.00		0	0.00		0	0.00		0	0.00		1	1.35		0	0.00		0	0.00		15	20.27		1	1.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		43	58.11		0	0.00		0	0.00		2	2.70		0	0.00		0	0.00		0	0.00		1	1.35		74	98.67		1	1.33		75	0.10
Main Arm Upper		2	1.69		0	0.00		0	0.00		0	0.00		2	1.69		6	5.08		7	5.93		9	7.63		1	0.85		25	21.19		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		0	0.00		14	11.86		0	0.00		1	0.85		50	42.37		0	0.00		0	0.00		0	0.00		0	0.00		118	95.16		6	4.84		124	0.16
