Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
 By Polling Place																																																																																	

Gwydir (84602)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Goodooga		7	4.73		0	0.00		0	0.00		0	0.00		12	8.11		0	0.00		2	1.35		2	1.35		0	0.00		87	58.78		1	0.68		0	0.00		1	0.68		0	0.00		0	0.00		0	0.00		28	18.92		1	0.68		0	0.00		5	3.38		0	0.00		0	0.00		2	1.35		0	0.00		148	98.67		2	1.33		150	0.19
Goolma		27	19.57		5	3.62		0	0.00		0	0.00		1	0.72		0	0.00		3	2.17		0	0.00		26	18.84		4	2.90		0	0.00		0	0.00		1	0.72		0	0.00		0	0.00		0	0.00		67	48.55		1	0.72		0	0.00		1	0.72		0	0.00		1	0.72		1	0.72		0	0.00		138	97.87		3	2.13		141	0.17
Gravesend		27	14.84		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		5	2.75		3	1.65		0	0.00		34	18.68		3	1.65		1	0.55		2	1.10		1	0.55		0	0.00		0	0.00		97	53.30		6	3.30		0	0.00		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		182	98.38		3	1.62		185	0.23
Gulargambone		73	16.33		6	1.34		0	0.00		0	0.00		11	2.46		0	0.00		15	3.36		1	0.22		2	0.45		88	19.69		6	1.34		0	0.00		1	0.22		0	0.00		0	0.00		2	0.45		234	52.35		1	0.22		0	0.00		5	1.12		0	0.00		0	0.00		2	0.45		0	0.00		447	97.60		11	2.40		458	0.57
Gulgong		239	12.63		22	1.16		0	0.00		3	0.16		33	1.74		0	0.00		67	3.54		18	0.95		6	0.32		725	38.32		25	1.32		0	0.00		11	0.58		1	0.05		3	0.16		1	0.05		677	35.78		15	0.79		0	0.00		33	1.74		0	0.00		0	0.00		11	0.58		2	0.11		1892	97.08		57	2.92		1949	2.42
Gundy		19	12.58		0	0.00		0	0.00		0	0.00		2	1.32		0	0.00		7	4.64		1	0.66		0	0.00		29	19.21		1	0.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		88	58.28		0	0.00		0	0.00		2	1.32		0	0.00		0	0.00		2	1.32		0	0.00		151	96.79		5	3.21		156	0.19
Gunnedah		347	11.31		47	1.53		3	0.10		11	0.36		64	2.09		2	0.07		86	2.80		27	0.88		3	0.10		795	25.90		69	2.25		4	0.13		27	0.88		1	0.03		3	0.10		2	0.07		1454	47.38		43	1.40		2	0.07		54	1.76		2	0.07		0	0.00		20	0.65		3	0.10		3069	98.18		57	1.82		3126	3.88
Gunnedah High		108	10.64		26	2.56		3	0.30		0	0.00		20	1.97		0	0.00		38	3.74		6	0.59		3	0.30		297	29.26		13	1.28		0	0.00		11	1.08		0	0.00		2	0.20		0	0.00		462	45.52		9	0.89		0	0.00		10	0.99		0	0.00		1	0.10		6	0.59		0	0.00		1015	96.57		36	3.43		1051	1.30
Gunnedah South		88	8.45		34	3.27		0	0.00		1	0.10		18	1.73		0	0.00		21	2.02		6	0.58		3	0.29		261	25.07		3	0.29		0	0.00		6	0.58		0	0.00		0	0.00		1	0.10		582	55.91		6	0.58		1	0.10		5	0.48		0	0.00		2	0.19		3	0.29		0	0.00		1041	97.65		25	2.35		1066	1.32
Gurley		15	13.64		1	0.91		0	0.00		1	0.91		0	0.00		0	0.00		5	4.55		0	0.00		0	0.00		3	2.73		1	0.91		0	0.00		4	3.64		0	0.00		0	0.00		1	0.91		75	68.18		2	1.82		0	0.00		1	0.91		0	0.00		1	0.91		0	0.00		0	0.00		110	98.21		2	1.79		112	0.14
Gwabegar		44	33.33		1	0.76		0	0.00		0	0.00		5	3.79		1	0.76		1	0.76		0	0.00		1	0.76		30	22.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	33.33		2	1.52		0	0.00		2	1.52		0	0.00		0	0.00		1	0.76		0	0.00		132	96.35		5	3.65		137	0.17
Hargraves		42	20.10		1	0.48		0	0.00		1	0.48		4	1.91		0	0.00		7	3.35		0	0.00		0	0.00		41	19.62		1	0.48		0	0.00		1	0.48		0	0.00		0	0.00		0	0.00		107	51.20		1	0.48		0	0.00		3	1.44		0	0.00		0	0.00		0	0.00		0	0.00		209	97.66		5	2.34		214	0.27
Ilford		38	18.18		1	0.48		0	0.00		0	0.00		2	0.96		0	0.00		7	3.35		2	0.96		1	0.48		33	15.79		0	0.00		0	0.00		3	1.44		0	0.00		0	0.00		0	0.00		110	52.63		1	0.48		0	0.00		10	4.78		0	0.00		0	0.00		1	0.48		0	0.00		209	99.05		2	0.95		211	0.26
Kandos		144	14.68		8	0.82		0	0.00		2	0.20		16	1.63		2	0.20		28	2.85		10	1.02		4	0.41		512	52.19		1	0.10		0	0.00		6	0.61		1	0.10		0	0.00		1	0.10		207	21.10		3	0.31		0	0.00		25	2.55		1	0.10		2	0.20		8	0.82		0	0.00		981	94.69		55	5.31		1036	1.28
Kelvin		14	10.53		5	3.76		0	0.00		1	0.75		2	1.50		0	0.00		4	3.01		1	0.75		0	0.00		11	8.27		1	0.75		2	1.50		1	0.75		0	0.00		0	0.00		0	0.00		87	65.41		0	0.00		0	0.00		3	2.26		0	0.00		0	0.00		1	0.75		0	0.00		133	98.52		2	1.48		135	0.17
Leadville		15	13.27		0	0.00		0	0.00		0	0.00		3	2.65		0	0.00		3	2.65		1	0.88		1	0.88		30	26.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		58	51.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.77		0	0.00		113	97.41		3	2.59		116	0.14
Lightning Ridge		300	23.04		8	0.61		1	0.08		4	0.31		50	3.84		0	0.00		41	3.15		29	2.23		5	0.38		375	28.80		6	0.46		1	0.08		15	1.15		0	0.00		1	0.08		3	0.23		413	31.72		14	1.08		1	0.08		34	2.61		0	0.00		0	0.00		1	0.08		0	0.00		1302	94.21		80	5.79		1382	1.71
Louth		9	18.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.17		0	0.00		0	0.00		4	8.33		1	2.08		0	0.00		3	6.25		0	0.00		1	2.08		0	0.00		27	56.25		1	2.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		48	96.00		2	4.00		50	0.06
Lue		28	18.92		2	1.35		0	0.00		1	0.68		0	0.00		0	0.00		9	6.08		2	1.35		0	0.00		28	18.92		1	0.68		0	0.00		1	0.68		0	0.00		0	0.00		0	0.00		67	45.27		2	1.35		0	0.00		7	4.73		0	0.00		0	0.00		0	0.00		0	0.00		148	98.67		2	1.33		150	0.19
Mendooran		60	13.36		6	1.34		0	0.00		0	0.00		6	1.34		0	0.00		11	2.45		2	0.45		3	0.67		130	28.95		2	0.45		0	0.00		2	0.45		1	0.22		0	0.00		0	0.00		221	49.22		3	0.67		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		1	0.22		449	97.40		12	2.60		461	0.57
Merriwa		97	11.18		5	0.58		1	0.12		0	0.00		16	1.84		3	0.35		17	1.96		6	0.69		1	0.12		253	29.15		7	0.81		0	0.00		6	0.69		0	0.00		0	0.00		0	0.00		422	48.62		3	0.35		0	0.00		23	2.65		0	0.00		0	0.00		8	0.92		0	0.00		868	96.66		30	3.34		898	1.11
Montefiores		76	16.07		41	8.67		0	0.00		1	0.21		8	1.69		0	0.00		11	2.33		3	0.63		1	0.21		75	15.86		5	1.06		0	0.00		1	0.21		1	0.21		0	0.00		0	0.00		241	50.95		0	0.00		0	0.00		6	1.27		0	0.00		0	0.00		2	0.42		1	0.21		473	98.13		9	1.87		482	0.60
Moonan Flat		17	9.50		0	0.00		0	0.00		0	0.00		1	0.56		0	0.00		7	3.91		1	0.56		0	0.00		28	15.64		3	1.68		0	0.00		1	0.56		0	0.00		1	0.56		0	0.00		118	65.92		0	0.00		0	0.00		2	1.12		0	0.00		0	0.00		0	0.00		0	0.00		179	99.44		1	0.56		180	0.22
Moree		229	12.81		57	3.19		1	0.06		1	0.06		37	2.07		4	0.22		44	2.46		14	0.78		2	0.11		366	20.48		25	1.40		4	0.22		18	1.01		0	0.00		5	0.28		3	0.17		917	51.32		28	1.57		4	0.22		18	1.01		0	0.00		0	0.00		10	0.56		0	0.00		1787	96.75		60	3.25		1847	2.29
Moree East		234	14.84		36	2.28		1	0.06		5	0.32		39	2.47		0	0.00		31	1.97		16	1.01		2	0.13		496	31.45		16	1.01		0	0.00		21	1.33		0	0.00		2	0.13		0	0.00		648	41.09		18	1.14		2	0.13		7	0.44		0	0.00		0	0.00		3	0.19		0	0.00		1577	96.51		57	3.49		1634	2.03
Moree West		158	10.81		22	1.51		1	0.07		1	0.07		15	1.03		2	0.14		50	3.42		13	0.89		4	0.27		268	18.34		17	1.16		0	0.00		12	0.82		0	0.00		1	0.07		5	0.34		850	58.18		10	0.68		2	0.14		19	1.30		0	0.00		0	0.00		11	0.75		0	0.00		1461	97.66		35	2.34		1496	1.86
Mudgee		225	9.42		38	1.59		1	0.04		3	0.13		40	1.68		4	0.17		116	4.86		38	1.59		3	0.13		669	28.02		22	0.92		1	0.04		16	0.67		0	0.00		2	0.08		3	0.13		1110	46.48		20	0.84		2	0.08		68	2.85		0	0.00		1	0.04		6	0.25		0	0.00		2388	97.71		56	2.29		2444	3.03
