Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
By Polling Place																																																																																	

Grayndler (86146)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Newtown North (Grayndler)		7	0.92		3	0.40		1	0.13		1	0.13		13	1.71		2	0.26		156	20.55		13	1.71		2	0.26		225	29.64		3	0.40		0	0.00		1	0.13		2	0.26		1	0.13		4	0.53		91	11.99		4	0.53		1	0.13		223	29.38		5	0.66		0	0.00		0	0.00		1	0.13		759	98.06		15	1.94		774	0.97
Petersham		47	2.37		26	1.31		13	0.66		3	0.15		28	1.41		9	0.45		201	10.15		29	1.46		3	0.15		831	41.97		7	0.35		0	0.00		6	0.30		0	0.00		4	0.20		2	0.10		455	22.98		6	0.30		5	0.25		295	14.90		4	0.20		1	0.05		2	0.10		3	0.15		1980	95.01		104	4.99		2084	2.60
Petersham East		20	2.91		9	1.31		0	0.00		1	0.15		7	1.02		0	0.00		82	11.92		10	1.45		2	0.29		306	44.48		5	0.73		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		159	23.11		2	0.29		2	0.29		80	11.63		0	0.00		0	0.00		1	0.15		1	0.15		688	92.23		58	7.77		746	0.93
Petersham North		1	0.25		7	1.77		1	0.25		0	0.00		8	2.02		0	0.00		53	13.38		10	2.53		0	0.00		165	41.67		2	0.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		76	19.19		1	0.25		1	0.25		69	17.42		1	0.25		0	0.00		1	0.25		0	0.00		396	96.59		14	3.41		410	0.51
Riverside		57	2.37		22	0.91		28	1.16		0	0.00		46	1.91		5	0.21		152	6.32		12	0.50		10	0.42		1331	55.32		6	0.25		2	0.08		5	0.21		5	0.21		0	0.00		4	0.17		450	18.70		15	0.62		2	0.08		237	9.85		6	0.25		2	0.08		9	0.37		0	0.00		2406	94.39		143	5.61		2549	3.18
Riverside North		20	1.54		11	0.85		13	1.00		0	0.00		45	3.47		1	0.08		90	6.95		5	0.39		9	0.69		648	50.04		5	0.39		0	0.00		7	0.54		1	0.08		3	0.23		1	0.08		270	20.85		11	0.85		1	0.08		150	11.58		0	0.00		0	0.00		2	0.15		2	0.15		1295	96.43		48	3.57		1343	1.68
St Clements		20	2.38		10	1.19		11	1.31		0	0.00		17	2.02		1	0.12		68	8.09		10	1.19		4	0.48		450	53.51		2	0.24		1	0.12		2	0.24		0	0.00		0	0.00		0	0.00		142	16.88		3	0.36		0	0.00		91	10.82		7	0.83		0	0.00		2	0.24		0	0.00		841	93.65		57	6.35		898	1.12
St Peters		36	4.87		7	0.95		1	0.14		0	0.00		19	2.57		1	0.14		64	8.66		13	1.76		3	0.41		315	42.63		1	0.14		1	0.14		1	0.14		1	0.14		1	0.14		2	0.27		147	19.89		4	0.54		2	0.27		112	15.16		3	0.41		3	0.41		2	0.27		0	0.00		739	94.99		39	5.01		778	0.97
Stanmore		36	1.86		14	0.72		12	0.62		0	0.00		35	1.81		2	0.10		272	14.08		23	1.19		2	0.10		756	39.13		5	0.26		0	0.00		2	0.10		1	0.05		1	0.05		3	0.16		408	21.12		8	0.41		3	0.16		339	17.55		5	0.26		0	0.00		3	0.16		2	0.10		1932	96.12		78	3.88		2010	2.51
Stanmore North		43	2.42		14	0.79		11	0.62		0	0.00		21	1.18		4	0.23		199	11.20		14	0.79		2	0.11		676	38.04		7	0.39		2	0.11		2	0.11		0	0.00		4	0.23		1	0.06		490	27.57		6	0.34		2	0.11		273	15.36		2	0.11		1	0.06		3	0.17		0	0.00		1777	95.44		85	4.56		1862	2.33
Summer Hill		38	2.30		26	1.57		22	1.33		0	0.00		20	1.21		3	0.18		196	11.85		10	0.60		0	0.00		629	38.03		6	0.36		1	0.06		4	0.24		2	0.12		1	0.06		1	0.06		465	28.11		4	0.24		5	0.30		210	12.70		5	0.30		0	0.00		4	0.24		2	0.12		1654	96.44		61	3.56		1715	2.14
Summer Hill North		26	3.38		10	1.30		6	0.78		1	0.13		18	2.34		0	0.00		61	7.93		8	1.04		1	0.13		321	41.74		1	0.13		0	0.00		3	0.39		1	0.13		0	0.00		1	0.13		201	26.14		4	0.52		4	0.52		98	12.74		1	0.13		0	0.00		3	0.39		0	0.00		769	95.06		40	4.94		809	1.01
Summer Hill South		48	2.80		21	1.23		18	1.05		0	0.00		17	0.99		7	0.41		251	14.66		14	0.82		3	0.18		610	35.63		5	0.29		1	0.06		7	0.41		1	0.06		1	0.06		3	0.18		368	21.50		2	0.12		1	0.06		325	18.98		5	0.29		0	0.00		3	0.18		1	0.06		1712	96.83		56	3.17		1768	2.21
Sydenham		31	3.27		8	0.84		8	0.84		1	0.11		20	2.11		1	0.11		63	6.65		3	0.32		4	0.42		507	53.54		4	0.42		0	0.00		4	0.42		0	0.00		1	0.11		0	0.00		181	19.11		5	0.53		2	0.21		100	10.56		1	0.11		0	0.00		3	0.32		0	0.00		947	94.04		60	5.96		1007	1.26
Sydney (Grayndler)		4	1.13		3	0.85		1	0.28		0	0.00		9	2.54		1	0.28		66	18.64		6	1.69		0	0.00		130	36.72		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		1	0.28		69	19.49		2	0.56		1	0.28		59	16.67		0	0.00		0	0.00		0	0.00		1	0.28		354	96.72		12	3.28		366	0.46
Tempe		41	3.14		22	1.69		8	0.61		3	0.23		53	4.06		1	0.08		65	4.98		11	0.84		6	0.46		709	54.33		5	0.38		1	0.08		9	0.69		1	0.08		1	0.08		1	0.08		223	17.09		7	0.54		6	0.46		126	9.66		2	0.15		1	0.08		3	0.23		0	0.00		1305	92.29		109	7.71		1414	1.77
The Warren		46	2.65		20	1.15		24	1.38		1	0.06		52	2.99		4	0.23		86	4.95		10	0.58		1	0.06		1012	58.23		4	0.23		0	0.00		4	0.23		0	0.00		2	0.12		3	0.17		318	18.30		4	0.23		1	0.06		125	7.19		11	0.63		1	0.06		5	0.29		4	0.23		1738	89.73		199	10.27		1937	2.42
Yeo Park		42	2.85		27	1.83		17	1.15		3	0.20		35	2.37		4	0.27		114	7.72		12	0.81		4	0.27		561	38.01		6	0.41		0	0.00		5	0.34		0	0.00		1	0.07		3	0.20		486	32.93		6	0.41		2	0.14		146	9.89		0	0.00		0	0.00		2	0.14		0	0.00		1476	92.48		120	7.52		1596	1.99
Special Hospitals		11	2.39		1	0.22		0	0.00		0	0.00		3	0.65		1	0.22		9	1.96		0	0.00		1	0.22		212	46.09		4	0.87		0	0.00		0	0.00		0	0.00		0	0.00		2	0.43		211	45.87		0	0.00		0	0.00		3	0.65		0	0.00		0	0.00		2	0.43		0	0.00		460	94.07		29	5.93		489	0.61
Total Ordinary		1439	2.29		591	0.94		579	0.92		28	0.04		1266	2.01		93	0.15		6299	10.02		565	0.90		161	0.26		27789	44.21		186	0.30		45	0.07		176	0.28		51	0.08		55	0.09		77	0.12		14625	23.27		271	0.43		99	0.16		8059	12.82		182	0.29		31	0.05		139	0.22		49	0.08		62855	95.06		3269	4.94		66124	82.57
ABSENT		154	2.17		91	1.28		58	0.82		5	0.07		153	2.16		16	0.23		922	12.99		121	1.70		15	0.21		2554	35.98		35	0.49		5	0.07		26	0.37		4	0.06		7	0.10		12	0.17		1803	25.40		49	0.69		15	0.21		1002	14.11		22	0.31		2	0.03		24	0.34		4	0.06		7099	98.11		137	1.89		7236	9.04
POSTAL		69	3.81		15	0.83		25	1.38		0	0.00		26	1.44		3	0.17		162	8.95		17	0.94		3	0.17		749	41.38		6	0.33		1	0.06		2	0.11		2	0.11		3	0.17		1	0.06		579	31.99		11	0.61		3	0.17		119	6.57		2	0.11		1	0.06		9	0.50		2	0.11		1810	98.91		20	1.09		1830	2.29
PRE_POLL		62	1.68		24	0.65		51	1.38		0	0.00		66	1.79		8	0.22		460	12.46		29	0.79		6	0.16		1549	41.94		18	0.49		1	0.03		20	0.54		0	0.00		1	0.03		10	0.27		875	23.69		23	0.62		15	0.41		455	12.32		8	0.22		0	0.00		10	0.27		2	0.05		3693	98.66		50	1.34		3743	4.67
PROVISIONAL		16	1.47		6	0.55		12	1.10		2	0.18		22	2.02		1	0.09		94	8.63		13	1.19		4	0.37		566	51.97		4	0.37		4	0.37		5	0.46		0	0.00		0	0.00		0	0.00		197	18.09		5	0.46		3	0.28		132	12.12		1	0.09		0	0.00		2	0.18		0	0.00		1089	94.94		58	5.06		1147	1.43
Division Summary		1740	2.27		727	0.95		725	0.95		35	0.05		1533	2		121	0.16		7937	10.37		745	0.97		189	0.25		33207	43.38		249	0.33		56	0.07		229	0.3		57	0.07		66	0.09		100	0.13		18079	23.62		359	0.47		135	0.18		9767	12.76		215	0.28		34	0.04		184	0.24		57	0.07		76546	95.59		3534	4.41		80080	92.96
