House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Manyana	378	184	48.68	194	51.32	-6.06	
Mayflower	307	99	32.25	208	67.75	-10.20	
Milton	1386	494	35.64	892	64.36	-6.36	
Minnamurra	1782	733	41.13	1049	58.87	-10.83	
Mollymook	1293	470	36.35	823	63.65	-5.57	
Moss Vale	1794	711	39.63	1083	60.37	-6.01	
Moss Vale Central	1865	674	36.14	1191	63.86	-6.26	
Nowra	2155	668	31.00	1487	69.00	-8.11	
Nowra Centre	1096	291	26.55	805	73.45	-10.77	
Nowra East	1864	688	36.91	1176	63.09	-12.08	
Nowra Hill	292	62	21.23	230	78.77	-10.00	
Nowra Hospital	218	90	41.28	128	58.72	-0.17	
Nowra North	696	207	29.74	489	70.26	-8.20	
Nowra South	623	214	34.35	409	65.65	-19.70	
Orient Point	460	207	45.00	253	55.00	-13.92	
Penrose	134	58	43.28	76	56.72	-2.93	
Robertson	939	363	38.66	576	61.34	-10.52	
Sanctuary Point	2988	1262	42.24	1726	57.76	-15.41	
Shoalhaven Heads	2033	810	39.84	1223	60.16	-13.86	
Special Hospital Team 1	185	55	29.73	130	70.27	-20.27	
Special Hospital Team 2	67	22	32.84	45	67.16	-	
Special Hospital Team 3	25	5	20.00	20	80.00	-	
St Georges Basin	982	322	32.79	660	67.21	-15.34	
Sussex Inlet	2046	804	39.30	1242	60.70	-10.56	
Sutton Forest	267	67	25.09	200	74.91	-10.26	
Sydney (Gilmore)	57	19	33.33	38	66.67	-33.33	
Terara	593	121	20.40	472	79.60	-7.84	
Tomerong	505	186	36.83	319	63.17	-4.97	
Ulladulla	3392	1216	35.85	2176	64.15	-8.82	
Vincentia	1644	590	35.89	1054	64.11	-8.44	
Werri Beach	861	334	38.79	527	61.21	-14.70	
Wingello	195	93	47.69	102	52.31	2.49	
ABSENT	4369	1749	40.03	2620	59.97	-	
POSTAL	3113	933	29.97	2180	70.03	-	
PRE POLL	7139	2306	32.30	4833	67.70	-	
PROVISIONAL	574	238	41.46	336	58.54	-	
Division Total	76800	27166	35.37	49634	64.63	-10.07	
							
							
Grayndler							
							
Polling Place	Formal	ALBANESE		KENWORTHY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Annandale	1904	1296	68.07	608	31.93	-1.08	
Annandale North (Grayndler)	1368	909	66.45	459	33.55	1.55	
Ashbury	2139	1310	61.24	829	38.76	-1.38	
Ashfield	1985	1382	69.62	603	30.38	-4.61	
Ashfield East	1176	792	67.35	384	32.65	-1.07	
Ashfield North (Grayndler)	917	585	63.79	332	36.21	-7.60	
Camdenville	1154	865	74.96	289	25.04	0.98	
Camperdown	416	329	79.09	87	20.91	8.07	
Camperdown South	1925	1520	78.96	405	21.04	-0.56	
Canterbury North	1389	1037	74.66	352	25.34	2.03	
Dulwich Hill	2060	1547	75.10	513	24.90	-3.96	
Dulwich Hill West	986	740	75.05	246	24.95	-0.39	
Enmore	1992	1515	76.05	477	23.95	-4.56	
Hurlstone Park	1879	1384	73.66	495	26.34	0.05	
Kegworth	1413	981	69.43	432	30.57	-2.63	
Leichhardt	3242	2160	66.63	1082	33.37	-1.95	
Leichhardt East	1276	843	66.07	433	33.93	-0.65	
Leichhardt South	1007	693	68.82	314	31.18	1.12	
Lewisham	2186	1591	72.78	595	27.22	0.91	
Lilyfield	1610	1024	63.60	586	36.40	-2.27	
Lilyfield North	773	467	60.41	306	39.59	-5.28	
Marrickville	3240	2628	81.11	612	18.89	-1.57	
Marrickville Central	1269	967	76.20	302	23.80	-2.14	
Marrickville South	849	673	79.27	176	20.73	1.10	
Newington	609	462	75.86	147	24.14	-1.19	
Newtown North (Grayndler)	754	617	81.83	137	18.17	1.49	
Petersham	1895	1348	71.13	547	28.87	-0.12	
Petersham East	681	489	71.81	192	28.19	2.31	
Petersham North	382	291	76.18	91	23.82	0.62	
Riverside	2363	1884	79.73	479	20.27	-0.30	
Riverside North	1250	957	76.56	293	23.44	-0.45	
Special Hospital Team 1	218	96	44.04	122	55.96	-6.07	
Special Hospital Team 2	149	95	63.76	54	36.24	-	
Special Hospital Team 3	93	55	59.14	38	40.86	-	
St Clements	827	651	78.72	176	21.28	1.93	
St Peters	719	539	74.97	180	25.03	-1.56	
Stanmore	1883	1361	72.28	522	27.72	0.22	
Stanmore North	1746	1181	67.64	565	32.36	-0.87	
Summer Hill	1581	1061	67.11	520	32.89	-1.27	
Summer Hill North	751	511	68.04	240	31.96	-2.17	
Summer Hill South	1680	1215	72.32	465	27.68	0.76	
Sydenham	924	693	75.00	231	25.00	0.73	
Sydney (Grayndler)	335	239	71.34	96	28.66	-0.61	
Tempe	1265	999	78.97	266	21.03	0.22	
The Warren	1731	1355	78.28	376	21.72	-3.39	
Yeo Park	1449	898	61.97	551	38.03	0.47	
ABSENT	6451	4328	67.09	2123	32.91	-	
POSTAL	1903	1186	62.32	717	37.68	-	
PRE POLL	3499	2448	69.96	1051	30.04	-	
PROVISIONAL	726	573	78.93	153	21.07	-	
Division Total	74019	52770	71.29	21249	28.71	-1.02	
							
							
Greenway							
							
Polling Place	Formal	MOSSFIELD		HOLDER		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Blacktown Central	213	137	64.32	76	35.68	-1.14	
Blacktown City	936	576	61.54	360	38.46	-6.72	
Blacktown East	2736	1543	56.40	1193	43.60	-6.74	
Blacktown Hospital	303	213	70.30	90	29.70	-3.96	
Blacktown North	1336	765	57.26	571	42.74	-9.12	
Blacktown South	2124	1235	58.15	889	41.85	-6.59	
Blacktown West (Greenway)	1222	721	59.00	501	41.00	-8.34	
Dean Park	1436	1011	70.40	425	29.60	-5.82	
Glenwood	3542	1499	42.32	2043	57.68	-2.73	
Glenwood West	1582	727	45.95	855	54.05	-0.07	
Grantham	1725	1066	61.80	659	38.20	-6.31	
Grantham Heights	1500	787	52.47	713	47.53	-8.56	
Hambledon	1963	881	44.88	1082	55.12	-2.56	
Kings Langley	2139	865	40.44	1274	59.56	-1.61	
Kings Langley North	2596	1005	38.71	1591	61.29	-4.71	
Kings Park	1186	607	51.18	579	48.82	-1.29	
Lalor Park	2258	1372	60.76	886	39.24	-11.51	
Lawson Park	1851	991	53.54	860	46.46	-9.87	
Lynwood Park	1171	665	56.79	506	43.21	-6.48	
Marayong (Greenway)	2118	1320	62.32	798	37.68	-7.80	
Marayong Heights	1251	815	65.15	436	34.85	-3.27	
Marayong West (Greenway)	1794	1112	61.98	682	38.02	-6.68	
Marsden Park	524	259	49.43	265	50.57	-3.81	
Metella Road	3082	1640	53.21	1442	46.79	-3.73	
Oldfield Road	1505	946	62.86	559	37.14	-4.31	
Prospect	262	152	58.02	110	41.98	-10.36	
Quakers Hill	2316	1432	61.83	884	38.17	-7.28	
Quakers Hill East	3212	1553	48.35	1659	51.65	-4.20	
Quakers Hill North	2775	1280	46.13	1495	53.87	-4.40	
Quakers Hill West	226	149	65.93	77	34.07	10.66	
Riverstone	1511	784	51.89	727	48.11	-11.31	
Riverstone East	1575	707	44.89	868	55.11	-8.88	
Schofields	1494	664	44.44	830	55.56	-5.98	
Seven Hills	1683	1014	60.25	669	39.75	-7.63	
Seven Hills High	1588	799	50.31	789	49.69	-4.00	
Seven Hills North	1723	694	40.28	1029	59.72	-0.85	
Seven Hills West	1821	1155	63.43	666	36.57	-5.42	
Special Hospital Team 1	190	82	43.16	108	56.84	-7.10	
St Michael's	1246	757	60.75	489	39.25	-4.57	
Sydney (Greenway)	116	70	60.34	46	39.66	-9.22	
Vineyard East (Greenway)	152	65	42.76	87	57.24	-8.18	
Walters Road (Greenway)	1116	670	60.04	446	39.96	-5.06	
ABSENT	5248	2619	49.90	2629	50.10	-	
POSTAL	2144	1051	49.02	1093	50.98	-	
PRE POLL	2978	1600	53.73	1378	46.27	-	
PROVISIONAL	424	255	60.14	169	39.86	-	
Division Total	75893	40310	53.11	35583	46.89	-6.44	
							
							
Gwydir							
							
Polling Place	Formal	MURNAIN		ANDERSON		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Aberdeen	1068	511	47.85	557	52.15	-12.40	
Ashley	148	40	27.03	108	72.97	8.91	
Baan Baa	136	23	16.91	113	83.09	-1.99	
Balladoran	98	33	33.67	65	66.33	7.87	
Baradine	613	173	28.22	440	71.78	-3.01	
Bellata	220	40	18.18	180	81.82	5.20	
Binnaway	451	212	47.01	239	52.99	6.84	
Blackville	87	13	14.94	74	85.06	-6.33	
Blandford	197	60	30.46	137	69.54	-8.29	
Boggabilla	382	157	41.10	225	58.90	1.39	
Boggabri	698	230	32.95	468	67.05	0.72	
Boomi	144	33	22.92	111	77.08	1.59	
Bourke	1252	417	33.31	835	66.69	-16.77	
Breeza	115	33	28.70	82	71.30	1.94	
Brewarrina	537	228	42.46	309	57.54	-7.54	
Bugaldie	92	14	15.22	78	84.78	-5.66	
Bullarah	111	11	9.91	100	90.09	-4.53	
Bunnan	167	27	16.17	140	83.83	-20.00	
Burren Junction	204	27	13.24	177	86.76	1.24	
Bylong	65	11	16.92	54	83.08	-29.02	
Carinda	105	20	19.05	85	80.95	-3.45	
Caroona	187	95	50.80	92	49.20	28.72	
Carroll	230	77	33.48	153	66.52	-1.22	
Cassilis	183	48	26.23	135	73.77	0.29	
Collarenebri	342	110	32.16	232	67.84	5.31	
Collie	92	18	19.57	74	80.43	13.26	
Coolah	763	219	28.70	544	71.30	-3.19	
Coolatai	64	9	14.06	55	85.94	-1.99	
Coonabarabran	2094	814	38.87	1280	61.13	-1.70	
Coonamble	1718	722	42.03	996	57.97	1.59	
Croppa Creek	109	16	14.68	93	85.32	0.93	
Cumborah	140	44	31.43	96	68.57	7.02	
Curban	108	15	13.89	93	86.11	1.82	
Curlewis	397	168	42.32	229	57.68	-0.39	
Dangar Village	949	325	34.25	624	65.75	0.53	
Dunedoo	721	233	32.32	488	67.68	-5.55	
Edgeroi	126	19	15.08	107	84.92	4.44	
Elong Elong	122	42	34.43	80	65.57	6.78	
Enngonia	65	18	27.69	47	72.31	-3.56	
Euchareena	120	32	26.67	88	73.33	-19.10	
Fairfax	107	18	16.82	89	83.18	5.06	
Garah	175	37	21.14	138	78.86	4.01	
Geurie	512	149	29.10	363	70.90	-7.04	
Gilgandra	1842	735	39.90	1107	60.10	2.59	
Glen Alice	41	11	26.83	30	73.17	-18.63	
Gollan	76	7	9.21	69	90.79	0.12	
Goodooga	145	98	67.59	47	32.41	2.01	
Goolma	138	48	34.78	90	65.22	6.61	
Gravesend	184	53	28.80	131	71.20	1.32	
Gulargambone	445	138	31.01	307	68.99	5.47	
Gulgong	1882	930	49.42	952	50.58	-3.45	
Gundy	151	48	31.79	103	68.21	-1.95	
Gunnedah	3033	1029	33.93	2004	66.07	-6.75	
Gunnedah High	1009	343	33.99	666	66.01	-7.48	
Gunnedah South	1035	314	30.34	721	69.66	-4.47	
Gurley	107	15	14.02	92	85.98	7.51	
Gwabegar	127	44	34.65	83	65.35	-6.71	
Hargraves	204	71	34.80	133	65.20	5.04	
Ilford	196	63	32.14	133	67.86	-14.52	
Kandos	958	634	66.18	324	33.82	19.42	
Kelvin	135	20	14.81	115	85.19	-2.69	
Leadville	112	38	33.93	74	66.07	-2.35	
Lightning Ridge	1283	576	44.89	707	55.11	2.36	
Louth	49	10	20.41	39	79.59	-2.32	
Lue	146	48	32.88	98	67.12	10.65	
Mendooran	450	176	39.11	274	60.89	4.71	
Merriwa	845	322	38.11	523	61.89	-7.82	
Montefiores	463	124	26.78	339	73.22	-1.52	
Moonan Flat	174	36	20.69	138	79.31	-11.49	
Moree	1730	515	29.77	1215	70.23	4.46	
Moree East	1526	606	39.71	920	60.29	4.99	
Moree West	1436	341	23.75	1095	76.25	-0.20	
Mudgee	2342	894	38.17	1448	61.83	-6.60	
Mudgee High School	2028	880	43.39	1148	56.61	-1.40	
Mudgee South	1952	807	41.34	1145	58.66	1.00	
Mullaley	240	37	15.42	203	84.58	-0.37	
Mumbil	162	78	48.15	84	51.85	2.08	
Mungindi	443	148	33.41	295	66.59	-2.81	
Murrurundi	590	283	47.97	307	52.03	-9.02	
Narrabri	2182	736	33.73	1446	66.27	-0.59	
Narrabri West	1113	405	36.39	708	63.61	-5.21	
North Star	158	27	17.09	131	82.91	2.30	
Pallamallawa	333	122	36.64	211	63.36	3.76	
Pilliga	169	66	39.05	103	60.95	1.81	
Pine Ridge	93	10	10.75	83	89.25	-2.41	
Premer	119	26	21.85	93	78.15	2.01	
Purlewaugh	102	20	19.61	82	80.39	3.07	
Quambone	124	27	21.77	97	78.23	-14.81	
Quirindi	1944	679	34.93	1265	65.07	-8.47	
Rowena	112	15	13.39	97	86.61	-1.42	
Rylstone	769	367	47.72	402	52.28	1.04	
Scone	1395	505	36.20	890	63.80	-10.91	
Scone East	953	381	39.98	572	60.02	-15.62	
Scone High School	847	322	38.02	525	61.98	-8.88	
Special Hospital Team 1	51	23	45.10	28	54.90	-4.90	
Special Hospital Team 2	135	34	25.19	101	74.81	-	
Special Hospital Team 3	142	37	26.06	105	73.94	-	
Special Hospital Team 4	27	12	44.44	15	55.56	-	
Special Hospital Team 5	71	15	21.13	56	78.87	-	
Special Hospital Team 6	85	28	32.94	57	67.06	-	
Special Hospital Team 7	6	2	33.33	4	66.67	-	
Special Hospital Team 8	45	12	26.67	33	73.33	-	
Special Hospital Team 9	24	7	29.17	17	70.83	-	
Spring Ridge	219	41	18.72	178	81.28	-15.65	
Stuart Town	189	92	48.68	97	51.32	2.23	
Sydney (Gwydir)	35	7	20.00	28	80.00	-5.71	
Tambar Springs	131	52	39.69	79	60.31	2.63	
Terry Hie Hie	75	16	21.33	59	78.67	-12.00	
Toomelah	71	70	98.59	1	1.41	59.35	
Tooraweenah	240	59	24.58	181	75.42	6.63	
Tulloona	71	10	14.08	61	85.92	8.29	
Ulan	203	113	55.66	90	44.33	1.53	
Upper Rouchel	77	2	2.60	75	97.40	-8.07	
Walgett	1031	342	33.17	689	66.83	-5.05	
Wallabadah	273	83	30.40	190	69.60	-6.71	
Wanaaring	36	5	13.89	31	86.11	-4.06	
Warialda	985	418	42.44	567	57.56	2.81	
Warialda Rail	91	43	47.25	48	52.75	3.92	
Wee Waa	1354	301	22.23	1053	77.77	0.17	
Weilmoringle	43	12	27.91	31	72.09	5.91	
Wellington	1813	739	40.76	1074	59.24	-3.64	
Wellington East	787	339	43.07	448	56.93	0.20	
Willow Tree	331	98	29.61	233	70.39	0.21	
Windeyer	162	62	38.27	100	61.73	12.07	
Wingen	158	50	31.65	108	68.35	-4.87	
Wollar	126	58	46.03	68	53.97	-2.71	
ABSENT	6179	1927	31.19	4252	68.81	-	
POSTAL	3361	882	26.24	2479	73.76	-	
PRE POLL	3429	1013	29.54	2416	70.46	-	
PROVISIONAL	465	210	45.16	255	54.84	-	
Division Total	76827	26983	35.12	49844	64.88	-2.88	
							
							
Hughes							
							
Polling Place	Formal	HAWKINS		VALE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alfords Point	1799	635	35.30	1164	64.70	-0.66	
Bangor	4393	1394	31.73	2999	68.27	-2.62	
Barden Ridge	1516	548	36.15	968	63.85	-2.86	
Bonnet Bay	1452	490	33.75	962	66.25	-1.47	
Caravan Head	687	248	36.10	439	63.90	-2.72	
Chipping Norton	2570	1096	42.65	1474	57.35	1.95	
Como	820	395	48.17	425	51.83	-3.32	
Como West	1915	821	42.87	1094	57.13	-5.37	
Engadine	3273	1353	41.34	1920	58.66	-5.66	
Engadine East	645	264	40.93	381	59.07	-5.00	
Engadine South	1479	611	41.31	868	58.69	-7.22	
Engadine West	2961	1142	38.57	1819	61.43	-7.53	
Hammondville	1647	706	42.87	941	57.13	-9.00	
Heathcote	2032	832	40.94	1200	59.06	-5.91	
Heathcote East	1274	520	40.82	754	59.18	-8.20	
Holsworthy	1509	608	40.29	901	59.71	-8.71	
Illawong	3017	953	31.59	2064	68.41	-4.63	
Jannali East	1582	727	45.95	855	54.05	-4.20	
Jannali West	1069	476	44.53	593	55.47	-4.04	
Loftus	2309	969	41.97	1340	58.03	-5.46	
Marton	1946	699	35.92	1247	64.08	-7.70	
Menai	2135	908	42.53	1227	57.47	-2.92	
Menai Central	1759	718	40.82	1041	59.18	5.58	
Menai North	1376	508	36.92	868	63.08	-4.32	
Moorebank	3732	1659	44.45	2073	55.55	-4.60	
Newbridge Heights	2011	847	42.12	1164	57.88	-5.69	
Oyster Bay	2175	829	38.11	1346	61.89	-0.69	
Prince Edward Park	608	237	38.98	371	61.02	-4.62	
Sandy Point	322	92	28.57	230	71.43	-3.05	
Special Hospital Team 1	315	117	37.14	198	62.86	-12.71	
Sutherland	2217	1021	46.05	1196	53.95	-3.87	
Sutherland East	978	446	45.60	532	54.40	-3.59	
Sutherland North (Hughes)	843	344	40.81	499	59.19	-2.72	
Sutherland West	634	295	46.53	339	53.47	0.72	
Sydney (Hughes)	90	43	47.78	47	52.22	-7.35	
Waterfall	281	137	48.75	144	51.25	0.04	
Wattle Grove	3523	1533	43.51	1990	56.49	-6.57	
Wattle Grove South	745	308	41.34	437	58.66	-8.66	
Woronora Heights	967	326	33.71	641	66.29	-2.22	
Woronora River	491	188	38.29	303	61.71	-1.39	
Yarrawarrah	1612	649	40.26	963	59.74	-6.51	
ABSENT	5468	2165	39.59	3303	60.41	-	
POSTAL	2726	896	32.87	1830	67.13	-	
PRE POLL	3846	1418	36.87	2428	63.13	-	
PROVISIONAL	326	131	40.18	195	59.82	-	
Division Total	79075	31302	39.59	47773	60.41	-4.05	
							
							
Hume							
							
Polling Place	Formal	MERRIMAN		SCHULTZ		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Appin	928	392	42.24	536	57.76	-6.72	
Bargo	1857	854	45.99	1003	54.01	-7.37	
Bendick Murrell	154	54	35.06	100	64.94	5.06	
Berrima	538	187	34.76	351	65.24	3.03	
Bigga	179	51	28.49	128	71.51	6.39	
Binalong	298	100	33.56	198	66.44	0.57	
Binda	189	78	41.27	111	58.73	2.53	
Bookham	123	25	20.33	98	79.67	-7.94	
Boorowa	954	361	37.84	593	62.16	-1.56	
Bowning	232	78	33.62	154	66.38	-4.26	
Bowral	3434	1114	32.44	2320	67.56	3.80	
Bowral South	2101	730	34.75	1371	65.25	-0.77	
Bradfordville	1687	842	49.91	845	50.09	-2.35	
Bribbaree	164	28	17.07	136	82.93	-0.62	
Bungonia	190	87	45.79	103	54.21	-1.02	
Buxton	825	399	48.36	426	51.64	-9.62	
Canyonleigh	118	42	35.59	76	64.41	-2.39	
Cawdor (Hume)	364	72	19.78	292	80.22	-22.59	
Cobbitty (Hume)	329	89	27.05	240	72.95	5.85	
Collector	161	53	32.92	108	67.08	2.29	
Colo Vale	764	346	45.29	418	54.71	0.81	
Crookwell	1641	670	40.83	971	59.17	2.35	
Dalton	218	75	34.40	143	65.60	5.18	
Douglas Park	735	313	42.59	422	57.41	-0.12	
Frogmore	104	27	25.96	77	74.04	0.22	
Galong	128	32	25.00	96	75.00	-11.79	
Glenquarry	123	36	29.27	87	70.73	-0.81	
Goulburn	1733	886	51.13	847	48.87	-3.94	
Goulburn East	706	344	48.73	362	51.27	-3.90	
Goulburn High	2400	1095	45.62	1305	54.37	-3.57	
Goulburn North	1532	805	52.55	727	47.45	-3.87	
Goulburn South	2452	1249	50.94	1203	49.06	-6.26	
Goulburn West	1747	775	44.36	972	55.64	-3.52	
Grabben Gullen	194	37	19.07	157	80.93	7.96	
Gundaroo	447	234	52.35	213	47.65	6.01	
Gunning	545	183	33.58	362	66.42	-0.66	
Harden	937	397	42.37	540	57.63	-7.47	
Hill Top	1038	553	53.28	485	46.72	-1.26	
Jugiong	186	63	33.87	123	66.13	-4.76	
Kangaloon	131	39	29.77	92	70.23	-1.00	
Koorawatha	176	79	44.89	97	55.11	-5.71	
Laggan	260	59	22.69	201	77.31	7.25	
Maimuru	89	17	19.10	72	80.90	6.60	
Marulan	550	243	44.18	307	55.82	-4.02	
Menangle (Hume)	321	95	29.60	226	70.40	-2.16	
Milvale	68	5	7.35	63	92.65	0.46	
Mittagong	2510	1119	44.58	1391	55.42	1.15	
Mittagong South	853	297	34.82	556	65.18	0.50	
Monteagle	128	32	25.00	96	75.00	1.51	
Mount Hunter	585	178	30.43	407	69.57	1.94	
Murringo	171	48	28.07	123	71.93	-3.44	
Murrumbateman	1096	480	43.80	616	56.20	4.04	
Murrumburrah	552	216	39.13	336	60.87	-2.31	
New Berrima	266	134	50.38	132	49.62	-2.26	
Oakdale	896	345	38.50	551	61.50	-4.42	
Orangeville	535	102	19.07	433	80.93	-5.59	
Picton	2108	867	41.13	1241	58.87	-5.14	
Reids Flat	81	35	43.21	46	56.79	2.35	
Rugby	56	16	28.57	40	71.43	0.79	
Rye Park	143	35	24.48	108	75.52	-3.26	
Silverdale	496	151	30.44	345	69.56	-3.65	
Special Hospital Team 1	292	62	21.23	230	78.77	-28.68	
Special Hospital Team 2	112	58	51.79	54	48.21	-	
Special Hospital Team 3	67	29	43.28	38	56.72	-	
Special Hospital Team 4	160	75	46.87	85	53.12	-	
Sutton (Hume)	127	63	49.61	64	50.39	8.83	
Sydney (Hume)	63	23	36.51	40	63.49	-7.24	
Tahmoor	2624	1214	46.27	1410	53.73	-1.11	
Tallong	206	95	46.12	111	53.88	-5.17	
Tarago	290	102	35.17	188	64.83	-3.15	
Taralga	418	102	24.40	316	75.60	1.89	
The Oaks	1581	569	35.99	1012	64.01	-2.86	
Thirlmere	2004	937	46.76	1067	53.24	-3.64	
Tuena	82	32	39.02	50	60.98	11.88	
Warragamba	1839	771	41.92	1068	58.08	-6.89	
Wee Jasper	74	25	33.78	49	66.22	4.71	
Welby	644	294	45.65	350	54.35	-3.51	
Wilton	697	272	39.02	425	60.98	-7.22	
Wombat	218	75	34.40	143	65.60	5.47	
Yanderra	309	158	51.13	151	48.87	-1.48	
Yass	2434	1004	41.25	1430	58.75	0.44	
Yass North	1025	450	43.90	575	56.10	-0.36	
Yerrinbool	507	243	47.93	264	52.07	-2.18	
Young	2631	909	34.55	1722	65.45	-8.04	
Young North	1788	639	35.74	1149	64.26	-2.85	
Young South	1100	389	35.36	711	64.64	-2.47	
ABSENT	5504	2046	37.17	3458	62.83	-	
POSTAL	3038	938	30.88	2100	69.12	-	
PRE POLL	4307	1684	39.10	2623	60.90	-	
PROVISIONAL	407	190	46.68	217	53.32	-	
Division Total	79074	31796	40.21	47278	59.79	-2.46	
							
							
Hunter							
							
Polling Place	Formal	FITZGIBBON		MACAULAY		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Aberdare	1086	787	72.47	299	27.53	-	
Aberdare West	1136	785	69.10	351	30.90	-	
Abermain	1215	899	73.99	316	26.01	-	
Allandale Hospital	114	84	73.68	30	26.32	-	
Ashtonfield	1437	702	48.85	735	51.15	-	
Bellbird	1208	891	73.76	317	26.24	-	
Black Hill	137	48	35.04	89	64.96	-	
Bolwarra	988	343	34.72	645	65.28	-	
Branxton	1637	1018	62.19	619	37.81	-	
Broke	331	159	48.04	172	51.96	-	
Camberwell	103	45	43.69	58	56.31	-	
Cessnock	844	569	67.42	275	32.58	-	
Cessnock East	990	750	75.76	240	24.24	-	
Cessnock Hospital	781	540	69.14	241	30.86	-	
Cessnock North	701	498	71.04	203	28.96	-	
Cessnock West	1973	1408	71.36	565	28.64	-	
Denman	1084	536	49.45	548	50.55	-	
East Maitland	1033	587	56.82	446	43.18	-	
East Maitland Heights	1500	779	51.93	721	48.07	-	
East Maitland South	1709	859	50.26	850	49.74	-	
Eastville	454	307	67.62	147	32.38	-	
Elderslie	182	80	43.96	102	56.04	-	
Ellalong	464	306	65.95	158	34.05	-	
Francis Street	709	485	68.41	224	31.59	-	
Gillieston Heights	410	244	59.51	166	40.49	-	
Glendon	154	47	30.52	107	69.48	-	
Glendon Brook	143	43	30.07	100	69.93	-	
Greenlands	173	54	31.21	119	68.79	-	
Greta	1198	814	67.95	384	32.05	-	
Heddon Greta	735	512	69.66	223	30.34	-	
Jerrys Plains	235	91	38.72	144	61.28	-	
Kearsley	601	420	69.88	181	30.12	-	
Kitchener	340	237	69.71	103	30.29	-	
Kurri Kurri	1718	1280	74.51	438	25.49	-	
Kurri Kurri East	1585	1168	73.69	417	26.31	-	
Largs	763	332	43.51	431	56.49	-	
Lochinvar	1051	477	45.39	574	54.61	-	
Lorn	1178	542	46.01	636	53.99	-	
Lower Belford	248	104	41.94	144	58.06	-	
Maitland	537	378	70.39	159	29.61	-	
Maitland Grossmann High	411	231	56.20	180	43.80	-	
Maitland High	1137	611	53.74	526	46.26	-	
Maitland Hospital	599	330	55.09	269	44.91	-	
Maitland West	986	599	60.75	387	39.25	-	
Martindale	127	36	28.35	91	71.65	-	
Metford	2045	1268	62.00	777	38.00	-	
Milbrodale	250	113	45.20	137	54.80	-	
Millfield	349	220	63.04	129	36.96	-	
Mulbring	587	310	52.81	277	47.19	-	
Muswellbrook	1135	638	56.21	497	43.79	-	
Muswellbrook East	1200	703	58.58	497	41.42	-	
Muswellbrook North	1954	1182	60.49	772	39.51	-	
Muswellbrook South	1238	819	66.16	419	33.84	-	
Neath	211	164	77.73	47	22.27	-	
North Rothbury	258	180	69.77	78	30.23	-	
Nulkaba	498	246	49.40	252	50.60	-	
Paxton	399	293	73.43	106	26.57	-	
Pelaw Main	501	390	77.84	111	22.16	-	
Pokolbin	213	73	34.27	140	65.73	-	
Prison Mobile Team 1	3	3	100.00	0	0.00	-	
Rutherford	1334	836	62.67	498	37.33	-	
Rutherford North	2620	1558	59.47	1062	40.53	-	
Rutherford West	623	390	62.60	233	37.40	-	
Sandy Hollow	235	115	48.94	120	51.06	-	
Singleton	1409	709	50.32	700	49.68	-	
Singleton East	845	400	47.34	445	52.66	-	
Singleton Heights	3019	1780	58.96	1239	41.04	-	
Singleton South	2345	1413	60.26	932	39.74	-	
Special Hospital Team 1	149	130	87.25	19	12.75	-	
Special Hospital Team 2	211	101	47.87	110	52.13	-	
Special Hospital Team 3	110	54	49.09	56	50.91	-	
Stanford Merthyr	461	348	75.49	113	24.51	-	
Sydney (Hunter)	31	16	51.61	15	48.39	-	
Telarah	1601	1059	66.15	542	33.85	-	
Tenambit	2160	1228	56.85	932	43.15	-	
Weston	1898	1405	74.03	493	25.97	-	
Wollombi	381	199	52.23	182	47.77	-	
Wybong	116	47	40.52	69	59.48	-	
ABSENT	4168	2413	57.89	1755	42.11	-	
POSTAL	1910	1116	58.43	794	41.57	-	
PRE POLL	5383	3479	64.63	1904	35.37	-	
PROVISIONAL	602	425	70.60	177	29.40	-	
Division Total	78597	47838	60.86	30759	39.14		
							
							
Kingsford Smith							
							
Polling Place	Formal	BRERETON		NOTLEY-SMITH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ansett	17	10	58.82	7	41.18	-2.15	
Banksmeadow	1270	845	66.54	425	33.46	-6.75	
Botany	1989	1281	64.40	708	35.60	-5.66	
Botany East	1698	916	53.95	782	46.05	-7.39	
Bunnerong	2564	1584	61.78	980	38.22	-3.80	
Chifley	1841	1092	59.32	749	40.68	-6.46	
Clovelly Beach (Kingsford Smith)	611	356	58.27	255	41.73	-0.71	
Clovelly North (Kingsford Smith)	431	217	50.35	214	49.65	-8.15	
Coogee	1775	972	54.76	803	45.24	1.34	
Coogee Beach	2236	1260	56.35	976	43.65	-1.09	
Coogee Central	2002	1138	56.84	864	43.16	-1.38	
Coogee South	2205	1038	47.07	1167	52.93	-5.43	
Daceyville	807	525	65.06	282	34.94	-4.29	
Daceyville South	800	499	62.37	301	37.62	-6.14	
Eastlakes	1028	730	71.01	298	28.99	-4.52	
Eastlakes East	2195	1663	75.76	532	24.24	-5.08	
Express	0	0	0.00	0	0.00	-62.07	
