House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Castle Cove	1504	412	27.39	1092	72.61	0.06	
Chatswood (Bradfield)	2038	937	45.98	1101	54.02	1.57	
Chatswood East (Bradfield)	940	396	42.13	544	57.87	0.81	
Chatswood North	1206	490	40.63	716	59.37	2.67	
Chatswood South (Bradfield)	430	150	34.88	280	65.12	-5.52	
Chatswood West	2074	950	45.81	1124	54.19	0.03	
Ferndale	853	300	35.17	553	64.83	-1.70	
Gordon	3113	988	31.74	2125	68.26	0.60	
Gordon East	1906	505	26.50	1401	73.50	1.10	
Gordon West	1745	505	28.94	1240	71.06	-0.96	
Killara	1621	302	18.63	1319	81.37	0.79	
Killara East	1980	661	33.38	1319	66.62	-1.04	
Kissing Point	966	304	31.47	662	68.53	1.00	
Lady Davidson Hospital	153	32	20.92	121	79.08	-0.90	
Lindfield	2054	626	30.48	1428	69.52	2.85	
Lindfield East	1991	577	28.98	1414	71.02	0.30	
Lindfield North	2742	897	32.71	1845	67.29	-0.51	
Lindfield West	2484	762	30.68	1722	69.32	0.61	
Mowbray (Bradfield)	897	326	36.34	571	63.66	-3.18	
Pymble	796	191	23.99	605	76.01	1.40	
Pymble North	2414	558	23.12	1856	76.88	-0.92	
Pymble West	2100	641	30.52	1459	69.48	1.63	
Roseville	1370	423	30.88	947	69.12	1.37	
Roseville Chase	993	286	28.80	707	71.20	0.62	
Roseville East	876	278	31.74	598	68.26	2.99	
Roseville South	1247	460	36.89	787	63.11	-1.27	
Special Hospital Team 1	281	37	13.17	244	86.83	-36.83	
Special Hospital Team 2	219	26	11.87	193	88.13	-	
Special Hospital Team 3	103	19	18.45	84	81.55	-	
Special Hospital Team 4	208	31	14.90	177	85.10	-	
Special Hospital Team 5	230	33	14.35	197	85.65	-	
Special Hospital Team 6	186	50	26.88	136	73.12	-	
St Ives	1416	312	22.03	1104	77.97	0.44	
St Ives Chase	555	127	22.88	428	77.12	1.76	
St Ives North	2864	578	20.18	2286	79.82	-1.74	
St Ives Park	1784	354	19.84	1430	80.16	-1.71	
St Ives South	2630	592	22.51	2038	77.49	-1.46	
Sydney (Bradfield)	137	58	42.34	79	57.66	5.78	
Turramurra	707	121	17.11	586	82.89	3.10	
Turramurra Central	1793	442	24.65	1351	75.35	-1.53	
Turramurra North	2532	602	23.78	1930	76.22	-0.66	
Turramurra South	2705	891	32.94	1814	67.06	0.71	
Wahroonga	2303	486	21.10	1817	78.90	0.96	
Wahroonga East	2255	518	22.97	1737	77.03	-3.65	
Warrawee	2854	804	28.17	2050	71.83	1.91	
Willoughby (Bradfield)	560	205	36.61	355	63.39	-4.27	
Willoughby North (Bradfield)	804	281	34.95	523	65.05	3.70	
ABSENT	5161	1571	30.44	3590	69.56	-	
POSTAL	3708	762	20.55	2946	79.45	-	
PRE POLL	4668	1516	32.48	3152	67.52	-	
PROVISIONAL	306	120	39.22	186	60.78	-	
Division Total	81462	23493	28.84	57969	71.16	0.13	
							
							
Calare							
							
Polling Place	Formal	KNOWLES		SHEARING		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Barry	107	36	33.64	71	66.36	-	
Bathurst	2473	1376	55.64	1097	44.36	-	
Bathurst Central	1161	690	59.43	471	40.57	-	
Bathurst City	1357	731	53.87	626	46.13	-	
Bathurst High	1071	615	57.42	456	42.58	-	
Bathurst Hospital	720	417	57.92	303	42.08	-	
Bathurst South	1221	750	61.43	471	38.57	-	
Bathurst St Vincents	277	178	64.26	99	35.74	-	
Bathurst West	2406	1286	53.45	1120	46.55	-	
Billimari	142	37	26.06	105	73.94	-	
Black Springs	216	80	37.04	136	62.96	-	
Blayney	1809	856	47.32	953	52.68	-	
Bletchington	2802	1178	42.04	1624	57.96	-	
Bloomfield Hospital	158	71	44.94	87	55.06	-	
Borenore	259	85	32.82	174	67.18	-	
Bowen	2347	1094	46.61	1253	53.39	-	
Bowenfels South	217	103	47.47	114	52.53	-	
Burraga	69	38	55.07	31	44.93	-	
Calare School	1696	686	40.45	1010	59.55	-	
Canobolas	163	55	33.74	108	66.26	-	
Canowindra	1400	467	33.36	933	66.64	-	
Capertee	132	65	49.24	67	50.76	-	
Carcoar	206	99	48.06	107	51.94	-	
Cargo	280	113	40.36	167	59.64	-	
Cooerwull	1934	1245	64.37	689	35.63	-	
Cowra	2262	1038	45.89	1224	54.11	-	
Cowra North	2136	931	43.59	1205	56.41	-	
Cowra West	1206	461	38.23	745	61.77	-	
Cudal	442	134	30.32	308	69.68	-	
Cullen Bullen	168	119	70.83	49	29.17	-	
Cumnock	308	102	33.12	206	66.88	-	
Eglinton	1534	711	46.35	823	53.65	-	
Eugowra	471	151	32.06	320	67.94	-	
Glenroi	1742	1032	59.24	710	40.76	-	
Gooloogong	229	60	26.20	169	73.80	-	
Hampton	142	51	35.92	91	64.08	-	
Hartley	363	148	40.77	215	59.23	-	
Hermitage	647	446	68.93	201	31.07	-	
Hill End	87	52	59.77	35	40.23	-	
Jenolan Caves	35	12	34.29	23	65.71	-	
Kelso	2652	1456	54.90	1196	45.10	-	
Kirkconnell	109	52	47.71	57	52.29	-	
Lithgow	1772	1187	66.99	585	33.01	-	
Lithgow Hospital	118	79	66.95	39	33.05	-	
Littleton	570	386	67.72	184	32.28	-	
Lucknow	262	102	38.93	160	61.07	-	
Lyndhurst	228	90	39.47	138	60.53	-	
Mandurama	212	71	33.49	141	66.51	-	
Manildra	505	218	43.17	287	56.83	-	
Meadow Flat	185	84	45.41	101	54.59	-	
Millthorpe	700	280	40.00	420	60.00	-	
Mitchell Campus	120	72	60.00	48	40.00	-	
Molong	1288	447	34.70	841	65.30	-	
Morongla Creek	207	37	17.87	170	82.13	-	
Mullion Creek	292	92	31.51	200	68.49	-	
Nashdale	335	107	31.94	228	68.06	-	
Neville	135	41	30.37	94	69.63	-	
Newbridge	152	69	45.39	83	54.61	-	
O'Connell	297	131	44.11	166	55.89	-	
Oakey Park	361	247	68.42	114	31.58	-	
Oberon	1907	835	43.79	1072	56.21	-	
Orange	2304	924	40.10	1380	59.90	-	
Orange East	1724	828	48.03	896	51.97	-	
Orange Hospital	552	284	51.45	268	48.55	-	
Orange North	884	375	42.42	509	57.58	-	
Orange South	1709	732	42.83	977	57.17	-	
Orange West	2872	962	33.50	1910	66.50	-	
Peel	112	49	43.75	63	56.25	-	
Perthville	495	208	42.02	287	57.98	-	
Portland	1224	878	71.73	346	28.27	-	
Prison Mobile Team 1	5	4	80.00	1	20.00	-	
Raglan	818	462	56.48	356	43.52	-	
Rockley	243	101	41.56	142	58.44	-	
Rydal	161	60	37.27	101	62.73	-	
Sofala	88	42	47.73	46	52.27	-	
Special Hospital Team 1	218	62	28.44	156	71.56	-	
Special Hospital Team 2	114	42	36.84	72	63.16	-	
Special Hospital Team 3	36	15	41.67	21	58.33	-	
Special Hospital Team 4	111	27	24.32	84	75.68	-	
Special Hospital Team 5	56	33	58.93	23	41.07	-	
Special Hospital Team 6	21	10	47.62	11	52.38	-	
Spring Hill	222	76	34.23	146	65.77	-	
Spring Terrace	255	70	27.45	185	72.55	-	
Sydney (Calare)	33	17	51.51	16	48.48	-	
The Lagoon	107	38	35.51	69	64.49	-	
Trunkey	142	37	26.06	105	73.94	-	
Tweed Mills	805	578	71.80	227	28.20	-	
Vale Of Clwydd	630	408	64.76	222	35.24	-	
Wallerawang	1207	774	64.13	433	35.87	-	
Wattle Flat	163	85	52.15	78	47.85	-	
Woodstock	337	143	42.43	194	57.57	-	
Wyangala Dam	154	72	46.75	82	53.25	-	
Yeoval	337	109	32.34	228	67.66	-	
ABSENT	4291	1979	46.12	2312	53.88	-	
POSTAL	2401	1183	49.27	1218	50.73	-	
PRE POLL	5025	2343	46.63	2682	53.37	-	
PROVISIONAL	699	410	58.66	289	41.34	-	
Division Total	79357	38302	48.27	41055	51.73		
							
							
Charlton							
							
Polling Place	Formal	HOARE		PATERSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ambleside	1891	956	50.56	935	49.44	-1.47	
Arcadia Vale	769	463	60.21	306	39.79	-6.96	
Argenton	803	624	77.71	179	22.29	-1.51	
Awaba	215	150	69.77	65	30.23	-13.10	
Barnsley	1087	713	65.59	374	34.41	-7.42	
Biraban	1094	794	72.58	300	27.42	-9.70	
Blackalls	1438	1000	69.54	438	30.46	-5.94	
Bolton Point	598	368	61.54	230	38.46	0.65	
Bonnells Bay	2732	1311	47.99	1421	52.01	-8.64	
Booragul	1285	792	61.63	493	38.37	-8.38	
C.A.Brown Village	113	74	65.49	39	34.51	3.21	
Cardiff	2225	1297	58.29	928	41.71	-4.43	
Cardiff East	745	514	68.99	231	31.01	-5.25	
Cardiff Heights	1458	706	48.42	752	51.58	-2.77	
Cardiff North	1396	836	59.89	560	40.11	-2.36	
Cardiff South	1557	1036	66.54	521	33.46	-6.23	
Carey Bay	983	389	39.57	594	60.43	-7.54	
Charlestown South	1071	608	56.77	463	43.23	-5.37	
Coal Point	877	365	41.62	512	58.38	1.81	
Cooranbong	847	423	49.94	424	50.06	1.30	
Dora Creek	1266	647	51.11	619	48.89	-10.61	
Edgeworth	3711	2344	63.16	1367	36.84	-7.85	
Elermore Vale	2064	1212	58.72	852	41.28	-6.30	
Fassifern	599	376	62.77	223	37.23	-8.12	
Fennell Bay	1234	778	63.05	456	36.95	-2.83	
Garden Suburb (Charlton)	1248	654	52.40	594	47.60	-6.33	
Glendale	398	287	72.11	111	27.89	-3.57	
Glendale East	1415	926	65.44	489	34.56	-1.84	
Hawkins Village	1284	855	66.59	429	33.41	-6.11	
Hillsborough	1480	818	55.27	662	44.73	-3.08	
Kilaben Bay	814	377	46.31	437	53.69	0.82	
Killingworth	376	248	65.96	128	34.04	-3.27	
