Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Lyne (86901)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Moorland		41	13.18		9	2.89		0	0.00		0	0.00		2	0.64		1	0.32		10	3.22		9	2.89		0	0.00		81	26.05		4	1.29		0	0.00		3	0.96		0	0.00		1	0.32		0	0.00		139	44.69		2	0.64		0	0.00		8	2.57		0	0.00		0	0.00		1	0.32		0	0.00		311	97.19		9	2.81		320	0.38
Mount George		42	19.00		4	1.81		0	0.00		0	0.00		2	0.90		0	0.00		9	4.07		6	2.71		0	0.00		43	19.46		1	0.45		0	0.00		4	1.81		0	0.00		0	0.00		0	0.00		96	43.44		4	1.81		1	0.45		7	3.17		0	0.00		1	0.45		1	0.45		0	0.00		221	95.26		11	4.74		232	0.28
North Haven		133	10.67		15	1.20		1	0.08		0	0.00		16	1.28		0	0.00		35	2.81		19	1.52		3	0.24		422	33.87		9	0.72		0	0.00		18	1.44		1	0.08		2	0.16		0	0.00		538	43.18		7	0.56		0	0.00		19	1.52		1	0.08		0	0.00		7	0.56		0	0.00		1246	95.33		61	4.67		1307	1.57
Old Bar		190	8.78		44	2.03		0	0.00		1	0.05		21	0.97		4	0.18		123	5.68		29	1.34		5	0.23		691	31.92		8	0.37		1	0.05		22	1.02		1	0.05		4	0.18		3	0.14		917	42.36		15	0.69		1	0.05		71	3.28		0	0.00		3	0.14		10	0.46		1	0.05		2165	98.01		44	1.99		2209	2.65
Oxley Island		17	9.50		3	1.68		0	0.00		1	0.56		0	0.00		1	0.56		14	7.82		1	0.56		2	1.12		40	22.35		1	0.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		91	50.84		2	1.12		0	0.00		6	3.35		0	0.00		0	0.00		0	0.00		0	0.00		179	99.44		1	0.56		180	0.22
Pembrooke		14	9.09		6	3.90		0	0.00		0	0.00		1	0.65		1	0.65		10	6.49		5	3.25		0	0.00		27	17.53		2	1.30		0	0.00		4	2.60		0	0.00		0	0.00		0	0.00		74	48.05		2	1.30		0	0.00		7	4.55		0	0.00		0	0.00		1	0.65		0	0.00		154	98.72		2	1.28		156	0.19
Port Macquarie Central		75	6.00		36	2.88		1	0.08		1	0.08		10	0.80		0	0.00		49	3.92		22	1.76		1	0.08		335	26.78		7	0.56		0	0.00		13	1.04		0	0.00		3	0.24		3	0.24		632	50.52		7	0.56		1	0.08		49	3.92		0	0.00		0	0.00		6	0.48		0	0.00		1251	97.81		28	2.19		1279	1.53
Port Macquarie Civic		116	6.32		61	3.32		2	0.11		0	0.00		44	2.40		0	0.00		96	5.23		24	1.31		5	0.27		485	26.43		14	0.76		1	0.05		14	0.76		0	0.00		2	0.11		2	0.11		883	48.12		11	0.60		2	0.11		58	3.16		1	0.05		0	0.00		14	0.76		0	0.00		1835	96.83		60	3.17		1895	2.27
Port Macquarie East		273	6.63		90	2.19		2	0.05		0	0.00		48	1.17		1	0.02		194	4.71		39	0.95		4	0.10		1173	28.49		34	0.83		2	0.05		25	0.61		2	0.05		8	0.19		7	0.17		2044	49.65		22	0.53		5	0.12		125	3.04		1	0.02		1	0.02		17	0.41		0	0.00		4117	97.28		115	2.72		4232	5.07
Port Macquarie Hospital		26	6.10		15	3.52		0	0.00		1	0.23		3	0.70		0	0.00		21	4.93		4	0.94		0	0.00		124	29.11		2	0.47		0	0.00		2	0.47		0	0.00		0	0.00		0	0.00		215	50.47		3	0.70		1	0.23		8	1.88		0	0.00		0	0.00		1	0.23		0	0.00		426	98.38		7	1.62		433	0.52
Port Macquarie North Shore		33	9.82		4	1.19		0	0.00		0	0.00		3	0.89		0	0.00		20	5.95		3	0.89		0	0.00		101	30.06		3	0.89		0	0.00		3	0.89		0	0.00		1	0.30		0	0.00		151	44.94		0	0.00		0	0.00		8	2.38		1	0.30		0	0.00		5	1.49		0	0.00		336	97.67		8	2.33		344	0.41
Port Macquarie South		147	5.92		83	3.34		0	0.00		2	0.08		29	1.17		2	0.08		143	5.75		17	0.68		4	0.16		616	24.79		15	0.60		0	0.00		16	0.64		0	0.00		2	0.08		2	0.08		1316	52.96		6	0.24		4	0.16		70	2.82		0	0.00		0	0.00		8	0.32		3	0.12		2485	97.95		52	2.05		2537	3.04
Port Macquarie West		302	7.64		95	2.40		2	0.05		1	0.03		47	1.19		2	0.05		169	4.27		31	0.78		8	0.20		1054	26.65		31	0.78		1	0.03		30	0.76		0	0.00		5	0.13		5	0.13		2048	51.78		21	0.53		4	0.10		76	1.92		1	0.03		1	0.03		21	0.53		0	0.00		3955	96.04		163	3.96		4118	4.94
Purfleet		13	9.42		4	2.90		0	0.00		1	0.72		3	2.17		0	0.00		6	4.35		2	1.45		0	0.00		77	55.80		1	0.72		1	0.72		1	0.72		0	0.00		0	0.00		0	0.00		29	21.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		138	94.52		8	5.48		146	0.17
Rollands Plains		18	10.34		2	1.15		0	0.00		1	0.57		1	0.57		0	0.00		12	6.90		1	0.57		0	0.00		32	18.39		0	0.00		0	0.00		0	0.00		0	0.00		1	0.57		0	0.00		94	54.02		1	0.57		0	0.00		9	5.17		0	0.00		0	0.00		0	0.00		2	1.15		174	97.75		4	2.25		178	0.21
