Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Elizabeth Vale		                             	17	0.64	 	110	4.12	 	38	1.42	 	1071	40.07	 	30	1.12	 	6	0.22	 	36	1.35	 	7	0.26	 	19	0.71	 	14	0.52	 	907	33.93	 	418	15.64	 	0	0	 	2673	95.4	 	129	4.6	 	2802	3.77
Hillbank		                                   	4	0.27	 	10	0.68	 	23	1.57	 	536	36.56	 	17	1.16	 	0	0	 	18	1.23	 	1	0.07	 	3	0.2	 	9	0.61	 	585	39.9	 	260	17.74	 	0	0	 	1466	97.54	 	37	2.46	 	1503	2.02
Munno Para		                                 	3	0.3	 	10	1	 	18	1.81	 	471	47.24	 	10	1	 	3	0.3	 	15	1.5	 	5	0.5	 	15	1.5	 	5	0.5	 	291	29.19	 	149	14.94	 	2	0.2	 	997	97.55	 	25	2.45	 	1022	1.37
One Tree Hill (Bonython)		                   	3	0.38	 	5	0.63	 	12	1.51	 	181	22.8	 	11	1.39	 	0	0	 	6	0.76	 	0	0	 	1	0.13	 	8	1.01	 	412	51.89	 	155	19.52	 	0	0	 	794	97.18	 	23	2.82	 	817	1.1
Parafield Gardens		                          	16	0.96	 	20	1.2	 	23	1.38	 	854	51.14	 	12	0.72	 	3	0.18	 	29	1.74	 	5	0.3	 	12	0.72	 	16	0.96	 	395	23.65	 	285	17.07	 	0	0	 	1670	95.54	 	78	4.46	 	1748	2.35
Parafield Gardens Central		                  	37	0.93	 	18	0.45	 	49	1.24	 	2018	50.88	 	37	0.93	 	4	0.1	 	54	1.36	 	13	0.33	 	29	0.73	 	19	0.48	 	1048	26.42	 	639	16.11	 	1	0.03	 	3966	95.38	 	192	4.62	 	4158	5.59
Parafield Gardens North West		               	17	0.65	 	26	0.99	 	50	1.9	 	1255	47.66	 	20	0.76	 	2	0.08	 	44	1.67	 	5	0.19	 	24	0.91	 	15	0.57	 	733	27.84	 	438	16.64	 	4	0.15	 	2633	96.55	 	94	3.45	 	2727	3.67
Paralowie		                                  	35	0.83	 	56	1.33	 	68	1.61	 	2108	49.99	 	22	0.52	 	4	0.09	 	67	1.59	 	11	0.26	 	35	0.83	 	16	0.38	 	1151	27.29	 	643	15.25	 	1	0.02	 	4217	95.99	 	176	4.01	 	4393	5.91
Paralowie West		                             	23	1.16	 	6	0.3	 	32	1.62	 	1002	50.58	 	20	1.01	 	3	0.15	 	33	1.67	 	5	0.25	 	15	0.76	 	12	0.61	 	510	25.74	 	320	16.15	 	0	0	 	1981	96.07	 	81	3.93	 	2062	2.77
Salisbury		                                  	21	1.1	 	53	2.78	 	33	1.73	 	785	41.16	 	18	0.94	 	2	0.1	 	17	0.89	 	6	0.31	 	16	0.84	 	26	1.36	 	670	35.13	 	260	13.63	 	0	0	 	1907	94.73	 	106	5.27	 	2013	2.71
Salisbury Central		                          	14	0.95	 	36	2.45	 	17	1.16	 	550	37.49	 	8	0.55	 	1	0.07	 	21	1.43	 	4	0.27	 	10	0.68	 	26	1.77	 	546	37.22	 	234	15.95	 	0	0	 	1467	93.38	 	104	6.62	 	1571	2.11
Salisbury Downs		                            	26	0.94	 	27	0.98	 	40	1.45	 	1153	41.73	 	23	0.83	 	6	0.22	 	45	1.63	 	6	0.22	 	18	0.65	 	27	0.98	 	964	34.89	 	428	15.49	 	0	0	 	2763	95.87	 	119	4.13	 	2882	3.88
Salisbury North		                            	36	1.28	 	86	3.06	 	55	1.96	 	1457	51.8	 	12	0.43	 	2	0.07	 	49	1.74	 	8	0.28	 	26	0.92	 	12	0.43	 	661	23.5	 	407	14.47	 	2	0.07	 	2813	94.4	 	167	5.6	 	2980	4.01
Salisbury North West		                       	28	0.98	 	56	1.95	 	37	1.29	 	1450	50.59	 	20	0.7	 	1	0.03	 	50	1.74	 	9	0.31	 	30	1.05	 	17	0.59	 	735	25.65	 	433	15.11	 	0	0	 	2866	95.76	 	127	4.24	 	2993	4.02
Salisbury Park		                             	17	0.87	 	24	1.23	 	45	2.3	 	750	38.34	 	24	1.23	 	0	0	 	26	1.33	 	3	0.15	 	17	0.87	 	20	1.02	 	647	33.08	 	383	19.58	 	0	0	 	1956	96.88	 	63	3.12	 	2019	2.71
Smithfield		                                 	15	1.04	 	11	0.76	 	34	2.36	 	641	44.58	 	20	1.39	 	1	0.07	 	25	1.74	 	7	0.49	 	19	1.32	 	14	0.97	 	414	28.79	 	237	16.48	 	0	0	 	1438	94.73	 	80	5.27	 	1518	2.04
Smithfield Plains		                          	22	1.3	 	13	0.77	 	36	2.12	 	851	50.18	 	4	0.24	 	2	0.12	 	33	1.95	 	7	0.41	 	19	1.12	 	6	0.35	 	388	22.88	 	315	18.57	 	0	0	 	1696	95.98	 	71	4.02	 	1767	2.38
Virginia		                                   	19	1.58	 	13	1.08	 	19	1.58	 	381	31.62	 	6	0.5	 	2	0.17	 	8	0.66	 	2	0.17	 	9	0.75	 	12	1	 	663	55.02	 	71	5.89	 	0	0	 	1205	93.7	 	81	6.3	 	1286	1.73
Special Hospitals		                          	3	1.28	 	10	4.27	 	3	1.28	 	97	41.45	 	2	0.85	 	0	0	 	2	0.85	 	4	1.71	 	2	0.85	 	3	1.28	 	88	37.61	 	20	8.55	 	0	0	 	234	95.9	 	10	4.1	 	244	0.33
Total Ordinary		                             	604	0.95	 	1094	1.72	 	1125	1.77	 	28659	44.98	 	573	0.9	 	79	0.12	 	936	1.47	 	200	0.31	 	541	0.85	 	477	0.75	 	19435	30.5	 	9980	15.66	 	16	0.03	 	63719	95.77	 	2813	4.23	 	66532	89.46
ABSENT		                                     	51	1.44	 	36	1.02	 	132	3.73	 	1591	45.01	 	41	1.16	 	5	0.14	 	78	2.21	 	14	0.4	 	27	0.76	 	25	0.71	 	1016	28.74	 	518	14.65	 	1	0.03	 	3535	97.49	 	91	2.51	 	3626	4.88
POSTAL		                                     	13	0.89	 	54	3.69	 	27	1.84	 	615	41.98	 	11	0.75	 	2	0.14	 	28	1.91	 	4	0.27	 	19	1.3	 	10	0.68	 	503	34.33	 	179	12.22	 	0	0	 	1465	98.39	 	24	1.61	 	1489	2
PRE_POLL		                                   	12	0.7	 	28	1.63	 	42	2.45	 	699	40.73	 	20	1.17	 	6	0.35	 	21	1.22	 	12	0.7	 	16	0.93	 	17	0.99	 	613	35.72	 	229	13.34	 	1	0.06	 	1716	98.62	 	24	1.38	 	1740	2.34
PROVISIONAL		                                	14	1.49	 	14	1.49	 	35	3.73	 	523	55.7	 	4	0.43	 	1	0.11	 	23	2.45	 	3	0.32	 	14	1.49	 	1	0.11	 	179	19.06	 	128	13.63	 	0	0	 	939	95.33	 	46	4.67	 	985	1.32
ADJUSTMENT		                                 	0		       	-1		       	0		       	-1		       	0		       	0		       	-2		       	2		       	0		       	0		       	2		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	694	0.97	 	1225	1.72	 	1361	1.91	 	32086	44.95	 	649	0.91	 	93	0.13	 	1084	1.52	 	235	0.33	 	617	0.86	 	530	0.74	 	21748	30.47	 	11034	15.46	 	18	0.03	 	71374	95.97	 	2998	4.03	 	74372	96.71
 																																																	


Boothby (81511)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Boothby)		                         	2	1.89	 	1	0.94	 	6	5.66	 	31	29.25	 	3	2.83	 	0	0	 	1	0.94	 	0	0	 	0	0	 	0	0	 	38	35.85	 	24	22.64	 	0	0	 	106	94.64	 	6	5.36	 	112	0.14
Bedford Park		                               	9	1.19	 	3	0.4	 	13	1.71	 	221	29.12	 	10	1.32	 	2	0.26	 	8	1.05	 	0	0	 	7	0.92	 	6	0.79	 	331	43.61	 	149	19.63	 	0	0	 	759	96.44	 	28	3.56	 	787	1
Belair		                                     	17	0.42	 	10	0.25	 	105	2.6	 	787	19.49	 	21	0.52	 	1	0.02	 	43	1.06	 	5	0.12	 	17	0.42	 	20	0.5	 	2064	51.1	 	942	23.32	 	7	0.17	 	4039	98.06	 	80	1.94	 	4119	5.25
Bellevue Heights		                           	14	0.69	 	8	0.39	 	44	2.17	 	420	20.69	 	17	0.84	 	2	0.1	 	18	0.89	 	5	0.25	 	1	0.05	 	19	0.94	 	1124	55.37	 	356	17.54	 	2	0.1	 	2030	97.93	 	43	2.07	 	2073	2.64
Blackwood		                                  	6	0.28	 	7	0.33	 	52	2.45	 	433	20.4	 	21	0.99	 	0	0	 	13	0.61	 	2	0.09	 	8	0.38	 	11	0.52	 	1020	48.05	 	544	25.62	 	6	0.28	 	2123	97.65	 	51	2.35	 	2174	2.77
Blackwood Central		                          	5	0.38	 	7	0.53	 	30	2.28	 	275	20.88	 	11	0.84	 	0	0	 	17	1.29	 	2	0.15	 	2	0.15	 	10	0.76	 	636	48.29	 	322	24.45	 	0	0	 	1317	97.77	 	30	2.23	 	1347	1.72
Brighton		                                   	8	0.25	 	37	1.17	 	83	2.62	 	730	23.06	 	10	0.32	 	0	0	 	29	0.92	 	6	0.19	 	24	0.76	 	28	0.88	 	1696	53.57	 	511	16.14	 	4	0.13	 	3166	97.09	 	95	2.91	 	3261	4.16
Brighton South		                             	6	0.57	 	10	0.95	 	14	1.34	 	281	26.81	 	5	0.48	 	3	0.29	 	7	0.67	 	4	0.38	 	5	0.48	 	13	1.24	 	534	50.95	 	166	15.84	 	0	0	 	1048	96.77	 	35	3.23	 	1083	1.38
Clapham		                                    	8	0.41	 	15	0.76	 	24	1.22	 	415	21.04	 	10	0.51	 	2	0.1	 	10	0.51	 	2	0.1	 	4	0.2	 	17	0.86	 	1123	56.95	 	342	17.34	 	0	0	 	1972	97.33	 	54	2.67	 	2026	2.58
Clarence Gardens		                           	5	0.6	 	10	1.2	 	14	1.68	 	240	28.85	 	5	0.6	 	0	0	 	5	0.6	 	3	0.36	 	3	0.36	 	6	0.72	 	404	48.56	 	137	16.47	 	0	0	 	832	97.31	 	23	2.69	 	855	1.09
Colonel Light Gardens		                      	8	0.51	 	13	0.83	 	27	1.73	 	407	26.04	 	9	0.58	 	1	0.06	 	15	0.96	 	4	0.26	 	9	0.58	 	17	1.09	 	708	45.3	 	343	21.94	 	2	0.13	 	1563	97.87	 	34	2.13	 	1597	2.04
Coromandel Valley (Boothby)		                	1	0.31	 	0	0	 	12	3.69	 	75	23.08	 	3	0.92	 	1	0.31	 	3	0.92	 	0	0	 	0	0	 	1	0.31	 	154	47.38	 	75	23.08	 	0	0	 	325	98.19	 	6	1.81	 	331	0.42
Darlington		                                 	20	1.11	 	44	2.44	 	21	1.17	 	658	36.56	 	20	1.11	 	2	0.11	 	17	0.94	 	8	0.44	 	7	0.39	 	17	0.94	 	683	37.94	 	301	16.72	 	2	0.11	 	1800	96.72	 	61	3.28	 	1861	2.37
Daw Park		                                   	14	0.77	 	13	0.71	 	36	1.97	 	566	30.95	 	15	0.82	 	0	0	 	17	0.93	 	6	0.33	 	11	0.6	 	15	0.82	 	794	43.41	 	340	18.59	 	2	0.11	 	1829	96.52	 	66	3.48	 	1895	2.42
Dover Gardens		                              	11	0.62	 	46	2.59	 	36	2.03	 	590	33.28	 	16	0.9	 	2	0.11	 	3	0.17	 	3	0.17	 	5	0.28	 	5	0.28	 	711	40.1	 	344	19.4	 	1	0.06	 	1773	96.89	 	57	3.11	 	1830	2.33
Eden Hills		                                 	4	0.3	 	3	0.23	 	64	4.8	 	318	23.86	 	7	0.53	 	0	0	 	8	0.6	 	1	0.08	 	9	0.68	 	5	0.38	 	566	42.46	 	348	26.11	 	0	0	 	1333	96.73	 	45	3.27	 	1378	1.76
Hawthorn		                                   	6	1.03	 	3	0.52	 	4	0.69	 	101	17.35	 	6	1.03	 	1	0.17	 	3	0.52	 	0	0	 	0	0	 	2	0.34	 	330	56.7	 	125	21.48	 	1	0.17	 	582	98.31	 	10	1.69	 	592	0.75
Hawthorndene		                               	10	0.62	 	10	0.62	 	52	3.23	 	317	19.71	 	17	1.06	 	1	0.06	 	10	0.62	 	4	0.25	 	6	0.37	 	10	0.62	 	719	44.71	 	450	27.99	 	2	0.12	 	1608	97.57	 	40	2.43	 	1648	2.1
Hawthorn West		                              	7	0.41	 	6	0.35	 	30	1.74	 	348	20.16	 	17	0.98	 	2	0.12	 	7	0.41	 	1	0.06	 	4	0.23	 	14	0.81	 	934	54.11	 	354	20.51	 	2	0.12	 	1726	97.02	 	53	2.98	 	1779	2.27
Kingswood		                                  	4	0.28	 	9	0.64	 	38	2.7	 	336	23.83	 	11	0.78	 	1	0.07	 	8	0.57	 	0	0	 	6	0.43	 	8	0.57	 	722	51.21	 	265	18.79	 	2	0.14	 	1410	96.77	 	47	3.23	 	1457	1.86
Marino		                                     	5	0.36	 	21	1.49	 	39	2.78	 	351	24.98	 	5	0.36	 	0	0	 	14	1	 	3	0.21	 	4	0.28	 	12	0.85	 	715	50.89	 	235	16.73	 	1	0.07	 	1405	97.16	 	41	2.84	 	1446	1.84
Marion		                                     	6	0.49	 	9	0.73	 	20	1.62	 	340	27.49	 	5	0.4	 	0	0	 	9	0.73	 	6	0.49	 	3	0.24	 	15	1.21	 	620	50.12	 	204	16.49	 	0	0	 	1237	96.19	 	49	3.81	 	1286	1.64
Melrose Park		                               	17	0.83	 	13	0.64	 	28	1.37	 	657	32.16	 	25	1.22	 	1	0.05	 	7	0.34	 	3	0.15	 	7	0.34	 	13	0.64	 	948	46.4	 	319	15.61	 	5	0.24	 	2043	96.05	 	84	3.95	 	2127	2.71
Mitcham		                                    	7	0.31	 	5	0.22	 	48	2.1	 	391	17.13	 	17	0.74	 	2	0.09	 	15	0.66	 	2	0.09	 	10	0.44	 	22	0.96	 	1343	58.85	 	417	18.27	 	3	0.13	 	2282	97.23	 	65	2.77	 	2347	2.99
Mitchell Park		                              	17	0.77	 	22	0.99	 	42	1.89	 	899	40.46	 	14	0.63	 	0	0	 	23	1.04	 	9	0.41	 	11	0.5	 	31	1.4	 	787	35.42	 	367	16.52	 	0	0	 	2222	95.98	 	93	4.02	 	2315	2.95
Netherby		                                   	4	0.24	 	1	0.06	 	18	1.1	 	201	12.31	 	9	0.55	 	0	0	 	10	0.61	 	3	0.18	 	8	0.49	 	8	0.49	 	1188	72.75	 	181	11.08	 	2	0.12	 	1633	98.37	 	27	1.63	 	1660	2.12
North Brighton		                             	11	0.7	 	13	0.83	 	23	1.47	 	426	27.17	 	6	0.38	 	0	0	 	8	0.51	 	2	0.13	 	4	0.26	 	17	1.08	 	779	49.68	 	275	17.54	 	4	0.26	 	1568	97.94	 	33	2.06	 	1601	2.04
Oaklands Park		                              	14	0.73	 	24	1.26	 	37	1.94	 	592	30.99	 	13	0.68	 	1	0.05	 	10	0.52	 	8	0.42	 	9	0.47	 	46	2.41	 	811	42.46	 	344	18.01	 	1	0.05	 	1910	96.37	 	72	3.63	 	1982	2.53
Panorama		                                   	20	1.19	 	8	0.48	 	25	1.49	 	337	20.05	 	11	0.65	 	1	0.06	 	7	0.42	 	4	0.24	 	11	0.65	 	23	1.37	 	1008	59.96	 	225	13.38	 	1	0.06	 	1681	96.61	 	59	3.39	 	1740	2.22
Pasadena		                                   	18	1.05	 	12	0.7	 	26	1.52	 	558	32.59	 	13	0.76	 	1	0.06	 	11	0.64	 	2	0.12	 	11	0.64	 	15	0.88	 	777	45.39	 	268	15.65	 	0	0	 	1712	96.34	 	65	3.66	 	1777	2.26
St Marys		                                   	20	0.83	 	14	0.58	 	33	1.37	 	937	38.91	 	32	1.33	 	3	0.12	 	24	1	 	5	0.21	 	8	0.33	 	17	0.71	 	922	38.29	 	392	16.28	 	1	0.04	 	2408	96.59	 	85	3.41	 	2493	3.18
Seacliff		                                   	5	0.25	 	28	1.43	 	49	2.49	 	455	23.17	 	8	0.41	 	1	0.05	 	10	0.51	 	6	0.31	 	10	0.51	 	28	1.43	 	989	50.36	 	372	18.94	 	3	0.15	 	1964	97.37	 	53	2.63	 	2017	2.57
Seacombe Heights		                           	19	0.81	 	30	1.28	 	32	1.37	 	734	31.37	 	14	0.6	 	4	0.17	 	15	0.64	 	3	0.13	 	6	0.26	 	8	0.34	 	1030	44.02	 	443	18.93	 	2	0.09	 	2340	97.54	 	59	2.46	 	2399	3.06
Seaview Downs		                              	10	0.62	 	10	0.62	 	16	0.99	 	402	24.95	 	7	0.43	 	1	0.06	 	6	0.37	 	4	0.25	 	5	0.31	 	14	0.87	 	855	53.07	 	279	17.32	 	2	0.12	 	1611	97.75	 	37	2.25	 	1648	2.1
Sturt		                                      	11	0.76	 	13	0.9	 	17	1.18	 	451	31.36	 	11	0.76	 	2	0.14	 	12	0.83	 	5	0.35	 	7	0.49	 	10	0.7	 	661	45.97	 	238	16.55	 	0	0	 	1438	96.38	 	54	3.62	 	1492	1.9
Tonsley Park		                               	9	0.79	 	15	1.31	 	13	1.14	 	518	45.24	 	13	1.14	 	0	0	 	5	0.44	 	1	0.09	 	8	0.7	 	13	1.14	 	354	30.92	 	195	17.03	 	1	0.09	 	1145	97.61	 	28	2.39	 	1173	1.49
Warradale		                                  	13	0.47	 	31	1.12	 	49	1.77	 	834	30.08	 	10	0.36	 	2	0.07	 	15	0.54	 	6	0.22	 	10	0.36	 	33	1.19	 	1323	47.71	 	447	16.12	 	0	0	 	2773	96.82	 	91	3.18	 	2864	3.65
Westbourne Park		                            	7	0.43	 	16	0.99	 	32	1.98	 	448	27.69	 	6	0.37	 	1	0.06	 	11	0.68	 	1	0.06	 	5	0.31	 	14	0.87	 	767	47.4	 	308	19.04	 	2	0.12	 	1618	96.6	 	57	3.4	 	1675	2.13
West Brighton		                              	6	0.43	 	5	0.36	 	33	2.39	 	276	20	 	6	0.43	 	0	0	 	8	0.58	 	2	0.14	 	4	0.29	 	9	0.65	 	833	60.36	 	197	14.28	 	1	0.07	 	1380	97.18	 	40	2.82	 	1420	1.81
Special Hospitals		                          	3	0.48	 	10	1.61	 	7	1.13	 	143	23.06	 	3	0.48	 	1	0.16	 	2	0.32	 	2	0.32	 	3	0.48	 	4	0.65	 	410	66.13	 	32	5.16	 	0	0	 	620	95.53	 	29	4.47	 	649	0.83
Total Ordinary		                             	387	0.58	 	555	0.84	 	1292	1.95	 	17499	26.38	 	462	0.7	 	42	0.06	 	464	0.7	 	133	0.2	 	272	0.41	 	576	0.87	 	32411	48.86	 	12176	18.36	 	62	0.09	 	66331	97.09	 	1985	2.91	 	68316	87.06
ABSENT		                                     	37	0.87	 	17	0.4	 	157	3.7	 	1188	28.01	 	35	0.83	 	1	0.02	 	60	1.41	 	8	0.19	 	33	0.78	 	22	0.52	 	1896	44.71	 	782	18.44	 	5	0.12	 	4241	98.26	 	75	1.74	 	4316	5.5
POSTAL		                                     	9	0.38	 	44	1.84	 	40	1.67	 	588	24.61	 	18	0.75	 	2	0.08	 	18	0.75	 	4	0.17	 	13	0.54	 	14	0.59	 	1299	54.37	 	337	14.11	 	3	0.13	 	2389	98.39	 	39	1.61	 	2428	3.09
PRE_POLL		                                   	19	0.72	 	27	1.03	 	105	4	 	680	25.88	 	23	0.88	 	2	0.08	 	19	0.72	 	5	0.19	 	18	0.68	 	13	0.49	 	1291	49.12	 	423	16.1	 	3	0.11	 	2628	98.24	 	47	1.76	 	2675	3.41
PROVISIONAL		                                	3	0.42	 	3	0.42	 	34	4.76	 	254	35.52	 	3	0.42	 	0	0	 	11	1.54	 	3	0.42	 	4	0.56	 	3	0.42	 	263	36.78	 	134	18.74	 	0	0	 	715	97.81	 	16	2.19	 	731	0.93
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	455	0.6	 	646	0.85	 	1628	2.13	 	20209	26.48	 	541	0.71	 	47	0.06	 	572	0.75	 	153	0.2	 	340	0.45	 	628	0.82	 	37160	48.7	 	13852	18.15	 	73	0.1	 	76304	97.24	 	2162	2.76	 	78466	96.26
 																																																	


Grey (83573)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Andamooka		                                  	3	1.43	 	0	0	 	1	0.48	 	60	28.57	 	3	1.43	 	0	0	 	3	1.43	 	1	0.48	 	0	0	 	1	0.48	 	120	57.14	 	18	8.57	 	0	0	 	210	95.45	 	10	4.55	 	220	0.28
Arno Bay		                                   	4	1.85	 	1	0.46	 	1	0.46	 	20	9.26	 	1	0.46	 	0	0	 	0	0	 	0	0	 	3	1.39	 	2	0.93	 	171	79.17	 	13	6.02	 	0	0	 	216	96	 	9	4	 	225	0.28
Blyth		                                      	5	1.41	 	7	1.98	 	3	0.85	 	28	7.91	 	0	0	 	0	0	 	3	0.85	 	1	0.28	 	0	0	 	5	1.41	 	279	78.81	 	23	6.5	 	0	0	 	354	97.79	 	8	2.21	 	362	0.45
Booborowie		                                 	1	0.54	 	5	2.72	 	4	2.17	 	27	14.67	 	2	1.09	 	0	0	 	4	2.17	 	0	0	 	1	0.54	 	1	0.54	 	131	71.2	 	8	4.35	 	0	0	 	184	98.4	 	3	1.6	 	187	0.23
Booleroo Centre		                            	9	2.34	 	1	0.26	 	3	0.78	 	27	7.01	 	6	1.56	 	0	0	 	3	0.78	 	1	0.26	 	0	0	 	0	0	 	314	81.56	 	21	5.45	 	0	0	 	385	97.22	 	11	2.78	 	396	0.5
Brinkworth		                                 	0	0	 	1	0.43	 	0	0	 	15	6.47	 	0	0	 	1	0.43	 	1	0.43	 	3	1.29	 	2	0.86	 	4	1.72	 	186	80.17	 	19	8.19	 	0	0	 	232	97.07	 	7	2.93	 	239	0.3
Burra		                                      	17	2.09	 	8	0.98	 	11	1.35	 	174	21.4	 	1	0.12	 	0	0	 	3	0.37	 	0	0	 	2	0.25	 	0	0	 	505	62.12	 	92	11.32	 	0	0	 	813	95.99	 	34	4.01	 	847	1.06
Ceduna		                                     	12	0.78	 	7	0.46	 	31	2.02	 	428	27.83	 	7	0.46	 	2	0.13	 	11	0.72	 	3	0.2	 	7	0.46	 	5	0.33	 	909	59.1	 	115	7.48	 	1	0.07	 	1538	96.97	 	48	3.03	 	1586	1.99
Clare		                                      	28	1.2	 	15	0.64	 	24	1.03	 	467	20.04	 	11	0.47	 	1	0.04	 	10	0.43	 	3	0.13	 	10	0.43	 	12	0.52	 	1477	63.39	 	271	11.63	 	1	0.04	 	2330	97.33	 	64	2.67	 	2394	3
Cleve		                                      	6	0.81	 	5	0.67	 	7	0.94	 	76	10.23	 	5	0.67	 	0	0	 	5	0.67	 	3	0.4	 	0	0	 	4	0.54	 	603	81.16	 	29	3.9	 	0	0	 	743	96.74	 	25	3.26	 	768	0.96
Coffin Bay		                                 	2	0.58	 	5	1.45	 	12	3.47	 	62	17.92	 	3	0.87	 	0	0	 	2	0.58	 	0	0	 	0	0	 	1	0.29	 	226	65.32	 	33	9.54	 	0	0	 	346	97.74	 	8	2.26	 	354	0.44
Coober Pedy		                                	19	1.96	 	8	0.82	 	16	1.65	 	352	36.29	 	6	0.62	 	1	0.1	 	7	0.72	 	2	0.21	 	6	0.62	 	3	0.31	 	458	47.22	 	92	9.48	 	0	0	 	970	96.81	 	32	3.19	 	1002	1.26
Cowell		                                     	10	1.37	 	6	0.82	 	6	0.82	 	105	14.4	 	8	1.1	 	0	0	 	4	0.55	 	2	0.27	 	5	0.69	 	4	0.55	 	543	74.49	 	36	4.94	 	0	0	 	729	96.68	 	25	3.32	 	754	0.95
Crystal Brook		                              	20	2.06	 	6	0.62	 	12	1.24	 	251	25.9	 	4	0.41	 	0	0	 	8	0.83	 	2	0.21	 	8	0.83	 	3	0.31	 	569	58.72	 	84	8.67	 	2	0.21	 	969	95.56	 	45	4.44	 	1014	1.27
Cummins		                                    	3	0.36	 	3	0.36	 	10	1.21	 	85	10.27	 	9	1.09	 	1	0.12	 	4	0.48	 	1	0.12	 	2	0.24	 	4	0.48	 	667	80.56	 	39	4.71	 	0	0	 	828	97.41	 	22	2.59	 	850	1.07
Darke Peak		                                 	1	0.7	 	0	0	 	0	0	 	10	7.04	 	5	3.52	 	0	0	 	1	0.7	 	0	0	 	1	0.7	 	0	0	 	118	83.1	 	6	4.23	 	0	0	 	142	100	 	0	0	 	142	0.18
Davenport		                                  	44	1.86	 	16	0.68	 	33	1.4	 	1267	53.57	 	11	0.47	 	3	0.13	 	29	1.23	 	5	0.21	 	13	0.55	 	5	0.21	 	735	31.08	 	204	8.63	 	0	0	 	2365	97.17	 	69	2.83	 	2434	3.05
Elliston		                                   	0	0	 	1	0.37	 	11	4.12	 	35	13.11	 	1	0.37	 	0	0	 	0	0	 	1	0.37	 	2	0.75	 	0	0	 	179	67.04	 	37	13.86	 	0	0	 	267	96.74	 	9	3.26	 	276	0.35
Farrell Flat		                               	1	0.81	 	0	0	 	1	0.81	 	20	16.13	 	2	1.61	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	90	72.58	 	10	8.06	 	0	0	 	124	98.41	 	2	1.59	 	126	0.16
Fisk		                                       	14	1.21	 	4	0.35	 	24	2.08	 	681	58.91	 	11	0.95	 	3	0.26	 	15	1.3	 	3	0.26	 	9	0.78	 	3	0.26	 	275	23.79	 	113	9.78	 	1	0.09	 	1156	97.22	 	33	2.78	 	1189	1.49
Georgetown		                                 	4	2.07	 	5	2.59	 	3	1.55	 	35	18.13	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.52	 	132	68.39	 	13	6.74	 	0	0	 	193	97.47	 	5	2.53	 	198	0.25
Gladstone		                                  	11	2.15	 	4	0.78	 	8	1.56	 	153	29.88	 	2	0.39	 	0	0	 	3	0.59	 	1	0.2	 	3	0.59	 	1	0.2	 	272	53.13	 	54	10.55	 	0	0	 	512	96.97	 	16	3.03	 	528	0.66
Hallett		                                    	5	3.18	 	2	1.27	 	0	0	 	25	15.92	 	1	0.64	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.64	 	111	70.7	 	12	7.64	 	0	0	 	157	97.52	 	4	2.48	 	161	0.2
Hawker		                                     	5	1.81	 	4	1.45	 	3	1.09	 	52	18.84	 	0	0	 	1	0.36	 	2	0.72	 	0	0	 	1	0.36	 	0	0	 	186	67.39	 	22	7.97	 	0	0	 	276	97.18	 	8	2.82	 	284	0.36
