Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Marden West (Adelaide)		                     	0	0	 	2	0.87	 	7	3.06	 	76	33.19	 	1	0.44	 	1	0.44	 	2	0.87	 	1	0.44	 	3	1.31	 	2	0.87	 	95	41.48	 	39	17.03	 	0	0	 	229	94.63	 	13	5.37	 	242	0.31
Myrtle Bank		                                	8	0.43	 	10	0.54	 	25	1.36	 	333	18.09	 	13	0.71	 	0	0	 	15	0.81	 	1	0.05	 	6	0.33	 	6	0.33	 	1163	63.17	 	259	14.07	 	2	0.11	 	1841	98.08	 	36	1.92	 	1877	2.41
Nailsworth		                                 	12	0.84	 	9	0.63	 	29	2.03	 	494	34.52	 	10	0.7	 	4	0.28	 	11	0.77	 	0	0	 	6	0.42	 	7	0.49	 	582	40.67	 	266	18.59	 	1	0.07	 	1431	97.21	 	41	2.79	 	1472	1.89
North Adelaide		                             	11	0.48	 	8	0.35	 	57	2.5	 	508	22.25	 	12	0.53	 	1	0.04	 	13	0.57	 	0	0	 	21	0.92	 	4	0.18	 	1271	55.67	 	375	16.43	 	2	0.09	 	2283	97.15	 	67	2.85	 	2350	3.01
Northfield South (Adelaide)		                	18	1.23	 	19	1.3	 	21	1.43	 	547	37.31	 	14	0.95	 	1	0.07	 	12	0.82	 	4	0.27	 	6	0.41	 	16	1.09	 	601	41	 	205	13.98	 	2	0.14	 	1466	95.32	 	72	4.68	 	1538	1.97
Parkside East (Adelaide)		                   	14	0.68	 	19	0.92	 	62	3.01	 	698	33.85	 	10	0.48	 	1	0.05	 	12	0.58	 	4	0.19	 	16	0.78	 	5	0.24	 	875	42.43	 	346	16.78	 	0	0	 	2062	95.82	 	90	4.18	 	2152	2.76
Prospect		                                   	15	0.73	 	9	0.44	 	56	2.71	 	789	38.21	 	9	0.44	 	5	0.24	 	16	0.77	 	5	0.24	 	20	0.97	 	16	0.77	 	774	37.48	 	348	16.85	 	3	0.15	 	2065	96.5	 	75	3.5	 	2140	2.74
Prospect Estate		                            	11	1.29	 	15	1.75	 	15	1.75	 	377	44.04	 	8	0.93	 	0	0	 	6	0.7	 	1	0.12	 	3	0.35	 	3	0.35	 	308	35.98	 	109	12.73	 	0	0	 	856	96.51	 	31	3.49	 	887	1.14
Prospect North		                             	16	1.32	 	5	0.41	 	33	2.72	 	491	40.51	 	9	0.74	 	0	0	 	12	0.99	 	3	0.25	 	9	0.74	 	16	1.32	 	412	33.99	 	204	16.83	 	2	0.17	 	1212	94.54	 	70	5.46	 	1282	1.64
Prospect South		                             	4	0.37	 	10	0.91	 	29	2.65	 	293	26.81	 	6	0.55	 	2	0.18	 	3	0.27	 	1	0.09	 	7	0.64	 	8	0.73	 	545	49.86	 	182	16.65	 	3	0.27	 	1093	96.81	 	36	3.19	 	1129	1.45
Prospect West		                              	17	0.77	 	10	0.45	 	65	2.94	 	835	37.77	 	11	0.5	 	4	0.18	 	13	0.59	 	4	0.18	 	20	0.9	 	8	0.36	 	859	38.85	 	363	16.42	 	2	0.09	 	2211	96.47	 	81	3.53	 	2292	2.94
Renown Park		                                	11	0.62	 	27	1.51	 	33	1.85	 	897	50.28	 	9	0.5	 	2	0.11	 	17	0.95	 	7	0.39	 	6	0.34	 	13	0.73	 	546	30.61	 	214	12	 	2	0.11	 	1784	94.69	 	100	5.31	 	1884	2.41
St Peters		                                  	1	0.19	 	4	0.76	 	5	0.95	 	128	24.29	 	4	0.76	 	2	0.38	 	6	1.14	 	0	0	 	3	0.57	 	0	0	 	278	52.75	 	95	18.03	 	1	0.19	 	527	97.05	 	16	2.95	 	543	0.7
Thebarton		                                  	25	1.5	 	9	0.54	 	59	3.55	 	839	50.45	 	5	0.3	 	4	0.24	 	5	0.3	 	2	0.12	 	11	0.66	 	4	0.24	 	469	28.2	 	229	13.77	 	2	0.12	 	1663	95.36	 	81	4.64	 	1744	2.24
