Senate - 1996 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66017)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Cuprona		                                    	1	0.77	 	4	3.08	 	75	57.69	 	2	1.54	 	1	0.77	 	9	6.92	 	0	0	 	38	29.23	 	0	0	 	130	94.89	 	7	5.11	 	137	0.22
Currie		                                     	7	0.89	 	11	1.4	 	460	58.67	 	44	5.61	 	8	1.02	 	54	6.89	 	2	0.26	 	198	25.26	 	0	0	 	784	97.63	 	19	2.37	 	803	1.3
Devonport Central		                          	13	0.79	 	20	1.22	 	845	51.4	 	82	4.99	 	9	0.55	 	135	8.21	 	15	0.91	 	525	31.93	 	0	0	 	1644	96.76	 	55	3.24	 	1699	2.76
Devonport East		                             	19	0.78	 	44	1.81	 	971	40.01	 	151	6.22	 	5	0.21	 	79	3.26	 	13	0.54	 	1145	47.18	 	0	0	 	2427	97.27	 	68	2.73	 	2495	4.05
Devonport North		                            	5	0.74	 	9	1.33	 	351	51.77	 	27	3.98	 	4	0.59	 	35	5.16	 	0	0	 	247	36.43	 	0	0	 	678	97.69	 	16	2.31	 	694	1.13
Devonport South		                            	10	0.53	 	23	1.22	 	850	44.95	 	100	5.29	 	16	0.85	 	85	4.49	 	3	0.16	 	804	42.52	 	0	0	 	1891	97.17	 	55	2.83	 	1946	3.16
Don		                                        	1	0.19	 	7	1.32	 	279	52.64	 	29	5.47	 	2	0.38	 	54	10.19	 	3	0.57	 	155	29.25	 	0	0	 	530	96.19	 	21	3.81	 	551	0.9
Edith Creek		                                	0	0	 	4	3.31	 	77	63.64	 	2	1.65	 	1	0.83	 	3	2.48	 	0	0	 	34	28.1	 	0	0	 	121	97.58	 	3	2.42	 	124	0.2
Elliott		                                    	1	0.51	 	16	8.08	 	104	52.53	 	15	7.58	 	0	0	 	18	9.09	 	2	1.01	 	42	21.21	 	0	0	 	198	99	 	2	1	 	200	0.32
Forest		                                     	0	0	 	18	4.71	 	225	58.9	 	19	4.97	 	4	1.05	 	20	5.24	 	2	0.52	 	94	24.61	 	0	0	 	382	97.45	 	10	2.55	 	392	0.64
Forth		                                      	0	0	 	8	1.17	 	399	58.5	 	46	6.74	 	2	0.29	 	57	8.36	 	5	0.73	 	165	24.19	 	0	0	 	682	96.6	 	24	3.4	 	706	1.15
Gawler		                                     	1	0.28	 	12	3.31	 	225	62.15	 	19	5.25	 	1	0.28	 	15	4.14	 	3	0.83	 	86	23.76	 	0	0	 	362	97.05	 	11	2.95	 	373	0.61
Grassy		                                     	0	0	 	1	0.79	 	87	69.05	 	3	2.38	 	0	0	 	9	7.14	 	0	0	 	26	20.63	 	0	0	 	126	100	 	0	0	 	126	0.2
Gunns Plains		                               	1	0.92	 	1	0.92	 	72	66.06	 	4	3.67	 	0	0	 	14	12.84	 	0	0	 	17	15.6	 	0	0	 	109	96.46	 	4	3.54	 	113	0.18
Havenview		                                  	3	0.57	 	16	3.03	 	188	35.61	 	35	6.63	 	4	0.76	 	31	5.87	 	2	0.38	 	249	47.16	 	0	0	 	528	98.51	 	8	1.49	 	536	0.87
Highclere		                                  	1	0.56	 	10	5.56	 	99	55	 	8	4.44	 	1	0.56	 	7	3.89	 	0	0	 	54	30	 	0	0	 	180	94.74	 	10	5.26	 	190	0.31
Irishtown		                                  	3	1.2	 	7	2.79	 	161	64.14	 	5	1.99	 	2	0.8	 	2	0.8	 	4	1.59	 	67	26.69	 	0	0	 	251	97.67	 	6	2.33	 	257	0.42
Lileah		                                     	2	3.08	 	1	1.54	 	46	70.77	 	2	3.08	 	1	1.54	 	7	10.77	 	0	0	 	6	9.23	 	0	0	 	65	100	 	0	0	 	65	0.11
Malonga Park		                               	4	0.4	 	35	3.48	 	526	52.34	 	68	6.77	 	3	0.3	 	45	4.48	 	5	0.5	 	319	31.74	 	0	0	 	1005	97.29	 	28	2.71	 	1033	1.68
Marrawah		                                   	0	0	 	13	4.22	 	183	59.42	 	20	6.49	 	2	0.65	 	37	12.01	 	3	0.97	 	50	16.23	 	0	0	 	308	95.06	 	16	4.94	 	324	0.53
Mawbanna		                                   	0	0	 	2	2.99	 	51	76.12	 	3	4.48	 	0	0	 	1	1.49	 	0	0	 	10	14.93	 	0	0	 	67	98.53	 	1	1.47	 	68	0.11
Melrose		                                    	1	0.7	 	6	4.23	 	73	51.41	 	11	7.75	 	1	0.7	 	16	11.27	 	0	0	 	34	23.94	 	0	0	 	142	95.95	 	6	4.05	 	148	0.24
Montagu		                                    	1	0.69	 	7	4.83	 	101	69.66	 	6	4.14	 	1	0.69	 	4	2.76	 	0	0	 	25	17.24	 	0	0	 	145	96.67	 	5	3.33	 	150	0.24
Montello		                                   	9	0.66	 	46	3.37	 	435	31.89	 	74	5.43	 	11	0.81	 	37	2.71	 	9	0.66	 	743	54.47	 	0	0	 	1364	95.85	 	59	4.15	 	1423	2.31
Moorleah		                                   	1	0.61	 	7	4.29	 	64	39.26	 	10	6.13	 	2	1.23	 	22	13.5	 	1	0.61	 	56	34.36	 	0	0	 	163	97.6	 	4	2.4	 	167	0.27
Natone		                                     	2	1.23	 	7	4.29	 	73	44.79	 	11	6.75	 	1	0.61	 	12	7.36	 	0	0	 	57	34.97	 	0	0	 	163	96.45	 	6	3.55	 	169	0.27
Nietta		                                     	0	0	 	3	3.45	 	48	55.17	 	7	8.05	 	0	0	 	7	8.05	 	0	0	 	22	25.29	 	0	0	 	87	96.67	 	3	3.33	 	90	0.15
Nixon Street		                               	10	0.39	 	41	1.58	 	1245	48	 	147	5.67	 	11	0.42	 	132	5.09	 	10	0.39	 	998	38.47	 	0	0	 	2594	96.97	 	81	3.03	 	2675	4.35
North Motton		                               	0	0	 	5	2.15	 	137	58.8	 	19	8.15	 	0	0	 	24	10.3	 	1	0.43	 	47	20.17	 	0	0	 	233	97.49	 	6	2.51	 	239	0.39
Penguin		                                    	8	0.39	 	54	2.62	 	894	43.44	 	146	7.09	 	11	0.53	 	157	7.63	 	8	0.39	 	780	37.9	 	0	0	 	2058	96.3	 	79	3.7	 	2137	3.47
Preston		                                    	0	0	 	0	0	 	70	70	 	3	3	 	0	0	 	7	7	 	1	1	 	19	19	 	0	0	 	100	98.04	 	2	1.96	 	102	0.17
Redpa		                                      	1	1.2	 	8	9.64	 	42	50.6	 	6	7.23	 	0	0	 	4	4.82	 	0	0	 	22	26.51	 	0	0	 	83	97.65	 	2	2.35	 	85	0.14
Reekara		                                    	1	0.85	 	2	1.69	 	83	70.34	 	7	5.93	 	1	0.85	 	5	4.24	 	0	0	 	19	16.1	 	0	0	 	118	99.16	 	1	0.84	 	119	0.19
Riana		                                      	2	0.98	 	3	1.47	 	138	67.65	 	11	5.39	 	0	0	 	14	6.86	 	0	0	 	36	17.65	 	0	0	 	204	94.44	 	12	5.56	 	216	0.35
Ridgley		                                    	1	0.16	 	30	4.85	 	304	49.11	 	33	5.33	 	3	0.48	 	27	4.36	 	1	0.16	 	220	35.54	 	0	0	 	619	96.42	 	23	3.58	 	642	1.04
Rocky Cape		                                 	2	0.49	 	19	4.61	 	216	52.43	 	23	5.58	 	2	0.49	 	29	7.04	 	1	0.24	 	120	29.13	 	0	0	 	412	98.33	 	7	1.67	 	419	0.68
Savage River		                               	1	0.85	 	2	1.69	 	29	24.58	 	8	6.78	 	1	0.85	 	3	2.54	 	0	0	 	74	62.71	 	0	0	 	118	98.33	 	2	1.67	 	120	0.19
Sisters Beach		                              	1	0.43	 	10	4.27	 	117	50	 	20	8.55	 	0	0	 	19	8.12	 	0	0	 	67	28.63	 	0	0	 	234	97.1	 	7	2.9	 	241	0.39
Sisters Creek		                              	0	0	 	16	7.55	 	115	54.25	 	16	7.55	 	2	0.94	 	19	8.96	 	1	0.47	 	43	20.28	 	0	0	 	212	98.15	 	4	1.85	 	216	0.35
Smithton		                                   	12	0.52	 	68	2.92	 	1263	54.3	 	84	3.61	 	17	0.73	 	64	2.75	 	11	0.47	 	807	34.69	 	0	0	 	2326	96.16	 	93	3.84	 	2419	3.93
Somerset		                                   	12	0.54	 	114	5.15	 	933	42.16	 	121	5.47	 	15	0.68	 	105	4.74	 	11	0.5	 	902	40.76	 	0	0	 	2213	96.43	 	82	3.57	 	2295	3.73
South Riana		                                	3	1.53	 	9	4.59	 	128	65.31	 	5	2.55	 	2	1.02	 	11	5.61	 	2	1.02	 	36	18.37	 	0	0	 	196	98.99	 	2	1.01	 	198	0.32
Sprent		                                     	0	0	 	7	3.63	 	106	54.92	 	16	8.29	 	1	0.52	 	12	6.22	 	1	0.52	 	50	25.91	 	0	0	 	193	98.47	 	3	1.53	 	196	0.32
Spreyton		                                   	5	0.48	 	17	1.63	 	488	46.92	 	76	7.31	 	9	0.87	 	62	5.96	 	2	0.19	 	381	36.63	 	0	0	 	1040	96.92	 	33	3.08	 	1073	1.74
Stanley		                                    	2	0.42	 	23	4.87	 	202	42.8	 	23	4.87	 	2	0.42	 	39	8.26	 	4	0.85	 	177	37.5	 	0	0	 	472	96.72	 	16	3.28	 	488	0.79
Stowport		                                   	3	1.29	 	7	3	 	113	48.5	 	11	4.72	 	0	0	 	21	9.01	 	0	0	 	78	33.48	 	0	0	 	233	96.28	 	9	3.72	 	242	0.39
Sulphur Creek		                              	3	0.58	 	35	6.78	 	263	50.97	 	21	4.07	 	3	0.58	 	41	7.95	 	2	0.39	 	148	28.68	 	0	0	 	516	96.27	 	20	3.73	 	536	0.87
Togari		                                     	0	0	 	8	8.16	 	62	63.27	 	5	5.1	 	1	1.02	 	2	2.04	 	1	1.02	 	19	19.39	 	0	0	 	98	97.03	 	3	2.97	 	101	0.16
Trowutta		                                   	0	0	 	1	1.59	 	40	63.49	 	2	3.17	 	1	1.59	 	2	3.17	 	0	0	 	17	26.98	 	0	0	 	63	100	 	0	0	 	63	0.1
Turners Beach		                              	1	0.16	 	18	2.96	 	340	55.83	 	29	4.76	 	4	0.66	 	38	6.24	 	4	0.66	 	175	28.74	 	0	0	 	609	96.21	 	24	3.79	 	633	1.03
Ulverstone		                                 	10	0.7	 	41	2.87	 	770	53.81	 	67	4.68	 	7	0.49	 	72	5.03	 	10	0.7	 	454	31.73	 	0	0	 	1431	95.91	 	61	4.09	 	1492	2.42
Ulverstone East		                            	0	0	 	29	3.36	 	488	56.61	 	38	4.41	 	3	0.35	 	38	4.41	 	6	0.7	 	260	30.16	 	0	0	 	862	97.29	 	24	2.71	 	886	1.44
Ulverstone South		                           	7	0.36	 	46	2.38	 	926	48	 	97	5.03	 	9	0.47	 	102	5.29	 	10	0.52	 	732	37.95	 	0	0	 	1929	96.02	 	80	3.98	 	2009	3.26
Ulverstone West		                            	13	0.7	 	33	1.79	 	895	48.48	 	90	4.88	 	8	0.43	 	67	3.63	 	9	0.49	 	731	39.6	 	0	0	 	1846	97.31	 	51	2.69	 	1897	3.08
Upper Burnie		                               	7	0.5	 	39	2.78	 	576	41.08	 	71	5.06	 	8	0.57	 	60	4.28	 	15	1.07	 	626	44.65	 	0	0	 	1402	96.29	 	54	3.71	 	1456	2.37
Valley Road		                                	11	0.76	 	12	0.82	 	700	48.11	 	81	5.57	 	10	0.69	 	47	3.23	 	10	0.69	 	584	40.14	 	0	0	 	1455	97	 	45	3	 	1500	2.44
