Senate - 1996 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66017)																																					
	   		Group Total NLP			Group Total NP			Group Total LP			Group Total DEM			Group Total AWP			Group Total TG			Group Total CTA			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Avoca		                                      	4	1.2	 	6	1.8	 	111	33.23	 	11	3.29	 	1	0.3	 	27	8.08	 	2	0.6	 	172	51.5	 	0	0	 	334	95.7	 	15	4.3	 	349	0.53
Bagdad		                                     	5	0.83	 	7	1.17	 	227	37.83	 	42	7	 	5	0.83	 	30	5	 	1	0.17	 	283	47.17	 	0	0	 	600	97.72	 	14	2.28	 	614	0.93
Beaconsfield		                               	6	0.61	 	10	1.02	 	382	38.98	 	53	5.41	 	4	0.41	 	56	5.71	 	7	0.71	 	462	47.14	 	0	0	 	980	96.46	 	36	3.54	 	1016	1.54
Beauty Point		                               	4	0.6	 	12	1.8	 	274	41.08	 	50	7.5	 	6	0.9	 	43	6.45	 	0	0	 	278	41.68	 	0	0	 	667	95.97	 	28	4.03	 	695	1.05
Bicheno		                                    	1	0.16	 	6	0.93	 	312	48.45	 	39	6.06	 	4	0.62	 	62	9.63	 	4	0.62	 	216	33.54	 	0	0	 	644	95.83	 	28	4.17	 	672	1.02
Bishopsbourne		                              	0	0	 	1	0.75	 	103	77.44	 	8	6.02	 	0	0	 	4	3.01	 	1	0.75	 	16	12.03	 	0	0	 	133	99.25	 	1	0.75	 	134	0.2
Bothwell		                                   	10	2.05	 	7	1.43	 	246	50.41	 	13	2.66	 	1	0.2	 	16	3.28	 	0	0	 	195	39.96	 	0	0	 	488	95.13	 	25	4.87	 	513	0.78
Bracknell		                                  	3	0.74	 	20	4.93	 	207	50.99	 	24	5.91	 	3	0.74	 	32	7.88	 	1	0.25	 	116	28.57	 	0	0	 	406	94.42	 	24	5.58	 	430	0.65
Brighton		                                   	8	0.69	 	11	0.94	 	473	40.6	 	71	6.09	 	13	1.12	 	52	4.46	 	0	0	 	537	46.09	 	0	0	 	1165	97.65	 	28	2.35	 	1193	1.81
Broadmarsh		                                 	2	1.29	 	0	0	 	93	60	 	9	5.81	 	1	0.65	 	6	3.87	 	0	0	 	44	28.39	 	0	0	 	155	97.48	 	4	2.52	 	159	0.24
Bronte		                                     	5	3.6	 	0	0	 	74	53.24	 	6	4.32	 	4	2.88	 	10	7.19	 	0	0	 	40	28.78	 	0	0	 	139	95.86	 	6	4.14	 	145	0.22
Buckland		                                   	3	2.54	 	2	1.69	 	57	48.31	 	3	2.54	 	1	0.85	 	8	6.78	 	0	0	 	44	37.29	 	0	0	 	118	95.93	 	5	4.07	 	123	0.19
Campania		                                   	2	0.48	 	2	0.48	 	226	53.81	 	20	4.76	 	2	0.48	 	16	3.81	 	1	0.24	 	151	35.95	 	0	0	 	420	97	 	13	3	 	433	0.66
Campbell Town		                              	2	0.26	 	16	2.05	 	273	35.04	 	23	2.95	 	5	0.64	 	29	3.72	 	7	0.9	 	424	54.43	 	0	0	 	779	94.77	 	43	5.23	 	822	1.25
Carrick		                                    	1	0.23	 	4	0.94	 	243	56.91	 	19	4.45	 	0	0	 	38	8.9	 	0	0	 	122	28.57	 	0	0	 	427	97.94	 	9	2.06	 	436	0.66
Chudleigh		                                  	0	0	 	5	2.31	 	123	56.94	 	12	5.56	 	4	1.85	 	19	8.8	 	1	0.46	 	52	24.07	 	0	0	 	216	95.15	 	11	4.85	 	227	0.34
Claude Road		                                	0	0	 	4	2.29	 	82	46.86	 	20	11.43	 	0	0	 	15	8.57	 	1	0.57	 	53	30.29	 	0	0	 	175	96.15	 	7	3.85	 	182	0.28
Colebrook		                                  	3	1.3	 	0	0	 	105	45.45	 	16	6.93	 	0	0	 	16	6.93	 	0	0	 	91	39.39	 	0	0	 	231	95.06	 	12	4.94	 	243	0.37
Coles Bay		                                  	1	0.43	 	1	0.43	 	130	55.56	 	12	5.13	 	2	0.85	 	28	11.97	 	0	0	 	60	25.64	 	0	0	 	234	95.9	 	10	4.1	 	244	0.37
Copping		                                    	4	2.08	 	2	1.04	 	67	34.9	 	17	8.85	 	1	0.52	 	34	17.71	 	0	0	 	67	34.9	 	0	0	 	192	95.05	 	10	4.95	 	202	0.31
Cressy		                                     	5	0.73	 	6	0.87	 	347	50.36	 	24	3.48	 	8	1.16	 	19	2.76	 	3	0.44	 	277	40.2	 	0	0	 	689	96.63	 	24	3.37	 	713	1.08
Deloraine		                                  	9	0.45	 	23	1.16	 	1025	51.48	 	126	6.33	 	10	0.5	 	221	11.1	 	10	0.5	 	567	28.48	 	0	0	 	1991	96.04	 	82	3.96	 	2073	3.14
Dodges Ferry		                               	11	0.69	 	8	0.51	 	492	31.08	 	148	9.35	 	5	0.32	 	189	11.94	 	6	0.38	 	724	45.74	 	0	0	 	1583	97.18	 	46	2.82	 	1629	2.47
Dromedary		                                  	1	0.4	 	4	1.62	 	87	35.22	 	18	7.29	 	4	1.62	 	11	4.45	 	2	0.81	 	120	48.58	 	0	0	 	247	96.48	 	9	3.52	 	256	0.39
Dunalley		                                   	2	0.51	 	4	1.03	 	172	44.22	 	12	3.08	 	1	0.26	 	36	9.25	 	1	0.26	 	161	41.39	 	0	0	 	389	96.29	 	15	3.71	 	404	0.61
Eaglehawk Neck		                             	0	0	 	1	0.35	 	122	42.36	 	22	7.64	 	1	0.35	 	43	14.93	 	0	0	 	99	34.38	 	0	0	 	288	99.31	 	2	0.69	 	290	0.44
Elizabeth Town		                             	2	0.56	 	4	1.11	 	213	59.33	 	24	6.69	 	0	0	 	33	9.19	 	2	0.56	 	81	22.56	 	0	0	 	359	94.72	 	20	5.28	 	379	0.57
Ellendale		                                  	0	0	 	0	0	 	77	48.73	 	3	1.9	 	0	0	 	14	8.86	 	2	1.27	 	62	39.24	 	0	0	 	158	95.76	 	7	4.24	 	165	0.25
Epping		                                     	2	1.22	 	0	0	 	93	56.71	 	4	2.44	 	0	0	 	7	4.27	 	0	0	 	58	35.37	 	0	0	 	164	97.62	 	4	2.38	 	168	0.25
Evandale		                                   	6	0.63	 	12	1.26	 	411	43.13	 	60	6.3	 	7	0.73	 	120	12.59	 	0	0	 	337	35.36	 	0	0	 	953	97.24	 	27	2.76	 	980	1.49
Exeter		                                     	1	0.09	 	7	0.63	 	576	51.85	 	83	7.47	 	5	0.45	 	120	10.8	 	10	0.9	 	309	27.81	 	0	0	 	1111	96.95	 	35	3.05	 	1146	1.74
Fingal		                                     	2	0.52	 	4	1.05	 	117	30.63	 	11	2.88	 	2	0.52	 	18	4.71	 	1	0.26	 	227	59.42	 	0	0	 	382	95.02	 	20	4.98	 	402	0.61
Forcett		                                    	1	0.43	 	0	0	 	109	47.39	 	15	6.52	 	3	1.3	 	22	9.57	 	1	0.43	 	79	34.35	 	0	0	 	230	96.23	 	9	3.77	 	239	0.36
Frankford		                                  	0	0	 	4	2.86	 	74	52.86	 	9	6.43	 	3	2.14	 	8	5.71	 	0	0	 	42	30	 	0	0	 	140	97.22	 	4	2.78	 	144	0.22
Glengarry		                                  	1	0.36	 	6	2.16	 	152	54.68	 	16	5.76	 	1	0.36	 	41	14.75	 	2	0.72	 	59	21.22	 	0	0	 	278	96.53	 	10	3.47	 	288	0.44
Glenora		                                    	9	3.64	 	1	0.4	 	75	30.36	 	8	3.24	 	6	2.43	 	14	5.67	 	1	0.4	 	133	53.85	 	0	0	 	247	93.92	 	16	6.08	 	263	0.4
Granton		                                    	4	1.32	 	2	0.66	 	158	51.97	 	11	3.62	 	3	0.99	 	9	2.96	 	0	0	 	117	38.49	 	0	0	 	304	97.75	 	7	2.25	 	311	0.47
Gravelly Beach		                             	1	0.18	 	3	0.54	 	228	41.16	 	57	10.29	 	5	0.9	 	88	15.88	 	0	0	 	172	31.05	 	0	0	 	554	95.85	 	24	4.15	 	578	0.88
Gretna		                                     	1	0.56	 	2	1.12	 	100	55.87	 	6	3.35	 	1	0.56	 	3	1.68	 	0	0	 	66	36.87	 	0	0	 	179	97.81	 	4	2.19	 	183	0.28
Hadspen		                                    	4	0.44	 	10	1.1	 	423	46.48	 	58	6.37	 	7	0.77	 	55	6.04	 	9	0.99	 	344	37.8	 	0	0	 	910	98.17	 	17	1.83	 	927	1.41
Hagley		                                     	2	0.68	 	4	1.36	 	187	63.39	 	20	6.78	 	3	1.02	 	25	8.47	 	5	1.69	 	49	16.61	 	0	0	 	295	95.78	 	13	4.22	 	308	0.47
Hamilton		                                   	3	1.66	 	2	1.1	 	85	46.96	 	8	4.42	 	2	1.1	 	3	1.66	 	0	0	 	78	43.09	 	0	0	 	181	95.26	 	9	4.74	 	190	0.29
Kelso		                                      	1	0.54	 	2	1.08	 	95	51.35	 	17	9.19	 	2	1.08	 	12	6.49	 	0	0	 	56	30.27	 	0	0	 	185	97.37	 	5	2.63	 	190	0.29
Kempton		                                    	1	0.36	 	2	0.72	 	102	36.82	 	13	4.69	 	3	1.08	 	19	6.86	 	2	0.72	 	135	48.74	 	0	0	 	277	93.9	 	18	6.1	 	295	0.45
Koonya		                                     	2	1.85	 	0	0	 	56	51.85	 	6	5.56	 	1	0.93	 	19	17.59	 	0	0	 	24	22.22	 	0	0	 	108	98.18	 	2	1.82	 	110	0.17
Lachlan		                                    	3	1.03	 	5	1.72	 	86	29.66	 	23	7.93	 	1	0.34	 	26	8.97	 	1	0.34	 	145	50	 	0	0	 	290	93.25	 	21	6.75	 	311	0.47
Latrobe		                                    	13	0.59	 	43	1.94	 	950	42.81	 	134	6.04	 	11	0.5	 	123	5.54	 	16	0.72	 	929	41.87	 	0	0	 	2219	95.07	 	115	4.93	 	2334	3.54
Legana (Lyons)		                             	1	0.17	 	4	0.66	 	344	57.14	 	51	8.47	 	3	0.5	 	57	9.47	 	6	1	 	136	22.59	 	0	0	 	602	98.53	 	9	1.47	 	611	0.93
Levendale		                                  	1	0.83	 	0	0	 	55	45.45	 	2	1.65	 	1	0.83	 	4	3.31	 	0	0	 	58	47.93	 	0	0	 	121	97.58	 	3	2.42	 	124	0.19
Longford		                                   	7	0.38	 	16	0.86	 	847	45.78	 	103	5.57	 	12	0.65	 	92	4.97	 	4	0.22	 	769	41.57	 	0	0	 	1850	95.66	 	84	4.34	 	1934	2.93
Lower Barrington		                           	0	0	 	16	5.16	 	193	62.26	 	17	5.48	 	2	0.65	 	24	7.74	 	0	0	 	58	18.71	 	0	0	 	310	98.1	 	6	1.9	 	316	0.48
Magra		                                      	3	0.78	 	1	0.26	 	139	36.1	 	9	2.34	 	0	0	 	6	1.56	 	1	0.26	 	226	58.7	 	0	0	 	385	94.83	 	21	5.17	 	406	0.62
Mathinna		                                   	0	0	 	0	0	 	26	25	 	5	4.81	 	0	0	 	10	9.62	 	0	0	 	63	60.58	 	0	0	 	104	98.11	 	2	1.89	 	106	0.16
Maydena		                                    	2	0.98	 	0	0	 	103	50.49	 	6	2.94	 	1	0.49	 	9	4.41	 	0	0	 	83	40.69	 	0	0	 	204	93.58	 	14	6.42	 	218	0.33
Meander		                                    	3	1.28	 	4	1.71	 	121	51.71	 	14	5.98	 	1	0.43	 	52	22.22	 	0	0	 	39	16.67	 	0	0	 	234	98.32	 	4	1.68	 	238	0.36
Midway Point		                               	8	0.6	 	9	0.67	 	509	38.16	 	86	6.45	 	3	0.22	 	59	4.42	 	10	0.75	 	650	48.73	 	0	0	 	1334	96.81	 	44	3.19	 	1378	2.09
Mole Creek		                                 	4	0.97	 	5	1.21	 	270	65.22	 	23	5.56	 	1	0.24	 	27	6.52	 	1	0.24	 	83	20.05	 	0	0	 	414	96.06	 	17	3.94	 	431	0.65
Molesworth		                                 	1	0.38	 	1	0.38	 	81	31.15	 	25	9.62	 	0	0	 	37	14.23	 	1	0.38	 	114	43.85	 	0	0	 	260	99.24	 	2	0.76	 	262	0.4
Moriarty		                                   	3	1.31	 	3	1.31	 	148	64.63	 	20	8.73	 	2	0.87	 	15	6.55	 	3	1.31	 	35	15.28	 	0	0	 	229	97.86	 	5	2.14	 	234	0.35
New Norfolk		                                	37	1.6	 	17	0.74	 	754	32.63	 	125	5.41	 	9	0.39	 	114	4.93	 	2	0.09	 	1253	54.22	 	0	0	 	2311	94.75	 	128	5.25	 	2439	3.7
New Norfolk North		                          	3	0.31	 	8	0.82	 	250	25.67	 	48	4.93	 	5	0.51	 	25	2.57	 	0	0	 	635	65.2	 	0	0	 	974	95.12	 	50	4.88	 	1024	1.55
Nubeena		                                    	1	0.19	 	3	0.56	 	239	44.67	 	38	7.1	 	2	0.37	 	43	8.04	 	5	0.93	 	204	38.13	 	0	0	 	535	96.92	 	17	3.08	 	552	0.84
Oatlands		                                   	5	0.79	 	8	1.26	 	305	47.96	 	23	3.62	 	3	0.47	 	29	4.56	 	3	0.47	 	260	40.88	 	0	0	 	636	96.07	 	26	3.93	 	662	1
Orford		                                     	0	0	 	6	1.18	 	301	59.14	 	24	4.72	 	3	0.59	 	26	5.11	 	1	0.2	 	148	29.08	 	0	0	 	509	96.95	 	16	3.05	 	525	0.8
Ouse		                                       	4	1.38	 	4	1.38	 	136	46.9	 	15	5.17	 	5	1.72	 	11	3.79	 	0	0	 	115	39.66	 	0	0	 	290	94.16	 	18	5.84	 	308	0.47
Parattah		                                   	2	1.16	 	2	1.16	 	81	46.82	 	6	3.47	 	2	1.16	 	9	5.2	 	0	0	 	71	41.04	 	0	0	 	173	94.02	 	11	5.98	 	184	0.28
Perth		                                      	6	0.41	 	16	1.09	 	673	46	 	97	6.63	 	10	0.68	 	90	6.15	 	4	0.27	 	567	38.76	 	0	0	 	1463	96.57	 	52	3.43	 	1515	2.3
Pontville		                                  	5	1.46	 	2	0.58	 	131	38.19	 	18	5.25	 	1	0.29	 	29	8.45	 	0	0	 	157	45.77	 	0	0	 	343	95.01	 	18	4.99	 	361	0.55
Port Arthur		                                	1	0.43	 	6	2.56	 	91	38.89	 	12	5.13	 	2	0.85	 	28	11.97	 	1	0.43	 	93	39.74	 	0	0	 	234	94.35	 	14	5.65	 	248	0.38
Port Sorell		                                	3	0.21	 	28	1.93	 	714	49.17	 	115	7.92	 	11	0.76	 	127	8.75	 	15	1.03	 	439	30.23	 	0	0	 	1452	96.74	 	49	3.26	 	1501	2.28
Primrose Sands		                             	4	1.01	 	3	0.76	 	107	27.09	 	25	6.33	 	2	0.51	 	21	5.32	 	0	0	 	233	58.99	 	0	0	 	395	95.41	 	19	4.59	 	414	0.63
Pyengana		                                   	1	0.88	 	5	4.39	 	63	55.26	 	6	5.26	 	1	0.88	 	11	9.65	 	1	0.88	 	26	22.81	 	0	0	 	114	95.8	 	5	4.2	 	119	0.18
Queenstown		                                 	14	0.97	 	30	2.09	 	720	50.14	 	39	2.72	 	6	0.42	 	31	2.16	 	3	0.21	 	593	41.3	 	0	0	 	1436	95.93	 	61	4.07	 	1497	2.27
Railton		                                    	5	0.66	 	10	1.33	 	307	40.77	 	41	5.44	 	4	0.53	 	44	5.84	 	3	0.4	 	339	45.02	 	0	0	 	753	95.8	 	33	4.2	 	786	1.19
Richmond		                                   	4	0.46	 	8	0.92	 	378	43.55	 	61	7.03	 	3	0.35	 	86	9.91	 	5	0.58	 	323	37.21	 	0	0	 	868	96.23	 	34	3.77	 	902	1.37
Rosebery		                                   	6	0.93	 	14	2.18	 	179	27.88	 	46	7.17	 	6	0.93	 	19	2.96	 	0	0	 	372	57.94	 	0	0	 	642	96.83	 	21	3.17	 	663	1.01
Ross		                                       	4	1.2	 	4	1.2	 	150	44.91	 	12	3.59	 	0	0	 	18	5.39	 	2	0.6	 	144	43.11	 	0	0	 	334	97.95	 	7	2.05	 	341	0.52
Rossarden		                                  	0	0	 	0	0	 	17	45.95	 	2	5.41	 	0	0	 	3	8.11	 	0	0	 	15	40.54	 	0	0	 	37	84.09	 	7	15.91	 	44	0.07
St Helens		                                  	14	0.78	 	12	0.66	 	849	47.04	 	109	6.04	 	8	0.44	 	155	8.59	 	10	0.55	 	648	35.9	 	0	0	 	1805	97.3	 	50	2.7	 	1855	2.81
St Marys		                                   	5	0.82	 	5	0.82	 	170	27.87	 	33	5.41	 	1	0.16	 	62	10.16	 	5	0.82	 	329	53.93	 	0	0	 	610	94.28	 	37	5.72	 	647	0.98
Saltwater River		                            	2	1.6	 	1	0.8	 	56	44.8	 	5	4	 	2	1.6	 	1	0.8	 	1	0.8	 	57	45.6	 	0	0	 	125	98.43	 	2	1.57	 	127	0.19
Sassafras		                                  	0	0	 	4	1.89	 	155	73.11	 	5	2.36	 	0	0	 	9	4.25	 	2	0.94	 	37	17.45	 	0	0	 	212	98.6	 	3	1.4	 	215	0.33
Scamander		                                  	2	0.33	 	7	1.16	 	189	31.19	 	35	5.78	 	2	0.33	 	72	11.88	 	10	1.65	 	289	47.69	 	0	0	 	606	96.5	 	22	3.5	 	628	0.95
Sheffield		                                  	7	0.61	 	45	3.93	 	581	50.74	 	79	6.9	 	8	0.7	 	87	7.6	 	4	0.35	 	334	29.17	 	0	0	 	1145	96.06	 	47	3.94	 	1192	1.81
Sidmouth		                                   	0	0	 	8	1.68	 	236	49.58	 	42	8.82	 	4	0.84	 	50	10.5	 	5	1.05	 	131	27.52	 	0	0	 	476	97.14	 	14	2.86	 	490	0.74
Sorell		                                     	13	0.87	 	13	0.87	 	688	45.99	 	103	6.89	 	10	0.67	 	116	7.75	 	4	0.27	 	549	36.7	 	0	0	 	1496	95.84	 	65	4.16	 	1561	2.37
Strahan		                                    	4	0.9	 	7	1.58	 	189	42.57	 	26	5.86	 	8	1.8	 	27	6.08	 	1	0.23	 	182	40.99	 	0	0	 	444	95.9	 	19	4.1	 	463	0.7
Swansea		                                    	4	0.61	 	3	0.46	 	303	46.05	 	30	4.56	 	4	0.61	 	37	5.62	 	0	0	 	277	42.1	 	0	0	 	658	95.5	 	31	4.5	 	689	1.05
Tarraleah		                                  	0	0	 	3	3.3	 	44	48.35	 	7	7.69	 	1	1.1	 	3	3.3	 	0	0	 	33	36.26	 	0	0	 	91	98.91	 	1	1.09	 	92	0.14
Tea Tree		                                   	1	0.69	 	1	0.69	 	80	55.17	 	10	6.9	 	1	0.69	 	8	5.52	 	0	0	 	44	30.34	 	0	0	 	145	97.32	 	4	2.68	 	149	0.23
Triabunna		                                  	4	0.56	 	7	0.98	 	327	45.99	 	36	5.06	 	7	0.98	 	22	3.09	 	1	0.14	 	307	43.18	 	0	0	 	711	95.31	 	35	4.69	 	746	1.13
Tullah		                                     	3	2.46	 	3	2.46	 	42	34.43	 	8	6.56	 	0	0	 	5	4.1	 	1	0.82	 	60	49.18	 	0	0	 	122	95.31	 	6	4.69	 	128	0.19
Tunbridge		                                  	2	1.85	 	2	1.85	 	47	43.52	 	2	1.85	 	0	0	 	2	1.85	 	0	0	 	53	49.07	 	0	0	 	108	96.43	 	4	3.57	 	112	0.17
Tunnack		                                    	0	0	 	1	0.49	 	132	64.39	 	11	5.37	 	2	0.98	 	3	1.46	 	0	0	 	56	27.32	 	0	0	 	205	95.79	 	9	4.21	 	214	0.32
Wesley Vale		                                	2	0.6	 	8	2.41	 	192	57.83	 	25	7.53	 	0	0	 	42	12.65	 	1	0.3	 	62	18.67	 	0	0	 	332	98.52	 	5	1.48	 	337	0.51
Westbury		                                   	7	0.6	 	22	1.9	 	603	52.07	 	67	5.79	 	6	0.52	 	89	7.69	 	1	0.09	 	363	31.35	 	0	0	 	1158	92.49	 	94	7.51	 	1252	1.9
Westerway		                                  	8	4.1	 	0	0	 	76	38.97	 	9	4.62	 	3	1.54	 	2	1.03	 	1	0.51	 	96	49.23	 	0	0	 	195	92.42	 	16	7.58	 	211	0.32
West Kentish		                               	0	0	 	7	3.65	 	120	62.5	 	9	4.69	 	0	0	 	20	10.42	 	0	0	 	36	18.75	 	0	0	 	192	98.46	 	3	1.54	 	195	0.3
Whitemore		                                  	0	0	 	2	1.8	 	88	79.28	 	4	3.6	 	0	0	 	1	0.9	 	0	0	 	16	14.41	 	0	0	 	111	95.69	 	5	4.31	 	116	0.18
Wilmot		                                     	5	1.83	 	1	0.37	 	153	56.04	 	19	6.96	 	0	0	 	25	9.16	 	1	0.37	 	69	25.27	 	0	0	 	273	96.47	 	10	3.53	 	283	0.43
Zeehan		                                     	3	0.56	 	20	3.74	 	203	37.94	 	30	5.61	 	6	1.12	 	10	1.87	 	0	0	 	263	49.16	 	0	0	 	535	96.92	 	17	3.08	 	552	0.84
Special Hospitals		                          	11	5.58	 	4	2.03	 	89	45.18	 	4	2.03	 	1	0.51	 	5	2.54	 	1	0.51	 	82	41.62	 	0	0	 	197	99.49	 	1	0.51	 	198	0.3
Total Ordinary		                             	386	0.71	 	694	1.27	 	24464	44.71	 	3226	5.9	 	327	0.6	 	3848	7.03	 	220	0.4	 	21547	39.38	 	0	0	 	54712	96.15	 	2191	3.85	 	56903	86.32
ABSENT		                                     	19	0.5	 	46	1.2	 	1492	38.99	 	273	7.13	 	34	0.89	 	445	11.63	 	19	0.5	 	1499	39.17	 	0	0	 	3827	98.08	 	75	1.92	 	3902	5.92
POSTAL		                                     	5	0.17	 	51	1.75	 	1346	46.14	 	157	5.38	 	18	0.62	 	212	7.27	 	11	0.38	 	1117	38.29	 	0	0	 	2917	98.45	 	46	1.55	 	2963	4.49
PRE_POLL		                                   	7	0.45	 	25	1.6	 	700	44.67	 	105	6.7	 	8	0.51	 	195	12.44	 	10	0.64	 	517	32.99	 	0	0	 	1567	98.18	 	29	1.82	 	1596	2.42
PROVISIONAL		                                	5	0.91	 	9	1.63	 	183	33.21	 	33	5.99	 	7	1.27	 	55	9.98	 	4	0.73	 	255	46.28	 	0	0	 	551	98.39	 	9	1.61	 	560	0.85
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	422	0.66	 	825	1.3	 	28185	44.33	 	3794	5.97	 	394	0.62	 	4755	7.48	 	264	0.42	 	24935	39.22	 	0	0	 	63574	96.44	 	2350	3.56	 	65924	97.27
 
