	   		 A Australian Women's Party												 B Liberal Party (W.A. Division) Inc.																								 C - Unendorsed Group												 D Call to Australia (Fred Nile) Group												 E National Party of Australia (WA) Inc												 F Australians Against Further Immigration												 G Australian Labor Party (Western Australi																		 H The Greens (WA) Inc												 I Australian Democrats															Ungrouped																						
    			TICKET VOTES			TURNBULL			MUDFORD			Group Total			TICKET VOTES			# CRANE			# PANIZZA			# EGGLESTON			HUSTON			SIRNA			THOMPSON			Group Total			TICKET VOTES			DRAKE			ROBINSON			Group Total			TICKET VOTES			JACKSON			LAURIE			Group Total			TICKET VOTES			MCANUFF			ANDERSON			Group Total			TICKET VOTES			HAYE			HAMMOND			Group Total			TICKET VOTES			# MCKIERNAN			# BISHOP			BEAHAN			CRAWFORD			Group Total			TICKET VOTES			CHAMARETTE			CHAPPLE			Group Total			TICKET VOTES			# MURRAY			MILLAR			DE LA HUNTY			Group Total			BRADSHAW			MACKINTOSH			COOPER			WHITE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Mattie			Kate									Winston			John H			Alan			Michael			Enzo			Clare Helen									Tony			Jean H									Don			Marj									Kevin			Lynley									Richard T			Robert K									Jim			Mark			Michael			Catherine									Christabel			Robin									Andrew J M			Don			Shirley						Craig			Craig Alan			Vin			Ros													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Collie North		                               	8	0.92	 	5	0.58	 	1	0.12	 	14	1.62	 	193	22.29	 	3	0.35	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.12	 	197	22.75	 	0	0	 	0	0	 	0	0	 	0	0	 	4	0.46	 	2	0.23	 	0	0	 	6	0.69	 	30	3.46	 	2	0.23	 	1	0.12	 	33	3.81	 	8	0.92	 	1	0.12	 	0	0	 	9	1.04	 	560	64.67	 	2	0.23	 	0	0	 	1	0.12	 	1	0.12	 	564	65.13	 	11	1.27	 	0	0	 	0	0	 	11	1.27	 	29	3.35	 	2	0.23	 	0	0	 	0	0	 	31	3.58	 	1	0.12	 	0	0	 	0	0	 	0	0	 	1	0.12	 	866	94.96	 	46	5.04	 	912	1.04
Coodanup		                                   	21	1.32	 	4	0.25	 	0	0	 	25	1.57	 	587	36.87	 	7	0.44	 	1	0.06	 	0	0	 	0	0	 	0	0	 	1	0.06	 	596	37.44	 	5	0.31	 	1	0.06	 	1	0.06	 	7	0.44	 	3	0.19	 	0	0	 	0	0	 	3	0.19	 	23	1.44	 	1	0.06	 	0	0	 	24	1.51	 	25	1.57	 	6	0.38	 	0	0	 	31	1.95	 	718	45.1	 	7	0.44	 	0	0	 	1	0.06	 	0	0	 	726	45.6	 	55	3.45	 	3	0.19	 	0	0	 	58	3.64	 	114	7.16	 	5	0.31	 	0	0	 	2	0.13	 	121	7.6	 	1	0.06	 	0	0	 	0	0	 	0	0	 	1	0.06	 	1592	95.9	 	68	4.1	 	1660	1.88
Cooloongup		                                 	45	1.22	 	2	0.05	 	0	0	 	47	1.28	 	1071	29.1	 	9	0.24	 	5	0.14	 	1	0.03	 	1	0.03	 	0	0	 	1	0.03	 	1088	29.56	 	7	0.19	 	0	0	 	0	0	 	7	0.19	 	15	0.41	 	4	0.11	 	0	0	 	19	0.52	 	32	0.87	 	1	0.03	 	0	0	 	33	0.9	 	48	1.3	 	7	0.19	 	0	0	 	55	1.49	 	1903	51.7	 	20	0.54	 	0	0	 	4	0.11	 	2	0.05	 	1929	52.4	 	166	4.51	 	19	0.52	 	0	0	 	185	5.03	 	294	7.99	 	15	0.41	 	1	0.03	 	5	0.14	 	315	8.56	 	1	0.03	 	1	0.03	 	1	0.03	 	0	0	 	3	0.08	 	3681	97.3	 	102	2.7	 	3783	4.29
Coolup		                                     	2	0.78	 	0	0	 	0	0	 	2	0.78	 	144	55.81	 	3	1.16	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	147	56.98	 	1	0.39	 	0	0	 	0	0	 	1	0.39	 	2	0.78	 	0	0	 	0	0	 	2	0.78	 	10	3.88	 	1	0.39	 	0	0	 	11	4.26	 	2	0.78	 	0	0	 	0	0	 	2	0.78	 	51	19.77	 	1	0.39	 	0	0	 	1	0.39	 	0	0	 	53	20.54	 	18	6.98	 	2	0.78	 	0	0	 	20	7.75	 	16	6.2	 	2	0.78	 	0	0	 	0	0	 	18	6.98	 	1	0.39	 	0	0	 	0	0	 	1	0.39	 	2	0.78	 	258	97.36	 	7	2.64	 	265	0.3
Dawesville		                                 	5	0.68	 	0	0	 	0	0	 	5	0.68	 	401	54.19	 	5	0.68	 	1	0.14	 	0	0	 	0	0	 	0	0	 	0	0	 	407	55	 	1	0.14	 	0	0	 	0	0	 	1	0.14	 	1	0.14	 	0	0	 	0	0	 	1	0.14	 	7	0.95	 	1	0.14	 	0	0	 	8	1.08	 	9	1.22	 	1	0.14	 	0	0	 	10	1.35	 	194	26.22	 	4	0.54	 	0	0	 	0	0	 	0	0	 	198	26.76	 	32	4.32	 	7	0.95	 	0	0	 	39	5.27	 	65	8.78	 	6	0.81	 	0	0	 	0	0	 	71	9.59	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	740	95.98	 	31	4.02	 	771	0.88
Dunsborough (Brand)		                        	1	1.16	 	0	0	 	0	0	 	1	1.16	 	51	59.3	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	51	59.3	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.16	 	0	0	 	0	0	 	1	1.16	 	2	2.33	 	0	0	 	0	0	 	2	2.33	 	1	1.16	 	0	0	 	0	0	 	1	1.16	 	22	25.58	 	0	0	 	0	0	 	0	0	 	0	0	 	22	25.58	 	2	2.33	 	0	0	 	0	0	 	2	2.33	 	6	6.98	 	0	0	 	0	0	 	0	0	 	6	6.98	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	86	98.85	 	1	1.15	 	87	0.1
Dwellingup		                                 	4	0.97	 	1	0.24	 	0	0	 	5	1.21	 	166	40.19	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.24	 	167	40.44	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.73	 	2	0.48	 	0	0	 	5	1.21	 	9	2.18	 	0	0	 	1	0.24	 	10	2.42	 	8	1.94	 	1	0.24	 	0	0	 	9	2.18	 	149	36.08	 	1	0.24	 	0	0	 	0	0	 	0	0	 	150	36.32	 	35	8.47	 	5	1.21	 	0	0	 	40	9.69	 	19	4.6	 	7	1.69	 	0	0	 	0	0	 	26	6.3	 	0	0	 	0	0	 	0	0	 	1	0.24	 	1	0.24	 	413	95.38	 	20	4.62	 	433	0.49
Ewington		                                   	2	0.83	 	0	0	 	0	0	 	2	0.83	 	57	23.65	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	57	23.65	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	15	6.22	 	1	0.41	 	0	0	 	16	6.64	 	3	1.24	 	0	0	 	0	0	 	3	1.24	 	148	61.41	 	0	0	 	0	0	 	2	0.83	 	0	0	 	150	62.24	 	6	2.49	 	3	1.24	 	0	0	 	9	3.73	 	4	1.66	 	0	0	 	0	0	 	0	0	 	4	1.66	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	241	94.14	 	15	5.86	 	256	0.29
Falcon		                                     	13	0.65	 	0	0	 	1	0.05	 	14	0.7	 	957	47.73	 	9	0.45	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	966	48.18	 	0	0	 	0	0	 	0	0	 	0	0	 	3	0.15	 	1	0.05	 	0	0	 	4	0.2	 	22	1.1	 	2	0.1	 	0	0	 	24	1.2	 	15	0.75	 	4	0.2	 	0	0	 	19	0.95	 	692	34.51	 	7	0.35	 	0	0	 	0	0	 	0	0	 	699	34.86	 	127	6.33	 	21	1.05	 	0	0	 	148	7.38	 	112	5.59	 	9	0.45	 	0	0	 	6	0.3	 	127	6.33	 	4	0.2	 	0	0	 	0	0	 	0	0	 	4	0.2	 	2005	95.93	 	85	4.07	 	2090	2.37
Golden Bay		                                 	10	1.56	 	0	0	 	0	0	 	10	1.56	 	269	41.9	 	6	0.93	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	275	42.83	 	1	0.16	 	0	0	 	0	0	 	1	0.16	 	6	0.93	 	1	0.16	 	0	0	 	7	1.09	 	4	0.62	 	0	0	 	0	0	 	4	0.62	 	10	1.56	 	2	0.31	 	0	0	 	12	1.87	 	215	33.49	 	9	1.4	 	0	0	 	0	0	 	0	0	 	224	34.89	 	46	7.17	 	9	1.4	 	0	0	 	55	8.57	 	46	7.17	 	4	0.62	 	1	0.16	 	2	0.31	 	53	8.26	 	0	0	 	1	0.16	 	0	0	 	0	0	 	1	0.16	 	642	96.25	 	25	3.75	 	667	0.76
