Senate - 1996 Election: Tasmania																																																																																																																						
First Preference Votes by Candidate																																																																																																																						
by Polling Place																																																																																																																						
 																																																																																																																						

Bass (66017)																																																																																																																						

	   		 A Natural Law Party												 B National Party of Australia - Tasmania												 C Liberal Party of Australia - Tasmanian Division															 D Australian Democrats															 E Australian Women's Party												 F Tasmanian Greens												 G Call to Australia (Fred Nile) Group												 H Australian Labor Party (Tasmanian Branch)															Ungrouped										
    			TICKET VOTES			BROSZCZYK			HARLOW			Group Total			TICKET VOTES			JACKSON			CLAYTON			Group Total			TICKET VOTES			# NEWMAN			# CALVERT			# WATSON			Group Total			TICKET VOTES			BELL			ONSMAN			TATTERSALL			Group Total			TICKET VOTES			ANDERSEN			MACQUEEN			Group Total			TICKET VOTES			# BROWN			DALE			Group Total			TICKET VOTES			ROGERS			ROGERS			Group Total			TICKET VOTES			# MACKAY			# SHERRY			TOUBER			Group Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Gregory			James									Mary			Jeff									Jocelyn			Paul			John									Robert			Julia			Philip J									Clair			Lin									Bob			Janet									Don			Beryl									Sue			Nick			Charles																
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Inveresk		                                   	11	1.15	 	7	0.73	 	1	0.1	 	19	1.99	 	3	0.31	 	0	0	 	1	0.1	 	4	0.42	 	214	22.46	 	46	4.83	 	1	0.1	 	15	1.57	 	276	28.96	 	31	3.25	 	14	1.47	 	3	0.31	 	0	0	 	48	5.04	 	8	0.84	 	0	0	 	0	0	 	8	0.84	 	35	3.67	 	30	3.15	 	1	0.1	 	66	6.93	 	5	0.52	 	1	0.1	 	0	0	 	6	0.63	 	469	49.21	 	36	3.78	 	20	2.1	 	1	0.1	 	526	55.19	 	0	0	 	953	94.54	 	55	5.46	 	1008	1.58
Invermay		                                   	4	0.33	 	1	0.08	 	1	0.08	 	6	0.49	 	9	0.74	 	3	0.25	 	1	0.08	 	13	1.06	 	349	28.58	 	76	6.22	 	3	0.25	 	29	2.38	 	457	37.43	 	38	3.11	 	28	2.29	 	2	0.16	 	0	0	 	68	5.57	 	9	0.74	 	1	0.08	 	0	0	 	10	0.82	 	38	3.11	 	36	2.95	 	0	0	 	74	6.06	 	4	0.33	 	5	0.41	 	0	0	 	9	0.74	 	494	40.46	 	48	3.93	 	37	3.03	 	5	0.41	 	584	47.83	 	0	0	 	1221	97.37	 	33	2.63	 	1254	1.97
Karoola		                                    	2	0.7	 	1	0.35	 	2	0.7	 	5	1.75	 	5	1.75	 	5	1.75	 	0	0	 	10	3.5	 	116	40.56	 	27	9.44	 	0	0	 	7	2.45	 	150	52.45	 	12	4.2	 	3	1.05	 	0	0	 	0	0	 	15	5.24	 	1	0.35	 	0	0	 	0	0	 	1	0.35	 	11	3.85	 	13	4.55	 	0	0	 	24	8.39	 	1	0.35	 	1	0.35	 	0	0	 	2	0.7	 	62	21.68	 	8	2.8	 	9	3.15	 	0	0	 	79	27.62	 	0	0	 	286	96.62	 	10	3.38	 	296	0.46
Kings Meadows		                              	6	0.37	 	2	0.12	 	0	0	 	8	0.5	 	5	0.31	 	3	0.19	 	1	0.06	 	9	0.56	 	593	36.97	 	171	10.66	 	1	0.06	 	28	1.75	 	793	49.44	 	53	3.3	 	26	1.62	 	5	0.31	 	0	0	 	84	5.24	 	13	0.81	 	1	0.06	 	0	0	 	14	0.87	 	40	2.49	 	41	2.56	 	1	0.06	 	82	5.11	 	5	0.31	 	2	0.12	 	2	0.12	 	9	0.56	 	449	27.99	 	68	4.24	 	83	5.17	 	5	0.31	 	605	37.72	 	0	0	 	1604	96.22	 	63	3.78	 	1667	2.62
Lady Barron		                                	2	1.35	 	0	0	 	0	0	 	2	1.35	 	3	2.03	 	0	0	 	0	0	 	3	2.03	 	77	52.03	 	6	4.05	 	1	0.68	 	3	2.03	 	87	58.78	 	11	7.43	 	4	2.7	 	0	0	 	0	0	 	15	10.14	 	0	0	 	0	0	 	0	0	 	0	0	 	4	2.7	 	1	0.68	 	0	0	 	5	3.38	 	0	0	 	0	0	 	0	0	 	0	0	 	28	18.92	 	5	3.38	 	3	2.03	 	0	0	 	36	24.32	 	0	0	 	148	98.01	 	3	1.99	 	151	0.24
Launceston		                                 	2	0.3	 	1	0.15	 	0	0	 	3	0.45	 	3	0.45	 	1	0.15	 	0	0	 	4	0.6	 	188	28.02	 	46	6.86	 	1	0.15	 	12	1.79	 	247	36.81	 	28	4.17	 	28	4.17	 	7	1.04	 	1	0.15	 	64	9.54	 	7	1.04	 	0	0	 	2	0.3	 	9	1.34	 	69	10.28	 	40	5.96	 	1	0.15	 	110	16.39	 	2	0.3	 	4	0.6	 	0	0	 	6	0.89	 	173	25.78	 	30	4.47	 	23	3.43	 	2	0.3	 	228	33.98	 	0	0	 	671	96.83	 	22	3.17	 	693	1.09
Launceston Central		                         	5	0.55	 	2	0.22	 	0	0	 	7	0.78	 	4	0.44	 	3	0.33	 	0	0	 	7	0.78	 	310	34.41	 	71	7.88	 	0	0	 	20	2.22	 	401	44.51	 	41	4.55	 	39	4.33	 	1	0.11	 	1	0.11	 	82	9.1	 	4	0.44	 	1	0.11	 	1	0.11	 	6	0.67	 	95	10.54	 	63	6.99	 	1	0.11	 	159	17.65	 	3	0.33	 	3	0.33	 	0	0	 	6	0.67	 	183	20.31	 	27	3	 	21	2.33	 	2	0.22	 	233	25.86	 	0	0	 	901	97.83	 	20	2.17	 	921	1.45
Launceston East		                            	3	0.21	 	2	0.14	 	0	0	 	5	0.35	 	4	0.28	 	0	0	 	1	0.07	 	5	0.35	 	545	37.85	 	127	8.82	 	3	0.21	 	54	3.75	 	729	50.63	 	41	2.85	 	56	3.89	 	2	0.14	 	0	0	 	99	6.88	 	5	0.35	 	3	0.21	 	0	0	 	8	0.56	 	125	8.68	 	90	6.25	 	0	0	 	215	14.93	 	2	0.14	 	2	0.14	 	1	0.07	 	5	0.35	 	298	20.69	 	43	2.99	 	28	1.94	 	5	0.35	 	374	25.97	 	0	0	 	1440	98.03	 	29	1.97	 	1469	2.31
Launceston South		                           	8	0.42	 	4	0.21	 	1	0.05	 	13	0.68	 	9	0.47	 	5	0.26	 	0	0	 	14	0.73	 	626	32.66	 	202	10.54	 	4	0.21	 	55	2.87	 	887	46.27	 	54	2.82	 	42	2.19	 	3	0.16	 	2	0.1	 	101	5.27	 	4	0.21	 	1	0.05	 	0	0	 	5	0.26	 	96	5.01	 	67	3.5	 	5	0.26	 	168	8.76	 	16	0.83	 	14	0.73	 	0	0	 	30	1.56	 	492	25.67	 	115	6	 	88	4.59	 	4	0.21	 	699	36.46	 	0	0	 	1917	95.75	 	85	4.25	 	2002	3.14
Launceston West		                            	1	0.06	 	1	0.06	 	1	0.06	 	3	0.18	 	2	0.12	 	1	0.06	 	1	0.06	 	4	0.24	 	598	35.85	 	122	7.31	 	2	0.12	 	41	2.46	 	763	45.74	 	72	4.32	 	54	3.24	 	4	0.24	 	1	0.06	 	131	7.85	 	5	0.3	 	1	0.06	 	0	0	 	6	0.36	 	151	9.05	 	108	6.47	 	2	0.12	 	261	15.65	 	8	0.48	 	1	0.06	 	0	0	 	9	0.54	 	415	24.88	 	43	2.58	 	31	1.86	 	2	0.12	 	491	29.44	 	0	0	 	1668	97.54	 	42	2.46	 	1710	2.68
