Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Craigie		                                    	33	0.99	 	1161	34.97	 	4	0.12	 	35	1.05	 	39	1.17	 	42	1.27	 	1367	41.17	 	168	5.06	 	465	14.01	 	6	0.18	 	3320	97.3	 	92	2.7	 	3412	3.96
Duncraig		                                   	16	0.54	 	1500	50.97	 	2	0.07	 	13	0.44	 	39	1.33	 	27	0.92	 	832	28.27	 	150	5.1	 	358	12.16	 	6	0.2	 	2943	98.07	 	58	1.93	 	3001	3.48
Duncraig East		                              	9	0.45	 	1293	64.36	 	1	0.05	 	10	0.5	 	14	0.7	 	15	0.75	 	363	18.07	 	67	3.33	 	234	11.65	 	3	0.15	 	2009	98.92	 	22	1.08	 	2031	2.36
Duncraig North		                             	15	0.62	 	1315	54.23	 	3	0.12	 	21	0.87	 	16	0.66	 	31	1.28	 	586	24.16	 	118	4.87	 	318	13.11	 	2	0.08	 	2425	98.3	 	42	1.7	 	2467	2.86
Duncraig South		                             	11	0.61	 	1097	60.71	 	1	0.06	 	17	0.94	 	15	0.83	 	14	0.77	 	356	19.7	 	72	3.98	 	221	12.23	 	3	0.17	 	1807	98.53	 	27	1.47	 	1834	2.13
Dunsborough (Moore)		                        	3	1.84	 	89	54.6	 	0	0	 	0	0	 	1	0.61	 	4	2.45	 	41	25.15	 	10	6.13	 	15	9.2	 	0	0	 	163	99.39	 	1	0.61	 	164	0.19
Edgewater		                                  	20	0.81	 	1108	45.02	 	3	0.12	 	19	0.77	 	14	0.57	 	33	1.34	 	787	31.98	 	136	5.53	 	336	13.65	 	5	0.2	 	2461	97.97	 	51	2.03	 	2512	2.92
Falcon (Moore)		                             	0	0	 	100	61.73	 	0	0	 	0	0	 	2	1.23	 	1	0.62	 	38	23.46	 	6	3.7	 	15	9.26	 	0	0	 	162	97.01	 	5	2.99	 	167	0.19
Heathridge		                                 	34	1.45	 	892	38.09	 	7	0.3	 	17	0.73	 	11	0.47	 	38	1.62	 	891	38.04	 	130	5.55	 	317	13.54	 	5	0.21	 	2342	97.38	 	63	2.62	 	2405	2.79
Heathridge East		                            	20	1.55	 	405	31.37	 	5	0.39	 	11	0.85	 	11	0.85	 	17	1.32	 	588	45.55	 	87	6.74	 	145	11.23	 	2	0.15	 	1291	97.73	 	30	2.27	 	1321	1.53
Hillarys		                                   	25	0.74	 	1666	49.09	 	3	0.09	 	23	0.68	 	30	0.88	 	42	1.24	 	1039	30.61	 	133	3.92	 	431	12.7	 	2	0.06	 	3394	97.98	 	70	2.02	 	3464	4.02
Joondalup		                                  	18	0.73	 	947	38.62	 	4	0.16	 	14	0.57	 	15	0.61	 	16	0.65	 	957	39.03	 	143	5.83	 	335	13.66	 	3	0.12	 	2452	98.63	 	34	1.37	 	2486	2.89
Kallaroo		                                   	17	0.57	 	1594	53.38	 	4	0.13	 	12	0.4	 	24	0.8	 	42	1.41	 	784	26.26	 	155	5.19	 	345	11.55	 	9	0.3	 	2986	97.74	 	69	2.26	 	3055	3.55
Kinross		                                    	21	1.24	 	690	40.71	 	2	0.12	 	6	0.35	 	6	0.35	 	12	0.71	 	650	38.35	 	106	6.25	 	202	11.92	 	0	0	 	1695	98.32	 	29	1.68	 	1724	2
Lake Gwelup (Moore)		                        	5	1.29	 	222	57.36	 	1	0.26	 	1	0.26	 	5	1.29	 	5	1.29	 	96	24.81	 	12	3.1	 	39	10.08	 	1	0.26	 	387	98.47	 	6	1.53	 	393	0.46
Lancelin (Moore)		                           	1	0.76	 	72	54.96	 	0	0	 	1	0.76	 	1	0.76	 	1	0.76	 	33	25.19	 	7	5.34	 	15	11.45	 	0	0	 	131	99.24	 	1	0.76	 	132	0.15
Mandurah Central (Moore)		                   	0	0	 	68	51.13	 	0	0	 	0	0	 	0	0	 	5	3.76	 	33	24.81	 	8	6.02	 	19	14.29	 	0	0	 	133	97.79	 	3	2.21	 	136	0.16
Margaret River (Moore)		                     	0	0	 	76	47.8	 	0	0	 	0	0	 	1	0.63	 	1	0.63	 	32	20.13	 	30	18.87	 	19	11.95	 	0	0	 	159	100	 	0	0	 	159	0.18
Marmion		                                    	6	0.37	 	913	56.01	 	0	0	 	3	0.18	 	20	1.23	 	21	1.29	 	390	23.93	 	106	6.5	 	168	10.31	 	3	0.18	 	1630	98.07	 	32	1.93	 	1662	1.93
Merriwa		                                    	16	1.17	 	553	40.42	 	2	0.15	 	11	0.8	 	9	0.66	 	16	1.17	 	542	39.62	 	86	6.29	 	129	9.43	 	4	0.29	 	1368	97.71	 	32	2.29	 	1400	1.63
Mullaloo		                                   	25	0.9	 	1248	44.91	 	1	0.04	 	21	0.76	 	18	0.65	 	40	1.44	 	851	30.62	 	191	6.87	 	377	13.57	 	7	0.25	 	2779	97.99	 	57	2.01	 	2836	3.29
Nannup (Moore)		                             	1	2.86	 	16	45.71	 	0	0	 	0	0	 	3	8.57	 	0	0	 	9	25.71	 	4	11.43	 	2	5.71	 	0	0	 	35	94.59	 	2	5.41	 	37	0.04
North Beach (Moore)		                        	12	0.88	 	692	50.88	 	1	0.07	 	12	0.88	 	8	0.59	 	18	1.32	 	379	27.87	 	100	7.35	 	132	9.71	 	6	0.44	 	1360	96.59	 	48	3.41	 	1408	1.63
North Beach Central		                        	1	0.13	 	434	55.93	 	0	0	 	2	0.26	 	5	0.64	 	11	1.42	 	186	23.97	 	55	7.09	 	82	10.57	 	0	0	 	776	97.37	 	21	2.63	 	797	0.93
Ocean Reef		                                 	18	0.64	 	1397	49.38	 	3	0.11	 	15	0.53	 	22	0.78	 	37	1.31	 	907	32.06	 	151	5.34	 	276	9.76	 	3	0.11	 	2829	97.55	 	71	2.45	 	2900	3.37
Ocean Reef North		                           	18	1.08	 	793	47.66	 	2	0.12	 	10	0.6	 	8	0.48	 	15	0.9	 	583	35.04	 	71	4.27	 	160	9.62	 	4	0.24	 	1664	98.93	 	18	1.07	 	1682	1.95
Padbury		                                    	31	1.08	 	1118	38.85	 	3	0.1	 	28	0.97	 	17	0.59	 	36	1.25	 	1051	36.52	 	182	6.32	 	408	14.18	 	4	0.14	 	2878	97.99	 	59	2.01	 	2937	3.41
Padbury South		                              	18	0.84	 	898	41.98	 	3	0.14	 	15	0.7	 	18	0.84	 	22	1.03	 	750	35.06	 	117	5.47	 	293	13.7	 	5	0.23	 	2139	97.98	 	44	2.02	 	2183	2.53
Perth (Moore)		                              	2	1.37	 	66	45.21	 	0	0	 	1	0.68	 	1	0.68	 	4	2.74	 	45	30.82	 	12	8.22	 	15	10.27	 	0	0	 	146	98.65	 	2	1.35	 	148	0.17
Quinns Rock		                                	33	1.46	 	1037	45.84	 	3	0.13	 	10	0.44	 	17	0.75	 	31	1.37	 	752	33.24	 	170	7.52	 	206	9.11	 	3	0.13	 	2262	97.75	 	52	2.25	 	2314	2.69
Rottnest (Moore)		                           	1	0.37	 	157	57.51	 	3	1.1	 	1	0.37	 	1	0.37	 	2	0.73	 	53	19.41	 	24	8.79	 	31	11.36	 	0	0	 	273	98.56	 	4	1.44	 	277	0.32
Sorrento		                                   	12	0.88	 	774	56.74	 	1	0.07	 	9	0.66	 	12	0.88	 	23	1.69	 	299	21.92	 	79	5.79	 	154	11.29	 	1	0.07	 	1364	98.13	 	26	1.87	 	1390	1.61
Sorrento Beach		                             	10	0.46	 	1333	61.66	 	0	0	 	12	0.56	 	14	0.65	 	23	1.06	 	436	20.17	 	114	5.27	 	217	10.04	 	3	0.14	 	2162	97.56	 	54	2.44	 	2216	2.57
Two Rocks		                                  	9	1.02	 	402	45.58	 	1	0.11	 	8	0.91	 	12	1.36	 	13	1.47	 	284	32.2	 	48	5.44	 	103	11.68	 	2	0.23	 	882	96.5	 	32	3.5	 	914	1.06
Wanneroo		                                   	30	0.74	 	1921	47.7	 	5	0.12	 	27	0.67	 	53	1.32	 	57	1.42	 	1196	29.7	 	249	6.18	 	482	11.97	 	7	0.17	 	4027	96	 	168	4	 	4195	4.87
Wanneroo East		                              	38	1.4	 	1308	48.32	 	4	0.15	 	17	0.63	 	29	1.07	 	36	1.33	 	854	31.55	 	123	4.54	 	295	10.9	 	3	0.11	 	2707	96.03	 	112	3.97	 	2819	3.27
Yallingup (Moore)		                          	1	0.97	 	46	44.66	 	0	0	 	0	0	 	0	0	 	3	2.91	 	32	31.07	 	9	8.74	 	12	11.65	 	0	0	 	103	99.04	 	1	0.96	 	104	0.12
Yanchep		                                    	11	1.12	 	443	45.02	 	1	0.1	 	5	0.51	 	15	1.52	 	10	1.02	 	339	34.45	 	47	4.78	 	113	11.48	 	0	0	 	984	97.04	 	30	2.96	 	1014	1.18
Special Hospitals		                          	5	2.31	 	119	55.09	 	2	0.93	 	0	0	 	3	1.39	 	2	0.93	 	71	32.87	 	4	1.85	 	10	4.63	 	0	0	 	216	94.74	 	12	5.26	 	228	0.26
Total Ordinary		                             	631	0.87	 	34637	47.63	 	89	0.12	 	483	0.66	 	603	0.83	 	889	1.22	 	22684	31.19	 	3998	5.5	 	8592	11.81	 	119	0.16	 	72725	97.77	 	1657	2.23	 	74382	86.34
ABSENT		                                     	63	1.12	 	2698	47.99	 	17	0.3	 	28	0.5	 	57	1.01	 	94	1.67	 	1626	28.92	 	464	8.25	 	564	10.03	 	11	0.2	 	5622	98.22	 	102	1.78	 	5724	6.64
POSTAL		                                     	12	0.66	 	1004	55.04	 	4	0.22	 	8	0.44	 	21	1.15	 	53	2.91	 	469	25.71	 	86	4.71	 	161	8.83	 	6	0.33	 	1824	99.35	 	12	0.65	 	1836	2.13
PRE_POLL		                                   	33	0.98	 	1768	52.29	 	7	0.21	 	16	0.47	 	28	0.83	 	55	1.63	 	901	26.65	 	224	6.63	 	345	10.2	 	4	0.12	 	3381	98.83	 	40	1.17	 	3421	3.97
PROVISIONAL		                                	5	0.65	 	321	41.96	 	3	0.39	 	4	0.52	 	6	0.78	 	18	2.35	 	264	34.51	 	77	10.07	 	67	8.76	 	0	0	 	765	97.58	 	19	2.42	 	784	0.91
ADJUSTMENT		                                 	0		       	1		       	0		       	0		       	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	744	0.88	 	40429	47.95	 	120	0.14	 	539	0.64	 	714	0.85	 	1109	1.32	 	25944	30.77	 	4849	5.75	 	9729	11.54	 	140	0.17	 	84317	97.88	 	1830	2.12	 	86147	96.33


O'Connor (74785)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ajana		                                      	1	1.3	 	29	37.66	 	0	0	 	0	0	 	35	45.45	 	0	0	 	10	12.99	 	2	2.6	 	0	0	 	0	0	 	77	98.72	 	1	1.28	 	78	0.11
Ardath		                                     	0	0	 	30	38.46	 	0	0	 	0	0	 	41	52.56	 	0	0	 	5	6.41	 	0	0	 	2	2.56	 	0	0	 	78	100	 	0	0	 	78	0.11
Arthur River		                               	0	0	 	74	62.71	 	0	0	 	0	0	 	34	28.81	 	2	1.69	 	2	1.69	 	4	3.39	 	2	1.69	 	0	0	 	118	98.33	 	2	1.67	 	120	0.17
Badgebup		                                   	0	0	 	26	45.61	 	0	0	 	0	0	 	25	43.86	 	1	1.75	 	1	1.75	 	1	1.75	 	3	5.26	 	0	0	 	57	100	 	0	0	 	57	0.08
Badgingarra		                                	0	0	 	108	68.79	 	0	0	 	3	1.91	 	22	14.01	 	1	0.64	 	15	9.55	 	4	2.55	 	3	1.91	 	1	0.64	 	157	98.13	 	3	1.88	 	160	0.22
Ballidu		                                    	0	0	 	79	57.25	 	0	0	 	0	0	 	46	33.33	 	1	0.72	 	6	4.35	 	1	0.72	 	5	3.62	 	0	0	 	138	97.87	 	3	2.13	 	141	0.2
Beachlands		                                 	9	1.38	 	245	37.46	 	0	0	 	4	0.61	 	40	6.12	 	11	1.68	 	282	43.12	 	22	3.36	 	38	5.81	 	3	0.46	 	654	93.7	 	44	6.3	 	698	0.97
Beacon		                                     	1	0.65	 	88	57.52	 	0	0	 	1	0.65	 	50	32.68	 	2	1.31	 	7	4.58	 	2	1.31	 	2	1.31	 	0	0	 	153	98.08	 	3	1.92	 	156	0.22
Bencubbin		                                  	1	0.7	 	76	53.15	 	1	0.7	 	0	0	 	44	30.77	 	2	1.4	 	10	6.99	 	3	2.1	 	6	4.2	 	0	0	 	143	96.62	 	5	3.38	 	148	0.21
Beverley		                                   	6	0.91	 	298	45.43	 	0	0	 	3	0.46	 	153	23.32	 	19	2.9	 	118	17.99	 	13	1.98	 	43	6.55	 	3	0.46	 	656	93.71	 	44	6.29	 	700	0.98
Bindi Bindi		                                	1	1.23	 	53	65.43	 	0	0	 	0	0	 	20	24.69	 	1	1.23	 	2	2.47	 	0	0	 	4	4.94	 	0	0	 	81	98.78	 	1	1.22	 	82	0.11
Bluff Point		                                	18	0.88	 	1118	54.67	 	1	0.05	 	19	0.93	 	132	6.45	 	21	1.03	 	534	26.11	 	72	3.52	 	122	5.97	 	8	0.39	 	2045	96.24	 	80	3.76	 	2125	2.97
Boddington		                                 	7	1.07	 	351	53.83	 	2	0.31	 	1	0.15	 	66	10.12	 	13	1.99	 	155	23.77	 	23	3.53	 	34	5.21	 	0	0	 	652	95.18	 	33	4.82	 	685	0.96
Bolgart		                                    	2	1.82	 	89	80.91	 	0	0	 	0	0	 	6	5.45	 	3	2.73	 	5	4.55	 	2	1.82	 	3	2.73	 	0	0	 	110	100	 	0	0	 	110	0.15
Borden		                                     	0	0	 	80	50	 	0	0	 	0	0	 	54	33.75	 	0	0	 	14	8.75	 	2	1.25	 	10	6.25	 	0	0	 	160	98.77	 	2	1.23	 	162	0.23
Boscabel		                                   	1	1.43	 	32	45.71	 	0	0	 	0	0	 	34	48.57	 	0	0	 	0	0	 	0	0	 	3	4.29	 	0	0	 	70	100	 	0	0	 	70	0.1
Boxwood Hill		                               	3	4.48	 	46	68.66	 	1	1.49	 	0	0	 	12	17.91	 	0	0	 	4	5.97	 	0	0	 	1	1.49	 	0	0	 	67	95.71	 	3	4.29	 	70	0.1
Bremer Bay		                                 	0	0	 	271	66.91	 	1	0.25	 	2	0.49	 	71	17.53	 	1	0.25	 	28	6.91	 	11	2.72	 	19	4.69	 	1	0.25	 	405	96.43	 	15	3.57	 	420	0.59
Brookton		                                   	4	0.95	 	193	45.63	 	0	0	 	0	0	 	139	32.86	 	6	1.42	 	58	13.71	 	10	2.36	 	13	3.07	 	0	0	 	423	94.42	 	25	5.58	 	448	0.63
Broomehill		                                 	1	0.59	 	84	49.41	 	1	0.59	 	1	0.59	 	50	29.41	 	0	0	 	24	14.12	 	5	2.94	 	4	2.35	 	0	0	 	170	95.51	 	8	4.49	 	178	0.25
Bruce Rock		                                 	6	1.4	 	248	57.67	 	0	0	 	2	0.47	 	91	21.16	 	1	0.23	 	68	15.81	 	3	0.7	 	11	2.56	 	0	0	 	430	95.56	 	20	4.44	 	450	0.63
Bullaring		                                  	0	0	 	34	65.38	 	0	0	 	0	0	 	15	28.85	 	0	0	 	0	0	 	0	0	 	3	5.77	 	0	0	 	52	100	 	0	0	 	52	0.07
Bulyee		                                     	0	0	 	35	63.64	 	0	0	 	0	0	 	18	32.73	 	0	0	 	2	3.64	 	0	0	 	0	0	 	0	0	 	55	98.21	 	1	1.79	 	56	0.08
Bunbury Central (O'Connor)		                 	1	1.09	 	56	60.87	 	0	0	 	1	1.09	 	14	15.22	 	1	1.09	 	16	17.39	 	3	3.26	 	0	0	 	0	0	 	92	100	 	0	0	 	92	0.13
Buntine		                                    	0	0	 	27	71.05	 	0	0	 	0	0	 	10	26.32	 	0	0	 	0	0	 	0	0	 	1	2.63	 	0	0	 	38	97.44	 	1	2.56	 	39	0.05
Burracoppin		                                	0	0	 	34	68	 	0	0	 	0	0	 	6	12	 	0	0	 	6	12	 	1	2	 	3	6	 	0	0	 	50	98.04	 	1	1.96	 	51	0.07
Busselton (O'Connor)		                       	0	0	 	80	64.52	 	0	0	 	1	0.81	 	16	12.9	 	5	4.03	 	13	10.48	 	4	3.23	 	5	4.03	 	0	0	 	124	96.88	 	4	3.13	 	128	0.18
Busselton West (O'Connor)		                  	0	0	 	51	68.92	 	0	0	 	0	0	 	11	14.86	 	0	0	 	4	5.41	 	2	2.7	 	6	8.11	 	0	0	 	74	97.37	 	2	2.63	 	76	0.11
Cadoux		                                     	0	0	 	43	43.43	 	0	0	 	0	0	 	43	43.43	 	7	7.07	 	2	2.02	 	0	0	 	2	2.02	 	2	2.02	 	99	99	 	1	1	 	100	0.14
Calingiri		                                  	0	0	 	113	71.07	 	0	0	 	1	0.63	 	22	13.84	 	2	1.26	 	10	6.29	 	2	1.26	 	8	5.03	 	1	0.63	 	159	96.36	 	6	3.64	 	165	0.23
Cape Burney		                                	2	1.08	 	101	54.3	 	0	0	 	1	0.54	 	16	8.6	 	2	1.08	 	44	23.66	 	7	3.76	 	12	6.45	 	1	0.54	 	186	98.94	 	2	1.06	 	188	0.26
Carnamah		                                   	3	1.13	 	171	64.29	 	0	0	 	0	0	 	26	9.77	 	6	2.26	 	41	15.41	 	3	1.13	 	16	6.02	 	0	0	 	266	96.38	 	10	3.62	 	276	0.39
Cervantes		                                  	5	1.23	 	231	56.76	 	0	0	 	1	0.25	 	52	12.78	 	10	2.46	 	64	15.72	 	20	4.91	 	22	5.41	 	2	0.49	 	407	95.99	 	17	4.01	 	424	0.59
Coomberdale		                                	1	2.27	 	20	45.45	 	0	0	 	0	0	 	18	40.91	 	1	2.27	 	2	4.55	 	1	2.27	 	1	2.27	 	0	0	 	44	100	 	0	0	 	44	0.06
Coorow		                                     	2	0.95	 	141	67.14	 	1	0.48	 	1	0.48	 	24	11.43	 	4	1.9	 	23	10.95	 	7	3.33	 	6	2.86	 	1	0.48	 	210	95.02	 	11	4.98	 	221	0.31
Corrigin		                                   	4	0.74	 	287	53.15	 	3	0.56	 	3	0.56	 	147	27.22	 	5	0.93	 	62	11.48	 	6	1.11	 	23	4.26	 	0	0	 	540	97.3	 	15	2.7	 	555	0.78
Cranbrook		                                  	5	1.49	 	169	50.45	 	0	0	 	7	2.09	 	75	22.39	 	15	4.48	 	43	12.84	 	3	0.9	 	17	5.07	 	1	0.3	 	335	95.71	 	15	4.29	 	350	0.49
Cuballing		                                  	4	1.77	 	121	53.54	 	0	0	 	0	0	 	46	20.35	 	3	1.33	 	30	13.27	 	5	2.21	 	16	7.08	 	1	0.44	 	226	98.26	 	4	1.74	 	230	0.32
Cunderdin		                                  	6	1.28	 	253	54.06	 	1	0.21	 	1	0.21	 	85	18.16	 	5	1.07	 	83	17.74	 	8	1.71	 	23	4.91	 	3	0.64	 	468	94.93	 	25	5.07	 	493	0.69
Dale		                                       	4	3.17	 	81	64.29	 	0	0	 	2	1.59	 	24	19.05	 	3	2.38	 	6	4.76	 	2	1.59	 	4	3.17	 	0	0	 	126	96.92	 	4	3.08	 	130	0.18
Dalwallinu		                                 	2	0.69	 	172	59.31	 	1	0.34	 	8	2.76	 	37	12.76	 	0	0	 	39	13.45	 	9	3.1	 	22	7.59	 	0	0	 	290	95.71	 	13	4.29	 	303	0.42
Dandaragan		                                 	1	0.49	 	137	66.83	 	2	0.98	 	0	0	 	23	11.22	 	3	1.46	 	23	11.22	 	4	1.95	 	12	5.85	 	0	0	 	205	96.7	 	7	3.3	 	212	0.3
Darkan		                                     	2	0.72	 	169	60.57	 	0	0	 	0	0	 	73	26.16	 	0	0	 	22	7.89	 	2	0.72	 	11	3.94	 	0	0	 	279	95.88	 	12	4.12	 	291	0.41
Dongara		                                    	22	1.66	 	852	64.25	 	2	0.15	 	6	0.45	 	102	7.69	 	16	1.21	 	229	17.27	 	44	3.32	 	53	4	 	0	0	 	1326	97.07	 	40	2.93	 	1366	1.91
Doodlakine		                                 	1	1.2	 	43	51.81	 	0	0	 	1	1.2	 	22	26.51	 	0	0	 	13	15.66	 	0	0	 	3	3.61	 	0	0	 	83	98.81	 	1	1.19	 	84	0.12
Dowerin		                                    	6	1.42	 	231	54.48	 	0	0	 	1	0.24	 	94	22.17	 	5	1.18	 	49	11.56	 	12	2.83	 	25	5.9	 	1	0.24	 	424	94.43	 	25	5.57	 	449	0.63
Dudinin		                                    	0	0	 	42	56	 	0	0	 	0	0	 	23	30.67	 	2	2.67	 	4	5.33	 	3	4	 	1	1.33	 	0	0	 	75	96.15	 	3	3.85	 	78	0.11
Dumbleyung		                                 	3	1.23	 	117	48.15	 	0	0	 	0	0	 	99	40.74	 	5	2.06	 	5	2.06	 	3	1.23	 	10	4.12	 	1	0.41	 	243	95.67	 	11	4.33	 	254	0.35
Dunsborough (O'Connor)		                     	1	1.54	 	39	60	 	0	0	 	1	1.54	 	11	16.92	 	0	0	 	10	15.38	 	1	1.54	 	2	3.08	 	0	0	 	65	92.86	 	5	7.14	 	70	0.1
Duranillin		                                 	0	0	 	95	57.58	 	0	0	 	0	0	 	47	28.48	 	3	1.82	 	11	6.67	 	2	1.21	 	7	4.24	 	0	0	 	165	96.49	 	6	3.51	 	171	0.24
Eneabba		                                    	3	1.42	 	99	46.7	 	0	0	 	0	0	 	34	16.04	 	5	2.36	 	45	21.23	 	6	2.83	 	19	8.96	 	1	0.47	 	212	98.6	 	3	1.4	 	215	0.3
Falcon (O'Connor)		                          	1	1.47	 	40	58.82	 	0	0	 	0	0	 	13	19.12	 	0	0	 	11	16.18	 	0	0	 	2	2.94	 	1	1.47	 	68	98.55	 	1	1.45	 	69	0.1
Fitzgerald		                                 	0	0	 	24	57.14	 	0	0	 	0	0	 	13	30.95	 	1	2.38	 	1	2.38	 	0	0	 	3	7.14	 	0	0	 	42	100	 	0	0	 	42	0.06
Forest Hill		                                	1	0.93	 	68	63.55	 	0	0	 	0	0	 	25	23.36	 	1	0.93	 	4	3.74	 	4	3.74	 	4	3.74	 	0	0	 	107	99.07	 	1	0.93	 	108	0.15
Frankland		                                  	0	0	 	105	68.18	 	0	0	 	6	3.9	 	31	20.13	 	2	1.3	 	8	5.19	 	1	0.65	 	1	0.65	 	0	0	 	154	96.25	 	6	3.75	 	160	0.22
Gairdner River		                             	1	1.11	 	53	58.89	 	0	0	 	1	1.11	 	24	26.67	 	4	4.44	 	1	1.11	 	0	0	 	6	6.67	 	0	0	 	90	96.77	 	3	3.23	 	93	0.13
Geraldton		                                  	26	1.57	 	900	54.41	 	1	0.06	 	13	0.79	 	105	6.35	 	19	1.15	 	413	24.97	 	66	3.99	 	110	6.65	 	1	0.06	 	1654	95.5	 	78	4.5	 	1732	2.42
Geraldton Central		                          	30	1.97	 	783	51.41	 	2	0.13	 	12	0.79	 	107	7.03	 	16	1.05	 	419	27.51	 	48	3.15	 	103	6.76	 	3	0.2	 	1523	95.49	 	72	4.51	 	1595	2.23
Geraldton Regional Hospital		                	1	0.48	 	97	46.63	 	0	0	 	3	1.44	 	14	6.73	 	1	0.48	 	71	34.13	 	9	4.33	 	12	5.77	 	0	0	 	208	94.55	 	12	5.45	 	220	0.31
Geraldton St John of God Hospital		          	5	1.07	 	288	61.8	 	0	0	 	1	0.21	 	26	5.58	 	8	1.72	 	102	21.89	 	6	1.29	 	30	6.44	 	0	0	 	466	96.28	 	18	3.72	 	484	0.68
Gingin		                                     	5	0.91	 	333	60.55	 	0	0	 	2	0.36	 	44	8	 	8	1.45	 	95	17.27	 	22	4	 	39	7.09	 	2	0.36	 	550	95.99	 	23	4.01	 	573	0.8
Gnowangerup		                                	3	0.68	 	224	50.45	 	0	0	 	8	1.8	 	74	16.67	 	6	1.35	 	98	22.07	 	11	2.48	 	19	4.28	 	1	0.23	 	444	95.69	 	20	4.31	 	464	0.65
Goomalling		                                 	7	1.94	 	167	46.39	 	0	0	 	1	0.28	 	85	23.61	 	9	2.5	 	67	18.61	 	5	1.39	 	18	5	 	1	0.28	 	360	91.84	 	32	8.16	 	392	0.55
Greenhills		                                 	0	0	 	31	58.49	 	0	0	 	0	0	 	12	22.64	 	3	5.66	 	2	3.77	 	2	3.77	 	3	5.66	 	0	0	 	53	94.64	 	3	5.36	 	56	0.08
Guilderton		                                 	0	0	 	87	57.24	 	0	0	 	0	0	 	5	3.29	 	0	0	 	29	19.08	 	21	13.82	 	10	6.58	 	0	0	 	152	96.2	 	6	3.8	 	158	0.22
Highbury		                                   	0	0	 	42	42.42	 	0	0	 	0	0	 	41	41.41	 	0	0	 	12	12.12	 	0	0	 	4	4.04	 	0	0	 	99	96.12	 	4	3.88	 	103	0.14
Hines Hill		                                 	0	0	 	23	41.82	 	1	1.82	 	0	0	 	19	34.55	 	1	1.82	 	9	16.36	 	1	1.82	 	1	1.82	 	0	0	 	55	98.21	 	1	1.79	 	56	0.08
Hopetoun		                                   	4	1.28	 	181	58.01	 	0	0	 	4	1.28	 	52	16.67	 	2	0.64	 	40	12.82	 	10	3.21	 	18	5.77	 	1	0.32	 	312	94.55	 	18	5.45	 	330	0.46
Horrocks		                                   	0	0	 	66	59.46	 	0	0	 	0	0	 	15	13.51	 	3	2.7	 	24	21.62	 	0	0	 	3	2.7	 	0	0	 	111	93.28	 	8	6.72	 	119	0.17
Hyden		                                      	2	0.71	 	174	62.14	 	0	0	 	5	1.79	 	69	24.64	 	3	1.07	 	13	4.64	 	4	1.43	 	8	2.86	 	2	0.71	 	280	96.89	 	9	3.11	 	289	0.4
Jennacubbine		                               	0	0	 	37	44.58	 	0	0	 	0	0	 	27	32.53	 	0	0	 	13	15.66	 	3	3.61	 	3	3.61	 	0	0	 	83	98.81	 	1	1.19	 	84	0.12
Jerdacuttup		                                	2	3.13	 	46	71.88	 	0	0	 	0	0	 	9	14.06	 	2	3.13	 	4	6.25	 	0	0	 	1	1.56	 	0	0	 	64	96.97	 	2	3.03	 	66	0.09
Jerramungup		                                	3	1.09	 	168	61.09	 	0	0	 	1	0.36	 	65	23.64	 	4	1.45	 	24	8.73	 	4	1.45	 	6	2.18	 	0	0	 	275	97.17	 	8	2.83	 	283	0.4
Jingalup		                                   	0	0	 	34	47.89	 	0	0	 	1	1.41	 	30	42.25	 	0	0	 	3	4.23	 	2	2.82	 	1	1.41	 	0	0	 	71	97.26	 	2	2.74	 	73	0.1
Jurien		                                     	13	1.95	 	435	65.32	 	0	0	 	1	0.15	 	61	9.16	 	8	1.2	 	97	14.56	 	25	3.75	 	22	3.3	 	4	0.6	 	666	96.52	 	24	3.48	 	690	0.96
Kalannie		                                   	0	0	 	90	61.64	 	0	0	 	0	0	 	38	26.03	 	8	5.48	 	2	1.37	 	4	2.74	 	4	2.74	 	0	0	 	146	98.65	 	2	1.35	 	148	0.21
Kalbarri		                                   	6	0.8	 	464	61.87	 	2	0.27	 	2	0.27	 	60	8	 	6	0.8	 	129	17.2	 	37	4.93	 	44	5.87	 	0	0	 	750	98.17	 	14	1.83	 	764	1.07
Karlgarin		                                  	0	0	 	44	51.76	 	0	0	 	0	0	 	35	41.18	 	0	0	 	1	1.18	 	0	0	 	5	5.88	 	0	0	 	85	98.84	 	1	1.16	 	86	0.12
