House of Representatives - 1993 Election									
Votes Counted by Vote Type									
By Division									
									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Tangney	72148	61485	4633	996	2379	148	0	69641	96.53
TOTAL	1038968	873875	70746	19247	25847	3870	0	993585	95.63
									
									
South Australia									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Adelaide	85484	69678	4890	2790	2291	170	0	79819	93.37
Barker	83749	72089	4128	1987	1856	97	0	80157	95.71
Bonython	77877	66765	3942	1350	1523	113	0	73693	94.63
Boothby	85021	71803	4346	2345	2408	100	0	81002	95.27
Grey	86386	73112	4079	2615	1820	112	0	81738	94.62
Hindmarsh	88799	73259	5530	2978	2173	106	0	84046	94.65
Kingston	82511	71179	3882	1738	2185	112	-4	79092	95.86
Makin	84984	72526	4824	2138	1912	107	0	81507	95.91
Mayo	85924	72175	5717	1532	2234	124	0	81782	95.18
Port Adelaide	86302	73365	3761	2180	1995	131	0	81432	94.36
Sturt	82520	67630	4356	2940	2286	121	0	77333	93.71
Wakefield	84843	73444	4491	1758	1375	91	3	81162	95.66
TOTAL	1014400	857025	53946	26351	24058	1384	-1	962763	94.91
									
									
Tasmania									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Bass	66119	56766	2910	1753	1982	74	0	63485	96.02
Braddon	64357	56460	2743	1710	1231	42	0	62186	96.63
Denison	68599	57672	3387	2124	2418	81	0	65682	95.75
Franklin	63149	54156	3531	1663	1589	64	0	61003	96.60
Lyons	65695	56981	3456	1989	933	59	0	63418	96.53
TOTAL	327919	282035	16027	9239	8153	320	0	315774	96.30
									
									
Australian Capital Territory									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Canberra	95277	72839	2322	2578	13832	811	0	92382	96.96
Fraser	97210	75348	1417	3069	13029	964	0	93827	96.52
TOTAL	192487	148187	3739	5647	26861	1775	0	186209	96.74
									
									
Northern Territory									
		Ordinary	Absent	Postal	Pre-Poll	Provisional		Total	
Division	Enrolment	Votes	Votes	Votes	Votes	Votes	Adj	Votes	%
Northern Territory	91563	73290	0	2147	5062	804	0	81303	88.79
TOTAL	91563	73290	0	2147	5062	804	0	81303	88.79
									
NATIONAL TOTAL	11384638	9564782	627776	308412	353953	45886	52	10900861	95.75
