House of Representatives - 1993 Election				
National List of Candidates				

				
				
Candidate	Party		Division	State
"ENNIS, Neil"	LP		Brisbane	QLD
"ERMACORA, Hugh Ronald"	IND		Richmond	NSW
"EVANS, Andrea"	GWA		Brand	WA
"EVANS, Floyd"	NLP		Lalor	VIC
"EVANS, Richard"	LP		Cowan	WA

"FAITH, Josephine"	GRN		Richmond	NSW
"FARLEIGH, Peter"	DEM		Banks	NSW
"FATIN, Wendy"	ALP		Brand	WA
"FAULKNER, Shirley"	IND		Wakefield	SA
"FAWCETT, Adrian Robert"	LP		Brand	WA
"FAY, Roger Andrew"	NLP		Macquarie	NSW
"FENWICK, Peter"	NLP		Adelaide	SA
"FERGUSON, Laurie"	ALP		Reid	NSW
"FERNANDO-PULLE, Mary"	DEM		Oxley	QLD
"FERRARI, James Stephen"			Melbourne	VIC
"FERRARO, Santo"	CAP		Fairfax	QLD
"FIKKE, Elle"	RCG		Page	NSW
"FILING, Paul"	LP		Moore	WA
"FISCHER, Tim"	NP		Farrer	NSW
"FISHER, James"	LP		Sydney	NSW
"FISHER, John"	IND		Grey	SA
"FITZGERALD, Paul"	GRN		Grayndler	NSW
"FITZGIBBON, Eric"	ALP		Hunter	NSW
"FITZHERBERT, Richard"	IND		Jagajaga	VIC
"FLAWS, Peter"	NP		Forde	QLD
"FLEGG, Bruce"	LP		Dickson	QLD
"FOGGO, Doug"	NP		Lilley	QLD
"FOLEY, Gary"	IND		Jagajaga	VIC
"FORD, Frank"	LP		Dunkley	VIC
"FORECAST, Mark"	NP		Pearce	WA
"FORREST, John A"	NP		Mallee	VIC
"FORRESTER, Ron"	LP		Macarthur	NSW
"FORRESTER, Roy"	NLP		Cowper	NSW
"FORSHAW, Rodney James"	NLP		Parramatta	NSW
"FOURMILE, Henrietta"	QG		Leichhardt	QLD
"FOX, Ian David"	QG		Dawson	QLD
"FRANCIS, Bruce"	LP		Richmond	NSW
"FRANKS, Ron"	CAP		Paterson	NSW
"FRASER, Peter D"	DEM		Werriwa	NSW
"FRASER, Peter H"	NLP		Eden-Monaro	NSW
"FREE, Ross"	ALP		Lindsay	NSW
"FREER, Geoff"	IND		Sturt	SA
"FRIEDMANN, Helen"	LP		Melbourne Ports	VIC

"GADSBY, Peter"	IND		Macarthur	NSW
"GALE, Brian"	NLP		Goldstein	VIC
"GALLACHER, Mike"	LP		Robertson	NSW
"GALLAGHER, Mick"	IND		Berowra	NSW
"GALLUS, Chris"	LP		Hindmarsh	SA
"GARD, Mike"	ALP		Braddon	TAS
"GARSWOOD, Luke"	IND		Swan	WA
"GEAR, George"	ALP		Canning	WA
"GEHRMANN, Jeff"	IND		Petrie	QLD
"GEORGIEVSKI, John"	DEM		Scullin	VIC
"GESSERIT, Anji"	DEM		Kingston	SA
"GIBBON, Suzanne J"	QG		Oxley	QLD
"GIBSON, Garrie"	ALP		Moreton	QLD
"GIBSON, M P"	IND		Brisbane	QLD
"GILBERT, Frank"	ALP		Dawson	QLD
"GILBERT, Graeme"	LP		Franklin	TAS
"GILBEY-RILEY, Emily"	GRY		Port Adelaide	SA
"GILCHRIST, David"	ALP		Curtin	WA
"GILLAN, Jim"	NP		Ryan	QLD
"GINSBERG, Sam"	DEM		Casey	VIC
"GLEESON, Margaret"			Sydney	NSW
"GLEESON, Nigel"	CEG		Cowper	NSW
"GODDEN, Stewart"	DEM		Cowan	WA
"GODFREY, Lyn"	DEM		Charlton	NSW
"GODRIDGE, Leonie Jean"	DEM		Lyons	TAS
"GOFF, Michael"	IND		Perth	WA
"GOIRAN, Gerard"	CTA		Canning	WA
"GOLDEN, Isaac"	NLP		Corangamite	VIC
"GOLDING, Anthony"	CTA		Lalor	VIC
"GOODY, Margaret"	NP		Capricornia	QLD
"GORDON, Andrew James"	NLP		Fraser	ACT
"GORDON, Martin"	LP		Kingston	SA
"GORMAN, Russ"	ALP		Greenway	NSW
"GRACE, Ted"	ALP		Fowler	NSW
"GRAHAM, Robert"			Kingston	SA
"GRAYNDLER, Moira"	NLP		Richmond	NSW
"GREAGG, David L.J."			Kooyong	VIC
"GREEN, Don"	LP		Kalgoorlie	WA
"GREEN, Ross"	IND		Barton	NSW
"GREY, Harry"	IND		McEwen	VIC
"GRIFFIN, Alan"	ALP		Corinella	VIC
"GRIFFITH, Sue"	NLP		Jagajaga	VIC
"GRIFFITHS, Alan"	ALP		Maribyrnong	VIC
"GRIFFITHS, Glenice"	DEM		Robertson	NSW
"GRIGG, Brian T"	CTA		Lindsay	NSW
"GRIJAK, Dragan"			Throsby	NSW
"GRUJOVSKI, Jordan"	IND		Scullin	VIC
"GUGENBERGER, Lou"	QG		Brisbane	QLD
"GUNER, Eyup"	LP		Reid	NSW
"GUNNING, Sue"	IND		Hughes	NSW
"GWIN, Chris"	QG		Fisher	QLD

"HADLEY, Tom"	DEM		Throsby	NSW
"HALL, Steele"	LP		Boothby	SA
