State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
VIC;Flinders;82771;77168;2511;79679;96.85;-0.30;3.15;0.30;96.26;-0.14;35711;41457;0;46.28;6.34
VIC;Gellibrand;84912;76241;3360;79601;95.78;1.21;4.22;-1.21;93.75;-0.61;57875;18366;0;75.91;4.68
VIC;Gippsland;81036;73951;3829;77780;95.08;-2.37;4.92;2.37;95.98;-0.92;30445;43506;0;41.17;9.81
VIC;Goldstein;87124;80477;2242;82719;97.29;-0.43;2.71;0.43;94.94;-0.72;33676;46801;0;41.85;2.79
VIC;Higgins;84801;77379;2403;79782;96.99;-0.99;3.01;0.99;94.08;-0.95;31246;46133;0;40.38;1.11
VIC;Holt;81285;73886;3503;77389;95.47;0.01;4.53;-0.01;95.21;-0.47;48109;25777;0;65.11;2.30
VIC;Hotham;88126;80915;3058;83973;96.36;-0.66;3.64;0.66;95.29;-0.56;51451;29464;0;63.59;3.03
VIC;Indi;82066;75866;3061;78927;96.12;-1.57;3.88;1.57;96.18;0.25;30266;45600;0;39.89;7.69
VIC;Isaacs;79279;73517;2754;76271;96.39;-0.82;3.61;0.82;96.21;0.00;41467;32050;0;56.40;4.84
VIC;Jagajaga;86159;80671;2137;82808;97.42;-0.01;2.58;0.01;96.11;-0.78;45100;35571;0;55.91;3.20
VIC;Kooyong;84069;78479;1620;80099;97.98;-0.03;2.02;0.03;95.28;-1.11;30303;48176;0;38.61;2.42
VIC;Lalor;81299;75757;2638;78395;96.63;0.03;3.37;-0.03;96.43;0.10;52893;22864;0;69.82;1.31
VIC;La Trobe;79276;73430;2751;76181;96.39;-1.08;3.61;1.08;96.10;-0.36;35988;37442;0;49.01;0.38
VIC;McEwen;81561;75818;2623;78441;96.66;-0.80;3.34;0.80;96.17;-0.56;37119;38699;0;48.96;1.13
VIC;McMillan;81944;75848;3251;79099;95.89;-1.40;4.11;1.40;96.53;-0.31;38360;37488;0;50.57;2.64
VIC;Mallee;80825;75437;2260;77697;97.09;-0.31;2.91;0.31;96.13;-0.59;23109;52328;0;30.63;4.13
VIC;Maribyrnong;82207;74941;3508;78449;95.53;0.12;4.47;-0.12;95.43;-0.55;53999;20942;0;72.06;3.20
VIC;Melbourne;88798;79374;3018;82392;96.34;-0.30;3.66;0.30;92.79;0.46;56991;22383;0;71.80;1.59
VIC;Melbourne Ports;83247;74481;2390;76871;96.89;-0.35;3.11;0.35;92.34;-1.10;41585;32896;0;55.83;-0.22
VIC;Menzies;81442;75531;2480;78011;96.82;-0.71;3.18;0.71;95.79;-0.85;33687;41844;0;44.60;5.59
VIC;Murray;83571;77524;2742;80266;96.58;-0.75;3.42;0.75;96.05;-0.86;21658;55866;0;27.94;2.17
VIC;Scullin;83213;77257;2777;80034;96.53;0.07;3.47;-0.07;96.18;-0.48;55500;21757;0;71.84;1.10
VIC;Wannon;81344;76564;2170;78734;97.24;-0.76;2.76;0.76;96.79;-0.72;32583;43981;0;42.56;4.87
VIC;Wills;87245;78967;3520;82487;95.73;-0.62;4.27;0.62;94.55;-0.44;56033;22934;0;70.96;-1.26
QLD;Blair;74211;68164;2541;70705;96.41;-0.98;3.59;0.98;95.28;;28611;39553;0;41.97;10.61
QLD;Bowman;80403;74387;2015;76402;97.36;-0.45;2.64;0.45;95.02;-0.49;39641;34746;0;53.29;4.18
QLD;Brisbane;89164;80412;2311;82723;97.21;-0.35;2.79;0.35;92.78;0.03;43895;36517;0;54.59;3.93
QLD;Capricornia;80603;74786;1990;76776;97.41;-0.42;2.59;0.42;95.25;-0.17;41352;33434;0;55.29;8.75
QLD;Dawson;84011;77603;2219;79822;97.22;-0.57;2.78;0.57;95.01;0.07;35375;42228;0;45.58;6.43
QLD;Dickson;79756;73646;2672;76318;96.50;-1.08;3.50;1.08;95.69;-0.33;36911;36735;0;50.12;4.02
QLD;Fadden;79593;72006;2521;74527;96.62;-0.91;3.38;0.91;93.64;-1.18;30540;41466;0;42.41;9.96
QLD;Fairfax;76052;68586;2679;71265;96.24;-1.37;3.76;1.37;93.71;-0.46;31300;37286;0;45.64;13.25
QLD;Fisher;75815;69106;2178;71284;96.94;-0.77;3.06;0.77;94.02;-0.87;26954;42152;0;39.00;9.64
QLD;Forde;76745;68689;2863;71552;96.00;-1.33;4.00;1.33;93.23;-0.28;30741;37948;0;44.75;6.76
QLD;Griffith;86293;79520;1986;81506;97.56;-0.04;2.44;0.04;94.45;-0.31;41689;37831;0;52.43;3.93
QLD;Groom;80378;74473;2100;76573;97.26;-0.43;2.74;0.43;95.27;-0.26;27522;46951;0;36.96;8.25
QLD;Herbert;84458;76874;3091;79965;96.13;-1.30;3.87;1.30;94.68;0.56;38362;38512;0;49.90;6.52
QLD;Hinkler;78336;72356;2379;74735;96.82;-0.71;3.18;0.71;95.40;-0.06;35933;36423;0;49.66;7.60
QLD;Kennedy;84340;75595;2971;78566;96.22;-0.82;3.78;0.82;93.15;-0.50;29341;46254;0;38.81;2.97
QLD;Leichhardt;80711;71294;2938;74232;96.04;-1.13;3.96;1.13;91.97;-0.35;32759;38535;0;45.95;0.52
QLD;Lilley;85940;78863;2239;81102;97.24;-0.70;2.76;0.70;94.37;-0.19;41902;36961;0;53.13;3.51
QLD;Longman;75890;69761;2076;71837;97.11;-0.12;2.89;0.12;94.66;-0.92;34236;35525;0;49.08;8.98
QLD;McPherson;82104;73785;3235;77020;95.80;-1.39;4.20;1.39;93.81;-0.14;30740;43045;0;41.66;8.82
QLD;Maranoa;82834;75402;2944;78346;96.24;-0.80;3.76;0.80;94.58;-0.81;26826;48576;0;35.58;7.07
QLD;Moncrieff;81725;72339;3394;75733;95.52;-1.46;4.48;1.46;92.67;-0.51;26889;45450;0;37.17;7.63
QLD;Moreton;85564;78209;2444;80653;96.97;-0.34;3.03;0.34;94.26;-0.57;38655;39554;0;49.43;5.40
QLD;Oxley;79232;71628;3324;74952;95.57;-1.20;4.43;1.20;94.60;-0.34;41691;29937;0;58.20;7.85
QLD;Petrie;84436;77870;2072;79942;97.41;-0.17;2.59;0.17;94.68;-0.36;38348;39522;0;49.25;7.52
QLD;Rankin;77968;69336;3228;72564;95.55;-1.27;4.45;1.27;93.07;-0.44;40691;28645;0;58.69;9.07
QLD;Ryan;83455;76948;1822;78770;97.69;-0.53;2.31;0.53;94.39;-0.80;31149;45799;0;40.48;7.46
QLD;Wide Bay;78007;71737;2427;74164;96.73;-0.41;3.27;0.41;95.07;-0.85;33814;37923;0;47.14;15.32
WA;Brand;77633;69979;4043;74022;94.54;-2.20;5.46;2.20;95.35;0.15;43587;26392;0;62.29;11.44
WA;Canning;80030;72566;3666;76232;95.19;-1.16;4.81;1.16;95.25;-0.32;38834;33732;0;53.52;5.16
WA;Cowan;77186;71343;2863;74206;96.14;-0.32;3.86;0.32;96.14;0.21;38208;33135;0;53.56;7.62
WA;Curtin;85855;78810;2255;81065;97.22;-0.73;2.78;0.73;94.42;-0.83;28940;49870;0;36.72;-0.06
WA;Forrest;82666;75196;4037;79233;94.90;-2.43;5.10;2.43;95.85;-0.04;32421;42775;0;43.12;7.21
WA;Fremantle;84812;77204;3269;80473;95.94;-0.57;4.06;0.57;94.88;-0.86;46338;30866;0;60.02;5.81
WA;Kalgoorlie;82463;68386;3335;71721;95.35;-1.87;4.65;1.87;86.97;-1.86;32754;35632;0;47.90;-2.80
WA;Moore;77573;71999;2248;74247;96.97;-0.61;3.03;0.61;95.71;-0.11;33026;38973;0;45.87;4.40
WA;O'Connor;83913;76118;3873;79991;95.16;-1.63;4.84;1.63;95.33;0.21;26537;49581;0;34.86;6.02
WA;Pearce;81260;74580;2820;77400;96.36;-0.65;3.64;0.65;95.25;-0.63;33334;41246;0;44.70;8.29
WA;Perth;84448;76551;3102;79653;96.11;-0.03;3.89;0.03;94.32;0.37;48441;28110;0;63.28;6.60
WA;Stirling;84758;76758;3993;80751;95.06;-1.26;4.94;1.26;95.27;0.28;39176;37582;0;51.04;4.26
WA;Swan;83576;76031;3404;79435;95.71;-0.68;4.29;0.68;95.05;0.52;40067;35964;0;52.70;6.33
WA;Tangney;83446;77254;2601;79855;96.74;-0.34;3.26;0.34;95.70;-0.31;34070;43184;0;44.10;5.96
SA;Adelaide;82157;74110;3458;77568;95.54;0.23;4.46;-0.23;94.41;-0.13;36379;37731;0;49.09;2.58
SA;Barker;84771;77660;4158;81818;94.92;-1.66;5.08;1.66;96.52;0.04;28159;49501;0;36.26;7.14
SA;Bonython;78747;71186;4170;75356;94.47;-0.69;5.53;0.69;95.69;-0.56;45935;25251;0;64.53;5.07
SA;Boothby;81353;75560;2380;77940;96.95;-0.32;3.05;0.32;95.80;0.09;32154;43406;0;42.55;4.16
SA;Grey;82921;75167;3306;78473;95.79;-0.75;4.21;0.75;94.64;-0.39;31540;43627;0;41.96;0.50
SA;Hindmarsh;83627;76324;3656;79980;95.43;-0.48;4.57;0.48;95.64;-0.14;37224;39100;0;48.77;6.83
SA;Kingston;88999;81649;3989;85638;95.34;-0.17;4.66;0.17;96.22;-0.41;41206;40443;0;50.47;2.48
SA;Makin;89832;82800;3719;86519;95.70;0.70;4.30;-0.70;96.31;-0.18;40620;42180;0;49.06;0.14
SA;Mayo;90861;83791;3353;87144;96.15;-0.73;3.85;0.73;95.91;-0.27;33602;50189;0;40.10;5.26
SA;Port Adelaide;82248;74287;4358;78645;94.46;0.02;5.54;-0.02;95.62;-0.01;49107;25180;0;66.10;9.06
SA;Sturt;79823;72646;3347;75993;95.60;-0.56;4.40;0.56;95.20;0.00;31025;41621;0;42.71;2.70
SA;Wakefield;88650;80811;4180;84991;95.08;-1.12;4.92;1.12;95.87;-0.75;27238;53573;0;33.71;3.67
TAS;Bass;65933;61146;2148;63294;96.61;-1.30;3.39;1.30;96.00;-0.26;30612;30534;0;50.06;4.63
TAS;Braddon;62419;58107;2153;60260;96.43;-0.99;3.57;0.99;96.54;-0.27;31567;26540;0;54.33;10.02
TAS;Denison;67361;62623;1624;64247;97.47;-0.38;2.53;0.38;95.38;-0.84;40399;22224;0;64.51;2.72
TAS;Franklin;65769;61411;1763;63174;97.21;-0.53;2.79;0.53;96.05;-0.79;34759;26652;0;56.60;1.92
TAS;Lyons;68639;64190;2131;66321;96.79;-0.54;3.21;0.54;96.62;-0.17;38904;25286;0;60.61;9.30
ACT;Canberra;105359;98192;2860;101052;97.17;-0.38;2.83;0.38;95.91;0.04;58972;39220;0;60.06;7.74
ACT;Fraser;104177;96491;2883;99374;97.10;0.32;2.90;-0.32;95.39;-1.45;62580;33911;0;64.86;6.00
NT;Northern Territory;105048;90937;3951;94888;95.84;-0.77;4.16;0.77;90.33;1.23;45986;44951;0;50.57;0.94
