Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Concord North		                              	7	0.8	  	6	0.69	  	2	0.23	  	0	0	  	0	0	  	4	0.46	  	3	0.34	  	352	40.32	  	1	0.11	  	0	0	  	60	6.87	  	297	34.02	  	69	7.9	  	2	0.23	  	3	0.34	  	0	0	  	0	0	  	0	0	  	0	0	  	5	0.57	  	15	1.72	  	47	5.38	  	0	0	  	873	96.46	  	32	3.54	  	905	1.16
Concord Repatriation Hospital		              	2	1.12	  	1	0.56	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	68	37.99	  	2	1.12	  	0	0	  	24	13.41	  	59	32.96	  	10	5.59	  	0	0	  	0	0	  	1	0.56	  	1	0.56	  	0	0	  	0	0	  	8	4.47	  	0	0	  	3	1.68	  	0	0	  	179	98.9	  	2	1.1	  	181	0.23
Concord West		                               	20	1.21	  	14	0.85	  	1	0.06	  	1	0.06	  	0	0	  	1	0.06	  	3	0.18	  	630	38.16	  	1	0.06	  	1	0.06	  	80	4.85	  	590	35.74	  	129	7.81	  	6	0.36	  	2	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	30	1.82	  	37	2.24	  	100	6.06	  	5	0.3	  	1651	95.49	  	78	4.51	  	1729	2.21
Croydon		                                    	11	1.28	  	4	0.46	  	2	0.23	  	0	0	  	0	0	  	0	0	  	2	0.23	  	416	48.32	  	5	0.58	  	0	0	  	50	5.81	  	225	26.13	  	60	6.97	  	3	0.35	  	0	0	  	0	0	  	1	0.12	  	0	0	  	0	0	  	14	1.63	  	10	1.16	  	58	6.74	  	0	0	  	861	95.03	  	45	4.97	  	906	1.16
Croydon Park		                               	23	1.17	  	14	0.71	  	4	0.2	  	0	0	  	4	0.2	  	1	0.05	  	5	0.25	  	819	41.59	  	3	0.15	  	3	0.15	  	104	5.28	  	662	33.62	  	138	7.01	  	2	0.1	  	3	0.15	  	0	0	  	0	0	  	1	0.05	  	0	0	  	41	2.08	  	23	1.17	  	119	6.04	  	0	0	  	1969	93.99	  	126	6.01	  	2095	2.68
Croydon South		                              	12	1.33	  	7	0.78	  	1	0.11	  	0	0	  	4	0.44	  	0	0	  	0	0	  	385	42.83	  	2	0.22	  	0	0	  	59	6.56	  	246	27.36	  	61	6.79	  	2	0.22	  	1	0.11	  	1	0.11	  	0	0	  	0	0	  	0	0	  	20	2.22	  	11	1.22	  	86	9.57	  	1	0.11	  	899	94.14	  	56	5.86	  	955	1.22
Dobroyd Point		                              	13	1.04	  	31	2.47	  	0	0	  	0	0	  	0	0	  	2	0.16	  	0	0	  	508	40.51	  	4	0.32	  	0	0	  	55	4.39	  	435	34.69	  	113	9.01	  	3	0.24	  	1	0.08	  	0	0	  	3	0.24	  	0	0	  	0	0	  	6	0.48	  	28	2.23	  	48	3.83	  	4	0.32	  	1254	94.71	  	70	5.29	  	1324	1.69
Drummoyne		                                  	12	0.56	  	18	0.83	  	3	0.14	  	1	0.05	  	1	0.05	  	3	0.14	  	5	0.23	  	706	32.69	  	3	0.14	  	3	0.14	  	71	3.29	  	908	42.04	  	300	13.89	  	7	0.32	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	17	0.79	  	39	1.81	  	61	2.82	  	2	0.09	  	2160	96.77	  	72	3.23	  	2232	2.85
Drummoyne East		                             	7	0.71	  	8	0.82	  	0	0	  	1	0.1	  	1	0.1	  	0	0	  	0	0	  	220	22.43	  	0	0	  	1	0.1	  	37	3.77	  	536	54.64	  	112	11.42	  	2	0.2	  	1	0.1	  	2	0.2	  	0	0	  	0	0	  	0	0	  	9	0.92	  	23	2.34	  	20	2.04	  	1	0.1	  	981	96.08	  	40	3.92	  	1021	1.31
Drummoyne North		                            	17	0.73	  	20	0.86	  	6	0.26	  	1	0.04	  	1	0.04	  	1	0.04	  	2	0.09	  	682	29.42	  	1	0.04	  	3	0.13	  	100	4.31	  	1097	47.33	  	251	10.83	  	6	0.26	  	2	0.09	  	0	0	  	1	0.04	  	0	0	  	2	0.09	  	6	0.26	  	46	1.98	  	71	3.06	  	2	0.09	  	2318	97.15	  	68	2.85	  	2386	3.05
Enfield		                                    	12	0.65	  	5	0.27	  	3	0.16	  	0	0	  	2	0.11	  	4	0.22	  	2	0.11	  	841	45.53	  	2	0.11	  	1	0.05	  	111	6.01	  	573	31.02	  	109	5.9	  	4	0.22	  	1	0.05	  	15	0.81	  	0	0	  	0	0	  	0	0	  	2	0.11	  	27	1.46	  	133	7.2	  	0	0	  	1847	95.21	  	93	4.79	  	1940	2.48
Enfield South		                              	3	0.21	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.07	  	731	51.01	  	3	0.21	  	3	0.21	  	101	7.05	  	407	28.4	  	74	5.16	  	4	0.28	  	1	0.07	  	1	0.07	  	1	0.07	  	0	0	  	0	0	  	19	1.33	  	20	1.4	  	62	4.33	  	2	0.14	  	1433	94.03	  	91	5.97	  	1524	1.95
Enfield West		                               	20	1.49	  	0	0	  	1	0.07	  	3	0.22	  	2	0.15	  	0	0	  	0	0	  	576	42.83	  	1	0.07	  	1	0.07	  	120	8.92	  	412	30.63	  	83	6.17	  	2	0.15	  	3	0.22	  	0	0	  	0	0	  	0	0	  	0	0	  	7	0.52	  	25	1.86	  	89	6.62	  	0	0	  	1345	95.19	  	68	4.81	  	1413	1.81
Five Dock		                                  	28	1.55	  	16	0.88	  	2	0.11	  	0	0	  	0	0	  	3	0.17	  	4	0.22	  	865	47.74	  	5	0.28	  	2	0.11	  	91	5.02	  	519	28.64	  	114	6.29	  	4	0.22	  	7	0.39	  	2	0.11	  	1	0.06	  	2	0.11	  	1	0.06	  	23	1.27	  	46	2.54	  	77	4.25	  	0	0	  	1812	92.12	  	155	7.88	  	1967	2.51
Five Dock Central		                          	10	0.57	  	16	0.91	  	1	0.06	  	1	0.06	  	0	0	  	3	0.17	  	2	0.11	  	774	44.25	  	9	0.51	  	3	0.17	  	72	4.12	  	607	34.71	  	153	8.75	  	5	0.29	  	2	0.11	  	0	0	  	1	0.06	  	0	0	  	0	0	  	4	0.23	  	42	2.4	  	43	2.46	  	1	0.06	  	1749	95.37	  	85	4.63	  	1834	2.34
Flemington		                                 	9	0.87	  	1	0.1	  	0	0	  	0	0	  	2	0.19	  	3	0.29	  	1	0.1	  	505	48.65	  	1	0.1	  	0	0	  	57	5.49	  	208	20.04	  	39	3.76	  	0	0	  	4	0.39	  	0	0	  	0	0	  	0	0	  	0	0	  	13	1.25	  	10	0.96	  	183	17.63	  	2	0.19	  	1038	94.88	  	56	5.12	  	1094	1.4
Haberfield		                                 	21	1.47	  	31	2.16	  	0	0	  	1	0.07	  	2	0.14	  	2	0.14	  	0	0	  	659	45.99	  	4	0.28	  	0	0	  	53	3.7	  	437	30.5	  	107	7.47	  	4	0.28	  	1	0.07	  	0	0	  	1	0.07	  	0	0	  	0	0	  	12	0.84	  	42	2.93	  	54	3.77	  	2	0.14	  	1433	91.74	  	129	8.26	  	1562	2
Haberfield West		                            	12	1.3	  	17	1.84	  	0	0	  	0	0	  	1	0.11	  	0	0	  	2	0.22	  	380	41.04	  	1	0.11	  	1	0.11	  	38	4.1	  	324	34.99	  	101	10.91	  	1	0.11	  	2	0.22	  	0	0	  	1	0.11	  	0	0	  	1	0.11	  	6	0.65	  	14	1.51	  	24	2.59	  	0	0	  	926	94.01	  	59	5.99	  	985	1.26
Homebush		                                   	17	0.82	  	8	0.38	  	2	0.1	  	0	0	  	0	0	  	1	0.05	  	3	0.14	  	851	40.83	  	4	0.19	  	3	0.14	  	93	4.46	  	751	36.04	  	132	6.33	  	3	0.14	  	3	0.14	  	0	0	  	0	0	  	0	0	  	0	0	  	19	0.91	  	27	1.3	  	166	7.97	  	1	0.05	  	2084	96.08	  	85	3.92	  	2169	2.77
Homebush North		                             	5	1.15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	188	43.22	  	0	0	  	0	0	  	39	8.97	  	120	27.59	  	19	4.37	  	0	0	  	0	0	  	1	0.23	  	0	0	  	1	0.23	  	0	0	  	5	1.15	  	13	2.99	  	44	10.11	  	0	0	  	435	94.77	  	24	5.23	  	459	0.59
Homebush South		                             	2	0.35	  	3	0.52	  	1	0.17	  	0	0	  	0	0	  	0	0	  	2	0.35	  	131	22.66	  	0	0	  	0	0	  	29	5.02	  	306	52.94	  	49	8.48	  	5	0.87	  	1	0.17	  	0	0	  	0	0	  	0	0	  	0	0	  	5	0.87	  	5	0.87	  	37	6.4	  	2	0.35	  	578	98.13	  	11	1.87	  	589	0.75
Malvern Hill		                               	19	1.38	  	19	1.38	  	1	0.07	  	0	0	  	1	0.07	  	1	0.07	  	2	0.15	  	514	37.27	  	3	0.22	  	2	0.15	  	76	5.51	  	482	34.95	  	148	10.73	  	0	0	  	0	0	  	0	0	  	4	0.29	  	0	0	  	1	0.07	  	15	1.09	  	22	1.6	  	63	4.57	  	6	0.44	  	1379	96.16	  	55	3.84	  	1434	1.83
Mortlake		                                   	22	1.23	  	14	0.78	  	0	0	  	0	0	  	1	0.06	  	1	0.06	  	4	0.22	  	746	41.72	  	0	0	  	1	0.06	  	139	7.77	  	618	34.56	  	123	6.88	  	5	0.28	  	4	0.22	  	0	0	  	0	0	  	0	0	  	0	0	  	19	1.06	  	29	1.62	  	61	3.41	  	1	0.06	  	1788	96.44	  	66	3.56	  	1854	2.37
Rhodes		                                     	2	0.88	  	1	0.44	  	0	0	  	0	0	  	1	0.44	  	0	0	  	0	0	  	70	30.97	  	0	0	  	0	0	  	18	7.96	  	95	42.04	  	23	10.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.88	  	5	2.21	  	9	3.98	  	0	0	  	226	99.12	  	2	0.88	  	228	0.29
Russell Lea		                                	10	0.86	  	4	0.34	  	2	0.17	  	0	0	  	0	0	  	1	0.09	  	0	0	  	390	33.48	  	3	0.26	  	1	0.09	  	68	5.84	  	484	41.55	  	118	10.13	  	2	0.17	  	2	0.17	  	0	0	  	0	0	  	0	0	  	1	0.09	  	10	0.86	  	19	1.63	  	50	4.29	  	0	0	  	1165	94.33	  	70	5.67	  	1235	1.58
Strathfield		                                	7	0.41	  	8	0.47	  	2	0.12	  	1	0.06	  	0	0	  	0	0	  	1	0.06	  	517	30.39	  	3	0.18	  	0	0	  	90	5.29	  	727	42.74	  	103	6.06	  	5	0.29	  	4	0.24	  	0	0	  	0	0	  	0	0	  	0	0	  	24	1.41	  	30	1.76	  	178	10.46	  	1	0.06	  	1701	95.94	  	72	4.06	  	1773	2.27
Strathfield Central		                        	5	0.26	  	3	0.16	  	2	0.11	  	1	0.05	  	3	0.16	  	1	0.05	  	0	0	  	480	25.22	  	2	0.11	  	2	0.11	  	52	2.73	  	969	50.92	  	128	6.73	  	2	0.11	  	2	0.11	  	0	0	  	1	0.05	  	0	0	  	0	0	  	31	1.63	  	18	0.95	  	199	10.46	  	2	0.11	  	1903	96.6	  	67	3.4	  	1970	2.52
Strathfield North		                          	9	0.44	  	13	0.63	  	5	0.24	  	1	0.05	  	1	0.05	  	3	0.15	  	4	0.19	  	786	38.1	  	2	0.1	  	1	0.05	  	134	6.5	  	733	35.53	  	175	8.48	  	9	0.44	  	7	0.34	  	0	0	  	1	0.05	  	0	0	  	0	0	  	32	1.55	  	35	1.7	  	109	5.28	  	3	0.15	  	2063	96.13	  	83	3.87	  	2146	2.74
Strathfield South		                          	11	0.63	  	2	0.12	  	0	0	  	0	0	  	2	0.12	  	2	0.12	  	2	0.12	  	692	39.86	  	1	0.06	  	0	0	  	87	5.01	  	564	32.49	  	88	5.07	  	6	0.35	  	1	0.06	  	0	0	  	0	0	  	0	0	  	0	0	  	27	1.56	  	33	1.9	  	216	12.44	  	2	0.12	  	1736	95.33	  	85	4.67	  	1821	2.33
Strathfield West		                           	7	0.86	  	1	0.12	  	1	0.12	  	0	0	  	0	0	  	1	0.12	  	1	0.12	  	161	19.71	  	0	0	  	0	0	  	54	6.61	  	437	53.49	  	55	6.73	  	1	0.12	  	1	0.12	  	0	0	  	0	0	  	0	0	  	1	0.12	  	13	1.59	  	10	1.22	  	73	8.94	  	0	0	  	817	96.69	  	28	3.31	  	845	1.08
Sydney (Lowe)		                              	1	0.57	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	59	33.71	  	0	0	  	0	0	  	8	4.57	  	55	31.43	  	18	10.29	  	2	1.14	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.71	  	8	4.57	  	20	11.43	  	1	0.57	  	175	97.77	  	4	2.23	  	179	0.23
Wareemba		                                   	4	0.34	  	2	0.17	  	0	0	  	1	0.09	  	2	0.17	  	1	0.09	  	0	0	  	547	46.95	  	0	0	  	0	0	  	68	5.84	  	432	37.08	  	65	5.58	  	2	0.17	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	8	0.69	  	11	0.94	  	21	1.8	  	0	0	  	1165	92.46	  	95	7.54	  	1260	1.61
Wellbank		                                   	12	0.94	  	5	0.39	  	0	0	  	0	0	  	1	0.08	  	2	0.16	  	2	0.16	  	488	38.07	  	1	0.08	  	1	0.08	  	88	6.86	  	503	39.24	  	91	7.1	  	2	0.16	  	2	0.16	  	0	0	  	0	0	  	0	0	  	0	0	  	7	0.55	  	14	1.09	  	63	4.91	  	0	0	  	1282	95.46	  	61	4.54	  	1343	1.72
Special Hospitals		                          	0	0	  	0	0	  	1	0.42	  	0	0	  	0	0	  	0	0	  	1	0.42	  	110	46.03	  	0	0	  	1	0.42	  	4	1.67	  	103	43.1	  	5	2.09	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.26	  	0	0	  	11	4.6	  	0	0	  	239	95.6	  	11	4.4	  	250	0.32
Total Ordinary		                             	514	0.85	  	365	0.6	  	71	0.12	  	17	0.03	  	44	0.07	  	57	0.09	  	80	0.13	  	23825	39.38	  	85	0.14	  	44	0.07	  	3280	5.42	  	21588	35.68	  	4675	7.73	  	142	0.23	  	82	0.14	  	27	0.04	  	23	0.04	  	6	0.01	  	8	0.01	  	694	1.15	  	1037	1.71	  	3788	6.26	  	53	0.09	  	60505	95.31	  	2975	4.69	  	63480	81.16
ABSENT		                                     	26	0.47	  	26	0.47	  	13	0.24	  	2	0.04	  	8	0.15	  	11	0.2	  	5	0.09	  	2021	36.84	  	6	0.11	  	0	0	  	266	4.85	  	2056	37.48	  	600	10.94	  	16	0.29	  	12	0.22	  	2	0.04	  	3	0.05	  	0	0	  	2	0.04	  	73	1.33	  	187	3.41	  	140	2.55	  	11	0.2	  	5486	98.07	  	108	1.93	  	5594	7.15
POSTAL		                                     	9	0.24	  	26	0.7	  	5	0.13	  	1	0.03	  	1	0.03	  	4	0.11	  	5	0.13	  	1350	36.39	  	2	0.05	  	0	0	  	229	6.17	  	1483	39.97	  	298	8.03	  	5	0.13	  	14	0.38	  	1	0.03	  	0	0	  	0	0	  	2	0.05	  	78	2.1	  	53	1.43	  	138	3.72	  	6	0.16	  	3710	99.04	  	36	0.96	  	3746	4.79
PRE_POLL		                                   	11	0.25	  	19	0.43	  	9	0.2	  	2	0.05	  	2	0.05	  	1	0.02	  	8	0.18	  	1582	35.86	  	1	0.02	  	0	0	  	195	4.42	  	1740	39.45	  	369	8.37	  	9	0.2	  	4	0.09	  	0	0	  	3	0.07	  	0	0	  	0	0	  	74	1.68	  	104	2.36	  	271	6.14	  	7	0.16	  	4411	98.77	  	55	1.23	  	4466	5.71
PROVISIONAL		                                	12	1.35	  	2	0.22	  	0	0	  	0	0	  	3	0.34	  	3	0.34	  	3	0.34	  	409	45.9	  	6	0.67	  	0	0	  	34	3.82	  	259	29.07	  	49	5.5	  	3	0.34	  	1	0.11	  	0	0	  	1	0.11	  	1	0.11	  	0	0	  	5	0.56	  	28	3.14	  	69	7.74	  	3	0.34	  	891	95.6	  	41	4.4	  	932	1.19
Division Summary		                           	572	0.76	  	438	0.58	  	98	0.13	  	22	0.03	  	58	0.08	  	76	0.1	  	101	0.13	  	29187	38.91	  	100	0.13	  	44	0.06	  	4004	5.34	  	27126	36.17	  	5991	7.99	  	175	0.23	  	113	0.15	  	30	0.04	  	30	0.04	  	7	0.01	  	12	0.02	  	924	1.23	  	1409	1.88	  	4406	5.87	  	80	0.11	  	75003	95.89	  	3215	4.11	  	78218	95.49


Lyne (82215)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bonny Hills		                                	6	0.65	  	1	0.11	  	2	0.22	  	0	0	  	1	0.11	  	0	0	  	0	0	  	370	39.78	  	0	0	  	0	0	  	84	9.03	  	349	37.53	  	64	6.88	  	0	0	  	2	0.22	  	0	0	  	0	0	  	0	0	  	0	0	  	23	2.47	  	23	2.47	  	5	0.54	  	0	0	  	930	97.08	  	28	2.92	  	958	1.21
Burrell Creek		                              	0	0	  	0	0	  	0	0	  	1	0.51	  	0	0	  	0	0	  	0	0	  	37	18.97	  	1	0.51	  	0	0	  	29	14.87	  	105	53.85	  	12	6.15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	4.1	  	1	0.51	  	1	0.51	  	0	0	  	195	97.01	  	6	2.99	  	201	0.25
Byabarra		                                   	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	24	26.37	  	0	0	  	0	0	  	13	14.29	  	36	39.56	  	10	10.99	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	6.59	  	1	1.1	  	1	1.1	  	0	0	  	91	95.79	  	4	4.21	  	95	0.12
Chatham		                                    	11	0.63	  	1	0.06	  	3	0.17	  	0	0	  	2	0.11	  	0	0	  	0	0	  	583	33.13	  	5	0.28	  	3	0.17	  	261	14.83	  	760	43.18	  	66	3.75	  	5	0.28	  	1	0.06	  	0	0	  	0	0	  	0	0	  	1	0.06	  	38	2.16	  	15	0.85	  	5	0.28	  	0	0	  	1760	96.12	  	71	3.88	  	1831	2.31
Comboyne		                                   	5	1.73	  	0	0	  	1	0.35	  	0	0	  	0	0	  	1	0.35	  	0	0	  	27	9.34	  	1	0.35	  	1	0.35	  	40	13.84	  	189	65.4	  	16	5.54	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.35	  	7	2.42	  	0	0	  	0	0	  	289	95.7	  	13	4.3	  	302	0.38
Coopernook		                                 	2	0.61	  	0	0	  	0	0	  	1	0.3	  	0	0	  	0	0	  	0	0	  	112	33.94	  	2	0.61	  	0	0	  	57	17.27	  	131	39.7	  	16	4.85	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.12	  	0	0	  	1	0.3	  	1	0.3	  	330	96.49	  	12	3.51	  	342	0.43
Crowdy Head		                                	0	0	  	0	0	  	1	0.91	  	0	0	  	0	0	  	0	0	  	0	0	  	39	35.45	  	0	0	  	0	0	  	26	23.64	  	39	35.45	  	4	3.64	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.91	  	0	0	  	0	0	  	110	96.49	  	4	3.51	  	114	0.14
Cundletown		                                 	8	0.61	  	1	0.08	  	1	0.08	  	0	0	  	5	0.38	  	3	0.23	  	0	0	  	339	25.88	  	4	0.31	  	1	0.08	  	221	16.87	  	597	45.57	  	70	5.34	  	0	0	  	1	0.08	  	0	0	  	0	0	  	0	0	  	0	0	  	35	2.67	  	17	1.3	  	6	0.46	  	1	0.08	  	1310	96.61	  	46	3.39	  	1356	1.71
Diamond Beach		                              	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	89	25.72	  	0	0	  	0	0	  	32	9.25	  	169	48.84	  	35	10.12	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	9	2.6	  	10	2.89	  	1	0.29	  	1	0.29	  	346	95.84	  	15	4.16	  	361	0.46
Dunbogan		                                   	5	0.91	  	0	0	  	0	0	  	0	0	  	2	0.36	  	1	0.18	  	2	0.36	  	206	37.59	  	1	0.18	  	0	0	  	59	10.77	  	225	41.06	  	37	6.75	  	1	0.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.55	  	5	0.91	  	1	0.18	  	0	0	  	548	94.81	  	30	5.19	  	578	0.73
Dyers Crossing		                             	2	0.69	  	0	0	  	1	0.34	  	0	0	  	0	0	  	1	0.34	  	1	0.34	  	35	12.03	  	0	0	  	0	0	  	45	15.46	  	166	57.04	  	22	7.56	  	0	0	  	2	0.69	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.41	  	9	3.09	  	0	0	  	0	0	  	291	97.32	  	8	2.68	  	299	0.38
Elands		                                     	0	0	  	0	0	  	1	0.99	  	0	0	  	0	0	  	1	0.99	  	0	0	  	30	29.7	  	0	0	  	0	0	  	10	9.9	  	21	20.79	  	21	20.79	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.99	  	13	12.87	  	3	2.97	  	0	0	  	101	96.19	  	4	3.81	  	105	0.13
Failford		                                   	4	1.69	  	0	0	  	1	0.42	  	0	0	  	0	0	  	0	0	  	0	0	  	53	22.36	  	1	0.42	  	0	0	  	42	17.72	  	120	50.63	  	13	5.49	  	1	0.42	  	1	0.42	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.42	  	0	0	  	0	0	  	237	96.34	  	9	3.66	  	246	0.31
Forster		                                    	21	1.43	  	0	0	  	1	0.07	  	1	0.07	  	2	0.14	  	1	0.07	  	0	0	  	555	37.78	  	2	0.14	  	0	0	  	177	12.05	  	600	40.84	  	68	4.63	  	3	0.2	  	6	0.41	  	0	0	  	0	0	  	0	0	  	0	0	  	9	0.61	  	18	1.23	  	5	0.34	  	0	0	  	1469	96.58	  	52	3.42	  	1521	1.92
Forster East		                               	15	0.83	  	0	0	  	1	0.06	  	0	0	  	2	0.11	  	2	0.11	  	1	0.06	  	515	28.34	  	3	0.17	  	0	0	  	223	12.27	  	891	49.04	  	101	5.56	  	4	0.22	  	1	0.06	  	0	0	  	0	0	  	0	0	  	0	0	  	23	1.27	  	33	1.82	  	1	0.06	  	1	0.06	  	1817	95.99	  	76	4.01	  	1893	2.39
Forster Keys		                               	4	0.27	  	2	0.14	  	4	0.27	  	0	0	  	0	0	  	5	0.34	  	0	0	  	450	30.38	  	1	0.07	  	1	0.07	  	172	11.61	  	743	50.17	  	58	3.92	  	4	0.27	  	3	0.2	  	0	0	  	1	0.07	  	0	0	  	0	0	  	15	1.01	  	16	1.08	  	2	0.14	  	0	0	  	1481	96.54	  	53	3.46	  	1534	1.94
Forster South		                              	6	0.35	  	0	0	  	2	0.12	  	0	0	  	0	0	  	5	0.29	  	1	0.06	  	634	36.69	  	1	0.06	  	0	0	  	216	12.5	  	736	42.59	  	77	4.46	  	1	0.06	  	2	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	24	1.39	  	23	1.33	  	0	0	  	0	0	  	1728	96.37	  	65	3.63	  	1793	2.26
Ghinni Ghinni		                              	1	0.87	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	18	15.65	  	0	0	  	0	0	  	29	25.22	  	52	45.22	  	7	6.09	  	1	0.87	  	1	0.87	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2.61	  	3	2.61	  	0	0	  	0	0	  	115	97.46	  	3	2.54	  	118	0.15
Green Point Wallis Lake		                    	0	0	  	0	0	  	1	0.43	  	0	0	  	0	0	  	1	0.43	  	0	0	  	83	35.62	  	0	0	  	0	0	  	25	10.73	  	89	38.2	  	20	8.58	  	1	0.43	  	1	0.43	  	0	0	  	0	0	  	0	0	  	0	0	  	6	2.58	  	4	1.72	  	2	0.86	  	0	0	  	233	98.31	  	4	1.69	  	237	0.3
Hallidays Point		                            	2	0.33	  	0	0	  	1	0.16	  	0	0	  	0	0	  	0	0	  	0	0	  	207	33.71	  	1	0.16	  	0	0	  	69	11.24	  	276	44.95	  	36	5.86	  	2	0.33	  	2	0.33	  	0	0	  	0	0	  	0	0	  	0	0	  	6	0.98	  	10	1.63	  	2	0.33	  	0	0	  	614	95.94	  	26	4.06	  	640	0.81
Hannam Vale		                                	2	1.26	  	0	0	  	1	0.63	  	0	0	  	0	0	  	0	0	  	0	0	  	50	31.45	  	0	0	  	0	0	  	16	10.06	  	67	42.14	  	11	6.92	  	0	0	  	1	0.63	  	0	0	  	0	0	  	0	0	  	0	0	  	6	3.77	  	4	2.52	  	1	0.63	  	0	0	  	159	96.36	  	6	3.64	  	165	0.21
Harrington		                                 	7	0.7	  	1	0.1	  	1	0.1	  	0	0	  	1	0.1	  	5	0.5	  	1	0.1	  	370	36.78	  	0	0	  	0	0	  	208	20.68	  	364	36.18	  	31	3.08	  	2	0.2	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	0.4	  	9	0.89	  	2	0.2	  	0	0	  	1006	94.46	  	59	5.54	  	1065	1.35
Herons Creek		                               	1	0.68	  	0	0	  	2	1.36	  	0	0	  	0	0	  	0	0	  	0	0	  	49	33.33	  	0	0	  	0	0	  	18	12.24	  	47	31.97	  	13	8.84	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	2.72	  	11	7.48	  	2	1.36	  	0	0	  	147	95.45	  	7	4.55	  	154	0.19
Hibbard		                                    	5	0.42	  	1	0.08	  	1	0.08	  	0	0	  	2	0.17	  	2	0.17	  	0	0	  	388	32.5	  	1	0.08	  	0	0	  	168	14.07	  	547	45.81	  	48	4.02	  	2	0.17	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.08	  	8	0.67	  	13	1.09	  	6	0.5	  	1	0.08	  	1194	94.76	  	66	5.24	  	1260	1.59
