Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Penshurst Central		                          	24	1.05	  	7	0.31	  	2	0.09	  	0	0	  	2	0.09	  	4	0.18	  	5	0.22	  	1077	47.13	  	1	0.04	  	3	0.13	  	189	8.27	  	617	27	  	147	6.43	  	3	0.13	  	3	0.13	  	0	0	  	0	0	  	0	0	  	1	0.04	  	33	1.44	  	21	0.92	  	144	6.3	  	2	0.09	  	2285	96.66	  	79	3.34	  	2364	3.09
Picnic Point North		                         	12	0.61	  	0	0	  	2	0.1	  	0	0	  	0	0	  	1	0.05	  	8	0.41	  	659	33.74	  	1	0.05	  	1	0.05	  	248	12.7	  	760	38.91	  	162	8.29	  	6	0.31	  	5	0.26	  	1	0.05	  	1	0.05	  	0	0	  	0	0	  	44	2.25	  	30	1.54	  	10	0.51	  	2	0.1	  	1953	97.6	  	48	2.4	  	2001	2.62
Punchbowl (Banks)		                          	32	1.43	  	4	0.18	  	4	0.18	  	0	0	  	1	0.04	  	2	0.09	  	2	0.09	  	1539	68.67	  	4	0.18	  	0	0	  	134	5.98	  	335	14.95	  	55	2.45	  	5	0.22	  	2	0.09	  	1	0.04	  	4	0.18	  	2	0.09	  	1	0.04	  	15	0.67	  	19	0.85	  	80	3.57	  	0	0	  	2241	93.53	  	155	6.47	  	2396	3.14
Revesby		                                    	24	1.49	  	0	0	  	1	0.06	  	1	0.06	  	1	0.06	  	4	0.25	  	0	0	  	872	54.03	  	1	0.06	  	2	0.12	  	205	12.7	  	324	20.07	  	79	4.89	  	4	0.25	  	7	0.43	  	2	0.12	  	0	0	  	0	0	  	0	0	  	15	0.93	  	15	0.93	  	57	3.53	  	0	0	  	1614	94.94	  	86	5.06	  	1700	2.22
Revesby North		                              	30	1.06	  	2	0.07	  	2	0.07	  	0	0	  	1	0.04	  	1	0.04	  	4	0.14	  	1418	49.88	  	0	0	  	0	0	  	343	12.06	  	732	25.75	  	146	5.14	  	4	0.14	  	6	0.21	  	1	0.04	  	0	0	  	1	0.04	  	1	0.04	  	45	1.58	  	35	1.23	  	71	2.5	  	0	0	  	2843	95.5	  	134	4.5	  	2977	3.9
Revesby South		                              	21	0.92	  	1	0.04	  	3	0.13	  	0	0	  	3	0.13	  	8	0.35	  	3	0.13	  	964	42.28	  	3	0.13	  	1	0.04	  	296	12.98	  	722	31.67	  	138	6.05	  	2	0.09	  	11	0.48	  	1	0.04	  	2	0.09	  	0	0	  	0	0	  	42	1.84	  	37	1.62	  	21	0.92	  	1	0.04	  	2280	96.37	  	86	3.63	  	2366	3.1
Riverwood North		                            	21	1.48	  	1	0.07	  	3	0.21	  	0	0	  	0	0	  	1	0.07	  	0	0	  	900	63.51	  	2	0.14	  	2	0.14	  	116	8.19	  	231	16.3	  	36	2.54	  	3	0.21	  	3	0.21	  	0	0	  	0	0	  	0	0	  	1	0.07	  	24	1.69	  	8	0.56	  	65	4.59	  	0	0	  	1417	92.37	  	117	7.63	  	1534	2.01
Riverwood South		                            	24	1.76	  	1	0.07	  	4	0.29	  	0	0	  	0	0	  	3	0.22	  	0	0	  	620	45.55	  	3	0.22	  	0	0	  	157	11.54	  	387	28.43	  	82	6.02	  	4	0.29	  	1	0.07	  	0	0	  	1	0.07	  	0	0	  	0	0	  	11	0.81	  	10	0.73	  	53	3.89	  	0	0	  	1361	94.78	  	75	5.22	  	1436	1.88
Sydney (Banks)		                             	1	1.05	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	43	45.26	  	0	0	  	0	0	  	6	6.32	  	26	27.37	  	7	7.37	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.11	  	10	10.53	  	0	0	  	95	97.94	  	2	2.06	  	97	0.13
Special Hospitals		                          	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	55	44	  	0	0	  	0	0	  	2	1.6	  	63	50.4	  	1	0.8	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2.4	  	1	0.8	  	0	0	  	0	0	  	125	99.21	  	1	0.79	  	126	0.16
Total Ordinary		                             	524	0.89	  	53	0.09	  	80	0.14	  	9	0.02	  	33	0.06	  	85	0.14	  	112	0.19	  	25387	42.88	  	57	0.1	  	34	0.06	  	6713	11.34	  	18561	31.35	  	3899	6.59	  	91	0.15	  	146	0.25	  	14	0.02	  	19	0.03	  	10	0.02	  	9	0.02	  	996	1.68	  	700	1.18	  	1643	2.77	  	33	0.06	  	59208	96	  	2468	4	  	61676	80.7
ABSENT		                                     	37	0.59	  	5	0.08	  	11	0.18	  	2	0.03	  	5	0.08	  	6	0.1	  	16	0.26	  	2401	38.4	  	4	0.06	  	0	0	  	678	10.84	  	2183	34.91	  	479	7.66	  	10	0.16	  	31	0.5	  	1	0.02	  	8	0.13	  	0	0	  	0	0	  	137	2.19	  	142	2.27	  	92	1.47	  	5	0.08	  	6253	97.69	  	148	2.31	  	6401	8.38
POSTAL		                                     	13	0.5	  	3	0.11	  	3	0.11	  	1	0.04	  	0	0	  	2	0.08	  	3	0.11	  	1073	41.1	  	0	0	  	0	0	  	295	11.3	  	939	35.96	  	133	5.09	  	7	0.27	  	16	0.61	  	0	0	  	0	0	  	0	0	  	1	0.04	  	61	2.34	  	28	1.07	  	33	1.26	  	0	0	  	2611	98.98	  	27	1.02	  	2638	3.45
PRE_POLL		                                   	50	0.98	  	6	0.12	  	9	0.18	  	0	0	  	5	0.1	  	7	0.14	  	10	0.2	  	1956	38.17	  	6	0.12	  	3	0.06	  	601	11.73	  	1796	35.04	  	298	5.81	  	6	0.12	  	21	0.41	  	1	0.02	  	3	0.06	  	0	0	  	2	0.04	  	146	2.85	  	94	1.83	  	98	1.91	  	7	0.14	  	5125	98.43	  	82	1.57	  	5207	6.81
PROVISIONAL		                                	8	1.65	  	0	0	  	1	0.21	  	0	0	  	0	0	  	3	0.62	  	3	0.62	  	240	49.59	  	1	0.21	  	0	0	  	63	13.02	  	107	22.11	  	10	2.07	  	0	0	  	2	0.41	  	0	0	  	0	0	  	0	0	  	0	0	  	8	1.65	  	11	2.27	  	27	5.58	  	0	0	  	484	96.03	  	20	3.97	  	504	0.66
Division Summary		                           	632	0.86	  	67	0.09	  	104	0.14	  	12	0.02	  	43	0.06	  	103	0.14	  	144	0.2	  	31057	42.15	  	68	0.09	  	37	0.05	  	8350	11.33	  	23586	32.01	  	4819	6.54	  	114	0.15	  	216	0.29	  	16	0.02	  	30	0.04	  	10	0.01	  	12	0.02	  	1348	1.83	  	975	1.32	  	1893	2.57	  	45	0.06	  	73681	96.41	  	2745	3.59	  	76426	95.4


Barton (83151)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allawah		                                    	9	0.61	  	0	0	  	0	0	  	0	0	  	1	0.07	  	1	0.07	  	0	0	  	627	42.83	  	1	0.07	  	0	0	  	109	7.45	  	393	26.84	  	86	5.87	  	3	0.2	  	1	0.07	  	0	0	  	2	0.14	  	0	0	  	0	0	  	20	1.37	  	19	1.3	  	191	13.05	  	1	0.07	  	1464	95.94	  	62	4.06	  	1526	1.93
Allawah South		                              	12	1.48	  	1	0.12	  	1	0.12	  	1	0.12	  	1	0.12	  	1	0.12	  	1	0.12	  	363	44.7	  	1	0.12	  	0	0	  	55	6.77	  	263	32.39	  	46	5.67	  	0	0	  	2	0.25	  	0	0	  	0	0	  	1	0.12	  	0	0	  	13	1.6	  	10	1.23	  	40	4.93	  	0	0	  	812	94.53	  	47	5.47	  	859	1.09
