Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Wiluna		                                     	16	11.27	  	3	2.11	  	0	0	  	0	0	  	22	15.49	  	0	0	  	2	1.41	  	0	0	  	1	0.7	  	88	61.97	  	0	0	  	0	0	  	2	1.41	  	5	3.52	  	0	0	  	1	0.7	  	1	0.7	  	1	0.7	  	142	97.26	  	4	2.74	  	146	0.2
Wyndham		                                    	43	12.54	  	1	0.29	  	4	1.17	  	1	0.29	  	57	16.62	  	0	0	  	0	0	  	2	0.58	  	0	0	  	211	61.52	  	0	0	  	0	0	  	8	2.33	  	9	2.62	  	0	0	  	7	2.04	  	0	0	  	0	0	  	343	97.72	  	8	2.28	  	351	0.49
Yalgoo		                                     	3	5.88	  	0	0	  	2	3.92	  	1	1.96	  	17	33.33	  	0	0	  	1	1.96	  	0	0	  	0	0	  	25	49.02	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	3.92	  	0	0	  	0	0	  	51	100	  	0	0	  	51	0.07
Yandeyarra		                                 	1	3.85	  	0	0	  	0	0	  	0	0	  	2	7.69	  	0	0	  	0	0	  	2	7.69	  	1	3.85	  	19	73.08	  	0	0	  	0	0	  	1	3.85	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	26	100	  	0	0	  	26	0.04
Yuna		                                       	6	8	  	0	0	  	7	9.33	  	0	0	  	57	76	  	0	0	  	0	0	  	0	0	  	0	0	  	5	6.67	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	75	100	  	0	0	  	75	0.1
Special Hospitals		                          	4	2.04	  	1	0.51	  	9	4.59	  	0	0	  	53	27.04	  	1	0.51	  	0	0	  	2	1.02	  	1	0.51	  	102	52.04	  	2	1.02	  	1	0.51	  	2	1.02	  	17	8.67	  	0	0	  	1	0.51	  	0	0	  	0	0	  	196	96.08	  	8	3.92	  	204	0.28
Remote Mobiles		                             	26	1.11	  	8	0.34	  	17	0.72	  	5	0.21	  	109	4.65	  	4	0.17	  	4	0.17	  	8	0.34	  	16	0.68	  	2062	87.89	  	2	0.09	  	17	0.72	  	24	1.02	  	22	0.94	  	0	0	  	21	0.9	  	1	0.04	  	0	0	  	2346	97.55	  	59	2.45	  	2405	3.33
Prison Mobiles		                             	3	3.23	  	2	2.15	  	0	0	  	0	0	  	5	5.38	  	0	0	  	0	0	  	1	1.08	  	1	1.08	  	74	79.57	  	0	0	  	0	0	  	2	2.15	  	5	5.38	  	0	0	  	0	0	  	0	0	  	0	0	  	93	97.89	  	2	2.11	  	95	0.13
Total Ordinary		                             	6748	11.99	  	430	0.76	  	1808	3.21	  	122	0.22	  	18936	33.65	  	45	0.08	  	101	0.18	  	188	0.33	  	131	0.23	  	20553	36.52	  	181	0.32	  	332	0.59	  	2261	4.02	  	2292	4.07	  	15	0.03	  	2046	3.64	  	78	0.14	  	8	0.01	  	56275	97.53	  	1427	2.47	  	57702	79.96
ABSENT		                                     	889	12.7	  	52	0.74	  	214	3.06	  	13	0.19	  	2723	38.89	  	5	0.07	  	11	0.16	  	27	0.39	  	11	0.16	  	2166	30.93	  	28	0.4	  	77	1.1	  	374	5.34	  	28	0.4	  	1	0.01	  	372	5.31	  	9	0.13	  	2	0.03	  	7002	98.58	  	101	1.42	  	7103	9.84
POSTAL		                                     	495	18.7	  	41	1.55	  	192	7.25	  	4	0.15	  	1151	43.48	  	1	0.04	  	3	0.11	  	12	0.45	  	3	0.11	  	447	16.89	  	5	0.19	  	28	1.06	  	100	3.78	  	38	1.44	  	2	0.08	  	118	4.46	  	7	0.26	  	0	0	  	2647	99.36	  	17	0.64	  	2664	3.69
PRE_POLL		                                   	469	12.18	  	47	1.22	  	124	3.22	  	8	0.21	  	1469	38.14	  	2	0.05	  	5	0.13	  	15	0.39	  	8	0.21	  	1229	31.91	  	8	0.21	  	42	1.09	  	169	4.39	  	38	0.99	  	0	0	  	210	5.45	  	9	0.23	  	0	0	  	3852	98.69	  	51	1.31	  	3903	5.41
PROVISIONAL		                                	134	17.52	  	4	0.52	  	16	2.09	  	2	0.26	  	225	29.41	  	0	0	  	2	0.26	  	3	0.39	  	1	0.13	  	291	38.04	  	2	0.26	  	4	0.52	  	34	4.44	  	22	2.88	  	0	0	  	23	3.01	  	2	0.26	  	0	0	  	765	97.08	  	23	2.92	  	788	1.09
Division Summary		                           	8735	12.38	  	574	0.81	  	2354	3.34	  	149	0.21	  	24504	34.74	  	53	0.08	  	122	0.17	  	245	0.35	  	154	0.22	  	24686	35	  	224	0.32	  	483	0.68	  	2938	4.16	  	2418	3.43	  	18	0.03	  	2769	3.93	  	105	0.15	  	10	0.01	  	70541	97.76	  	1619	2.24	  	72160	87.51


Moore (77573)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beldon		                                     	224	10.39	  	10	0.46	  	5	0.23	  	1	0.05	  	679	31.49	  	0	0	  	2	0.09	  	2	0.09	  	1	0.05	  	908	42.12	  	13	0.6	  	14	0.65	  	121	5.61	  	1	0.05	  	5	0.23	  	166	7.7	  	3	0.14	  	1	0.05	  	2156	97.16	  	63	2.84	  	2219	2.98
Broome (Moore)		                             	6	11.32	  	0	0	  	0	0	  	0	0	  	26	49.06	  	0	0	  	0	0	  	0	0	  	0	0	  	13	24.53	  	0	0	  	0	0	  	4	7.55	  	1	1.89	  	0	0	  	3	5.66	  	0	0	  	0	0	  	53	98.15	  	1	1.85	  	54	0.07
Burns Beach		                                	33	10.54	  	0	0	  	0	0	  	0	0	  	113	36.1	  	0	0	  	0	0	  	0	0	  	1	0.32	  	120	38.34	  	1	0.32	  	1	0.32	  	22	7.03	  	0	0	  	0	0	  	20	6.39	  	1	0.32	  	1	0.32	  	313	96.9	  	10	3.1	  	323	0.43
Carnarvon (Moore)		                          	3	13.64	  	0	0	  	0	0	  	0	0	  	8	36.36	  	0	0	  	0	0	  	0	0	  	5	22.73	  	0	0	  	0	0	  	1	4.55	  	4	18.18	  	0	0	  	0	0	  	1	4.55	  	0	0	  	0	0	  	22	100	  	0	0	  	22	0.03
Clarkson		                                   	219	9.53	  	11	0.48	  	7	0.3	  	5	0.22	  	698	30.36	  	1	0.04	  	3	0.13	  	3	0.13	  	2	0.09	  	1039	45.19	  	14	0.61	  	21	0.91	  	124	5.39	  	6	0.26	  	4	0.17	  	138	6	  	2	0.09	  	2	0.09	  	2299	97.87	  	50	2.13	  	2349	3.15
Connolly		                                   	132	6.6	  	3	0.15	  	6	0.3	  	1	0.05	  	979	48.97	  	1	0.05	  	2	0.1	  	3	0.15	  	4	0.2	  	583	29.16	  	6	0.3	  	20	1	  	90	4.5	  	4	0.2	  	1	0.05	  	161	8.05	  	2	0.1	  	1	0.05	  	1999	98.52	  	30	1.48	  	2029	2.72
Craigie		                                    	367	10.67	  	12	0.35	  	8	0.23	  	5	0.15	  	1002	29.14	  	5	0.15	  	9	0.26	  	5	0.15	  	8	0.23	  	1549	45.06	  	17	0.49	  	27	0.79	  	209	6.08	  	7	0.2	  	6	0.17	  	195	5.67	  	6	0.17	  	1	0.03	  	3438	98.06	  	68	1.94	  	3506	4.71
Currambine		                                 	107	7.83	  	2	0.15	  	3	0.22	  	1	0.07	  	571	41.77	  	1	0.07	  	3	0.22	  	0	0	  	1	0.07	  	489	35.77	  	12	0.88	  	5	0.37	  	69	5.05	  	1	0.07	  	2	0.15	  	95	6.95	  	3	0.22	  	2	0.15	  	1367	98.63	  	19	1.37	  	1386	1.86
Duncraig		                                   	212	7.16	  	15	0.51	  	9	0.3	  	4	0.14	  	1351	45.63	  	1	0.03	  	9	0.3	  	0	0	  	1	0.03	  	860	29.04	  	27	0.91	  	21	0.71	  	196	6.62	  	5	0.17	  	9	0.3	  	237	8	  	3	0.1	  	1	0.03	  	2961	97.92	  	63	2.08	  	3024	4.06
Duncraig East (Moore)		                      	75	4.29	  	2	0.11	  	4	0.23	  	2	0.11	  	1063	60.85	  	0	0	  	1	0.06	  	1	0.06	  	2	0.11	  	339	19.4	  	11	0.63	  	11	0.63	  	57	3.26	  	6	0.34	  	3	0.17	  	168	9.62	  	2	0.11	  	0	0	  	1747	98.2	  	32	1.8	  	1779	2.39
Duncraig North		                             	157	6.64	  	4	0.17	  	5	0.21	  	7	0.3	  	1202	50.87	  	0	0	  	2	0.08	  	5	0.21	  	0	0	  	543	22.98	  	12	0.51	  	10	0.42	  	127	5.37	  	12	0.51	  	5	0.21	  	267	11.3	  	2	0.08	  	3	0.13	  	2363	98.46	  	37	1.54	  	2400	3.22
Duncraig South		                             	104	5.28	  	3	0.15	  	11	0.56	  	5	0.25	  	1146	58.23	  	0	0	  	0	0	  	1	0.05	  	1	0.05	  	394	20.02	  	2	0.1	  	10	0.51	  	96	4.88	  	5	0.25	  	2	0.1	  	182	9.25	  	5	0.25	  	1	0.05	  	1968	98.55	  	29	1.45	  	1997	2.68
Edgewater		                                  	225	8.96	  	5	0.2	  	8	0.32	  	5	0.2	  	991	39.45	  	2	0.08	  	3	0.12	  	6	0.24	  	3	0.12	  	801	31.89	  	16	0.64	  	12	0.48	  	176	7.01	  	2	0.08	  	3	0.12	  	249	9.91	  	3	0.12	  	2	0.08	  	2512	98.05	  	50	1.95	  	2562	3.44
Exmouth (Moore)		                            	11	14.67	  	2	2.67	  	0	0	  	0	0	  	22	29.33	  	0	0	  	0	0	  	0	0	  	1	1.33	  	32	42.67	  	1	1.33	  	0	0	  	3	4	  	0	0	  	0	0	  	3	4	  	0	0	  	0	0	  	75	97.4	  	2	2.6	  	77	0.1
Heathridge		                                 	269	11.47	  	6	0.26	  	8	0.34	  	6	0.26	  	715	30.49	  	0	0	  	3	0.13	  	5	0.21	  	2	0.09	  	940	40.09	  	15	0.64	  	22	0.94	  	162	6.91	  	3	0.13	  	5	0.21	  	179	7.63	  	3	0.13	  	2	0.09	  	2345	97.55	  	59	2.45	  	2404	3.23
Heathridge East		                            	153	11.33	  	5	0.37	  	3	0.22	  	0	0	  	368	27.26	  	2	0.15	  	3	0.22	  	1	0.07	  	1	0.07	  	618	45.78	  	9	0.67	  	16	1.19	  	77	5.7	  	3	0.22	  	1	0.07	  	87	6.44	  	3	0.22	  	0	0	  	1350	97.19	  	39	2.81	  	1389	1.86
Hillarys		                                   	250	7.7	  	4	0.12	  	5	0.15	  	4	0.12	  	1464	45.07	  	1	0.03	  	3	0.09	  	4	0.12	  	6	0.18	  	987	30.39	  	17	0.52	  	17	0.52	  	170	5.23	  	2	0.06	  	6	0.18	  	305	9.39	  	1	0.03	  	2	0.06	  	3248	98.13	  	62	1.87	  	3310	4.44
Hillarys North		                             	46	5.34	  	2	0.23	  	1	0.12	  	2	0.23	  	514	59.7	  	0	0	  	6	0.7	  	1	0.12	  	0	0	  	174	20.21	  	3	0.35	  	6	0.7	  	24	2.79	  	6	0.7	  	3	0.35	  	73	8.48	  	0	0	  	0	0	  	861	99.08	  	8	0.92	  	869	1.17
Joondalup		                                  	258	9.13	  	6	0.21	  	6	0.21	  	5	0.18	  	1095	38.73	  	1	0.04	  	3	0.11	  	4	0.14	  	2	0.07	  	1051	37.18	  	14	0.5	  	15	0.53	  	149	5.27	  	4	0.14	  	0	0	  	213	7.53	  	1	0.04	  	0	0	  	2827	98.95	  	30	1.05	  	2857	3.84
Kalbarri (Moore)		                           	7	9.33	  	0	0	  	0	0	  	0	0	  	33	44	  	0	0	  	0	0	  	0	0	  	0	0	  	18	24	  	0	0	  	0	0	  	6	8	  	0	0	  	0	0	  	11	14.67	  	0	0	  	0	0	  	75	96.15	  	3	3.85	  	78	0.1
Kallaroo		                                   	272	8.92	  	8	0.26	  	8	0.26	  	4	0.13	  	1442	47.28	  	1	0.03	  	2	0.07	  	1	0.03	  	2	0.07	  	801	26.26	  	12	0.39	  	22	0.72	  	192	6.3	  	8	0.26	  	2	0.07	  	270	8.85	  	2	0.07	  	1	0.03	  	3050	98.48	  	47	1.52	  	3097	4.16
Kinross		                                    	191	9.38	  	1	0.05	  	5	0.25	  	2	0.1	  	791	38.85	  	0	0	  	6	0.29	  	1	0.05	  	1	0.05	  	775	38.06	  	9	0.44	  	10	0.49	  	78	3.83	  	5	0.25	  	2	0.1	  	156	7.66	  	2	0.1	  	1	0.05	  	2036	98.5	  	31	1.5	  	2067	2.77
Merriwa		                                    	231	11.42	  	7	0.35	  	3	0.15	  	4	0.2	  	727	35.94	  	2	0.1	  	1	0.05	  	4	0.2	  	4	0.2	  	788	38.95	  	7	0.35	  	7	0.35	  	100	4.94	  	5	0.25	  	1	0.05	  	130	6.43	  	2	0.1	  	0	0	  	2023	97.12	  	60	2.88	  	2083	2.8
Mindarie		                                   	89	11.91	  	4	0.54	  	1	0.13	  	4	0.54	  	336	44.98	  	0	0	  	3	0.4	  	1	0.13	  	0	0	  	228	30.52	  	5	0.67	  	4	0.54	  	30	4.02	  	3	0.4	  	1	0.13	  	37	4.95	  	1	0.13	  	0	0	  	747	98.68	  	10	1.32	  	757	1.02
Mullaloo		                                   	252	8.79	  	8	0.28	  	11	0.38	  	9	0.31	  	1131	39.45	  	1	0.03	  	1	0.03	  	7	0.24	  	1	0.03	  	970	33.83	  	19	0.66	  	18	0.63	  	228	7.95	  	8	0.28	  	4	0.14	  	199	6.94	  	0	0	  	0	0	  	2867	97.98	  	59	2.02	  	2926	3.93
Neerabup		                                   	23	9.54	  	1	0.41	  	2	0.83	  	0	0	  	75	31.12	  	0	0	  	0	0	  	1	0.41	  	0	0	  	104	43.15	  	1	0.41	  	4	1.66	  	14	5.81	  	0	0	  	0	0	  	16	6.64	  	0	0	  	0	0	  	241	97.57	  	6	2.43	  	247	0.33
Ocean Reef		                                 	269	8.93	  	4	0.13	  	6	0.2	  	6	0.2	  	1301	43.17	  	0	0	  	5	0.17	  	6	0.2	  	0	0	  	1002	33.24	  	13	0.43	  	20	0.66	  	190	6.3	  	4	0.13	  	9	0.3	  	173	5.74	  	5	0.17	  	1	0.03	  	3014	97.6	  	74	2.4	  	3088	4.15
Ocean Reef North		                           	150	7.73	  	1	0.05	  	5	0.26	  	2	0.1	  	886	45.65	  	1	0.05	  	3	0.15	  	1	0.05	  	1	0.05	  	619	31.89	  	16	0.82	  	13	0.67	  	81	4.17	  	2	0.1	  	2	0.1	  	156	8.04	  	2	0.1	  	0	0	  	1941	98.18	  	36	1.82	  	1977	2.65
Padbury		                                    	281	10.06	  	14	0.5	  	11	0.39	  	11	0.39	  	857	30.68	  	0	0	  	6	0.21	  	4	0.14	  	3	0.11	  	1112	39.81	  	21	0.75	  	20	0.72	  	196	7.02	  	6	0.21	  	5	0.18	  	241	8.63	  	4	0.14	  	1	0.04	  	2793	97.97	  	58	2.03	  	2851	3.83
Padbury South		                              	218	9.11	  	4	0.17	  	15	0.63	  	1	0.04	  	921	38.5	  	0	0	  	5	0.21	  	5	0.21	  	1	0.04	  	848	35.45	  	15	0.63	  	14	0.59	  	120	5.02	  	6	0.25	  	2	0.08	  	208	8.7	  	9	0.38	  	0	0	  	2392	98.44	  	38	1.56	  	2430	3.26
Perth (Moore)		                              	7	5.26	  	0	0	  	1	0.75	  	1	0.75	  	49	36.84	  	0	0	  	0	0	  	2	1.5	  	0	0	  	40	30.08	  	2	1.5	  	2	1.5	  	13	9.77	  	0	0	  	0	0	  	15	11.28	  	1	0.75	  	0	0	  	133	98.52	  	2	1.48	  	135	0.18
Quinns Rock		                                	244	10.96	  	2	0.09	  	2	0.09	  	3	0.13	  	894	40.14	  	0	0	  	0	0	  	4	0.18	  	2	0.09	  	755	33.9	  	11	0.49	  	10	0.45	  	164	7.36	  	6	0.27	  	6	0.27	  	122	5.48	  	1	0.04	  	1	0.04	  	2227	98.02	  	45	1.98	  	2272	3.05
Rottnest (Moore)		                           	3	5.56	  	0	0	  	0	0	  	0	0	  	25	46.3	  	0	0	  	0	0	  	0	0	  	0	0	  	14	25.93	  	1	1.85	  	0	0	  	5	9.26	  	0	0	  	2	3.7	  	4	7.41	  	0	0	  	0	0	  	54	100	  	0	0	  	54	0.07
Sorrento (Moore)		                           	36	5.65	  	3	0.47	  	1	0.16	  	0	0	  	363	56.99	  	0	0	  	1	0.16	  	1	0.16	  	2	0.31	  	157	24.65	  	3	0.47	  	6	0.94	  	19	2.98	  	3	0.47	  	1	0.16	  	41	6.44	  	0	0	  	0	0	  	637	99.07	  	6	0.93	  	643	0.86
Sorrento Beach (Moore)		                     	69	6.34	  	1	0.09	  	1	0.09	  	1	0.09	  	642	59.01	  	0	0	  	3	0.28	  	2	0.18	  	0	0	  	201	18.47	  	3	0.28	  	6	0.55	  	53	4.87	  	3	0.28	  	1	0.09	  	98	9.01	  	4	0.37	  	0	0	  	1088	97.58	  	27	2.42	  	1115	1.5
Two Rocks		                                  	165	18.67	  	2	0.23	  	2	0.23	  	1	0.11	  	324	36.65	  	0	0	  	2	0.23	  	2	0.23	  	0	0	  	280	31.67	  	6	0.68	  	1	0.11	  	38	4.3	  	3	0.34	  	3	0.34	  	54	6.11	  	1	0.11	  	0	0	  	884	97.25	  	25	2.75	  	909	1.22
Wanneroo (Moore)		                           	98	10.23	  	8	0.84	  	4	0.42	  	3	0.31	  	412	43.01	  	0	0	  	0	0	  	1	0.1	  	0	0	  	299	31.21	  	3	0.31	  	9	0.94	  	49	5.11	  	1	0.1	  	0	0	  	71	7.41	  	0	0	  	0	0	  	958	97.76	  	22	2.24	  	980	1.32
Wanneroo East (Moore)		                      	23	10.65	  	4	1.85	  	1	0.46	  	1	0.46	  	95	43.98	  	0	0	  	0	0	  	1	0.46	  	0	0	  	72	33.33	  	0	0	  	2	0.93	  	12	5.56	  	0	0	  	0	0	  	5	2.31	  	0	0	  	0	0	  	216	99.54	  	1	0.46	  	217	0.29
Yanchep		                                    	158	15.37	  	3	0.29	  	4	0.39	  	0	0	  	351	34.14	  	0	0	  	1	0.1	  	2	0.19	  	0	0	  	341	33.17	  	13	1.26	  	4	0.39	  	70	6.81	  	1	0.1	  	1	0.1	  	76	7.39	  	2	0.19	  	1	0.1	  	1028	97.63	  	25	2.37	  	1053	1.41
Special Hospitals		                          	12	7.41	  	2	1.23	  	3	1.85	  	0	0	  	81	50	  	0	0	  	0	0	  	0	0	  	1	0.62	  	54	33.33	  	0	0	  	0	0	  	5	3.09	  	0	0	  	0	0	  	4	2.47	  	0	0	  	0	0	  	162	97.01	  	5	2.99	  	167	0.22
Total Ordinary		                             	5649	9.04	  	169	0.27	  	175	0.28	  	106	0.17	  	25743	41.21	  	20	0.03	  	91	0.15	  	87	0.14	  	59	0.09	  	20918	33.48	  	350	0.56	  	401	0.64	  	3543	5.67	  	132	0.21	  	97	0.16	  	4829	7.73	  	76	0.12	  	25	0.04	  	62470	98.07	  	1232	1.93	  	63702	85.52
ABSENT		                                     	411	8.53	  	22	0.46	  	21	0.44	  	12	0.25	  	2093	43.43	  	3	0.06	  	7	0.15	  	13	0.27	  	5	0.1	  	1445	29.99	  	24	0.5	  	34	0.71	  	353	7.33	  	12	0.25	  	3	0.06	  	350	7.26	  	7	0.15	  	4	0.08	  	4819	98.71	  	63	1.29	  	4882	6.55
POSTAL		                                     	231	13.73	  	10	0.59	  	6	0.36	  	2	0.12	  	743	44.15	  	2	0.12	  	1	0.06	  	4	0.24	  	0	0	  	471	27.99	  	4	0.24	  	19	1.13	  	73	4.34	  	0	0	  	4	0.24	  	104	6.18	  	8	0.48	  	1	0.06	  	1683	99.41	  	10	0.59	  	1693	2.27
PRE_POLL		                                   	344	9.69	  	19	0.54	  	19	0.54	  	7	0.2	  	1575	44.38	  	0	0	  	5	0.14	  	6	0.17	  	2	0.06	  	1091	30.74	  	18	0.51	  	39	1.1	  	174	4.9	  	5	0.14	  	5	0.14	  	226	6.37	  	11	0.31	  	3	0.08	  	3549	99.36	  	23	0.64	  	3572	4.8
PROVISIONAL		                                	66	10.58	  	4	0.64	  	4	0.64	  	2	0.32	  	231	37.02	  	0	0	  	2	0.32	  	7	1.12	  	0	0	  	233	37.34	  	1	0.16	  	0	0	  	50	8.01	  	2	0.32	  	0	0	  	21	3.37	  	1	0.16	  	0	0	  	624	97.65	  	15	2.35	  	639	0.86
Division Summary		                           	6701	9.16	  	224	0.31	  	225	0.31	  	129	0.18	  	30385	41.54	  	25	0.03	  	106	0.14	  	117	0.16	  	66	0.09	  	24158	33.03	  	397	0.54	  	493	0.67	  	4193	5.73	  	151	0.21	  	109	0.15	  	5530	7.56	  	103	0.14	  	33	0.05	  	73145	98.2	  	1343	1.8	  	74488	96.02


O'Connor (83913)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allanson		                                   	72	21.36	  	6	1.78	  	11	3.26	  	0	0	  	68	20.18	  	0	0	  	0	0	  	0	0	  	0	0	  	140	41.54	  	0	0	  	1	0.3	  	16	4.75	  	1	0.3	  	0	0	  	21	6.23	  	0	0	  	1	0.3	  	337	96.29	  	13	3.71	  	350	0.44
Ardath		                                     	9	13.43	  	0	0	  	18	26.87	  	0	0	  	38	56.72	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.49	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.49	  	0	0	  	0	0	  	67	98.53	  	1	1.47	  	68	0.08
Arthur River		                               	9	6.52	  	0	0	  	20	14.49	  	0	0	  	95	68.84	  	0	0	  	0	0	  	0	0	  	1	0.72	  	4	2.9	  	0	0	  	3	2.17	  	4	2.9	  	0	0	  	0	0	  	2	1.45	  	0	0	  	0	0	  	138	100	  	0	0	  	138	0.17
Australind		                                 	323	12.75	  	4	0.16	  	46	1.82	  	2	0.08	  	1186	46.8	  	1	0.04	  	0	0	  	5	0.2	  	6	0.24	  	649	25.61	  	7	0.28	  	28	1.1	  	131	5.17	  	5	0.2	  	2	0.08	  	136	5.37	  	3	0.12	  	0	0	  	2534	97.65	  	61	2.35	  	2595	3.23
Australind North		                           	43	11.5	  	3	0.8	  	6	1.6	  	0	0	  	149	39.84	  	0	0	  	0	0	  	0	0	  	0	0	  	121	32.35	  	1	0.27	  	6	1.6	  	22	5.88	  	1	0.27	  	0	0	  	21	5.61	  	1	0.27	  	0	0	  	374	97.4	  	10	2.6	  	384	0.48
Badgebup		                                   	20	30.3	  	0	0	  	14	21.21	  	0	0	  	26	39.39	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.52	  	0	0	  	1	1.52	  	1	1.52	  	0	0	  	0	0	  	3	4.55	  	0	0	  	0	0	  	66	100	  	0	0	  	66	0.08
Badgingarra		                                	30	15.54	  	1	0.52	  	16	8.29	  	1	0.52	  	110	56.99	  	0	0	  	0	0	  	0	0	  	0	0	  	18	9.33	  	0	0	  	1	0.52	  	7	3.63	  	2	1.04	  	0	0	  	7	3.63	  	0	0	  	0	0	  	193	99.48	  	1	0.52	  	194	0.24
Ballidu		                                    	14	10.45	  	1	0.75	  	21	15.67	  	0	0	  	80	59.7	  	0	0	  	1	0.75	  	0	0	  	0	0	  	7	5.22	  	1	0.75	  	3	2.24	  	0	0	  	1	0.75	  	1	0.75	  	4	2.99	  	0	0	  	0	0	  	134	97.81	  	3	2.19	  	137	0.17
Beachlands		                                 	125	17.22	  	3	0.41	  	5	0.69	  	0	0	  	221	30.44	  	0	0	  	0	0	  	6	0.83	  	0	0	  	291	40.08	  	1	0.14	  	15	2.07	  	37	5.1	  	1	0.14	  	0	0	  	20	2.75	  	0	0	  	1	0.14	  	726	96.41	  	27	3.59	  	753	0.94
Beacon		                                     	16	9.88	  	0	0	  	38	23.46	  	0	0	  	92	56.79	  	0	0	  	0	0	  	1	0.62	  	0	0	  	4	2.47	  	1	0.62	  	3	1.85	  	4	2.47	  	2	1.23	  	0	0	  	1	0.62	  	0	0	  	0	0	  	162	95.86	  	7	4.14	  	169	0.21
Bencubbin		                                  	29	19.21	  	1	0.66	  	22	14.57	  	1	0.66	  	73	48.34	  	0	0	  	0	0	  	0	0	  	0	0	  	9	5.96	  	0	0	  	4	2.65	  	3	1.99	  	3	1.99	  	0	0	  	6	3.97	  	0	0	  	0	0	  	151	96.18	  	6	3.82	  	157	0.2
Benger		                                     	7	10	  	0	0	  	1	1.43	  	0	0	  	49	70	  	1	1.43	  	0	0	  	0	0	  	0	0	  	10	14.29	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.86	  	0	0	  	0	0	  	70	97.22	  	2	2.78	  	72	0.09
Bindi Bindi		                                	7	9.21	  	1	1.32	  	8	10.53	  	0	0	  	54	71.05	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.63	  	0	0	  	0	0	  	1	1.32	  	0	0	  	0	0	  	3	3.95	  	0	0	  	0	0	  	76	96.2	  	3	3.8	  	79	0.1
Binningup		                                  	64	13.17	  	1	0.21	  	9	1.85	  	2	0.41	  	207	42.59	  	0	0	  	0	0	  	4	0.82	  	0	0	  	131	26.95	  	2	0.41	  	3	0.62	  	41	8.44	  	1	0.21	  	0	0	  	21	4.32	  	0	0	  	0	0	  	486	97.59	  	12	2.41	  	498	0.62
Bluff Point		                                	311	15.22	  	12	0.59	  	37	1.81	  	3	0.15	  	921	45.06	  	3	0.15	  	3	0.15	  	1	0.05	  	6	0.29	  	484	23.68	  	5	0.24	  	43	2.1	  	119	5.82	  	4	0.2	  	0	0	  	87	4.26	  	5	0.24	  	0	0	  	2044	96.69	  	70	3.31	  	2114	2.63
Boddington		                                 	115	17.01	  	6	0.89	  	35	5.18	  	1	0.15	  	313	46.3	  	0	0	  	0	0	  	1	0.15	  	0	0	  	153	22.63	  	2	0.3	  	4	0.59	  	19	2.81	  	0	0	  	1	0.15	  	24	3.55	  	2	0.3	  	0	0	  	676	97.41	  	18	2.59	  	694	0.86
