Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Rockingham		                                 	560	11.93	  	8	0.17	  	7	0.15	  	6	0.13	  	1150	24.49	  	2	0.04	  	4	0.09	  	10	0.21	  	4	0.09	  	2523	53.73	  	15	0.32	  	22	0.47	  	181	3.85	  	4	0.09	  	8	0.17	  	191	4.07	  	1	0.02	  	0	0	  	4696	97.25	  	133	2.75	  	4829	6.49
Rockingham Beach		                           	212	13.02	  	1	0.06	  	2	0.12	  	1	0.06	  	531	32.62	  	2	0.12	  	1	0.06	  	3	0.18	  	2	0.12	  	708	43.49	  	2	0.12	  	9	0.55	  	61	3.75	  	2	0.12	  	1	0.06	  	90	5.53	  	0	0	  	0	0	  	1628	96.27	  	63	3.73	  	1691	2.27
Rottnest (Brand)		                           	5	13.89	  	0	0	  	0	0	  	0	0	  	16	44.44	  	0	0	  	0	0	  	0	0	  	0	0	  	10	27.78	  	0	0	  	1	2.78	  	2	5.56	  	0	0	  	0	0	  	2	5.56	  	0	0	  	0	0	  	36	100	  	0	0	  	36	0.05
Safety Bay		                                 	554	14.05	  	12	0.3	  	15	0.38	  	6	0.15	  	1263	32.04	  	0	0	  	0	0	  	10	0.25	  	3	0.08	  	1657	42.03	  	9	0.23	  	23	0.58	  	169	4.29	  	4	0.1	  	4	0.1	  	209	5.3	  	3	0.08	  	1	0.03	  	3942	96.97	  	123	3.03	  	4065	5.46
Safety Bay Central		                         	419	13.91	  	9	0.3	  	5	0.17	  	6	0.2	  	859	28.52	  	1	0.03	  	1	0.03	  	4	0.13	  	2	0.07	  	1433	47.58	  	4	0.13	  	14	0.46	  	123	4.08	  	3	0.1	  	2	0.07	  	127	4.22	  	0	0	  	0	0	  	3012	97.6	  	74	2.4	  	3086	4.15
Secret Harbour		                             	92	12.2	  	1	0.13	  	1	0.13	  	1	0.13	  	299	39.66	  	0	0	  	1	0.13	  	1	0.13	  	1	0.13	  	294	38.99	  	2	0.27	  	5	0.66	  	26	3.45	  	0	0	  	0	0	  	30	3.98	  	0	0	  	0	0	  	754	98.18	  	14	1.82	  	768	1.03
Singleton		                                  	115	14.58	  	4	0.51	  	1	0.13	  	1	0.13	  	219	27.76	  	0	0	  	1	0.13	  	3	0.38	  	2	0.25	  	343	43.47	  	0	0	  	3	0.38	  	43	5.45	  	0	0	  	1	0.13	  	53	6.72	  	0	0	  	0	0	  	789	97.77	  	18	2.23	  	807	1.08
Waikiki		                                    	383	10.81	  	6	0.17	  	4	0.11	  	7	0.2	  	1090	30.76	  	1	0.03	  	2	0.06	  	5	0.14	  	1	0.03	  	1691	47.71	  	14	0.4	  	20	0.56	  	134	3.78	  	6	0.17	  	4	0.11	  	173	4.88	  	3	0.08	  	0	0	  	3544	98.5	  	54	1.5	  	3598	4.84
Warnbro		                                    	330	11.84	  	3	0.11	  	8	0.29	  	3	0.11	  	723	25.93	  	1	0.04	  	2	0.07	  	5	0.18	  	3	0.11	  	1417	50.82	  	4	0.14	  	13	0.47	  	124	4.45	  	5	0.18	  	3	0.11	  	142	5.09	  	1	0.04	  	1	0.04	  	2788	98.31	  	48	1.69	  	2836	3.81
Warnbro East		                               	212	11.51	  	0	0	  	5	0.27	  	2	0.11	  	452	24.54	  	2	0.11	  	1	0.05	  	5	0.27	  	3	0.16	  	996	54.07	  	9	0.49	  	1	0.05	  	79	4.29	  	0	0	  	2	0.11	  	71	3.85	  	1	0.05	  	1	0.05	  	1842	98.24	  	33	1.76	  	1875	2.52
