Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Studfield East		                             	5	0.18	  	4	0.14	  	356	12.8	  	20	0.72	  	36	1.29	  	3	0.11	  	4	0.14	  	11	0.4	  	4	0.14	  	20	0.72	  	1096	39.4	  	1063	38.21	  	9	0.32	  	15	0.54	  	2	0.07	  	108	3.88	  	4	0.14	  	20	0.72	  	1	0.04	  	0	0	  	1	0.04	  	2782	96.3	  	107	3.7	  	2889	3.51
Templeton		                                  	2	0.14	  	1	0.07	  	160	11.45	  	14	1	  	19	1.36	  	1	0.07	  	1	0.07	  	0	0	  	3	0.21	  	6	0.43	  	561	40.16	  	586	41.95	  	0	0	  	4	0.29	  	0	0	  	30	2.15	  	1	0.07	  	5	0.36	  	3	0.21	  	0	0	  	0	0	  	1397	97.42	  	37	2.58	  	1434	1.74
Vermont		                                    	1	0.11	  	1	0.11	  	130	14.62	  	3	0.34	  	24	2.7	  	0	0	  	0	0	  	1	0.11	  	1	0.11	  	2	0.22	  	277	31.16	  	424	47.69	  	0	0	  	5	0.56	  	0	0	  	16	1.8	  	1	0.11	  	3	0.34	  	0	0	  	0	0	  	0	0	  	889	97.37	  	24	2.63	  	913	1.11
Wantirna		                                   	0	0	  	1	0.05	  	249	12.27	  	37	1.82	  	22	1.08	  	0	0	  	4	0.2	  	3	0.15	  	7	0.34	  	23	1.13	  	728	35.86	  	880	43.35	  	2	0.1	  	9	0.44	  	3	0.15	  	52	2.56	  	1	0.05	  	9	0.44	  	0	0	  	0	0	  	0	0	  	2030	97.36	  	55	2.64	  	2085	2.54
Wantirna Heights		                           	2	0.14	  	0	0	  	169	11.63	  	10	0.69	  	9	0.62	  	1	0.07	  	0	0	  	13	0.89	  	9	0.62	  	11	0.76	  	516	35.51	  	657	45.22	  	1	0.07	  	14	0.96	  	0	0	  	35	2.41	  	0	0	  	5	0.34	  	0	0	  	0	0	  	1	0.07	  	1453	96.74	  	49	3.26	  	1502	1.83
Wantirna High		                              	3	0.09	  	2	0.06	  	394	11.39	  	77	2.23	  	53	1.53	  	1	0.03	  	2	0.06	  	5	0.14	  	7	0.2	  	25	0.72	  	1092	31.56	  	1652	47.75	  	3	0.09	  	13	0.38	  	3	0.09	  	107	3.09	  	2	0.06	  	15	0.43	  	4	0.12	  	0	0	  	0	0	  	3460	97.55	  	87	2.45	  	3547	4.31
Wantirna South		                             	3	0.13	  	0	0	  	229	9.96	  	55	2.39	  	21	0.91	  	0	0	  	0	0	  	2	0.09	  	5	0.22	  	18	0.78	  	787	34.23	  	1111	48.33	  	0	0	  	13	0.57	  	0	0	  	46	2	  	1	0.04	  	6	0.26	  	1	0.04	  	0	0	  	1	0.04	  	2299	96.8	  	76	3.2	  	2375	2.89
Weeden Heights		                             	6	0.24	  	1	0.04	  	317	12.42	  	46	1.8	  	41	1.61	  	0	0	  	3	0.12	  	6	0.24	  	5	0.2	  	28	1.1	  	798	31.27	  	1231	48.24	  	2	0.08	  	9	0.35	  	2	0.08	  	45	1.76	  	4	0.16	  	5	0.2	  	0	0	  	2	0.08	  	1	0.04	  	2552	96.56	  	91	3.44	  	2643	3.21
Special Hospitals		                          	1	0.29	  	0	0	  	9	2.65	  	1	0.29	  	1	0.29	  	1	0.29	  	0	0	  	1	0.29	  	4	1.18	  	5	1.47	  	98	28.91	  	212	62.54	  	0	0	  	0	0	  	0	0	  	6	1.77	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	339	97.41	  	9	2.59	  	348	0.42
Total Ordinary		                             	123	0.18	  	30	0.04	  	7634	11.25	  	763	1.12	  	919	1.35	  	25	0.04	  	53	0.08	  	208	0.31	  	153	0.23	  	614	0.9	  	24299	35.81	  	30092	44.34	  	69	0.1	  	391	0.58	  	56	0.08	  	1998	2.94	  	42	0.06	  	333	0.49	  	40	0.06	  	5	0.01	  	17	0.03	  	67864	96.82	  	2232	3.18	  	70096	85.25
