Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bundoora		                                   	0	0	  	1	0.05	  	181	9.76	  	20	1.08	  	24	1.29	  	0	0	  	0	0	  	3	0.16	  	7	0.38	  	18	0.97	  	943	50.84	  	571	30.78	  	0	0	  	3	0.16	  	0	0	  	56	3.02	  	3	0.16	  	25	1.35	  	0	0	  	0	0	  	0	0	  	1855	96.31	  	71	3.69	  	1926	2.32
Eaglemont		                                  	4	0.4	  	0	0	  	144	14.24	  	3	0.3	  	26	2.57	  	0	0	  	0	0	  	1	0.1	  	1	0.1	  	2	0.2	  	258	25.52	  	545	53.91	  	2	0.2	  	2	0.2	  	0	0	  	15	1.48	  	5	0.49	  	2	0.2	  	0	0	  	0	0	  	1	0.1	  	1011	96.56	  	36	3.44	  	1047	1.26
Eltham		                                     	4	0.11	  	0	0	  	493	14.05	  	9	0.26	  	170	4.84	  	1	0.03	  	2	0.06	  	3	0.09	  	2	0.06	  	16	0.46	  	1274	36.31	  	1417	40.38	  	2	0.06	  	14	0.4	  	3	0.09	  	71	2.02	  	4	0.11	  	20	0.57	  	1	0.03	  	0	0	  	3	0.09	  	3509	97.42	  	93	2.58	  	3602	4.34
Eltham East		                                	1	0.03	  	2	0.06	  	469	14.53	  	6	0.19	  	104	3.22	  	0	0	  	5	0.15	  	3	0.09	  	4	0.12	  	27	0.84	  	1106	34.27	  	1406	43.57	  	0	0	  	14	0.43	  	1	0.03	  	60	1.86	  	6	0.19	  	11	0.34	  	1	0.03	  	0	0	  	1	0.03	  	3227	97.64	  	78	2.36	  	3305	3.99
Eltham North		                               	6	0.31	  	0	0	  	257	13.29	  	7	0.36	  	95	4.91	  	1	0.05	  	1	0.05	  	1	0.05	  	6	0.31	  	23	1.19	  	653	33.76	  	825	42.66	  	2	0.1	  	6	0.31	  	0	0	  	35	1.81	  	2	0.1	  	13	0.67	  	1	0.05	  	0	0	  	0	0	  	1934	98.82	  	23	1.18	  	1957	2.36
Eltham Woods		                               	1	0.12	  	1	0.12	  	129	15.12	  	2	0.23	  	14	1.64	  	0	0	  	0	0	  	2	0.23	  	1	0.12	  	4	0.47	  	273	32	  	395	46.31	  	1	0.12	  	0	0	  	1	0.12	  	19	2.23	  	0	0	  	7	0.82	  	2	0.23	  	0	0	  	1	0.12	  	853	97.6	  	21	2.4	  	874	1.05
Fairy Hills		                                	0	0	  	1	0.09	  	154	13.9	  	11	0.99	  	32	2.89	  	0	0	  	3	0.27	  	2	0.18	  	3	0.27	  	10	0.9	  	346	31.23	  	525	47.38	  	0	0	  	1	0.09	  	0	0	  	13	1.17	  	0	0	  	4	0.36	  	1	0.09	  	0	0	  	2	0.18	  	1108	96.52	  	40	3.48	  	1148	1.38
Glen Katherine		                             	4	0.14	  	1	0.04	  	348	12.28	  	6	0.21	  	56	1.98	  	0	0	  	3	0.11	  	0	0	  	2	0.07	  	22	0.78	  	1003	35.39	  	1301	45.91	  	0	0	  	20	0.71	  	0	0	  	50	1.76	  	3	0.11	  	13	0.46	  	2	0.07	  	0	0	  	0	0	  	2834	97.32	  	78	2.68	  	2912	3.51
Golf Links		                                 	1	0.09	  	0	0	  	183	16.19	  	6	0.53	  	37	3.27	  	0	0	  	1	0.09	  	0	0	  	2	0.18	  	4	0.35	  	387	34.25	  	465	41.15	  	1	0.09	  	5	0.44	  	0	0	  	34	3.01	  	0	0	  	4	0.35	  	0	0	  	0	0	  	0	0	  	1130	96.5	  	41	3.5	  	1171	1.41
Grace Park		                                 	7	0.45	  	0	0	  	183	11.82	  	6	0.39	  	20	1.29	  	0	0	  	2	0.13	  	4	0.26	  	6	0.39	  	14	0.9	  	717	46.32	  	521	33.66	  	1	0.06	  	6	0.39	  	2	0.13	  	43	2.78	  	0	0	  	15	0.97	  	1	0.06	  	0	0	  	0	0	  	1548	96.75	  	52	3.25	  	1600	1.93
Greensborough Central		                      	3	0.24	  	6	0.47	  	146	11.52	  	0	0	  	31	2.45	  	1	0.08	  	3	0.24	  	0	0	  	7	0.55	  	6	0.47	  	553	43.65	  	441	34.81	  	1	0.08	  	13	1.03	  	1	0.08	  	46	3.63	  	2	0.16	  	7	0.55	  	0	0	  	0	0	  	0	0	  	1267	95.69	  	57	4.31	  	1324	1.6
Haig		                                       	14	0.67	  	2	0.1	  	176	8.41	  	8	0.38	  	62	2.96	  	1	0.05	  	5	0.24	  	4	0.19	  	9	0.43	  	29	1.39	  	1227	58.62	  	452	21.6	  	3	0.14	  	6	0.29	  	0	0	  	79	3.77	  	2	0.1	  	13	0.62	  	0	0	  	1	0.05	  	0	0	  	2093	94.24	  	128	5.76	  	2221	2.68
Heidelberg		                                 	0	0	  	5	0.18	  	410	14.59	  	16	0.57	  	91	3.24	  	1	0.04	  	1	0.04	  	0	0	  	5	0.18	  	30	1.07	  	1053	37.47	  	1115	39.68	  	4	0.14	  	9	0.32	  	1	0.04	  	51	1.81	  	4	0.14	  	8	0.28	  	2	0.07	  	3	0.11	  	1	0.04	  	2810	96.76	  	94	3.24	  	2904	3.5
Heidelberg North		                           	14	0.55	  	1	0.04	  	118	4.6	  	14	0.55	  	65	2.54	  	2	0.08	  	2	0.08	  	2	0.08	  	7	0.27	  	41	1.6	  	1810	70.62	  	384	14.98	  	1	0.04	  	3	0.12	  	4	0.16	  	80	3.12	  	2	0.08	  	8	0.31	  	4	0.16	  	1	0.04	  	0	0	  	2563	92.49	  	208	7.51	  	2771	3.34
Heidelberg West		                            	4	0.36	  	0	0	  	85	7.69	  	13	1.18	  	12	1.09	  	0	0	  	1	0.09	  	0	0	  	1	0.09	  	19	1.72	  	708	64.07	  	211	19.1	  	3	0.27	  	2	0.18	  	0	0	  	35	3.17	  	1	0.09	  	8	0.72	  	1	0.09	  	0	0	  	1	0.09	  	1105	95.84	  	48	4.16	  	1153	1.39
Ivanhoe		                                    	7	0.32	  	2	0.09	  	353	15.93	  	17	0.77	  	101	4.56	  	2	0.09	  	4	0.18	  	3	0.14	  	8	0.36	  	33	1.49	  	884	39.89	  	734	33.12	  	2	0.09	  	7	0.32	  	4	0.18	  	34	1.53	  	6	0.27	  	9	0.41	  	2	0.09	  	1	0.05	  	3	0.14	  	2216	95.68	  	100	4.32	  	2316	2.79
Ivanhoe Central		                            	1	0.1	  	0	0	  	146	14.09	  	8	0.77	  	25	2.41	  	1	0.1	  	0	0	  	0	0	  	0	0	  	6	0.58	  	349	33.69	  	464	44.79	  	3	0.29	  	2	0.19	  	1	0.1	  	23	2.22	  	2	0.19	  	5	0.48	  	0	0	  	0	0	  	0	0	  	1036	97.55	  	26	2.45	  	1062	1.28
Ivanhoe East		                               	4	0.17	  	2	0.08	  	331	13.79	  	14	0.58	  	81	3.38	  	1	0.04	  	0	0	  	0	0	  	3	0.13	  	10	0.42	  	685	28.54	  	1209	50.38	  	1	0.04	  	4	0.17	  	3	0.13	  	43	1.79	  	4	0.17	  	4	0.17	  	1	0.04	  	0	0	  	0	0	  	2400	95.85	  	104	4.15	  	2504	3.02
Ivanhoe West		                               	4	0.25	  	1	0.06	  	156	9.85	  	15	0.95	  	26	1.64	  	0	0	  	1	0.06	  	2	0.13	  	3	0.19	  	22	1.39	  	917	57.93	  	373	23.56	  	2	0.13	  	10	0.63	  	1	0.06	  	43	2.72	  	0	0	  	7	0.44	  	0	0	  	0	0	  	0	0	  	1583	92.57	  	127	7.43	  	1710	2.06
Lower Plenty		                               	0	0	  	1	0.05	  	227	12.2	  	4	0.22	  	41	2.2	  	1	0.05	  	1	0.05	  	0	0	  	3	0.16	  	10	0.54	  	513	27.58	  	986	53.01	  	2	0.11	  	13	0.7	  	0	0	  	42	2.26	  	2	0.11	  	9	0.48	  	4	0.22	  	0	0	  	1	0.05	  	1860	96.93	  	59	3.07	  	1919	2.31
Macleod		                                    	15	0.51	  	4	0.13	  	338	11.4	  	18	0.61	  	100	3.37	  	2	0.07	  	3	0.1	  	1	0.03	  	5	0.17	  	22	0.74	  	1315	44.34	  	1021	34.42	  	1	0.03	  	11	0.37	  	4	0.13	  	84	2.83	  	0	0	  	17	0.57	  	5	0.17	  	0	0	  	0	0	  	2966	95.37	  	144	4.63	  	3110	3.75
Macleod East		                               	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0
Melbourne (Jagajaga)		                       	0	0	  	0	0	  	12	14.81	  	1	1.23	  	12	14.81	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	31	38.27	  	25	30.86	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	81	98.78	  	1	1.22	  	82	0.1
Montmorency		                                	4	0.11	  	2	0.06	  	572	15.92	  	6	0.17	  	113	3.15	  	1	0.03	  	2	0.06	  	4	0.11	  	7	0.19	  	39	1.09	  	1354	37.69	  	1327	36.94	  	2	0.06	  	32	0.89	  	4	0.11	  	90	2.51	  	4	0.11	  	28	0.78	  	1	0.03	  	0	0	  	0	0	  	3592	96.85	  	117	3.15	  	3709	4.47
Montmorency South		                          	2	0.13	  	0	0	  	277	17.35	  	4	0.25	  	52	3.26	  	1	0.06	  	1	0.06	  	3	0.19	  	1	0.06	  	10	0.63	  	657	41.14	  	528	33.06	  	2	0.13	  	13	0.81	  	1	0.06	  	28	1.75	  	2	0.13	  	15	0.94	  	0	0	  	0	0	  	0	0	  	1597	96.67	  	55	3.33	  	1652	1.99
Repatriation Hospital		                      	0	0	  	0	0	  	41	11.45	  	3	0.84	  	8	2.23	  	0	0	  	0	0	  	0	0	  	1	0.28	  	2	0.56	  	201	56.15	  	88	24.58	  	0	0	  	0	0	  	0	0	  	14	3.91	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	358	95.72	  	16	4.28	  	374	0.45
Research (Jagajaga)		                        	1	0.08	  	1	0.08	  	173	13.68	  	9	0.71	  	67	5.3	  	0	0	  	1	0.08	  	0	0	  	4	0.32	  	6	0.47	  	386	30.51	  	558	44.11	  	3	0.24	  	4	0.32	  	1	0.08	  	30	2.37	  	4	0.32	  	14	1.11	  	2	0.16	  	0	0	  	1	0.08	  	1265	98.21	  	23	1.79	  	1288	1.55
Rosanna		                                    	6	0.3	  	1	0.05	  	273	13.66	  	11	0.55	  	49	2.45	  	1	0.05	  	1	0.05	  	1	0.05	  	3	0.15	  	7	0.35	  	695	34.78	  	869	43.49	  	0	0	  	21	1.05	  	0	0	  	47	2.35	  	6	0.3	  	5	0.25	  	0	0	  	0	0	  	2	0.1	  	1998	96.29	  	77	3.71	  	2075	2.5
Rosanna East		                               	1	0.15	  	0	0	  	86	13.21	  	7	1.08	  	14	2.15	  	0	0	  	1	0.15	  	1	0.15	  	2	0.31	  	8	1.23	  	246	37.79	  	260	39.94	  	0	0	  	4	0.61	  	0	0	  	16	2.46	  	0	0	  	4	0.61	  	1	0.15	  	0	0	  	0	0	  	651	98.04	  	13	1.96	  	664	0.8
Telfer Reserve		                             	2	0.35	  	0	0	  	50	8.77	  	3	0.53	  	7	1.23	  	0	0	  	0	0	  	1	0.18	  	1	0.18	  	5	0.88	  	310	54.39	  	175	30.7	  	0	0	  	0	0	  	1	0.18	  	10	1.75	  	0	0	  	4	0.7	  	0	0	  	1	0.18	  	0	0	  	570	96.28	  	22	3.72	  	592	0.71
View Bank		                                  	7	0.25	  	3	0.11	  	326	11.71	  	22	0.79	  	62	2.23	  	1	0.04	  	1	0.04	  	0	0	  	4	0.14	  	20	0.72	  	1107	39.76	  	1154	41.45	  	3	0.11	  	5	0.18	  	1	0.04	  	49	1.76	  	0	0	  	13	0.47	  	6	0.22	  	0	0	  	0	0	  	2784	95.15	  	142	4.85	  	2926	3.53
Warringal Parklands		                        	1	0.17	  	0	0	  	77	13.37	  	0	0	  	13	2.26	  	0	0	  	1	0.17	  	0	0	  	0	0	  	0	0	  	193	33.51	  	260	45.14	  	1	0.17	  	10	1.74	  	0	0	  	17	2.95	  	1	0.17	  	2	0.35	  	0	0	  	0	0	  	0	0	  	576	96.97	  	18	3.03	  	594	0.72
Watsonia		                                   	5	0.21	  	1	0.04	  	318	13.49	  	4	0.17	  	49	2.08	  	0	0	  	3	0.13	  	1	0.04	  	6	0.25	  	24	1.02	  	1054	44.72	  	766	32.5	  	7	0.3	  	11	0.47	  	6	0.25	  	82	3.48	  	0	0	  	16	0.68	  	2	0.08	  	1	0.04	  	1	0.04	  	2357	95.58	  	109	4.42	  	2466	2.97
Watsonia Central		                           	1	0.11	  	0	0	  	120	12.74	  	3	0.32	  	17	1.8	  	0	0	  	2	0.21	  	0	0	  	6	0.64	  	6	0.64	  	435	46.18	  	311	33.01	  	2	0.21	  	7	0.74	  	0	0	  	24	2.55	  	6	0.64	  	2	0.21	  	0	0	  	0	0	  	0	0	  	942	95.06	  	49	4.94	  	991	1.2
Watsonia South		                             	2	0.19	  	0	0	  	132	12.3	  	2	0.19	  	17	1.58	  	0	0	  	0	0	  	0	0	  	2	0.19	  	17	1.58	  	521	48.56	  	334	31.13	  	2	0.19	  	5	0.47	  	1	0.09	  	29	2.7	  	3	0.28	  	5	0.47	  	0	0	  	0	0	  	1	0.09	  	1073	95.38	  	52	4.62	  	1125	1.36
Yallambie		                                  	3	0.13	  	0	0	  	286	12.67	  	10	0.44	  	37	1.64	  	1	0.04	  	2	0.09	  	3	0.13	  	2	0.09	  	11	0.49	  	834	36.94	  	954	42.25	  	3	0.13	  	11	0.49	  	2	0.09	  	83	3.68	  	2	0.09	  	12	0.53	  	0	0	  	1	0.04	  	1	0.04	  	2258	97.24	  	64	2.76	  	2322	2.8
Special Hospitals		                          	0	0	  	0	0	  	7	2.86	  	0	0	  	1	0.41	  	0	0	  	1	0.41	  	0	0	  	2	0.82	  	5	2.04	  	90	36.73	  	128	52.24	  	0	0	  	6	2.45	  	1	0.41	  	4	1.63	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	245	90.07	  	27	9.93	  	272	0.33
Total Ordinary		                             	136	0.21	  	41	0.06	  	8398	12.68	  	314	0.47	  	1854	2.8	  	21	0.03	  	58	0.09	  	51	0.08	  	140	0.21	  	559	0.84	  	27040	40.82	  	25057	37.83	  	60	0.09	  	304	0.46	  	50	0.08	  	1639	2.47	  	81	0.12	  	358	0.54	  	44	0.07	  	9	0.01	  	20	0.03	  	66234	96.26	  	2576	3.74	  	68810	82.98
ABSENT		                                     	1	0.02	  	1	0.02	  	531	12.29	  	31	0.72	  	209	4.84	  	5	0.12	  	8	0.19	  	8	0.19	  	16	0.37	  	56	1.3	  	1618	37.46	  	1641	37.99	  	5	0.12	  	21	0.49	  	5	0.12	  	114	2.64	  	12	0.28	  	26	0.6	  	9	0.21	  	1	0.02	  	1	0.02	  	4319	98.11	  	83	1.89	  	4402	5.31
POSTAL		                                     	3	0.07	  	3	0.07	  	377	9.02	  	31	0.74	  	95	2.27	  	3	0.07	  	5	0.12	  	5	0.12	  	9	0.22	  	19	0.45	  	1836	43.92	  	1578	37.75	  	5	0.12	  	33	0.79	  	7	0.17	  	130	3.11	  	9	0.22	  	25	0.6	  	4	0.1	  	1	0.02	  	2	0.05	  	4180	98.93	  	45	1.07	  	4225	5.1
PRE_POLL		                                   	8	0.16	  	3	0.06	  	474	9.68	  	36	0.74	  	136	2.78	  	1	0.02	  	8	0.16	  	3	0.06	  	26	0.53	  	52	1.06	  	1913	39.06	  	1987	40.58	  	2	0.04	  	26	0.53	  	8	0.16	  	160	3.27	  	14	0.29	  	35	0.71	  	1	0.02	  	2	0.04	  	2	0.04	  	4897	98.69	  	65	1.31	  	4962	5.98
PROVISIONAL		                                	3	0.59	  	0	0	  	40	7.92	  	3	0.59	  	20	3.96	  	0	0	  	1	0.2	  	0	0	  	2	0.4	  	12	2.38	  	230	45.54	  	161	31.88	  	2	0.4	  	3	0.59	  	0	0	  	19	3.76	  	3	0.59	  	6	1.19	  	0	0	  	0	0	  	0	0	  	505	96.19	  	20	3.81	  	525	0.63
Division Summary		                           	151	0.19	  	48	0.06	  	9820	12.25	  	415	0.52	  	2314	2.89	  	30	0.04	  	80	0.1	  	67	0.08	  	193	0.24	  	698	0.87	  	32637	40.73	  	30424	37.97	  	74	0.09	  	387	0.48	  	70	0.09	  	2062	2.57	  	119	0.15	  	450	0.56	  	58	0.07	  	13	0.02	  	25	0.03	  	80135	96.64	  	2789	3.36	  	82924	96.25
 																																																																									


Kooyong (84069)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Auburn		                                     	5	0.36	  	0	0	  	223	16.03	  	8	0.58	  	49	3.52	  	0	0	  	3	0.22	  	0	0	  	9	0.65	  	7	0.5	  	461	33.14	  	576	41.41	  	1	0.07	  	4	0.29	  	2	0.14	  	41	2.95	  	0	0	  	2	0.14	  	0	0	  	0	0	  	0	0	  	1391	96.2	  	55	3.8	  	1446	1.8
Auburn North		                               	7	0.29	  	1	0.04	  	464	19	  	20	0.82	  	120	4.91	  	1	0.04	  	1	0.04	  	2	0.08	  	0	0	  	20	0.82	  	683	27.97	  	1080	44.23	  	1	0.04	  	2	0.08	  	0	0	  	37	1.52	  	0	0	  	2	0.08	  	1	0.04	  	0	0	  	0	0	  	2442	97.64	  	59	2.36	  	2501	3.12
Auburn South		                               	2	0.07	  	0	0	  	485	16.44	  	24	0.81	  	100	3.39	  	1	0.03	  	1	0.03	  	0	0	  	3	0.1	  	11	0.37	  	689	23.35	  	1555	52.69	  	1	0.03	  	8	0.27	  	2	0.07	  	49	1.66	  	7	0.24	  	9	0.3	  	3	0.1	  	0	0	  	1	0.03	  	2951	97.62	  	72	2.38	  	3023	3.77
Balwyn		                                     	5	0.21	  	0	0	  	303	12.86	  	35	1.48	  	87	3.69	  	0	0	  	0	0	  	1	0.04	  	2	0.08	  	26	1.1	  	562	23.84	  	1251	53.08	  	1	0.04	  	8	0.34	  	2	0.08	  	57	2.42	  	2	0.08	  	10	0.42	  	3	0.13	  	0	0	  	2	0.08	  	2357	96.76	  	79	3.24	  	2436	3.04
Balwyn Central		                             	3	0.23	  	0	0	  	193	14.98	  	23	1.79	  	38	2.95	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	5	0.39	  	278	21.58	  	720	55.9	  	2	0.16	  	1	0.08	  	0	0	  	15	1.16	  	3	0.23	  	4	0.31	  	0	0	  	1	0.08	  	0	0	  	1288	97.43	  	34	2.57	  	1322	1.65
Balwyn North		                               	5	0.16	  	1	0.03	  	435	14.26	  	108	3.54	  	101	3.31	  	1	0.03	  	0	0	  	0	0	  	3	0.1	  	23	0.75	  	885	29.02	  	1395	45.74	  	1	0.03	  	8	0.26	  	1	0.03	  	70	2.3	  	2	0.07	  	10	0.33	  	1	0.03	  	0	0	  	0	0	  	3050	96.83	  	100	3.17	  	3150	3.93
Balwyn North Central		                       	4	0.28	  	0	0	  	196	13.59	  	24	1.66	  	22	1.53	  	0	0	  	1	0.07	  	1	0.07	  	0	0	  	11	0.76	  	306	21.22	  	831	57.63	  	2	0.14	  	4	0.28	  	0	0	  	33	2.29	  	0	0	  	7	0.49	  	0	0	  	0	0	  	0	0	  	1442	96.45	  	53	3.55	  	1495	1.86
Balwyn North East		                          	6	0.16	  	2	0.05	  	563	15.11	  	51	1.37	  	129	3.46	  	2	0.05	  	0	0	  	1	0.03	  	4	0.11	  	19	0.51	  	885	23.76	  	1896	50.9	  	0	0	  	11	0.3	  	2	0.05	  	129	3.46	  	5	0.13	  	17	0.46	  	2	0.05	  	0	0	  	1	0.03	  	3725	96.3	  	143	3.7	  	3868	4.82
Balwyn North West		                          	0	0	  	3	0.23	  	177	13.3	  	15	1.13	  	25	1.88	  	0	0	  	1	0.08	  	1	0.08	  	2	0.15	  	7	0.53	  	349	26.22	  	708	53.19	  	1	0.08	  	6	0.45	  	0	0	  	30	2.25	  	0	0	  	5	0.38	  	0	0	  	0	0	  	1	0.08	  	1331	95.48	  	63	4.52	  	1394	1.74
Balwyn West		                                	4	0.22	  	0	0	  	279	15.21	  	30	1.64	  	55	3	  	0	0	  	1	0.05	  	2	0.11	  	5	0.27	  	17	0.93	  	530	28.9	  	841	45.86	  	1	0.05	  	5	0.27	  	2	0.11	  	50	2.73	  	3	0.16	  	7	0.38	  	1	0.05	  	0	0	  	1	0.05	  	1834	96.07	  	75	3.93	  	1909	2.38
Boroondara		                                 	3	0.15	  	0	0	  	307	15.21	  	27	1.34	  	42	2.08	  	1	0.05	  	1	0.05	  	2	0.1	  	9	0.45	  	12	0.59	  	475	23.54	  	1074	53.22	  	2	0.1	  	3	0.15	  	1	0.05	  	54	2.68	  	2	0.1	  	2	0.1	  	1	0.05	  	0	0	  	0	0	  	2018	97.21	  	58	2.79	  	2076	2.59
Camberwell East		                            	0	0	  	0	0	  	218	17.67	  	4	0.32	  	38	3.08	  	0	0	  	0	0	  	3	0.24	  	3	0.24	  	3	0.24	  	230	18.64	  	698	56.56	  	2	0.16	  	6	0.49	  	2	0.16	  	23	1.86	  	2	0.16	  	1	0.08	  	1	0.08	  	0	0	  	0	0	  	1234	96.71	  	42	3.29	  	1276	1.59
Camberwell North		                           	2	0.11	  	0	0	  	275	14.94	  	33	1.79	  	85	4.62	  	0	0	  	2	0.11	  	1	0.05	  	1	0.05	  	8	0.43	  	279	15.15	  	1119	60.78	  	1	0.05	  	5	0.27	  	0	0	  	27	1.47	  	0	0	  	1	0.05	  	1	0.05	  	1	0.05	  	0	0	  	1841	97.36	  	50	2.64	  	1891	2.36
Canterbury North		                           	1	0.07	  	2	0.14	  	237	16.94	  	7	0.5	  	42	3	  	1	0.07	  	0	0	  	0	0	  	2	0.14	  	14	1	  	356	25.45	  	699	49.96	  	0	0	  	8	0.57	  	1	0.07	  	23	1.64	  	0	0	  	5	0.36	  	1	0.07	  	0	0	  	0	0	  	1399	96.42	  	52	3.58	  	1451	1.81
Canterbury South		                           	2	0.08	  	0	0	  	484	18.53	  	14	0.54	  	109	4.17	  	2	0.08	  	4	0.15	  	0	0	  	6	0.23	  	15	0.57	  	596	22.82	  	1301	49.81	  	2	0.08	  	6	0.23	  	6	0.23	  	55	2.11	  	1	0.04	  	7	0.27	  	0	0	  	2	0.08	  	0	0	  	2612	97.79	  	59	2.21	  	2671	3.33
Chatham		                                    	6	0.38	  	1	0.06	  	282	17.81	  	9	0.57	  	77	4.86	  	0	0	  	2	0.13	  	1	0.06	  	3	0.19	  	13	0.82	  	401	25.33	  	721	45.55	  	2	0.13	  	18	1.14	  	2	0.13	  	39	2.46	  	1	0.06	  	3	0.19	  	1	0.06	  	0	0	  	1	0.06	  	1583	98.14	  	30	1.86	  	1613	2.01
Cotham		                                     	3	0.14	  	0	0	  	298	14.23	  	20	0.96	  	70	3.34	  	0	0	  	1	0.05	  	0	0	  	2	0.1	  	16	0.76	  	339	16.19	  	1286	61.41	  	2	0.1	  	5	0.24	  	1	0.05	  	43	2.05	  	2	0.1	  	4	0.19	  	1	0.05	  	0	0	  	1	0.05	  	2094	97.9	  	45	2.1	  	2139	2.67
Deepdene		                                   	3	0.3	  	0	0	  	153	15.1	  	8	0.79	  	26	2.57	  	0	0	  	0	0	  	0	0	  	2	0.2	  	7	0.69	  	192	18.95	  	596	58.84	  	1	0.1	  	2	0.2	  	0	0	  	20	1.97	  	0	0	  	1	0.1	  	1	0.1	  	0	0	  	1	0.1	  	1013	97.78	  	23	2.22	  	1036	1.29
Glenferrie		                                 	7	0.24	  	2	0.07	  	494	16.75	  	27	0.92	  	160	5.43	  	3	0.1	  	1	0.03	  	1	0.03	  	4	0.14	  	27	0.92	  	879	29.81	  	1254	42.52	  	2	0.07	  	14	0.47	  	2	0.07	  	60	2.03	  	2	0.07	  	6	0.2	  	3	0.1	  	0	0	  	1	0.03	  	2949	97.68	  	70	2.32	  	3019	3.76
Glenferrie Central		                         	7	0.51	  	0	0	  	271	19.8	  	12	0.88	  	48	3.51	  	0	0	  	1	0.07	  	1	0.07	  	2	0.15	  	8	0.58	  	379	27.68	  	612	44.7	  	2	0.15	  	2	0.15	  	0	0	  	17	1.24	  	3	0.22	  	4	0.29	  	0	0	  	0	0	  	0	0	  	1369	95.8	  	60	4.2	  	1429	1.78
Glenferrie South		                           	1	0.07	  	1	0.07	  	222	16.37	  	10	0.74	  	49	3.61	  	1	0.07	  	1	0.07	  	0	0	  	3	0.22	  	3	0.22	  	211	15.56	  	826	60.91	  	1	0.07	  	2	0.15	  	0	0	  	16	1.18	  	3	0.22	  	4	0.29	  	0	0	  	0	0	  	2	0.15	  	1356	97.2	  	39	2.8	  	1395	1.74
Hartwell		                                   	5	0.26	  	1	0.05	  	314	16.4	  	13	0.68	  	75	3.92	  	0	0	  	1	0.05	  	1	0.05	  	7	0.37	  	17	0.89	  	561	29.3	  	869	45.38	  	0	0	  	7	0.37	  	0	0	  	35	1.83	  	1	0.05	  	8	0.42	  	0	0	  	0	0	  	0	0	  	1915	96.91	  	61	3.09	  	1976	2.46
Hawthorn		                                   	10	0.41	  	4	0.16	  	400	16.46	  	13	0.53	  	153	6.3	  	1	0.04	  	2	0.08	  	0	0	  	4	0.16	  	14	0.58	  	705	29.01	  	1042	42.88	  	0	0	  	16	0.66	  	1	0.04	  	50	2.06	  	2	0.08	  	7	0.29	  	3	0.12	  	1	0.04	  	2	0.08	  	2430	96.81	  	80	3.19	  	2510	3.13
Highfield Park		                             	3	0.18	  	1	0.06	  	261	16.09	  	13	0.8	  	39	2.4	  	2	0.12	  	2	0.12	  	1	0.06	  	3	0.18	  	21	1.29	  	425	26.2	  	795	49.01	  	1	0.06	  	4	0.25	  	1	0.06	  	41	2.53	  	3	0.18	  	6	0.37	  	0	0	  	0	0	  	0	0	  	1622	97.18	  	47	2.82	  	1669	2.08
