Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Elizabeth Downs		                            	29	1.13	  	42	1.63	  	259	10.06	  	0	0	  	3	0.12	  	513	19.93	  	3	0.12	  	13	0.51	  	56	2.18	  	407	15.81	  	1241	48.21	  	0	0	  	6	0.23	  	2	0.08	  	2574	96.88	  	83	3.12	  	2657	3.51
Elizabeth East		                             	21	1.05	  	12	0.6	  	188	9.4	  	0	0	  	1	0.05	  	513	25.65	  	0	0	  	19	0.95	  	39	1.95	  	325	16.25	  	871	43.55	  	1	0.05	  	10	0.5	  	0	0	  	2000	96.29	  	77	3.71	  	2077	2.74
Elizabeth Grove		                            	11	0.97	  	13	1.14	  	141	12.4	  	0	0	  	1	0.09	  	256	22.52	  	2	0.18	  	6	0.53	  	30	2.64	  	151	13.28	  	525	46.17	  	1	0.09	  	0	0	  	0	0	  	1137	95.63	  	52	4.37	  	1189	1.57
Elizabeth North		                            	18	0.99	  	20	1.1	  	197	10.88	  	1	0.06	  	1	0.06	  	344	19.01	  	0	0	  	9	0.5	  	24	1.33	  	344	19.01	  	839	46.35	  	4	0.22	  	7	0.39	  	2	0.11	  	1810	96.48	  	66	3.52	  	1876	2.48
Elizabeth Park		                             	28	1.52	  	19	1.03	  	206	11.18	  	0	0	  	2	0.11	  	416	22.57	  	6	0.33	  	6	0.33	  	30	1.63	  	347	18.83	  	774	42	  	2	0.11	  	5	0.27	  	2	0.11	  	1843	96.75	  	62	3.25	  	1905	2.52
Elizabeth South		                            	20	1.11	  	24	1.33	  	163	9.04	  	2	0.11	  	4	0.22	  	312	17.29	  	3	0.17	  	12	0.67	  	39	2.16	  	305	16.91	  	910	50.44	  	5	0.28	  	3	0.17	  	2	0.11	  	1804	95.05	  	94	4.95	  	1898	2.51
Elizabeth Vale		                             	26	1.08	  	18	0.75	  	294	12.27	  	5	0.21	  	2	0.08	  	630	26.28	  	1	0.04	  	15	0.63	  	33	1.38	  	352	14.69	  	1012	42.22	  	0	0	  	9	0.38	  	0	0	  	2397	96.34	  	91	3.66	  	2488	3.29
Hillbank		                                   	16	1.01	  	12	0.76	  	201	12.71	  	0	0	  	1	0.06	  	596	37.67	  	1	0.06	  	6	0.38	  	22	1.39	  	163	10.3	  	560	35.4	  	0	0	  	4	0.25	  	0	0	  	1582	97.71	  	37	2.29	  	1619	2.14
Munno Para		                                 	13	1.48	  	9	1.03	  	100	11.39	  	0	0	  	0	0	  	173	19.7	  	1	0.11	  	2	0.23	  	13	1.48	  	145	16.51	  	420	47.84	  	0	0	  	2	0.23	  	0	0	  	878	95.54	  	41	4.46	  	919	1.21
One Tree Hill (Bonython)		                   	5	0.77	  	2	0.31	  	79	12.1	  	0	0	  	1	0.15	  	327	50.08	  	1	0.15	  	2	0.31	  	14	2.14	  	63	9.65	  	159	24.35	  	0	0	  	0	0	  	0	0	  	653	96.74	  	22	3.26	  	675	0.89
Parafield Gardens		                          	13	0.83	  	10	0.64	  	165	10.56	  	1	0.06	  	1	0.06	  	298	19.07	  	1	0.06	  	13	0.83	  	26	1.66	  	213	13.63	  	816	52.21	  	1	0.06	  	4	0.26	  	1	0.06	  	1563	96.3	  	60	3.7	  	1623	2.14
Parafield Gardens Central		                  	37	1.02	  	26	0.72	  	363	10.03	  	1	0.03	  	9	0.25	  	735	20.32	  	3	0.08	  	16	0.44	  	74	2.05	  	427	11.8	  	1909	52.76	  	8	0.22	  	10	0.28	  	0	0	  	3618	96.43	  	134	3.57	  	3752	4.96
Parafield Gardens North West		               	34	1.34	  	15	0.59	  	241	9.49	  	3	0.12	  	1	0.04	  	578	22.76	  	0	0	  	14	0.55	  	50	1.97	  	311	12.24	  	1282	50.47	  	6	0.24	  	4	0.16	  	1	0.04	  	2540	96.47	  	93	3.53	  	2633	3.48
Paralowie		                                  	37	0.89	  	45	1.08	  	417	9.99	  	3	0.07	  	2	0.05	  	1010	24.19	  	3	0.07	  	18	0.43	  	77	1.84	  	560	13.41	  	1987	47.58	  	6	0.14	  	10	0.24	  	1	0.02	  	4176	96.58	  	148	3.42	  	4324	5.71
Paralowie West		                             	25	1.04	  	10	0.41	  	231	9.57	  	1	0.04	  	1	0.04	  	612	25.36	  	2	0.08	  	8	0.33	  	40	1.66	  	284	11.77	  	1189	49.27	  	2	0.08	  	5	0.21	  	3	0.12	  	2413	96.87	  	78	3.13	  	2491	3.29
Salisbury (Bonython)		                       	21	1.26	  	15	0.9	  	190	11.41	  	0	0	  	2	0.12	  	459	27.57	  	3	0.18	  	10	0.6	  	19	1.14	  	220	13.21	  	721	43.3	  	1	0.06	  	4	0.24	  	0	0	  	1665	95.42	  	80	4.58	  	1745	2.31
Salisbury Central		                          	14	0.91	  	11	0.72	  	129	8.41	  	3	0.2	  	3	0.2	  	458	29.88	  	5	0.33	  	8	0.52	  	26	1.7	  	210	13.7	  	660	43.05	  	4	0.26	  	2	0.13	  	0	0	  	1533	96.29	  	59	3.71	  	1592	2.1
Salisbury Downs		                            	27	1.02	  	22	0.83	  	267	10.1	  	1	0.04	  	5	0.19	  	688	26.03	  	2	0.08	  	7	0.26	  	39	1.48	  	368	13.92	  	1203	45.52	  	5	0.19	  	9	0.34	  	0	0	  	2643	96.39	  	99	3.61	  	2742	3.62
Salisbury North		                            	24	0.91	  	30	1.14	  	255	9.67	  	1	0.04	  	2	0.08	  	488	18.51	  	6	0.23	  	11	0.42	  	52	1.97	  	406	15.4	  	1353	51.31	  	3	0.11	  	6	0.23	  	0	0	  	2637	95.34	  	129	4.66	  	2766	3.66
Salisbury North West		                       	12	0.43	  	10	0.36	  	246	8.86	  	0	0	  	5	0.18	  	563	20.29	  	1	0.04	  	7	0.25	  	43	1.55	  	420	15.14	  	1460	52.61	  	1	0.04	  	7	0.25	  	0	0	  	2775	95.85	  	120	4.15	  	2895	3.83
Salisbury Park		                             	17	0.97	  	6	0.34	  	218	12.39	  	2	0.11	  	5	0.28	  	541	30.76	  	2	0.11	  	19	1.08	  	32	1.82	  	231	13.13	  	680	38.66	  	1	0.06	  	5	0.28	  	0	0	  	1759	97.34	  	48	2.66	  	1807	2.39
Smithfield		                                 	15	1.36	  	8	0.73	  	98	8.89	  	0	0	  	0	0	  	266	24.14	  	0	0	  	10	0.91	  	22	2	  	165	14.97	  	514	46.64	  	1	0.09	  	2	0.18	  	1	0.09	  	1102	95	  	58	5	  	1160	1.53
Smithfield Plains		                          	10	0.85	  	13	1.11	  	92	7.82	  	1	0.09	  	4	0.34	  	191	16.24	  	1	0.09	  	5	0.43	  	30	2.55	  	190	16.16	  	637	54.17	  	0	0	  	2	0.17	  	0	0	  	1176	95.45	  	56	4.55	  	1232	1.63
Virginia		                                   	13	0.93	  	13	0.93	  	91	6.51	  	1	0.07	  	1	0.07	  	522	37.37	  	1	0.07	  	5	0.36	  	23	1.65	  	169	12.1	  	550	39.37	  	3	0.21	  	5	0.36	  	0	0	  	1397	94.14	  	87	5.86	  	1484	1.96
Special Hospitals		                          	4	1.46	  	3	1.09	  	13	4.74	  	0	0	  	0	0	  	97	35.4	  	0	0	  	4	1.46	  	1	0.36	  	15	5.47	  	137	50	  	0	0	  	0	0	  	0	0	  	274	88.67	  	35	11.33	  	309	0.41
Total Ordinary		                             	666	1.09	  	501	0.82	  	6335	10.33	  	40	0.07	  	75	0.12	  	15165	24.73	  	65	0.11	  	309	0.5	  	1120	1.83	  	8849	14.43	  	27965	45.6	  	60	0.1	  	161	0.26	  	21	0.03	  	61332	96.39	  	2297	3.61	  	63629	84.09
ABSENT		                                     	66	1.32	  	37	0.74	  	515	10.32	  	2	0.04	  	4	0.08	  	1318	26.4	  	6	0.12	  	22	0.44	  	159	3.19	  	705	14.12	  	2125	42.57	  	3	0.06	  	29	0.58	  	1	0.02	  	4992	98.07	  	98	1.93	  	5090	6.73
POSTAL		                                     	52	1.85	  	13	0.46	  	257	9.13	  	3	0.11	  	2	0.07	  	749	26.62	  	0	0	  	14	0.5	  	54	1.92	  	534	18.98	  	1122	39.87	  	4	0.14	  	6	0.21	  	4	0.14	  	2814	98.81	  	34	1.19	  	2848	3.76
PRE_POLL		                                   	55	1.78	  	21	0.68	  	276	8.93	  	1	0.03	  	1	0.03	  	867	28.07	  	2	0.06	  	13	0.42	  	69	2.23	  	475	15.38	  	1283	41.53	  	6	0.19	  	17	0.55	  	3	0.1	  	3089	98.22	  	56	1.78	  	3145	4.16
PROVISIONAL		                                	8	0.86	  	9	0.97	  	83	8.92	  	0	0	  	2	0.21	  	164	17.62	  	1	0.11	  	3	0.32	  	36	3.87	  	133	14.29	  	485	52.09	  	0	0	  	6	0.64	  	1	0.11	  	931	97.69	  	22	2.31	  	953	1.26
Division Summary		                           	847	1.16	  	581	0.79	  	7466	10.21	  	46	0.06	  	84	0.11	  	18263	24.96	  	74	0.1	  	361	0.49	  	1438	1.97	  	10696	14.62	  	32980	45.08	  	73	0.1	  	219	0.3	  	30	0.04	  	73158	96.69	  	2507	3.31	  	75665	96.09


Boothby (81353)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Boothby)		                         	1	0.97	  	0	0	  	21	20.39	  	0	0	  	0	0	  	25	24.27	  	0	0	  	1	0.97	  	6	5.83	  	7	6.8	  	42	40.78	  	0	0	  	0	0	  	0	0	  	103	100	  	0	0	  	103	0.13
Bedford Park		                               	7	1.01	  	1	0.14	  	114	16.47	  	2	0.29	  	0	0	  	277	40.03	  	0	0	  	2	0.29	  	24	3.47	  	50	7.23	  	209	30.2	  	2	0.29	  	3	0.43	  	1	0.14	  	692	96.11	  	28	3.89	  	720	0.92
Belair		                                     	22	0.61	  	11	0.3	  	918	25.28	  	2	0.06	  	4	0.11	  	1662	45.77	  	0	0	  	17	0.47	  	97	2.67	  	185	5.1	  	699	19.25	  	9	0.25	  	2	0.06	  	3	0.08	  	3631	98.61	  	51	1.39	  	3682	4.7
Bellevue Heights		                           	13	0.7	  	6	0.32	  	345	18.52	  	1	0.05	  	4	0.21	  	974	52.28	  	0	0	  	2	0.11	  	41	2.2	  	103	5.53	  	366	19.65	  	3	0.16	  	3	0.16	  	2	0.11	  	1863	98.1	  	36	1.9	  	1899	2.42
Blackwood		                                  	23	1.14	  	2	0.1	  	507	25.14	  	0	0	  	2	0.1	  	935	46.36	  	2	0.1	  	9	0.45	  	52	2.58	  	99	4.91	  	376	18.64	  	8	0.4	  	2	0.1	  	0	0	  	2017	98.01	  	41	1.99	  	2058	2.63
Blackwood Central		                          	12	1.26	  	7	0.74	  	235	24.71	  	3	0.32	  	1	0.11	  	416	43.74	  	0	0	  	2	0.21	  	21	2.21	  	61	6.41	  	188	19.77	  	2	0.21	  	3	0.32	  	0	0	  	951	98.24	  	17	1.76	  	968	1.24
Brighton		                                   	19	0.62	  	22	0.71	  	497	16.1	  	1	0.03	  	4	0.13	  	1479	47.91	  	0	0	  	17	0.55	  	64	2.07	  	205	6.64	  	769	24.91	  	3	0.1	  	3	0.1	  	4	0.13	  	3087	97.35	  	84	2.65	  	3171	4.05
Brighton South		                             	8	0.8	  	5	0.5	  	168	16.88	  	0	0	  	4	0.4	  	437	43.92	  	0	0	  	3	0.3	  	14	1.41	  	72	7.24	  	281	28.24	  	1	0.1	  	2	0.2	  	0	0	  	995	96.88	  	32	3.12	  	1027	1.31
Clapham		                                    	10	0.55	  	7	0.38	  	326	17.79	  	0	0	  	1	0.05	  	948	51.72	  	1	0.05	  	11	0.6	  	32	1.75	  	100	5.46	  	394	21.49	  	1	0.05	  	2	0.11	  	0	0	  	1833	97.4	  	49	2.6	  	1882	2.4
Clarence Gardens		                           	9	1.19	  	3	0.4	  	118	15.63	  	0	0	  	1	0.13	  	351	46.49	  	0	0	  	2	0.26	  	13	1.72	  	48	6.36	  	206	27.28	  	0	0	  	0	0	  	4	0.53	  	755	97.04	  	23	2.96	  	778	0.99
Colonel Light Gardens		                      	12	0.77	  	8	0.51	  	329	21.09	  	1	0.06	  	4	0.26	  	675	43.27	  	0	0	  	4	0.26	  	36	2.31	  	70	4.49	  	413	26.47	  	1	0.06	  	2	0.13	  	5	0.32	  	1560	97.44	  	41	2.56	  	1601	2.04
Coromandel Valley (Boothby)		                	5	1.91	  	0	0	  	71	27.1	  	0	0	  	0	0	  	100	38.17	  	0	0	  	2	0.76	  	10	3.82	  	17	6.49	  	56	21.37	  	1	0.38	  	0	0	  	0	0	  	262	98.87	  	3	1.13	  	265	0.34
Darlington		                                 	21	1.15	  	4	0.22	  	277	15.19	  	2	0.11	  	2	0.11	  	630	34.56	  	1	0.05	  	11	0.6	  	37	2.03	  	177	9.71	  	656	35.98	  	0	0	  	1	0.05	  	4	0.22	  	1823	96.25	  	71	3.75	  	1894	2.42
Daw Park		                                   	17	1.08	  	9	0.57	  	301	19.11	  	1	0.06	  	5	0.32	  	592	37.59	  	1	0.06	  	6	0.38	  	39	2.48	  	111	7.05	  	487	30.92	  	1	0.06	  	1	0.06	  	4	0.25	  	1575	96.45	  	58	3.55	  	1633	2.09
Dover Gardens		                              	17	1	  	4	0.24	  	259	15.31	  	2	0.12	  	2	0.12	  	588	34.75	  	3	0.18	  	12	0.71	  	40	2.36	  	160	9.46	  	597	35.28	  	0	0	  	7	0.41	  	1	0.06	  	1692	96.41	  	63	3.59	  	1755	2.24
Eden Hills		                                 	18	1.54	  	4	0.34	  	310	26.5	  	0	0	  	0	0	  	478	40.85	  	0	0	  	6	0.51	  	27	2.31	  	61	5.21	  	264	22.56	  	1	0.09	  	0	0	  	1	0.09	  	1170	98.24	  	21	1.76	  	1191	1.52
Hawthorn		                                   	3	0.59	  	4	0.78	  	98	19.18	  	0	0	  	1	0.2	  	279	54.6	  	0	0	  	1	0.2	  	9	1.76	  	13	2.54	  	97	18.98	  	3	0.59	  	3	0.59	  	0	0	  	511	98.65	  	7	1.35	  	518	0.66
Hawthorndene		                               	17	1.13	  	2	0.13	  	383	25.41	  	0	0	  	1	0.07	  	644	42.73	  	1	0.07	  	10	0.66	  	37	2.46	  	93	6.17	  	313	20.77	  	3	0.2	  	2	0.13	  	1	0.07	  	1507	97.86	  	33	2.14	  	1540	1.97
Hawthorn West		                              	9	0.62	  	2	0.14	  	300	20.52	  	1	0.07	  	3	0.21	  	747	51.09	  	0	0	  	8	0.55	  	30	2.05	  	51	3.49	  	299	20.45	  	8	0.55	  	0	0	  	4	0.27	  	1462	97.6	  	36	2.4	  	1498	1.91
Kingswood		                                  	10	0.76	  	4	0.3	  	265	20.11	  	0	0	  	0	0	  	627	47.57	  	1	0.08	  	9	0.68	  	30	2.28	  	56	4.25	  	310	23.52	  	6	0.46	  	0	0	  	0	0	  	1318	97.92	  	28	2.08	  	1346	1.72
Marino		                                     	7	0.55	  	5	0.39	  	208	16.28	  	1	0.08	  	2	0.16	  	590	46.17	  	1	0.08	  	5	0.39	  	29	2.27	  	104	8.14	  	323	25.27	  	1	0.08	  	0	0	  	2	0.16	  	1278	97.56	  	32	2.44	  	1310	1.67
Marion		                                     	15	1.35	  	5	0.45	  	161	14.53	  	1	0.09	  	1	0.09	  	441	39.8	  	3	0.27	  	6	0.54	  	22	1.99	  	86	7.76	  	367	33.12	  	0	0	  	0	0	  	0	0	  	1108	96.94	  	35	3.06	  	1143	1.46
Melrose Park		                               	17	0.86	  	6	0.3	  	277	14.04	  	3	0.15	  	0	0	  	844	42.78	  	0	0	  	11	0.56	  	25	1.27	  	121	6.13	  	663	33.6	  	2	0.1	  	0	0	  	4	0.2	  	1973	96.95	  	62	3.05	  	2035	2.6
Mitcham		                                    	21	0.96	  	5	0.23	  	407	18.65	  	0	0	  	2	0.09	  	1205	55.22	  	0	0	  	5	0.23	  	42	1.92	  	98	4.49	  	383	17.55	  	11	0.5	  	3	0.14	  	0	0	  	2182	97.5	  	56	2.5	  	2238	2.86
Mitchell Park		                              	17	0.84	  	7	0.35	  	289	14.36	  	0	0	  	1	0.05	  	644	32.01	  	1	0.05	  	4	0.2	  	28	1.39	  	182	9.05	  	823	40.9	  	9	0.45	  	4	0.2	  	3	0.15	  	2012	95.58	  	93	4.42	  	2105	2.69
Netherby		                                   	10	0.69	  	2	0.14	  	199	13.73	  	0	0	  	1	0.07	  	988	68.18	  	0	0	  	2	0.14	  	13	0.9	  	61	4.21	  	159	10.97	  	10	0.69	  	3	0.21	  	1	0.07	  	1449	97.71	  	34	2.29	  	1483	1.89
North Brighton		                             	6	0.47	  	3	0.23	  	178	13.93	  	3	0.23	  	1	0.08	  	611	47.81	  	0	0	  	3	0.23	  	34	2.66	  	99	7.75	  	333	26.06	  	3	0.23	  	3	0.23	  	1	0.08	  	1278	97.56	  	32	2.44	  	1310	1.67
Oaklands Park		                              	13	1.06	  	6	0.49	  	169	13.78	  	0	0	  	2	0.16	  	515	42.01	  	0	0	  	7	0.57	  	17	1.39	  	113	9.22	  	377	30.75	  	0	0	  	3	0.24	  	4	0.33	  	1226	97.69	  	29	2.31	  	1255	1.6
Panorama		                                   	6	0.66	  	4	0.44	  	163	17.87	  	0	0	  	1	0.11	  	483	52.96	  	0	0	  	2	0.22	  	14	1.54	  	50	5.48	  	182	19.96	  	4	0.44	  	2	0.22	  	1	0.11	  	912	97.12	  	27	2.88	  	939	1.2
Pasadena		                                   	30	1.17	  	10	0.39	  	369	14.39	  	4	0.16	  	2	0.08	  	1078	42.03	  	1	0.04	  	13	0.51	  	41	1.6	  	187	7.29	  	820	31.97	  	3	0.12	  	0	0	  	7	0.27	  	2565	96.83	  	84	3.17	  	2649	3.38
St Marys		                                   	28	1.76	  	23	1.45	  	228	14.37	  	2	0.13	  	1	0.06	  	548	34.53	  	2	0.13	  	6	0.38	  	30	1.89	  	128	8.07	  	581	36.61	  	2	0.13	  	3	0.19	  	5	0.32	  	1587	97.06	  	48	2.94	  	1635	2.09
Seacliff		                                   	14	0.71	  	4	0.2	  	321	16.38	  	1	0.05	  	3	0.15	  	917	46.79	  	3	0.15	  	10	0.51	  	63	3.21	  	144	7.35	  	476	24.29	  	1	0.05	  	1	0.05	  	2	0.1	  	1960	98.15	  	37	1.85	  	1997	2.55
Seacombe Heights		                           	17	0.67	  	5	0.2	  	377	14.81	  	3	0.12	  	3	0.12	  	934	36.68	  	4	0.16	  	13	0.51	  	57	2.24	  	242	9.51	  	868	34.09	  	5	0.2	  	4	0.16	  	14	0.55	  	2546	97.21	  	73	2.79	  	2619	3.34
Seaview Downs		                              	12	0.92	  	10	0.77	  	200	15.36	  	4	0.31	  	3	0.23	  	584	44.85	  	1	0.08	  	3	0.23	  	24	1.84	  	111	8.53	  	343	26.34	  	4	0.31	  	3	0.23	  	0	0	  	1302	98.26	  	23	1.74	  	1325	1.69
Sturt		                                      	8	1.1	  	5	0.69	  	85	11.72	  	0	0	  	0	0	  	306	42.21	  	1	0.14	  	1	0.14	  	7	0.97	  	72	9.93	  	239	32.97	  	0	0	  	1	0.14	  	0	0	  	725	96.8	  	24	3.2	  	749	0.96
Tonsley Park		                               	9	0.74	  	11	0.9	  	157	12.86	  	0	0	  	1	0.08	  	292	23.91	  	2	0.16	  	7	0.57	  	13	1.06	  	108	8.85	  	616	50.45	  	1	0.08	  	4	0.33	  	0	0	  	1221	97.06	  	37	2.94	  	1258	1.61
Warradale		                                  	18	0.62	  	14	0.49	  	424	14.7	  	3	0.1	  	2	0.07	  	1254	43.48	  	1	0.03	  	11	0.38	  	49	1.7	  	239	8.29	  	864	29.96	  	0	0	  	4	0.14	  	1	0.03	  	2884	97.14	  	85	2.86	  	2969	3.79
Westbourne Park		                            	17	1.01	  	2	0.12	  	307	18.26	  	0	0	  	2	0.12	  	781	46.46	  	2	0.12	  	6	0.36	  	33	1.96	  	71	4.22	  	455	27.07	  	5	0.3	  	0	0	  	0	0	  	1681	97.96	  	35	2.04	  	1716	2.19
West Brighton		                              	6	0.43	  	1	0.07	  	224	15.93	  	0	0	  	2	0.14	  	793	56.4	  	0	0	  	4	0.28	  	20	1.42	  	64	4.55	  	288	20.48	  	0	0	  	4	0.28	  	0	0	  	1406	97.84	  	31	2.16	  	1437	1.83
Special Hospitals		                          	4	0.71	  	2	0.35	  	26	4.6	  	0	0	  	2	0.35	  	367	64.96	  	2	0.35	  	0	0	  	1	0.18	  	29	5.13	  	131	23.19	  	1	0.18	  	0	0	  	0	0	  	565	96.25	  	22	3.75	  	587	0.75
Total Ordinary		                             	528	0.87	  	235	0.39	  	10611	17.49	  	41	0.07	  	71	0.12	  	27039	44.57	  	34	0.06	  	254	0.42	  	1221	2.01	  	4048	6.67	  	16313	26.89	  	115	0.19	  	78	0.13	  	79	0.13	  	60667	97.4	  	1621	2.6	  	62288	79.54
ABSENT		                                     	57	0.98	  	16	0.27	  	1084	18.55	  	6	0.1	  	15	0.26	  	2497	42.72	  	2	0.03	  	32	0.55	  	207	3.54	  	346	5.92	  	1551	26.54	  	8	0.14	  	16	0.27	  	8	0.14	  	5845	98.28	  	102	1.72	  	5947	7.59
POSTAL		                                     	42	0.85	  	19	0.38	  	748	15.1	  	3	0.06	  	5	0.1	  	2413	48.72	  	3	0.06	  	11	0.22	  	80	1.62	  	351	7.09	  	1249	25.22	  	16	0.32	  	13	0.26	  	0	0	  	4953	99.38	  	31	0.62	  	4984	6.36
PRE_POLL		                                   	36	0.8	  	23	0.51	  	754	16.71	  	0	0	  	4	0.09	  	2017	44.69	  	1	0.02	  	25	0.55	  	143	3.17	  	289	6.4	  	1195	26.48	  	12	0.27	  	11	0.24	  	3	0.07	  	4513	98.9	  	50	1.1	  	4563	5.83
PROVISIONAL		                                	2	0.39	  	2	0.39	  	73	14.09	  	1	0.19	  	1	0.19	  	188	36.29	  	1	0.19	  	4	0.77	  	27	5.21	  	37	7.14	  	179	34.56	  	0	0	  	3	0.58	  	0	0	  	518	97.37	  	14	2.63	  	532	0.68
Division Summary		                           	665	0.87	  	295	0.39	  	13270	17.35	  	51	0.07	  	96	0.13	  	34154	44.65	  	41	0.05	  	326	0.43	  	1678	2.19	  	5071	6.63	  	20487	26.78	  	151	0.2	  	121	0.16	  	90	0.12	  	76496	97.68	  	1818	2.32	  	78314	96.26


Grey (82921)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Andamooka		                                  	1	0.39	  	6	2.33	  	11	4.26	  	0	0	  	0	0	  	77	29.84	  	0	0	  	0	0	  	4	1.55	  	74	28.68	  	84	32.56	  	0	0	  	1	0.39	  	0	0	  	258	95.56	  	12	4.44	  	270	0.34
Arno Bay		                                   	1	0.42	  	6	2.54	  	7	2.97	  	0	0	  	0	0	  	149	63.14	  	0	0	  	2	0.85	  	1	0.42	  	42	17.8	  	23	9.75	  	0	0	  	5	2.12	  	0	0	  	236	97.12	  	7	2.88	  	243	0.31
Blyth		                                      	2	0.62	  	5	1.54	  	12	3.69	  	0	0	  	2	0.62	  	210	64.62	  	0	0	  	0	0	  	2	0.62	  	45	13.85	  	40	12.31	  	0	0	  	7	2.15	  	0	0	  	325	98.48	  	5	1.52	  	330	0.42
Booborowie		                                 	0	0	  	1	0.7	  	5	3.52	  	0	0	  	0	0	  	94	66.2	  	0	0	  	1	0.7	  	1	0.7	  	19	13.38	  	20	14.08	  	1	0.7	  	0	0	  	0	0	  	142	98.61	  	2	1.39	  	144	0.18
Booleroo Centre		                            	2	0.57	  	4	1.15	  	20	5.75	  	0	0	  	1	0.29	  	263	75.57	  	0	0	  	2	0.57	  	5	1.44	  	31	8.91	  	15	4.31	  	0	0	  	5	1.44	  	0	0	  	348	96.94	  	11	3.06	  	359	0.46
Brinkworth		                                 	1	0.45	  	2	0.9	  	11	4.93	  	1	0.45	  	4	1.79	  	154	69.06	  	0	0	  	0	0	  	4	1.79	  	21	9.42	  	23	10.31	  	0	0	  	2	0.9	  	0	0	  	223	94.49	  	13	5.51	  	236	0.3
Burra		                                      	5	0.67	  	8	1.07	  	55	7.33	  	0	0	  	3	0.4	  	415	55.33	  	2	0.27	  	2	0.27	  	10	1.33	  	82	10.93	  	156	20.8	  	2	0.27	  	9	1.2	  	1	0.13	  	750	96.15	  	30	3.85	  	780	0.99
Ceduna		                                     	14	0.83	  	14	0.83	  	77	4.58	  	2	0.12	  	4	0.24	  	844	50.24	  	4	0.24	  	6	0.36	  	39	2.32	  	250	14.88	  	407	24.23	  	0	0	  	19	1.13	  	0	0	  	1680	95.62	  	77	4.38	  	1757	2.23
Clare		                                      	16	0.69	  	15	0.64	  	257	11.01	  	5	0.21	  	12	0.51	  	1295	55.46	  	4	0.17	  	9	0.39	  	37	1.58	  	180	7.71	  	452	19.36	  	3	0.13	  	50	2.14	  	0	0	  	2335	97.01	  	72	2.99	  	2407	3.06
Cleve		                                      	4	0.56	  	9	1.27	  	24	3.39	  	0	0	  	6	0.85	  	532	75.14	  	0	0	  	0	0	  	3	0.42	  	59	8.33	  	53	7.49	  	1	0.14	  	17	2.4	  	0	0	  	708	98.2	  	13	1.8	  	721	0.92
Coffin Bay		                                 	0	0	  	14	3.34	  	35	8.35	  	0	0	  	0	0	  	251	59.9	  	0	0	  	2	0.48	  	6	1.43	  	44	10.5	  	59	14.08	  	0	0	  	8	1.91	  	0	0	  	419	95.88	  	18	4.12	  	437	0.56
Coober Pedy		                                	4	0.39	  	6	0.59	  	58	5.68	  	1	0.1	  	1	0.1	  	345	33.76	  	1	0.1	  	6	0.59	  	14	1.37	  	223	21.82	  	359	35.13	  	0	0	  	4	0.39	  	0	0	  	1022	94.02	  	65	5.98	  	1087	1.38
Cowell		                                     	7	0.95	  	11	1.49	  	24	3.25	  	1	0.14	  	2	0.27	  	471	63.82	  	0	0	  	3	0.41	  	8	1.08	  	94	12.74	  	101	13.69	  	1	0.14	  	15	2.03	  	0	0	  	738	96.34	  	28	3.66	  	766	0.97
Crystal Brook		                              	2	0.22	  	14	1.53	  	64	6.98	  	1	0.11	  	1	0.11	  	473	51.58	  	3	0.33	  	2	0.22	  	7	0.76	  	115	12.54	  	219	23.88	  	0	0	  	14	1.53	  	2	0.22	  	917	96.93	  	29	3.07	  	946	1.2
