Senate - 1998 Election: Northern Territory																																																																												
First Preference Votes by Candidate																																																																												
By Polling Place																																																																												


Northern Territory (105048)																																																																												

	   		 A Australian Greens												 B Northern Territory Country Liberal Party												 C Australian Democrats												 D Pauline Hanson's One Nation												 E Australian Labor Party (ALP)												Ungrouped													
    			TICKET VOTES			MARTIN			GOUGH			Group Total			TICKET VOTES			# TAMBLING			AUSTIN			Group Total			TICKET VOTES			EDWARDS			CLEMENTS			Group Total			TICKET VOTES			HAGGER			MILLS			Group Total			TICKET VOTES			# CROSSIN			PHILLIPS			Group Total			POLKE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Lex			Andy									Grant			Maisie Pauline									Victor			Peter									Ted			Dee									Trish			Charlie						Jonathan													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Larapinta		                                  	20	1.47	  	9	0.66	  	0	0	  	29	2.12	  	631	46.23	  	54	3.96	  	13	0.95	  	698	51.14	  	67	4.91	  	18	1.32	  	13	0.95	  	98	7.18	  	109	7.99	  	16	1.17	  	5	0.37	  	130	9.52	  	376	27.55	  	30	2.2	  	3	0.22	  	409	29.96	  	1	0.07	  	1	0.07	  	1365	98.27	  	24	1.73	  	1389	1.46
Larrakeyah		                                 	37	2.54	  	18	1.24	  	1	0.07	  	56	3.85	  	768	52.75	  	68	4.67	  	15	1.03	  	851	58.45	  	53	3.64	  	18	1.24	  	3	0.21	  	74	5.08	  	80	5.49	  	21	1.44	  	9	0.62	  	110	7.55	  	298	20.47	  	42	2.88	  	12	0.82	  	352	24.18	  	13	0.89	  	13	0.89	  	1456	97.59	  	36	2.41	  	1492	1.57
Leanyer		                                    	50	2.28	  	9	0.41	  	0	0	  	59	2.69	  	869	39.57	  	104	4.74	  	24	1.09	  	997	45.4	  	88	4.01	  	35	1.59	  	3	0.14	  	126	5.74	  	143	6.51	  	27	1.23	  	7	0.32	  	177	8.06	  	717	32.65	  	88	4.01	  	15	0.68	  	820	37.34	  	17	0.77	  	17	0.77	  	2196	97.86	  	48	2.14	  	2244	2.36
Ludmilla		                                   	69	3.69	  	36	1.93	  	5	0.27	  	110	5.89	  	670	35.87	  	90	4.82	  	25	1.34	  	785	42.02	  	79	4.23	  	27	1.45	  	3	0.16	  	109	5.84	  	140	7.49	  	24	1.28	  	6	0.32	  	170	9.1	  	555	29.71	  	99	5.3	  	9	0.48	  	663	35.49	  	31	1.66	  	31	1.66	  	1868	97.44	  	49	2.56	  	1917	2.02
Moulden		                                    	11	1.45	  	9	1.19	  	0	0	  	20	2.64	  	243	32.1	  	29	3.83	  	1	0.13	  	273	36.06	  	27	3.57	  	9	1.19	  	1	0.13	  	37	4.89	  	81	10.7	  	18	2.38	  	3	0.4	  	102	13.47	  	275	36.33	  	38	5.02	  	3	0.4	  	316	41.74	  	9	1.19	  	9	1.19	  	757	98.57	  	11	1.43	  	768	0.81
Nakara		                                     	62	2.51	  	35	1.42	  	2	0.08	  	99	4.01	  	873	35.37	  	100	4.05	  	33	1.34	  	1006	40.76	  	100	4.05	  	52	2.11	  	6	0.24	  	158	6.4	  	131	5.31	  	45	1.82	  	5	0.2	  	181	7.33	  	853	34.56	  	126	5.11	  	19	0.77	  	998	40.44	  	26	1.05	  	26	1.05	  	2468	97.9	  	53	2.1	  	2521	2.66
Nhulunbuy		                                  	41	2.45	  	20	1.2	  	1	0.06	  	62	3.71	  	601	35.97	  	78	4.67	  	8	0.48	  	687	41.11	  	80	4.79	  	35	2.09	  	4	0.24	  	119	7.12	  	143	8.56	  	30	1.8	  	6	0.36	  	179	10.71	  	552	33.03	  	67	4.01	  	2	0.12	  	621	37.16	  	3	0.18	  	3	0.18	  	1671	98.12	  	32	1.88	  	1703	1.79
Nightcliff		                                 	126	3.41	  	75	2.03	  	9	0.24	  	210	5.68	  	1293	34.99	  	148	4.01	  	60	1.62	  	1501	40.62	  	184	4.98	  	73	1.98	  	18	0.49	  	275	7.44	  	220	5.95	  	49	1.33	  	15	0.41	  	284	7.69	  	1157	31.31	  	192	5.2	  	26	0.7	  	1375	37.21	  	50	1.35	  	50	1.35	  	3695	97.34	  	101	2.66	  	3796	4
Parap		                                      	102	3.5	  	50	1.72	  	8	0.27	  	160	5.49	  	1158	39.77	  	139	4.77	  	25	0.86	  	1322	45.4	  	121	4.16	  	60	2.06	  	7	0.24	  	188	6.46	  	158	5.43	  	32	1.1	  	7	0.24	  	197	6.77	  	843	28.95	  	150	5.15	  	13	0.45	  	1006	34.55	  	39	1.34	  	39	1.34	  	2912	97.03	  	89	2.97	  	3001	3.16
Pine Creek		                                 	2	1.05	  	1	0.53	  	0	0	  	3	1.58	  	68	35.79	  	7	3.68	  	1	0.53	  	76	40	  	7	3.68	  	1	0.53	  	0	0	  	8	4.21	  	41	21.58	  	4	2.11	  	1	0.53	  	46	24.21	  	48	25.26	  	6	3.16	  	2	1.05	  	56	29.47	  	1	0.53	  	1	0.53	  	190	98.45	  	3	1.55	  	193	0.2
Rapid Creek		                                	47	2.64	  	30	1.69	  	2	0.11	  	79	4.44	  	506	28.43	  	60	3.37	  	15	0.84	  	581	32.64	  	66	3.71	  	32	1.8	  	3	0.17	  	101	5.67	  	105	5.9	  	31	1.74	  	12	0.67	  	148	8.31	  	725	40.73	  	102	5.73	  	20	1.12	  	847	47.58	  	24	1.35	  	24	1.35	  	1780	97.48	  	46	2.52	  	1826	1.92
Sadadeen		                                   	56	2.45	  	35	1.53	  	7	0.31	  	98	4.29	  	906	39.7	  	102	4.47	  	16	0.7	  	1024	44.87	  	153	6.7	  	43	1.88	  	8	0.35	  	204	8.94	  	191	8.37	  	26	1.14	  	6	0.26	  	223	9.77	  	644	28.22	  	69	3.02	  	11	0.48	  	724	31.73	  	9	0.39	  	9	0.39	  	2282	98.57	  	33	1.43	  	2315	2.44
Stuart Park		                                	52	3.55	  	23	1.57	  	5	0.34	  	80	5.46	  	569	38.87	  	64	4.37	  	16	1.09	  	649	44.33	  	61	4.17	  	26	1.78	  	2	0.14	  	89	6.08	  	81	5.53	  	23	1.57	  	4	0.27	  	108	7.38	  	411	28.07	  	82	5.6	  	11	0.75	  	504	34.43	  	34	2.32	  	34	2.32	  	1464	98.45	  	23	1.55	  	1487	1.57
Tennant Creek		                              	49	3.57	  	14	1.02	  	1	0.07	  	64	4.66	  	408	29.72	  	59	4.3	  	10	0.73	  	477	34.74	  	34	2.48	  	14	1.02	  	0	0	  	48	3.5	  	181	13.18	  	33	2.4	  	4	0.29	  	218	15.88	  	504	36.71	  	48	3.5	  	12	0.87	  	564	41.08	  	2	0.15	  	2	0.15	  	1373	97.79	  	31	2.21	  	1404	1.48
Tindal		                                     	2	0.62	  	2	0.62	  	0	0	  	4	1.24	  	148	45.82	  	15	4.64	  	4	1.24	  	167	51.7	  	17	5.26	  	2	0.62	  	0	0	  	19	5.88	  	59	18.27	  	10	3.1	  	3	0.93	  	72	22.29	  	55	17.03	  	3	0.93	  	2	0.62	  	60	18.58	  	1	0.31	  	1	0.31	  	323	99.08	  	3	0.92	  	326	0.34
Tiwi		                                       	21	2.23	  	19	2.02	  	1	0.11	  	41	4.35	  	260	27.6	  	29	3.08	  	13	1.38	  	302	32.06	  	70	7.43	  	24	2.55	  	0	0	  	94	9.98	  	55	5.84	  	19	2.02	  	7	0.74	  	81	8.6	  	355	37.69	  	57	6.05	  	5	0.53	  	417	44.27	  	7	0.74	  	7	0.74	  	942	98.43	  	15	1.57	  	957	1.01
Wanguri		                                    	46	2.26	  	16	0.79	  	4	0.2	  	66	3.24	  	724	35.58	  	76	3.73	  	11	0.54	  	811	39.85	  	93	4.57	  	32	1.57	  	2	0.1	  	127	6.24	  	96	4.72	  	35	1.72	  	4	0.2	  	135	6.63	  	767	37.69	  	98	4.82	  	13	0.64	  	878	43.14	  	18	0.88	  	18	0.88	  	2035	97.6	  	50	2.4	  	2085	2.2
West Island		                                	1	2.7	  	3	8.11	  	0	0	  	4	10.81	  	9	24.32	  	2	5.41	  	0	0	  	11	29.73	  	4	10.81	  	3	8.11	  	0	0	  	7	18.92	  	0	0	  	0	0	  	0	0	  	0	0	  	12	32.43	  	3	8.11	  	0	0	  	15	40.54	  	0	0	  	0	0	  	37	100	  	0	0	  	37	0.04
Woodroffe		                                  	12	1.37	  	6	0.69	  	0	0	  	18	2.06	  	319	36.54	  	30	3.44	  	10	1.15	  	359	41.12	  	25	2.86	  	10	1.15	  	0	0	  	35	4.01	  	110	12.6	  	18	2.06	  	4	0.46	  	132	15.12	  	272	31.16	  	34	3.89	  	7	0.8	  	313	35.85	  	16	1.83	  	16	1.83	  	873	98.98	  	9	1.02	  	882	0.93
Wulagi		                                     	25	2.26	  	9	0.81	  	1	0.09	  	35	3.17	  	371	33.57	  	45	4.07	  	10	0.9	  	426	38.55	  	66	5.97	  	15	1.36	  	3	0.27	  	84	7.6	  	89	8.05	  	23	2.08	  	5	0.45	  	117	10.59	  	377	34.12	  	46	4.16	  	7	0.63	  	430	38.91	  	13	1.18	  	13	1.18	  	1105	98.22	  	20	1.78	  	1125	1.19
Yirara		                                     	8	1.22	  	15	2.29	  	1	0.15	  	24	3.67	  	323	49.39	  	24	3.67	  	2	0.31	  	349	53.36	  	34	5.2	  	11	1.68	  	8	1.22	  	53	8.1	  	52	7.95	  	6	0.92	  	4	0.61	  	62	9.48	  	144	22.02	  	16	2.45	  	6	0.92	  	166	25.38	  	0	0	  	0	0	  	654	97.9	  	14	2.1	  	668	0.7
Yulara		                                     	22	6.16	  	12	3.36	  	2	0.56	  	36	10.08	  	144	40.34	  	7	1.96	  	5	1.4	  	156	43.7	  	25	7	  	6	1.68	  	1	0.28	  	32	8.96	  	11	3.08	  	4	1.12	  	0	0	  	15	4.2	  	108	30.25	  	10	2.8	  	0	0	  	118	33.05	  	0	0	  	0	0	  	357	99.44	  	2	0.56	  	359	0.38
Special Hospitals		                          	10	4.26	  	0	0	  	0	0	  	10	4.26	  	83	35.32	  	5	2.13	  	0	0	  	88	37.45	  	10	4.26	  	1	0.43	  	0	0	  	11	4.68	  	7	2.98	  	3	1.28	  	1	0.43	  	11	4.68	  	111	47.23	  	3	1.28	  	0	0	  	114	48.51	  	1	0.43	  	1	0.43	  	235	99.16	  	2	0.84	  	237	0.25
Remote Mobiles		                             	890	6.75	  	93	0.71	  	13	0.1	  	996	7.55	  	2006	15.21	  	149	1.13	  	27	0.2	  	2182	16.55	  	289	2.19	  	60	0.45	  	12	0.09	  	361	2.74	  	308	2.34	  	36	0.27	  	11	0.08	  	355	2.69	  	8828	66.94	  	376	2.85	  	81	0.61	  	9285	70.41	  	8	0.06	  	8	0.06	  	13187	97.28	  	369	2.72	  	13556	14.29
Prison Mobiles		                             	13	5.6	  	1	0.43	  	0	0	  	14	6.03	  	50	21.55	  	1	0.43	  	0	0	  	51	21.98	  	10	4.31	  	0	0	  	0	0	  	10	4.31	  	9	3.88	  	1	0.43	  	0	0	  	10	4.31	  	140	60.34	  	6	2.59	  	1	0.43	  	147	63.36	  	0	0	  	0	0	  	232	98.72	  	3	1.28	  	235	0.25
Total Ordinary		                             	2606	3.28	  	868	1.09	  	108	0.14	  	3582	4.51	  	26796	33.76	  	2832	3.57	  	549	0.69	  	30177	38.01	  	3144	3.96	  	1088	1.37	  	165	0.21	  	4397	5.54	  	5781	7.28	  	1101	1.39	  	292	0.37	  	7174	9.04	  	29895	37.66	  	3105	3.91	  	456	0.57	  	33456	42.15	  	596	0.75	  	596	0.75	  	79382	97.87	  	1731	2.13	  	81113	85.48
POSTAL		                                     	66	2.34	  	24	0.85	  	8	0.28	  	98	3.48	  	1200	42.63	  	223	7.92	  	28	0.99	  	1451	51.55	  	115	4.09	  	36	1.28	  	7	0.25	  	158	5.61	  	275	9.77	  	81	2.88	  	19	0.67	  	375	13.32	  	589	20.92	  	114	4.05	  	17	0.6	  	720	25.58	  	13	0.46	  	13	0.46	  	2815	99.15	  	24	0.85	  	2839	2.99
PRE_POLL		                                   	262	3.09	  	118	1.39	  	15	0.18	  	395	4.65	  	3291	38.76	  	411	4.84	  	67	0.79	  	3769	44.39	  	345	4.06	  	122	1.44	  	16	0.19	  	483	5.69	  	743	8.75	  	141	1.66	  	23	0.27	  	907	10.68	  	2455	28.92	  	374	4.41	  	55	0.65	  	2884	33.97	  	52	0.61	  	52	0.61	  	8490	99	  	86	1	  	8576	9.04
PROVISIONAL		                                	124	5.36	  	28	1.21	  	5	0.22	  	157	6.78	  	605	26.13	  	54	2.33	  	7	0.3	  	666	28.77	  	72	3.11	  	6	0.26	  	3	0.13	  	81	3.5	  	179	7.73	  	18	0.78	  	4	0.17	  	201	8.68	  	1085	46.87	  	105	4.54	  	9	0.39	  	1199	51.79	  	11	0.48	  	11	0.48	  	2315	98.05	  	46	1.95	  	2361	2.49
Division Summary		                           	3058	3.29	  	1038	1.12	  	136	0.15	  	4232	4.55	  	31892	34.29	  	3520	3.78	  	651	0.7	  	36063	38.78	  	3676	3.95	  	1252	1.35	  	191	0.21	  	5119	5.5	  	6978	7.5	  	1341	1.44	  	338	0.36	  	8657	9.31	  	34024	36.58	  	3698	3.98	  	537	0.58	  	38259	41.14	  	672	0.72	  	672	0.72	  	93002	98.01	  	1887	1.99	  	94889	90.33
 																																																																												
 
