Senate -  1998 Election: Tasmania																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Bass (65933)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Pipers River		                               	1	0.39	  	12	4.67	  	101	39.3	  	0	0	  	8	3.11	  	0	0	  	5	1.95	  	10	3.89	  	97	37.74	  	0	0	  	23	8.95	  	0	0	  	0	0	  	257	94.83	  	14	5.17	  	271	0.43
Prospect		                                   	17	0.38	  	110	2.43	  	1770	39.12	  	12	0.27	  	55	1.22	  	20	0.44	  	145	3.2	  	353	7.8	  	1872	41.37	  	3	0.07	  	151	3.34	  	12	0.27	  	5	0.11	  	4525	97.42	  	120	2.58	  	4645	7.33
Prospect Vale		                              	3	0.24	  	23	1.81	  	645	50.63	  	5	0.39	  	16	1.26	  	3	0.24	  	47	3.69	  	95	7.46	  	402	31.55	  	0	0	  	33	2.59	  	1	0.08	  	1	0.08	  	1274	98.3	  	22	1.7	  	1296	2.04
Ravenswood		                                 	17	0.71	  	54	2.25	  	433	18.04	  	3	0.13	  	50	2.08	  	2	0.08	  	47	1.96	  	126	5.25	  	1538	64.08	  	2	0.08	  	115	4.79	  	13	0.54	  	0	0	  	2400	94.56	  	138	5.44	  	2538	4
Ringarooma		                                 	4	1.06	  	9	2.39	  	169	44.83	  	0	0	  	7	1.86	  	1	0.27	  	7	1.86	  	32	8.49	  	129	34.22	  	0	0	  	19	5.04	  	0	0	  	0	0	  	377	95.93	  	16	4.07	  	393	0.62
Riverside		                                  	6	0.23	  	132	5.05	  	1272	48.68	  	2	0.08	  	35	1.34	  	18	0.69	  	103	3.94	  	258	9.87	  	705	26.98	  	2	0.08	  	73	2.79	  	4	0.15	  	3	0.11	  	2613	97.94	  	55	2.06	  	2668	4.21
Riverside West		                             	5	0.48	  	48	4.58	  	421	40.21	  	5	0.48	  	9	0.86	  	1	0.1	  	41	3.92	  	120	11.46	  	370	35.34	  	1	0.1	  	23	2.2	  	1	0.1	  	2	0.19	  	1047	97.21	  	30	2.79	  	1077	1.7
Rocherlea		                                  	9	0.67	  	37	2.76	  	278	20.72	  	3	0.22	  	36	2.68	  	4	0.3	  	32	2.38	  	67	4.99	  	813	60.58	  	1	0.07	  	55	4.1	  	6	0.45	  	1	0.07	  	1342	95.31	  	66	4.69	  	1408	2.22
St Leonards		                                	1	0.09	  	32	2.79	  	419	36.56	  	0	0	  	28	2.44	  	6	0.52	  	39	3.4	  	81	7.07	  	461	40.23	  	0	0	  	72	6.28	  	4	0.35	  	3	0.26	  	1146	97.87	  	25	2.13	  	1171	1.85
Scottsdale		                                 	16	0.86	  	51	2.73	  	859	46.03	  	2	0.11	  	40	2.14	  	5	0.27	  	52	2.79	  	156	8.36	  	600	32.15	  	2	0.11	  	78	4.18	  	3	0.16	  	2	0.11	  	1866	97.09	  	56	2.91	  	1922	3.03
Trevallyn		                                  	4	0.21	  	187	9.62	  	840	43.21	  	3	0.15	  	14	0.72	  	8	0.41	  	127	6.53	  	187	9.62	  	534	27.47	  	1	0.05	  	38	1.95	  	0	0	  	1	0.05	  	1944	98.53	  	29	1.47	  	1973	3.11
Waverley		                                   	5	0.55	  	14	1.55	  	180	19.98	  	3	0.33	  	19	2.11	  	5	0.55	  	23	2.55	  	50	5.55	  	541	60.04	  	0	0	  	57	6.33	  	3	0.33	  	1	0.11	  	901	94.54	  	52	5.46	  	953	1.5
Weymouth		                                   	0	0	  	3	2.1	  	69	48.25	  	0	0	  	1	0.7	  	0	0	  	8	5.59	  	10	6.99	  	48	33.57	  	1	0.7	  	3	2.1	  	0	0	  	0	0	  	143	98.62	  	2	1.38	  	145	0.23
Whitemark		                                  	4	1.35	  	17	5.72	  	129	43.43	  	1	0.34	  	7	2.36	  	2	0.67	  	15	5.05	  	11	3.7	  	84	28.28	  	0	0	  	24	8.08	  	2	0.67	  	1	0.34	  	297	97.06	  	9	2.94	  	306	0.48
Windmill Hill		                              	1	0.2	  	43	8.76	  	259	52.75	  	2	0.41	  	1	0.2	  	0	0	  	36	7.33	  	38	7.74	  	100	20.37	  	0	0	  	9	1.83	  	2	0.41	  	0	0	  	491	98	  	10	2	  	501	0.79
Winnaleah		                                  	0	0	  	8	3.4	  	113	48.09	  	1	0.43	  	13	5.53	  	3	1.28	  	3	1.28	  	21	8.94	  	64	27.23	  	0	0	  	9	3.83	  	0	0	  	0	0	  	235	97.11	  	7	2.89	  	242	0.38
Young Town		                                 	8	0.55	  	33	2.26	  	519	35.5	  	6	0.41	  	20	1.37	  	6	0.41	  	59	4.04	  	99	6.77	  	667	45.62	  	2	0.14	  	39	2.67	  	1	0.07	  	3	0.21	  	1462	97.14	  	43	2.86	  	1505	2.37
Special Hospitals		                          	3	0.42	  	20	2.83	  	347	49.08	  	2	0.28	  	6	0.85	  	3	0.42	  	12	1.7	  	68	9.62	  	227	32.11	  	0	0	  	14	1.98	  	4	0.57	  	1	0.14	  	707	97.38	  	19	2.62	  	726	1.15
Total Ordinary		                             	309	0.57	  	2623	4.86	  	19834	36.78	  	124	0.23	  	856	1.59	  	214	0.4	  	1970	3.65	  	3992	7.4	  	21717	40.28	  	37	0.07	  	2036	3.78	  	147	0.27	  	62	0.11	  	53921	96.84	  	1758	3.16	  	55679	87.81
ABSENT		                                     	5	0.21	  	213	9.05	  	833	35.4	  	7	0.3	  	39	1.66	  	16	0.68	  	108	4.59	  	216	9.18	  	824	35.02	  	1	0.04	  	82	3.48	  	5	0.21	  	4	0.17	  	2353	98.37	  	39	1.63	  	2392	3.77
POSTAL		                                     	8	0.31	  	107	4.2	  	937	36.77	  	2	0.08	  	43	1.69	  	8	0.31	  	57	2.24	  	210	8.24	  	1053	41.33	  	3	0.12	  	116	4.55	  	3	0.12	  	1	0.04	  	2548	98.42	  	41	1.58	  	2589	4.08
PRE_POLL		                                   	15	0.59	  	188	7.33	  	1045	40.76	  	9	0.35	  	60	2.34	  	14	0.55	  	115	4.49	  	135	5.27	  	867	33.81	  	3	0.12	  	109	4.25	  	4	0.16	  	0	0	  	2564	98.81	  	31	1.19	  	2595	4.09
PROVISIONAL		                                	1	0.68	  	9	6.16	  	36	24.66	  	0	0	  	0	0	  	0	0	  	3	2.05	  	4	2.74	  	82	56.16	  	0	0	  	11	7.53	  	0	0	  	0	0	  	146	97.33	  	4	2.67	  	150	0.24
Division Summary		                           	338	0.55	  	3140	5.1	  	22685	36.87	  	142	0.23	  	998	1.62	  	252	0.41	  	2253	3.66	  	4557	7.41	  	24543	39.89	  	44	0.07	  	2354	3.83	  	159	0.26	  	67	0.11	  	61532	97.05	  	1873	2.95	  	63405	96.17


Braddon (62419)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abbotsham		                                  	2	1.24	  	6	3.73	  	87	54.04	  	0	0	  	3	1.86	  	2	1.24	  	8	4.97	  	6	3.73	  	40	24.84	  	0	0	  	7	4.35	  	0	0	  	0	0	  	161	98.77	  	2	1.23	  	163	0.27
Acton		                                      	12	0.65	  	23	1.25	  	330	17.93	  	5	0.27	  	20	1.09	  	4	0.22	  	44	2.39	  	87	4.73	  	1221	66.36	  	1	0.05	  	83	4.51	  	6	0.33	  	4	0.22	  	1840	96.23	  	72	3.77	  	1912	3.17
Addison Street		                             	11	1.31	  	19	2.26	  	282	33.53	  	1	0.12	  	8	0.95	  	1	0.12	  	15	1.78	  	67	7.97	  	392	46.61	  	1	0.12	  	28	3.33	  	3	0.36	  	13	1.55	  	841	94.28	  	51	5.72	  	892	1.48
Ambleside		                                  	3	0.52	  	18	3.11	  	242	41.87	  	2	0.35	  	5	0.87	  	1	0.17	  	18	3.11	  	41	7.09	  	205	35.47	  	1	0.17	  	21	3.63	  	0	0	  	21	3.63	  	578	97.64	  	14	2.36	  	592	0.98
Blythe Heads		                               	4	1.96	  	11	5.39	  	42	20.59	  	1	0.49	  	2	0.98	  	0	0	  	4	1.96	  	16	7.84	  	106	51.96	  	0	0	  	17	8.33	  	0	0	  	1	0.49	  	204	95.33	  	10	4.67	  	214	0.35
Boat Harbour		                               	0	0	  	25	9.23	  	127	46.86	  	0	0	  	0	0	  	0	0	  	9	3.32	  	22	8.12	  	72	26.57	  	0	0	  	12	4.43	  	1	0.37	  	3	1.11	  	271	97.13	  	8	2.87	  	279	0.46
Brooklyn		                                   	8	1.36	  	13	2.21	  	173	29.37	  	0	0	  	3	0.51	  	0	0	  	13	2.21	  	38	6.45	  	306	51.95	  	0	0	  	32	5.43	  	1	0.17	  	2	0.34	  	589	96.24	  	23	3.76	  	612	1.01
Burnie		                                     	7	0.57	  	75	6.11	  	432	35.18	  	3	0.24	  	5	0.41	  	7	0.57	  	50	4.07	  	116	9.45	  	478	38.93	  	0	0	  	43	3.5	  	7	0.57	  	5	0.41	  	1228	97.31	  	34	2.69	  	1262	2.09
Burnie South		                               	1	0.26	  	12	3.13	  	136	35.42	  	0	0	  	3	0.78	  	1	0.26	  	7	1.82	  	31	8.07	  	177	46.09	  	1	0.26	  	13	3.39	  	1	0.26	  	1	0.26	  	384	96	  	16	4	  	400	0.66
Calder		                                     	0	0	  	1	1.25	  	32	40	  	0	0	  	1	1.25	  	0	0	  	5	6.25	  	7	8.75	  	27	33.75	  	0	0	  	7	8.75	  	0	0	  	0	0	  	80	98.77	  	1	1.23	  	81	0.13
Cooee		                                      	5	0.64	  	37	4.7	  	285	36.21	  	0	0	  	11	1.4	  	6	0.76	  	36	4.57	  	68	8.64	  	311	39.52	  	0	0	  	24	3.05	  	1	0.13	  	3	0.38	  	787	96.56	  	28	3.44	  	815	1.35
Cuprona		                                    	1	0.8	  	5	4	  	60	48	  	1	0.8	  	7	5.6	  	0	0	  	0	0	  	5	4	  	40	32	  	0	0	  	6	4.8	  	0	0	  	0	0	  	125	93.98	  	8	6.02	  	133	0.22
Currie		                                     	11	1.34	  	35	4.28	  	409	50	  	3	0.37	  	19	2.32	  	1	0.12	  	24	2.93	  	34	4.16	  	213	26.04	  	0	0	  	63	7.7	  	6	0.73	  	0	0	  	818	96.58	  	29	3.42	  	847	1.4
