Senate -  1998 Election: Tasmania																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Bass (65933)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
POSTAL		                                     	11	0.35	  	181	5.81	  	927	29.77	  	5	0.16	  	30	0.96	  	8	0.26	  	116	3.73	  	363	11.66	  	1386	44.51	  	1	0.03	  	76	2.44	  	8	0.26	  	2	0.06	  	3114	97.89	  	67	2.11	  	3181	4.94
PRE_POLL		                                   	8	0.26	  	411	13.55	  	949	31.28	  	4	0.13	  	26	0.86	  	8	0.26	  	212	6.99	  	241	7.94	  	1058	34.87	  	8	0.26	  	92	3.03	  	8	0.26	  	9	0.3	  	3034	98.99	  	31	1.01	  	3065	4.76
PROVISIONAL		                                	2	1.04	  	21	10.94	  	34	17.71	  	1	0.52	  	2	1.04	  	0	0	  	6	3.13	  	5	2.6	  	115	59.9	  	0	0	  	4	2.08	  	2	1.04	  	0	0	  	192	96.48	  	7	3.52	  	199	0.31
Division Summary		                           	299	0.48	  	5323	8.5	  	18182	29.04	  	186	0.3	  	447	0.71	  	113	0.18	  	3441	5.5	  	5963	9.52	  	26926	43.01	  	60	0.1	  	1452	2.32	  	162	0.26	  	54	0.09	  	62608	97.17	  	1826	2.83	  	64434	95.65


Franklin (65769)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adventure Bay		                              	0	0	  	21	15.56	  	35	25.93	  	0	0	  	3	2.22	  	0	0	  	5	3.7	  	5	3.7	  	62	45.93	  	0	0	  	4	2.96	  	0	0	  	0	0	  	135	95.07	  	7	4.93	  	142	0.22
Alonnah		                                    	1	0.52	  	41	21.13	  	57	29.38	  	0	0	  	1	0.52	  	0	0	  	7	3.61	  	11	5.67	  	69	35.57	  	0	0	  	6	3.09	  	0	0	  	1	0.52	  	194	96.04	  	8	3.96	  	202	0.32
Barnes Bay		                                 	0	0	  	15	14.29	  	21	20	  	0	0	  	4	3.81	  	1	0.95	  	4	3.81	  	6	5.71	  	49	46.67	  	1	0.95	  	4	3.81	  	0	0	  	0	0	  	105	99.06	  	1	0.94	  	106	0.17
Bellerive		                                  	11	0.39	  	180	6.45	  	1013	36.31	  	10	0.36	  	31	1.11	  	5	0.18	  	179	6.42	  	334	11.97	  	954	34.19	  	4	0.14	  	62	2.22	  	6	0.22	  	1	0.04	  	2790	97.48	  	72	2.52	  	2862	4.52
Blackmans Bay		                              	7	0.26	  	204	7.55	  	1057	39.13	  	9	0.33	  	25	0.93	  	5	0.19	  	169	6.26	  	267	9.89	  	895	33.14	  	2	0.07	  	54	2	  	6	0.22	  	1	0.04	  	2701	97.79	  	61	2.21	  	2762	4.36
Bligh		                                      	19	2.26	  	20	2.38	  	107	12.71	  	2	0.24	  	6	0.71	  	3	0.36	  	8	0.95	  	64	7.6	  	579	68.76	  	0	0	  	27	3.21	  	6	0.71	  	1	0.12	  	842	94.82	  	46	5.18	  	888	1.4
Bridgewater		                                	19	0.82	  	34	1.48	  	356	15.45	  	4	0.17	  	26	1.13	  	4	0.17	  	28	1.22	  	132	5.73	  	1598	69.36	  	5	0.22	  	89	3.86	  	7	0.3	  	2	0.09	  	2304	95.09	  	119	4.91	  	2423	3.82
Cambridge		                                  	9	1.08	  	51	6.12	  	374	44.84	  	4	0.48	  	8	0.96	  	4	0.48	  	30	3.6	  	63	7.55	  	257	30.82	  	1	0.12	  	32	3.84	  	1	0.12	  	0	0	  	834	98.23	  	15	1.77	  	849	1.34
Clarendon Vale		                             	9	1.25	  	11	1.53	  	82	11.4	  	2	0.28	  	11	1.53	  	2	0.28	  	15	2.09	  	23	3.2	  	540	75.1	  	1	0.14	  	21	2.92	  	2	0.28	  	0	0	  	719	96.25	  	28	3.75	  	747	1.18
Cradoc		                                     	2	0.89	  	28	12.44	  	87	38.67	  	1	0.44	  	2	0.89	  	1	0.44	  	11	4.89	  	21	9.33	  	62	27.56	  	0	0	  	10	4.44	  	0	0	  	0	0	  	225	98.25	  	4	1.75	  	229	0.36
Cygnet		                                     	10	0.66	  	176	11.68	  	408	27.07	  	4	0.27	  	10	0.66	  	1	0.07	  	63	4.18	  	168	11.15	  	612	40.61	  	0	0	  	50	3.32	  	4	0.27	  	1	0.07	  	1507	96.36	  	57	3.64	  	1564	2.47
Dover		                                      	4	0.81	  	28	5.68	  	132	26.77	  	2	0.41	  	13	2.64	  	0	0	  	16	3.25	  	25	5.07	  	238	48.28	  	1	0.2	  	31	6.29	  	2	0.41	  	1	0.2	  	493	95.17	  	25	4.83	  	518	0.82
East Risdon		                                	1	0.39	  	10	3.89	  	97	37.74	  	1	0.39	  	2	0.78	  	0	0	  	11	4.28	  	23	8.95	  	99	38.52	  	0	0	  	13	5.06	  	0	0	  	0	0	  	257	96.98	  	8	3.02	  	265	0.42
Franklin		                                   	2	0.4	  	60	11.98	  	163	32.53	  	4	0.8	  	10	2	  	3	0.6	  	18	3.59	  	35	6.99	  	189	37.72	  	1	0.2	  	16	3.19	  	0	0	  	0	0	  	501	95.61	  	23	4.39	  	524	0.83
Gagebrook		                                  	16	0.94	  	18	1.06	  	314	18.41	  	3	0.18	  	19	1.11	  	2	0.12	  	41	2.4	  	102	5.98	  	1124	65.89	  	0	0	  	62	3.63	  	4	0.23	  	1	0.06	  	1706	97.43	  	45	2.57	  	1751	2.76
Geeveston		                                  	2	0.27	  	32	4.24	  	238	31.56	  	4	0.53	  	16	2.12	  	4	0.53	  	27	3.58	  	75	9.95	  	313	41.51	  	2	0.27	  	39	5.17	  	2	0.27	  	0	0	  	754	95.56	  	35	4.44	  	789	1.24
Geilston Bay		                               	5	0.34	  	60	4.03	  	560	37.58	  	6	0.4	  	12	0.81	  	3	0.2	  	78	5.23	  	132	8.86	  	597	40.07	  	0	0	  	32	2.15	  	3	0.2	  	2	0.13	  	1490	98.16	  	28	1.84	  	1518	2.4
Glen Huon		                                  	1	0.4	  	12	4.86	  	94	38.06	  	0	0	  	11	4.45	  	0	0	  	21	8.5	  	19	7.69	  	74	29.96	  	0	0	  	15	6.07	  	0	0	  	0	0	  	247	96.86	  	8	3.14	  	255	0.4
Grove		                                      	1	0.17	  	49	8.43	  	213	36.66	  	1	0.17	  	9	1.55	  	3	0.52	  	32	5.51	  	38	6.54	  	195	33.56	  	1	0.17	  	37	6.37	  	1	0.17	  	1	0.17	  	581	97.32	  	16	2.68	  	597	0.94
Howden		                                     	0	0	  	35	14.96	  	83	35.47	  	0	0	  	8	3.42	  	0	0	  	24	10.26	  	16	6.84	  	62	26.5	  	0	0	  	5	2.14	  	0	0	  	1	0.43	  	234	97.1	  	7	2.9	  	241	0.38
Howrah		                                     	10	0.37	  	122	4.47	  	1156	42.33	  	4	0.15	  	11	0.4	  	4	0.15	  	116	4.25	  	284	10.4	  	955	34.97	  	3	0.11	  	59	2.16	  	4	0.15	  	3	0.11	  	2731	97.05	  	83	2.95	  	2814	4.44
Huonville		                                  	7	0.47	  	100	6.77	  	538	36.43	  	3	0.2	  	21	1.42	  	4	0.27	  	58	3.93	  	108	7.31	  	582	39.4	  	1	0.07	  	45	3.05	  	10	0.68	  	0	0	  	1477	94.98	  	78	5.02	  	1555	2.45
Judbury		                                    	2	0.92	  	20	9.17	  	74	33.94	  	0	0	  	9	4.13	  	0	0	  	7	3.21	  	17	7.8	  	78	35.78	  	0	0	  	10	4.59	  	1	0.46	  	0	0	  	218	97.32	  	6	2.68	  	224	0.35
Kettering		                                  	3	0.66	  	55	12.01	  	167	36.46	  	1	0.22	  	10	2.18	  	3	0.66	  	22	4.8	  	47	10.26	  	136	29.69	  	1	0.22	  	12	2.62	  	1	0.22	  	0	0	  	458	97.65	  	11	2.35	  	469	0.74
Kingston		                                   	13	0.33	  	271	6.83	  	1606	40.47	  	13	0.33	  	31	0.78	  	18	0.45	  	214	5.39	  	362	9.12	  	1344	33.87	  	4	0.1	  	86	2.17	  	3	0.08	  	3	0.08	  	3968	97.88	  	86	2.12	  	4054	6.4
Kingston Beach		                             	11	0.43	  	207	8.03	  	1073	41.62	  	7	0.27	  	13	0.5	  	17	0.66	  	192	7.45	  	238	9.23	  	761	29.52	  	2	0.08	  	48	1.86	  	6	0.23	  	3	0.12	  	2578	98.47	  	40	1.53	  	2618	4.13
Lauderdale		                                 	6	0.26	  	158	6.88	  	920	40.03	  	2	0.09	  	18	0.78	  	8	0.35	  	103	4.48	  	211	9.18	  	805	35.03	  	1	0.04	  	61	2.65	  	5	0.22	  	0	0	  	2298	97.87	  	50	2.13	  	2348	3.7
Lindisfarne		                                	12	0.48	  	163	6.55	  	1017	40.84	  	6	0.24	  	9	0.36	  	2	0.08	  	161	6.47	  	270	10.84	  	798	32.05	  	0	0	  	50	2.01	  	1	0.04	  	1	0.04	  	2490	97.76	  	57	2.24	  	2547	4.02
Loatta Road		                                	9	0.59	  	97	6.35	  	623	40.8	  	4	0.26	  	17	1.11	  	3	0.2	  	100	6.55	  	186	12.18	  	456	29.86	  	2	0.13	  	24	1.57	  	3	0.2	  	3	0.2	  	1527	97.95	  	32	2.05	  	1559	2.46
Margate		                                    	4	0.26	  	163	10.64	  	540	35.25	  	4	0.26	  	18	1.17	  	7	0.46	  	99	6.46	  	135	8.81	  	507	33.09	  	1	0.07	  	51	3.33	  	3	0.2	  	0	0	  	1532	97.46	  	40	2.54	  	1572	2.48
Middleton		                                  	1	0.38	  	30	11.36	  	49	18.56	  	1	0.38	  	8	3.03	  	0	0	  	16	6.06	  	21	7.95	  	124	46.97	  	0	0	  	14	5.3	  	0	0	  	0	0	  	264	96.7	  	9	3.3	  	273	0.43
Montagu Bay		                                	3	0.24	  	90	7.26	  	514	41.49	  	1	0.08	  	6	0.48	  	1	0.08	  	79	6.38	  	133	10.73	  	387	31.23	  	0	0	  	23	1.86	  	0	0	  	2	0.16	  	1239	97.41	  	33	2.59	  	1272	2.01
Mornington		                                 	2	0.47	  	25	5.87	  	89	20.89	  	1	0.23	  	9	2.11	  	0	0	  	16	3.76	  	22	5.16	  	247	57.98	  	1	0.23	  	14	3.29	  	0	0	  	0	0	  	426	96.16	  	17	3.84	  	443	0.7
Opossum Bay		                                	0	0	  	12	6.67	  	79	43.89	  	0	0	  	1	0.56	  	0	0	  	5	2.78	  	21	11.67	  	58	32.22	  	0	0	  	4	2.22	  	0	0	  	0	0	  	180	97.83	  	4	2.17	  	184	0.29
Port Huon		                                  	0	0	  	6	2.48	  	100	41.32	  	1	0.41	  	2	0.83	  	1	0.41	  	9	3.72	  	20	8.26	  	96	39.67	  	0	0	  	7	2.89	  	0	0	  	0	0	  	242	97.58	  	6	2.42	  	248	0.39
Ranelagh		                                   	6	0.95	  	49	7.79	  	224	35.61	  	4	0.64	  	14	2.23	  	3	0.48	  	12	1.91	  	43	6.84	  	237	37.68	  	1	0.16	  	33	5.25	  	3	0.48	  	0	0	  	629	96.47	  	23	3.53	  	652	1.03
Risdon Vale		                                	18	1.2	  	28	1.86	  	195	12.95	  	3	0.2	  	21	1.39	  	1	0.07	  	15	1	  	99	6.57	  	1081	71.78	  	1	0.07	  	42	2.79	  	2	0.13	  	0	0	  	1506	96.48	  	55	3.52	  	1561	2.46
Rokeby		                                     	12	0.72	  	43	2.56	  	305	18.19	  	2	0.12	  	11	0.66	  	6	0.36	  	27	1.61	  	98	5.84	  	1116	66.55	  	0	0	  	46	2.74	  	11	0.66	  	0	0	  	1677	95.45	  	80	4.55	  	1757	2.77
Sandfly		                                    	3	0.41	  	106	14.48	  	269	36.75	  	4	0.55	  	13	1.78	  	2	0.27	  	50	6.83	  	49	6.69	  	210	28.69	  	0	0	  	22	3.01	  	3	0.41	  	1	0.14	  	732	98.12	  	14	1.88	  	746	1.18
Sandford		                                   	3	0.31	  	99	10.26	  	400	41.45	  	4	0.41	  	5	0.52	  	1	0.1	  	51	5.28	  	77	7.98	  	308	31.92	  	0	0	  	17	1.76	  	0	0	  	0	0	  	965	98.27	  	17	1.73	  	982	1.55
Seven Mile Beach		                           	3	0.4	  	58	7.8	  	300	40.32	  	1	0.13	  	4	0.54	  	1	0.13	  	32	4.3	  	53	7.12	  	277	37.23	  	0	0	  	14	1.88	  	1	0.13	  	0	0	  	744	98.02	  	15	1.98	  	759	1.2
Snug		                                       	2	0.23	  	91	10.59	  	248	28.87	  	3	0.35	  	13	1.51	  	5	0.58	  	48	5.59	  	70	8.15	  	348	40.51	  	1	0.12	  	29	3.38	  	1	0.12	  	0	0	  	859	95.87	  	37	4.13	  	896	1.41
South Arm		                                  	2	0.43	  	32	6.94	  	194	42.08	  	2	0.43	  	2	0.43	  	2	0.43	  	21	4.56	  	32	6.94	  	163	35.36	  	0	0	  	11	2.39	  	0	0	  	0	0	  	461	99.14	  	4	0.86	  	465	0.73
Southport		                                  	0	0	  	25	20.16	  	26	20.97	  	0	0	  	2	1.61	  	0	0	  	4	3.23	  	3	2.42	  	59	47.58	  	0	0	  	5	4.03	  	0	0	  	0	0	  	124	92.54	  	10	7.46	  	134	0.21
Strathblane		                                	2	1.54	  	4	3.08	  	42	32.31	  	0	0	  	2	1.54	  	2	1.54	  	3	2.31	  	6	4.62	  	53	40.77	  	0	0	  	16	12.31	  	0	0	  	0	0	  	130	97.74	  	3	2.26	  	133	0.21
Surges Bay		                                 	1	0.69	  	6	4.17	  	78	54.17	  	0	0	  	2	1.39	  	0	0	  	6	4.17	  	12	8.33	  	34	23.61	  	0	0	  	5	3.47	  	0	0	  	0	0	  	144	96.64	  	5	3.36	  	149	0.24
Tranmere		                                   	4	0.23	  	83	4.67	  	738	41.53	  	1	0.06	  	8	0.45	  	4	0.23	  	108	6.08	  	200	11.25	  	575	32.36	  	1	0.06	  	49	2.76	  	3	0.17	  	3	0.17	  	1777	97.85	  	39	2.15	  	1816	2.87
Warrane		                                    	17	1.11	  	58	3.8	  	316	20.72	  	1	0.07	  	17	1.11	  	6	0.39	  	39	2.56	  	101	6.62	  	901	59.08	  	1	0.07	  	56	3.67	  	10	0.66	  	2	0.13	  	1525	97.38	  	41	2.62	  	1566	2.47
Wentworth Street		                           	8	0.6	  	77	5.8	  	466	35.09	  	1	0.08	  	11	0.83	  	1	0.08	  	76	5.72	  	163	12.27	  	492	37.05	  	0	0	  	30	2.26	  	2	0.15	  	1	0.08	  	1328	96.86	  	43	3.14	  	1371	2.16
Woodbridge		                                 	1	0.28	  	69	19.22	  	96	26.74	  	1	0.28	  	3	0.84	  	1	0.28	  	37	10.31	  	41	11.42	  	100	27.86	  	0	0	  	10	2.79	  	0	0	  	0	0	  	359	97.29	  	10	2.71	  	369	0.58
Special Hospitals		                          	3	0.85	  	6	1.69	  	174	49.15	  	1	0.28	  	3	0.85	  	1	0.28	  	1	0.28	  	32	9.04	  	128	36.16	  	2	0.56	  	2	0.56	  	0	0	  	1	0.28	  	354	94.91	  	19	5.09	  	373	0.59
Total Ordinary		                             	287	0.54	  	3438	6.42	  	18107	33.81	  	133	0.25	  	541	1.01	  	145	0.27	  	2514	4.69	  	4713	8.8	  	21984	41.04	  	42	0.08	  	1504	2.81	  	117	0.22	  	36	0.07	  	53561	97.13	  	1580	2.87	  	55141	87
ABSENT		                                     	22	0.65	  	326	9.6	  	1082	31.87	  	7	0.21	  	47	1.38	  	7	0.21	  	159	4.68	  	232	6.83	  	1425	41.97	  	2	0.06	  	76	2.24	  	8	0.24	  	2	0.06	  	3395	98.09	  	66	1.91	  	3461	5.46
POSTAL		                                     	8	0.35	  	120	5.22	  	759	32.99	  	4	0.17	  	38	1.65	  	9	0.39	  	78	3.39	  	239	10.39	  	925	40.2	  	2	0.09	  	105	4.56	  	10	0.43	  	4	0.17	  	2301	98.38	  	38	1.62	  	2339	3.69
PRE_POLL		                                   	10	0.45	  	199	8.94	  	811	36.43	  	9	0.4	  	34	1.53	  	14	0.63	  	112	5.03	  	164	7.37	  	782	35.13	  	1	0.04	  	86	3.86	  	3	0.13	  	1	0.04	  	2226	98.89	  	25	1.11	  	2251	3.55
PROVISIONAL		                                	2	1.1	  	17	9.39	  	35	19.34	  	0	0	  	1	0.55	  	0	0	  	8	4.42	  	5	2.76	  	100	55.25	  	1	0.55	  	11	6.08	  	1	0.55	  	0	0	  	181	95.77	  	8	4.23	  	189	0.3
Division Summary		                           	329	0.53	  	4100	6.65	  	20794	33.72	  	153	0.25	  	661	1.07	  	175	0.28	  	2871	4.66	  	5353	8.68	  	25216	40.89	  	48	0.08	  	1782	2.89	  	139	0.23	  	43	0.07	  	61664	97.29	  	1717	2.71	  	63381	96.37


Lyons (68639)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Avoca		                                      	0	0	  	6	3.09	  	46	23.71	  	1	0.52	  	11	5.67	  	0	0	  	7	3.61	  	4	2.06	  	110	56.7	  	0	0	  	8	4.12	  	1	0.52	  	0	0	  	194	96.52	  	7	3.48	  	201	0.3
Bagdad		                                     	6	0.91	  	14	2.12	  	162	24.55	  	3	0.45	  	23	3.48	  	0	0	  	26	3.94	  	22	3.33	  	357	54.09	  	0	0	  	47	7.12	  	0	0	  	0	0	  	660	96.07	  	27	3.93	  	687	1.03
Beaconsfield		                               	3	0.31	  	39	3.97	  	260	26.48	  	1	0.1	  	21	2.14	  	3	0.31	  	28	2.85	  	39	3.97	  	533	54.28	  	0	0	  	50	5.09	  	5	0.51	  	0	0	  	982	94.51	  	57	5.49	  	1039	1.56
Beauty Point		                               	5	0.72	  	21	3.03	  	208	29.97	  	1	0.14	  	9	1.3	  	1	0.14	  	18	2.59	  	49	7.06	  	346	49.86	  	0	0	  	30	4.32	  	2	0.29	  	4	0.58	  	694	94.55	  	40	5.45	  	734	1.1
Bicheno		                                    	6	1.02	  	33	5.6	  	219	37.18	  	1	0.17	  	19	3.23	  	1	0.17	  	25	4.24	  	29	4.92	  	212	35.99	  	0	0	  	43	7.3	  	0	0	  	1	0.17	  	589	96.24	  	23	3.76	  	612	0.92
Bishopsbourne		                              	0	0	  	3	3.03	  	54	54.55	  	1	1.01	  	4	4.04	  	0	0	  	4	4.04	  	8	8.08	  	18	18.18	  	0	0	  	7	7.07	  	0	0	  	0	0	  	99	92.52	  	8	7.48	  	107	0.16
Bothwell		                                   	8	2.06	  	6	1.55	  	135	34.79	  	0	0	  	19	4.9	  	0	0	  	5	1.29	  	13	3.35	  	183	47.16	  	0	0	  	19	4.9	  	0	0	  	0	0	  	388	93.27	  	28	6.73	  	416	0.63
Bracknell		                                  	1	0.25	  	33	8.4	  	151	38.42	  	3	0.76	  	11	2.8	  	2	0.51	  	11	2.8	  	28	7.12	  	132	33.59	  	0	0	  	21	5.34	  	0	0	  	0	0	  	393	97.04	  	12	2.96	  	405	0.61
Brighton		                                   	6	0.43	  	30	2.13	  	428	30.44	  	0	0	  	23	1.64	  	1	0.07	  	33	2.35	  	88	6.26	  	720	51.21	  	0	0	  	75	5.33	  	2	0.14	  	0	0	  	1406	97.37	  	38	2.63	  	1444	2.17
Broadmarsh		                                 	0	0	  	7	3.8	  	74	40.22	  	0	0	  	2	1.09	  	0	0	  	8	4.35	  	8	4.35	  	67	36.41	  	1	0.54	  	17	9.24	  	0	0	  	0	0	  	184	95.83	  	8	4.17	  	192	0.29
Bronte		                                     	1	0.84	  	5	4.2	  	33	27.73	  	0	0	  	19	15.97	  	0	0	  	1	0.84	  	12	10.08	  	37	31.09	  	0	0	  	11	9.24	  	0	0	  	0	0	  	119	90.84	  	12	9.16	  	131	0.2
Buckland		                                   	1	0.81	  	5	4.07	  	46	37.4	  	0	0	  	4	3.25	  	0	0	  	3	2.44	  	2	1.63	  	53	43.09	  	0	0	  	9	7.32	  	0	0	  	0	0	  	123	95.35	  	6	4.65	  	129	0.19
Campania		                                   	5	1.15	  	11	2.53	  	182	41.84	  	0	0	  	15	3.45	  	1	0.23	  	16	3.68	  	20	4.6	  	154	35.4	  	1	0.23	  	28	6.44	  	2	0.46	  	0	0	  	435	95.39	  	21	4.61	  	456	0.69
Campbell Town		                              	3	0.49	  	14	2.27	  	135	21.88	  	0	0	  	33	5.35	  	0	0	  	6	0.97	  	30	4.86	  	345	55.92	  	0	0	  	45	7.29	  	3	0.49	  	3	0.49	  	617	95.51	  	29	4.49	  	646	0.97
Carrick		                                    	2	0.46	  	23	5.28	  	181	41.51	  	0	0	  	10	2.29	  	0	0	  	7	1.61	  	33	7.57	  	151	34.63	  	0	0	  	28	6.42	  	0	0	  	1	0.23	  	436	96.46	  	16	3.54	  	452	0.68
Chudleigh		                                  	0	0	  	16	6.81	  	96	40.85	  	1	0.43	  	19	8.09	  	1	0.43	  	7	2.98	  	7	2.98	  	66	28.09	  	1	0.43	  	20	8.51	  	1	0.43	  	0	0	  	235	96.31	  	9	3.69	  	244	0.37
Claude Road		                                	0	0	  	10	6.9	  	48	33.1	  	1	0.69	  	5	3.45	  	0	0	  	7	4.83	  	1	0.69	  	50	34.48	  	0	0	  	19	13.1	  	1	0.69	  	3	2.07	  	145	97.97	  	3	2.03	  	148	0.22
Colebrook		                                  	0	0	  	11	5.34	  	39	18.93	  	0	0	  	16	7.77	  	1	0.49	  	3	1.46	  	17	8.25	  	106	51.46	  	0	0	  	11	5.34	  	2	0.97	  	0	0	  	206	89.18	  	25	10.82	  	231	0.35
Coles Bay		                                  	0	0	  	10	7.25	  	55	39.86	  	0	0	  	7	5.07	  	0	0	  	7	5.07	  	14	10.14	  	44	31.88	  	0	0	  	1	0.72	  	0	0	  	0	0	  	138	96.5	  	5	3.5	  	143	0.21
Copping		                                    	2	1.07	  	29	15.51	  	50	26.74	  	0	0	  	3	1.6	  	1	0.53	  	2	1.07	  	12	6.42	  	73	39.04	  	0	0	  	15	8.02	  	0	0	  	0	0	  	187	96.39	  	7	3.61	  	194	0.29
Cressy		                                     	6	0.84	  	22	3.07	  	226	31.52	  	2	0.28	  	34	4.74	  	2	0.28	  	15	2.09	  	49	6.83	  	306	42.68	  	0	0	  	53	7.39	  	1	0.14	  	1	0.14	  	717	95.35	  	35	4.65	  	752	1.13
Deloraine		                                  	10	0.48	  	184	8.79	  	776	37.08	  	8	0.38	  	42	2.01	  	9	0.43	  	63	3.01	  	169	8.07	  	705	33.68	  	2	0.1	  	119	5.69	  	2	0.1	  	4	0.19	  	2093	94.28	  	127	5.72	  	2220	3.34
Dodges Ferry		                               	6	0.37	  	118	7.21	  	445	27.2	  	4	0.24	  	27	1.65	  	4	0.24	  	63	3.85	  	94	5.75	  	811	49.57	  	3	0.18	  	56	3.42	  	5	0.31	  	0	0	  	1636	97.5	  	42	2.5	  	1678	2.52
Dromedary		                                  	1	0.4	  	14	5.56	  	78	30.95	  	0	0	  	4	1.59	  	1	0.4	  	7	2.78	  	14	5.56	  	117	46.43	  	0	0	  	15	5.95	  	1	0.4	  	0	0	  	252	96.55	  	9	3.45	  	261	0.39
Dunalley		                                   	2	0.51	  	42	10.69	  	128	32.57	  	0	0	  	8	2.04	  	0	0	  	6	1.53	  	17	4.33	  	165	41.98	  	0	0	  	23	5.85	  	2	0.51	  	0	0	  	393	97.76	  	9	2.24	  	402	0.6
Eaglehawk Neck		                             	1	0.34	  	29	9.83	  	86	29.15	  	1	0.34	  	1	0.34	  	1	0.34	  	18	6.1	  	23	7.8	  	114	38.64	  	1	0.34	  	19	6.44	  	1	0.34	  	0	0	  	295	98.66	  	4	1.34	  	299	0.45
Elizabeth Town		                             	1	0.27	  	29	7.95	  	148	40.55	  	1	0.27	  	10	2.74	  	3	0.82	  	9	2.47	  	40	10.96	  	106	29.04	  	1	0.27	  	16	4.38	  	1	0.27	  	0	0	  	365	96.31	  	14	3.69	  	379	0.57
Ellendale		                                  	1	0.63	  	12	7.59	  	42	26.58	  	0	0	  	4	2.53	  	0	0	  	0	0	  	5	3.16	  	83	52.53	  	0	0	  	10	6.33	  	1	0.63	  	0	0	  	158	95.18	  	8	4.82	  	166	0.25
Epping		                                     	3	1.47	  	3	1.47	  	85	41.67	  	0	0	  	6	2.94	  	1	0.49	  	5	2.45	  	12	5.88	  	77	37.75	  	0	0	  	10	4.9	  	2	0.98	  	0	0	  	204	98.08	  	4	1.92	  	208	0.31
Evandale		                                   	5	0.48	  	79	7.66	  	354	34.3	  	1	0.1	  	58	5.62	  	2	0.19	  	53	5.14	  	66	6.4	  	371	35.95	  	0	0	  	39	3.78	  	4	0.39	  	0	0	  	1032	97.91	  	22	2.09	  	1054	1.58
Exeter		                                     	10	0.82	  	86	7.01	  	458	37.36	  	4	0.33	  	28	2.28	  	8	0.65	  	64	5.22	  	111	9.05	  	387	31.57	  	0	0	  	63	5.14	  	3	0.24	  	4	0.33	  	1226	96.54	  	44	3.46	  	1270	1.91
Fingal		                                     	2	0.71	  	1	0.35	  	57	20.14	  	0	0	  	9	3.18	  	1	0.35	  	2	0.71	  	8	2.83	  	179	63.25	  	0	0	  	23	8.13	  	1	0.35	  	0	0	  	283	95.61	  	13	4.39	  	296	0.44
Forcett		                                    	1	0.32	  	17	5.4	  	119	37.78	  	0	0	  	5	1.59	  	0	0	  	9	2.86	  	15	4.76	  	130	41.27	  	0	0	  	16	5.08	  	1	0.32	  	2	0.63	  	315	96.33	  	12	3.67	  	327	0.49
Frankford		                                  	0	0	  	5	3.45	  	57	39.31	  	1	0.69	  	3	2.07	  	1	0.69	  	5	3.45	  	10	6.9	  	51	35.17	  	0	0	  	8	5.52	  	3	2.07	  	1	0.69	  	145	97.97	  	3	2.03	  	148	0.22
Glengarry		                                  	2	0.66	  	14	4.65	  	121	40.2	  	2	0.66	  	9	2.99	  	2	0.66	  	10	3.32	  	15	4.98	  	109	36.21	  	0	0	  	17	5.65	  	0	0	  	0	0	  	301	97.41	  	8	2.59	  	309	0.46
Glenora		                                    	4	1.61	  	11	4.44	  	50	20.16	  	0	0	  	5	2.02	  	1	0.4	  	2	0.81	  	13	5.24	  	148	59.68	  	1	0.4	  	12	4.84	  	1	0.4	  	0	0	  	248	94.3	  	15	5.7	  	263	0.4
Granton		                                    	2	0.61	  	5	1.52	  	121	36.89	  	0	0	  	5	1.52	  	0	0	  	7	2.13	  	27	8.23	  	144	43.9	  	1	0.3	  	16	4.88	  	0	0	  	0	0	  	328	98.5	  	5	1.5	  	333	0.5
Gravelly Beach		                             	3	0.5	  	61	10.23	  	196	32.89	  	2	0.34	  	12	2.01	  	3	0.5	  	34	5.7	  	32	5.37	  	229	38.42	  	0	0	  	24	4.03	  	0	0	  	0	0	  	596	96.44	  	22	3.56	  	618	0.93
