House of Representatives - 2001 Election: Victoria																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Gippsland (83845)																																																					
	JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			# MCGAURAN			ROBINSON			AITKEN			FORMAL			INFORMAL			TOTAL										
	John			Michael			Jo			Phillip J			Ben			Marjorie			Frank			Bill			Doug			Peter			Phillip			Chris												Two Candidate Preferred							
	IND			HAN			DEM			IND			IND			IND			CEC			ALP			IND			NP			IND			GRN												 BOLITHO ALP			# MCGAURAN NP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Coongulla	3	2.73		7	6.36		4	3.64		2	1.82		2	1.82		1	0.91		0	0.00		39	35.45		8	7.27		40	36.36		0	0.00		4	3.64		110	93.22		8	6.78		118	0.14		56	50.91		54	49.09
Cowwarr	2	0.84		15	6.30		8	3.36		4	1.68		7	2.94		1	0.42		0	0.00		58	24.37		13	5.46		121	50.84		3	1.26		6	2.52		238	96.36		9	3.64		247	0.29		92	38.66		146	61.34
Dargo	6	5.17		11	9.48		5	4.31		7	6.03		6	5.17		0	0.00		0	0.00		10	8.62		19	16.38		47	40.52		0	0.00		5	4.31		116	94.31		7	5.69		123	0.15		38	32.76		78	67.24
Denison	2	1.02		8	4.06		5	2.54		7	3.55		5	2.54		1	0.51		0	0.00		17	8.63		6	3.05		144	73.10		0	0.00		2	1.02		197	93.36		14	6.64		211	0.25		32	16.24		165	83.76
Devon North	5	1.96		13	5.10		5	1.96		2	0.78		4	1.57		1	0.39		1	0.39		35	13.73		22	8.63		152	59.61		1	0.39		14	5.49		255	94.10		16	5.90		271	0.32		65	25.49		190	74.51
Dudley	5	1.28		16	4.10		15	3.85		1	0.26		2	0.51		0	0.00		1	0.26		164	42.05		9	2.31		144	36.92		3	0.77		30	7.69		390	95.12		20	4.88		410	0.49		217	55.64		173	44.36
Dumbalk	5	1.39		23	6.41		10	2.79		5	1.39		1	0.28		0	0.00		0	0.00		37	10.31		21	5.85		221	61.56		1	0.28		35	9.75		359	95.48		17	4.52		376	0.45		98	27.30		261	72.70
Eagle Point	3	0.55		40	7.31		24	4.39		14	2.56		8	1.46		12	2.19		1	0.18		156	28.52		24	4.39		242	44.24		11	2.01		12	2.19		547	96.30		21	3.70		568	0.68		243	44.42		304	55.58
Ellaswood	4	2.56		16	10.26		4	2.56		12	7.69		4	2.56		3	1.92		1	0.64		25	16.03		10	6.41		64	41.03		0	0.00		13	8.33		156	97.50		4	2.50		160	0.19		57	36.54		99	63.46
Ensay	0	0.00		20	14.39		7	5.04		1	0.72		4	2.88		0	0.00		1	0.72		17	12.23		4	2.88		77	55.40		0	0.00		8	5.76		139	98.58		2	1.42		141	0.17		46	33.09		93	66.91
Fernbank	0	0.00		15	20.27		1	1.35		4	5.41		2	2.70		0	0.00		0	0.00		10	13.51		3	4.05		38	51.35		1	1.35		0	0.00		74	97.37		2	2.63		76	0.09		19	25.68		55	74.32
Fish Creek	4	0.68		36	6.09		12	2.03		4	0.68		3	0.51		3	0.51		0	0.00		90	15.23		33	5.58		321	54.31		3	0.51		82	13.87		591	93.66		40	6.34		631	0.75		202	34.18		389	65.82
Foster	10	0.77		61	4.71		42	3.24		8	0.62		14	1.08		13	1.00		3	0.23		314	24.23		43	3.32		568	43.83		2	0.15		218	16.82		1296	94.95		69	5.05		1365	1.63		572	44.14		724	55.86
Genoa	0	0.00		1	1.20		3	3.61		3	3.61		2	2.41		2	2.41		0	0.00		22	26.51		5	6.02		40	48.19		2	2.41		3	3.61		83	94.32		5	5.68		88	0.10		34	40.96		49	59.04
Glengarry	7	1.02		82	11.94		32	4.66		7	1.02		10	1.46		2	0.29		1	0.15		187	27.22		38	5.53		298	43.38		1	0.15		22	3.20		687	94.24		42	5.76		729	0.87		311	45.27		376	54.73
Glenmaggie	1	1.02		4	4.08		2	2.04		4	4.08		3	3.06		0	0.00		0	0.00		25	25.51		7	7.14		48	48.98		0	0.00		4	4.08		98	94.23		6	5.77		104	0.12		34	34.69		64	65.31
Golden Beach	4	2.06		13	6.70		6	3.09		2	1.03		2	1.03		2	1.03		0	0.00		87	44.85		4	2.06		61	31.44		5	2.58		8	4.12		194	93.27		14	6.73		208	0.25		115	59.28		79	40.72
Gormandale	6	1.83		22	6.71		12	3.66		8	2.44		9	2.74		6	1.83		1	0.30		54	16.46		22	6.71		149	45.43		2	0.61		37	11.28		328	93.71		22	6.29		350	0.42		120	36.59		208	63.41
Heyfield	34	2.82		67	5.55		37	3.07		16	1.33		14	1.16		4	0.33		2	0.17		357	29.58		71	5.88		585	48.47		2	0.17		18	1.49		1207	93.42		85	6.58		1292	1.54		522	43.25		685	56.75
Inverloch	26	1.16		86	3.84		107	4.78		25	1.12		15	0.67		25	1.12		2	0.09		777	34.70		78	3.48		843	37.65		5	0.22		250	11.17		2239	93.80		148	6.20		2387	2.85		1164	51.99		1075	48.01
Johnsonville	10	1.86		57	10.61		16	2.98		15	2.79		6	1.12		3	0.56		4	0.74		121	22.53		22	4.10		265	49.35		0	0.00		18	3.35		537	96.41		20	3.59		557	0.66		213	39.66		324	60.34
Kilmany	3	2.65		8	7.08		8	7.08		0	0.00		2	1.77		1	0.88		0	0.00		10	8.85		7	6.19		71	62.83		1	0.88		2	1.77		113	93.39		8	6.61		121	0.14		29	25.66		84	74.34
Kongwak	4	1.85		6	2.78		2	0.93		3	1.39		1	0.46		1	0.46		0	0.00		38	17.59		16	7.41		128	59.26		1	0.46		16	7.41		216	93.51		15	6.49		231	0.28		66	30.56		150	69.44
Koonwarra	3	1.06		11	3.90		11	3.90		4	1.42		1	0.35		0	0.00		1	0.35		26	9.22		13	4.61		167	59.22		0	0.00		45	15.96		282	95.59		13	4.41		295	0.35		78	27.66		204	72.34
Korumburra	50	2.19		98	4.30		87	3.82		26	1.14		8	0.35		17	0.75		2	0.09		643	28.21		77	3.38		1099	48.22		5	0.22		167	7.33		2279	92.12		195	7.88		2474	2.95		949	41.64		1330	58.36
Lakes Entrance	33	1.01		188	5.74		126	3.84		41	1.25		53	1.62		104	3.17		16	0.49		935	28.52		119	3.63		1544	47.10		36	1.10		83	2.53		3278	93.47		229	6.53		3507	4.18		1378	42.04		1900	57.96
Leongatha	49	1.50		103	3.16		106	3.26		26	0.80		19	0.58		9	0.28		5	0.15		659	20.24		139	4.27		1793	55.07		13	0.40		335	10.29		3256	95.18		165	4.82		3421	4.08		1114	34.21		2142	65.79
Leongatha South	1	0.60		5	3.01		2	1.20		0	0.00		0	0.00		2	1.20		0	0.00		15	9.04		10	6.02		121	72.89		0	0.00		10	6.02		166	94.86		9	5.14		175	0.21		27	16.27		139	83.73
Lindenow	7	0.95		48	6.52		16	2.17		72	9.78		17	2.31		5	0.68		4	0.54		117	15.90		74	10.05		355	48.23		7	0.95		14	1.90		736	95.34		36	4.66		772	0.92		248	33.70		488	66.30
Loch	6	2.44		8	3.25		6	2.44		5	2.03		1	0.41		1	0.41		1	0.41		33	13.41		11	4.47		147	59.76		3	1.22		24	9.76		246	90.77		25	9.23		271	0.32		75	30.49		171	69.51
Loch Sport	11	2.19		41	8.15		28	5.57		12	2.39		3	0.60		1	0.20		1	0.20		188	37.38		32	6.36		180	35.79		1	0.20		5	0.99		503	92.98		38	7.02		541	0.65		256	50.89		247	49.11
Longford	13	2.19		48	8.09		41	6.91		6	1.01		7	1.18		7	1.18		0	0.00		123	20.74		41	6.91		294	49.58		1	0.17		12	2.02		593	94.73		33	5.27		626	0.75		218	36.76		375	63.24
Lucknow	13	1.03		104	8.23		48	3.80		63	4.99		39	3.09		15	1.19		3	0.24		291	23.04		80	6.33		552	43.71		20	1.58		35	2.77		1263	95.61		58	4.39		1321	1.58		511	40.46		752	59.54
