Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

La Trobe (88269)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Pakenham Upper (La Trobe)		4	2.27		3	1.70		1	0.57		0	0.00		0	0.00		0	0.00		10	5.68		104	59.09		0	0.00		0	0.00		33	18.75		3	1.70		12	6.82		0	0.00		0	0.00		6	3.41		0	0.00		0	0.00		176	97.78		4	2.22		180	0.20
Sassafras		20	2.58		11	1.42		13	1.68		0	0.00		0	0.00		0	0.00		9	1.16		296	38.24		1	0.13		0	0.00		185	23.90		3	0.39		98	12.66		0	0.00		2	0.26		136	17.57		0	0.00		0	0.00		774	96.15		31	3.85		805	0.91
Selby		7	0.79		10	1.12		13	1.46		0	0.00		0	0.00		0	0.00		14	1.57		263	29.55		1	0.11		0	0.00		310	34.83		5	0.56		115	12.92		0	0.00		4	0.45		147	16.52		1	0.11		0	0.00		890	96.74		30	3.26		920	1.04
Tecoma		38	2.02		21	1.12		26	1.38		1	0.05		0	0.00		0	0.00		33	1.76		568	30.21		7	0.37		1	0.05		623	33.14		9	0.48		289	15.37		0	0.00		2	0.11		259	13.78		2	0.11		1	0.05		1880	96.21		74	3.79		1954	2.21
The Basin		43	1.67		41	1.59		29	1.13		4	0.16		1	0.04		0	0.00		58	2.25		1063	41.30		9	0.35		1	0.04		823	31.97		19	0.74		292	11.34		0	0.00		1	0.04		187	7.26		2	0.08		1	0.04		2574	95.51		121	4.49		2695	3.05
Timbarra		46	2.16		28	1.31		14	0.66		1	0.05		1	0.05		0	0.00		34	1.59		1023	47.94		5	0.23		4	0.19		692	32.43		34	1.59		182	8.53		0	0.00		1	0.05		69	3.23		0	0.00		0	0.00		2134	96.96		67	3.04		2201	2.49
Upwey		70	1.97		72	2.03		43	1.21		3	0.08		3	0.08		0	0.00		75	2.11		1253	35.28		6	0.17		1	0.03		1081	30.43		29	0.82		473	13.32		1	0.03		5	0.14		435	12.25		1	0.03		1	0.03		3552	95.74		158	4.26		3710	4.20
Special Hospitals		32	6.34		10	1.98		2	0.40		2	0.40		1	0.20		0	0.00		4	0.79		267	52.87		0	0.00		1	0.20		167	33.07		1	0.20		17	3.37		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		505	90.50		53	9.50		558	0.66
Total Ordinary		1522	2.24		1171	1.72		675	0.99		42	0.06		34	0.05		25	0.04		1330	1.96		29094	42.82		146	0.21		29	0.04		21316	31.37		678	1.00		6839	10.07		13	0.02		54	0.08		4933	7.26		22	0.03		23	0.03		67946	95.39		3284	4.61		71230	84.04
ABSENT		222	3.78		185	3.15		75	1.28		4	0.07		1	0.02		0	0.00		108	1.84		2342	39.87		20	0.34		4	0.07		1706	29.04		61	1.04		640	10.90		3	0.05		18	0.31		477	8.12		2	0.03		6	0.10		5874	97.33		161	2.67		6035	7.12
POSTAL		134	3.59		58	1.56		48	1.29		1	0.03		1	0.03		3	0.08		92	2.47		1839	49.33		4	0.11		1	0.03		1115	29.91		20	0.54		254	6.81		0	0.00		3	0.08		155	4.16		0	0.00		0	0.00		3728	98.49		57	1.51		3785	4.47
PRE_POLL		84	2.79		48	1.59		33	1.10		3	0.10		2	0.07		1	0.03		91	3.02		1412	46.86		2	0.07		5	0.17		845	28.05		38	1.26		274	9.09		1	0.03		4	0.13		170	5.64		0	0.00		0	0.00		3013	98.56		44	1.44		3057	3.61
PROVISIONAL		21	3.40		14	2.27		6	0.97		0	0.00		1	0.16		0	0.00		14	2.27		268	43.44		0	0.00		0	0.00		193	31.28		3	0.49		58	9.40		0	0.00		0	0.00		37	6.00		2	0.32		0	0.00		617	94.78		34	5.22		651	0.77
Division Summary		1983	2.44		1476	1.82		837	1.03		50	0.06		39	0.05		29	0.04		1635	2.01		34955	43.06		172	0.21		39	0.05		25175	31.01		800	0.99		8065	9.93		17	0.02		79	0.10		5772	7.11		26	0.03		29	0.04		81178	95.78		3580	4.22		84758	96.02
