House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Winters Flat	694	398	57.35	296	42.65	-4.68	
Woodvale	204	91	44.61	113	55.39	-0.53	
ABSENT	4013	2106	52.48	1907	47.52	-	
POSTAL	3953	2057	52.04	1896	47.96	-	
PRE POLL	3487	1752	50.24	1735	49.76	-	
PROVISIONAL	497	318	63.98	179	36.02	-	
Division Total	81940	43892	53.57	38048	46.43	0.10	
							
							
Bruce							
							
Polling Place	Formal	GRIFFIN		STEEL		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Albany Rise	3270	1964	60.06	1306	39.94	-1.20	
Brandon Park	3060	1567	51.21	1493	48.79	-0.22	
Brentwood	2960	1399	47.26	1561	52.74	1.50	
Camelot	1596	712	44.61	884	55.39	0.24	
Clareville	2228	1417	63.60	811	36.40	-2.22	
Dandenong North	2969	2074	69.86	895	30.14	-4.68	
Dandenong West (Bruce)	869	566	65.13	303	34.87	-3.77	
Gladeswood	2765	1588	57.43	1177	42.57	-0.72	
Glen Waverley Heights	1453	747	51.41	706	48.59	2.84	
Glen Waverley South	1296	671	51.77	625	48.23	1.85	
Harrisfield	2695	1853	68.76	842	31.24	-5.12	
Highvale	2112	896	42.42	1216	57.58	-2.94	
Jells Park	2151	701	32.59	1450	67.41	-1.09
Lyndale	3608	2448	67.85	1160	32.15	-2.18
Melbourne (Bruce)	89	49	55.06	40	44.94	6.08
Monash East	1177	689	58.54	488	41.46	-2.63
Mount View	4279	1581	36.95	2698	63.05	1.45
Mulgrave	2013	1170	58.12	843	41.88	-0.44
Oakwood Park	1186	850	71.67	336	28.33	-2.06
Pinewood (Bruce)	1255	546	43.51	709	56.49	-3.33
Rosewood Downs	3085	1635	53.00	1450	47.00	-0.84
Sandown Park	1891	1431	75.67	460	24.33	-4.33
Silverton	3970	2809	70.76	1161	29.24	-0.95
Special Hospital Team 1	12	5	41.67	7	58.33	-13.33
The Glen	2071	1136	54.85	935	45.15	-0.76
Waverley Meadows	1959	991	50.59	968	49.41	-1.17
Wayburne	1301	573	44.04	728	55.96	-0.71
Wheelers Hill	1791	660	36.85	1131	63.15	3.03
Wheelers Hill South	2906	1286	44.25	1620	55.75	0.02	
Whiteside	1019	783	76.84	236	23.16	-1.98	
Wooranna Park	1964	1321	67.26	643	32.74	-1.61	
Yarraman Park	1347	926	68.75	421	31.25	-3.97	
ABSENT	4813	2716	56.43	2097	43.57	-	
POSTAL	4045	2066	51.08	1979	48.92	-	
PRE POLL	2918	1515	51.92	1403	48.08	-	
PROVISIONAL	353	251	71.10	102	28.90	-	
Division Total	78476	43592	55.55	34884	44.45	-1.17	
							
							
Burke							
							
Polling Place	Formal	O'CONNOR		DAWE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bacchus Marsh	4331	2166	50.01	2165	49.99	-1.83	
Bolinda	316	131	41.46	185	58.54	1.60
Brookside	2035	1373	67.47	662	32.53	-6.53
Bullengarook	372	185	49.73	187	50.27	-4.21
Coburn	3325	2085	62.71	1240	37.29	-5.06
Darley	3057	1732	56.66	1325	43.34	1.66
Darraweit Guim	166	73	43.98	93	56.02	-1.66
Deer Park	827	652	78.84	175	21.16	-5.53
Deer Park Central	2498	1899	76.02	599	23.98	-1.56
Deer Park West	3575	2649	74.10	926	25.90	-5.45
Gisborne	3283	1418	43.19	1865	56.81	-1.28
Killara	935	505	54.01	430	45.99	3.55
Kurunjang	1945	1231	63.29	714	36.71	-4.00
Kyneton	3542	1682	47.49	1860	52.51	-1.25
Lancefield	1316	590	44.83	726	55.17	-1.39
Macedon	1148	588	51.22	560	48.78	-1.96
Malmsbury	355	207	58.31	148	41.69	-3.90
