House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Keysborough	1451	965	66.51	486	33.49	-1.20	
Maralinga	1785	1273	71.32	512	28.68	-0.17	
Maramba	3450	1716	49.74	1734	50.26	-0.76	
Melbourne (Holt)	62	29	46.77	33	53.23	-19.89	
Narre Warren (Holt)	2837	1439	50.72	1398	49.28	-0.26	
Noble Park	2337	1665	71.25	672	28.75	-2.79	
Southvale	1439	1019	70.81	420	29.19	-2.85	
Special Hospital Team 1	214	78	36.45	136	63.55	0.48	
Special Hospital Team 2	50	33	66.00	17	34.00	-2.75	
Wallarano	3463	2320	66.99	1143	33.01	-1.03	
ABSENT	5035	2860	56.80	2175	43.20	-	
POSTAL	2553	1447	56.68	1106	43.32	-	
PRE POLL	3002	1797	59.86	1205	40.14	-	
PROVISIONAL	874	646	73.91	228	26.09	-	
Division Total	79084	50078	63.32	29006	36.68	-1.79	
							
							
Hotham							
							
Polling Place	Formal	CREAN		RUFFOLO		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bentleigh Central (Hotham)	2436	1263	51.85	1173	48.15	-1.73	
Bentleigh East	2038	1012	49.66	1026	50.34	-3.30	
Carnegie East	2250	1327	58.98	923	41.02	-2.20	
Cheltenham East (Hotham)	2320	1162	50.09	1158	49.91	-1.96	
Cheltenham North	2480	1411	56.90	1069	43.10	-0.34	
Clarinda	2466	1844	74.78	622	25.22	0.01	
Clarinda South	2623	2100	80.06	523	19.94	-0.49	
Clayton South	3474	2684	77.26	790	22.74	-2.62	
Clayton West	1065	753	70.70	312	29.30	-4.17	
Coatesville	3748	2028	54.11	1720	45.89	-3.47	
Dingley Village	4286	1597	37.26	2689	62.74	-3.46	
Heatherhill	1938	1512	78.02	426	21.98	1.61
Heatherton North	1234	766	62.07	468	37.93	-5.71
Hughesdale	2768	1773	64.05	995	35.95	-0.50
Hughesdale South	2078	1197	57.60	881	42.40	-1.34
Kingston Heath	2176	1171	53.81	1005	46.19	-3.10
Kingswood	1933	785	40.61	1148	59.39	-3.83
Melbourne (Hotham)	54	37	68.52	17	31.48	-0.37
Mentone Park	1224	620	50.65	604	49.35	-2.53
Moorabbin Heights	2173	1228	56.51	945	43.49	-0.78
Moorabbin South	1278	688	53.83	590	46.17	-1.31
Moorabbin South East	2123	1159	54.59	964	45.41	-3.62
Murrumbeena South	2359	1232	52.23	1127	47.77	-2.90
Oakleigh (Hotham)	403	264	65.51	139	34.49	-0.40
Oakleigh Central	1451	928	63.96	523	36.04	-3.27
Oakleigh South	1872	1218	65.06	654	34.94	0.21
Southland	822	419	50.97	403	49.03	-5.62
Southmoor	850	500	58.82	350	41.18	-3.52	
Special Hospital Team 1	99	44	44.44	55	55.56	-5.56	
Special Hospital Team 2	198	83	41.92	115	58.08	-4.55	
Spring Valley	1687	1332	78.96	355	21.04	1.11	
Springvale	2394	1948	81.37	446	18.63	-2.91	
Springvale South	2237	1665	74.43	572	25.57	0.29	
Springvale West	2032	1702	83.76	330	16.24	-4.23	
Valkstone	1150	573	49.83	577	50.17	-2.86	
Westall	2972	2405	80.92	567	19.08	-4.57	
ABSENT	5295	3052	57.64	2243	42.36	-	
POSTAL	3854	2075	53.84	1779	46.16	-	
PRE POLL	3167	1828	57.72	1339	42.28	-	
PROVISIONAL	448	316	70.54	132	29.46	-	
Division Total	81455	49701	61.02	31754	38.98	-2.57	
							
							
Indi							
							
Polling Place	Formal	MURDOCH		PANOPOULOS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Arcadia	133	34	25.56	99	74.44	-5.21	
Baddaginnie	228	93	40.79	135	59.21	6.23	
Baranduda	598	194	32.44	404	67.56	-1.95	
Barnawartha	633	215	33.97	418	66.03	-3.41	
Beechworth	1852	1002	54.10	850	45.90	-1.84	
Benalla	2882	1178	40.87	1704	59.13	-2.06	
Benalla District Hospital	41	10	24.39	31	75.61	-19.51	
Benalla West	2572	1001	38.92	1571	61.08	-3.69	
Bethanga	505	145	28.71	360	71.29	-3.66	
Bonegilla	365	120	32.88	245	67.12	2.19	
Boorhaman	150	24	16.00	126	84.00	-1.69	
Boosey	118	27	22.88	91	77.12	-0.13	
Bright	1438	584	40.61	854	59.39	-1.84
Bullioh	140	42	30.00	98	70.00	1.33
Bundalong	242	74	30.58	168	69.42	-4.20
Caniambo	74	12	16.22	62	83.78	2.64
Cheshunt	156	54	34.62	102	65.38	-0.87
Chiltern	902	513	56.87	389	43.13	5.97
Corryong	1035	328	31.69	707	68.31	-0.54
Cudgewa	226	46	20.35	180	79.65	1.60
Dederang	239	54	22.59	185	77.41	0.01
Devenish	142	41	28.87	101	71.13	0.22
Eldorado	222	91	40.99	131	59.01	-4.54
Eskdale	242	54	22.31	188	77.69	-5.53
Euroa	2292	906	39.53	1386	60.47	0.54
Everton	174	64	36.78	110	63.22	-1.68
Falls Creek	53	18	33.96	35	66.04	-2.40
Gapsted	155	60	38.71	95	61.29	-4.88
Glenrowan	710	250	35.21	460	64.79	-1.85
Goorambat	177	45	25.42	132	74.58	-3.80
Greta Valley	151	47	31.13	104	68.87	-0.80
Harrietville	178	78	43.82	100	56.18	3.52
Invergordon	366	70	19.13	296	80.87	-2.23
Katandra West	515	124	24.08	391	75.92	-4.82
Kergunyah	222	60	27.03	162	72.97	2.78
Kiewa	541	142	26.25	399	73.75	-0.67
Londrigan	160	63	39.37	97	60.62	11.28
Lurg	179	77	43.02	102	56.98	6.28
Markwood	228	78	34.21	150	65.79	-5.40
Melbourne (Indi)	67	39	58.21	28	41.79	20.33
Milawa	337	96	28.49	241	71.51	-1.79
Mitta Mitta	162	37	22.84	125	77.16	-3.20
Molyullah	93	30	32.26	63	67.74	5.41
Mongans Bridge	130	40	30.77	90	69.23	9.17
Mount Beauty	988	492	49.80	496	50.20	-1.68
Mount Hotham	18	6	33.33	12	66.67	-7.69
Moyhu	479	129	26.93	350	73.07	-3.35
Mudgegonga	151	50	33.11	101	66.89	8.85
Myrrhee	97	32	32.99	65	67.01	3.29
Myrtleford	2329	932	40.02	1397	59.98	-3.69
Oxley	348	103	29.60	245	70.40	-0.77
Porepunkah	625	241	38.56	384	61.44	1.42
Rutherglen	1514	605	39.96	909	60.04	-1.99
Sandy Creek	157	57	36.31	100	63.69	10.31
Special Hospital Team 1	207	58	28.02	149	71.98	-7.16
Springhurst	222	72	32.43	150	67.57	-1.06
St James	199	40	20.10	159	79.90	-5.02
Stanley	210	110	52.38	100	47.62	5.35
Strathbogie	224	81	36.16	143	63.84	4.03
Swanpool	360	132	36.67	228	63.33	-1.61
Tallangatta	802	277	34.54	525	65.46	1.17
Tallangatta Valley	103	20	19.42	83	80.58	5.93
Tarrawingee	223	66	29.60	157	70.40	1.82
Tatong	176	68	38.64	108	61.36	-0.22
Tawonga	373	156	41.82	217	58.18	-0.99
Thoona	215	69	32.09	146	67.91	6.76
Tungamah	278	132	47.48	146	52.52	0.40
Violet Town	746	307	41.15	439	58.85	-1.14
Wahgunyah	503	209	41.55	294	58.45	-1.94
Walwa	178	56	31.46	122	68.54	-3.52
Wandiligong	197	109	55.33	88	44.67	6.34
Wangaratta	2029	819	40.36	1210	59.64	-3.56
Wangaratta Hospital	169	75	44.38	94	55.62	0.12
Wangaratta West	2214	860	38.84	1354	61.16	-2.26
West End	2452	859	35.03	1593	64.97	-1.33
Whitfield	205	93	45.37	112	54.63	5.47
Whorouly	352	87	24.72	265	75.28	-2.61	
Wodonga	6706	2680	39.96	4026	60.04	-2.61	
Wodonga Central	3190	1325	41.54	1865	58.46	-1.42	
Wodonga District Hospital	270	111	41.11	159	58.89	-1.99	
Wodonga South	3053	1084	35.51	1969	64.49	-3.42	
Wodonga West	2213	893	40.35	1320	59.65	-0.10	
Wooragee	202	66	32.67	136	67.33	-6.68	
Yackandandah	1087	465	42.78	622	57.22	1.93	
Yarrawonga	1409	574	40.74	835	59.26	-3.65	
Yarrawonga West	1609	559	34.74	1050	65.26	-3.35	
Yarrunga	3336	1558	46.70	1778	53.30	-4.26	
ABSENT	3592	1527	42.51	2065	57.49	-	
POSTAL	2755	906	32.89	1849	67.11	-	
PRE POLL	6605	2620	39.67	3985	60.33	-	
PROVISIONAL	341	171	50.15	170	49.85	-	
Division Total	77736	30201	38.85	47535	61.15	-1.04	
							
							
Isaacs							
							
Polling Place	Formal	CORCORAN		SHEPHERDSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aspendale	2659	1314	49.42	1345	50.58	-6.17	
Aspendale Gardens	2598	1411	54.31	1187	45.69	-3.67	
Aspendale North	920	436	47.39	484	52.61	-4.15	
Beaumaris East (Isaacs)	2318	1048	45.21	1270	54.79	-1.53	
Belvedere Park (Isaacs)	2388	1402	58.71	986	41.29	-1.71	
Bonbeach	1088	618	56.80	470	43.20	-7.08	
Carrum	1763	1051	59.61	712	40.39	-4.14	
Carrum Downs	1330	777	58.42	553	41.58	2.31	
Chelsea	1287	714	55.48	573	44.52	-6.21	
Chelsea Central	2794	1660	59.41	1134	40.59	-5.18	
Chelsea Heights	3789	2195	57.93	1594	42.07	-3.64
Cheltenham (Isaacs)	1079	519	48.10	560	51.90	-0.89
Cheltenham East (Isaacs)	445	230	51.69	215	48.31	-7.42
Cheltenham South	1151	541	47.00	610	53.00	-5.87
Courtney Gardens	3043	1692	55.60	1351	44.40	-2.96
Cranbourne (Isaacs)	2202	1193	54.18	1009	45.82	-3.68
Cranbourne Park	3112	1731	55.62	1381	44.38	-5.34
Cranbourne West	2673	1568	58.66	1105	41.34	-3.99
Edithvale	3320	1768	53.25	1552	46.75	-5.02
Lyndhurst	2232	1273	57.03	959	42.97	-0.59
Lyrebird	3114	1809	58.09	1305	41.91	-2.09
Melbourne (Isaacs)	51	29	56.86	22	43.14	-5.64
Mentone	2308	1057	45.80	1251	54.20	-0.50
Mentone North	1378	660	47.90	718	52.10	-1.94
Mordialloc East	1990	1142	57.39	848	42.61	-4.79
Parkdale	2791	1332	47.72	1459	52.28	-3.98
Parkdale Central	1359	696	51.21	663	48.79	-1.71	
Parkdale East	2506	1260	50.28	1246	49.72	-6.13	
Patterson Lakes	3348	1239	37.01	2109	62.99	-3.65	
Rowellyn Park	2749	1606	58.42	1143	41.58	-2.41	
Skye (Isaacs)	673	364	54.09	309	45.91	-2.03	
Special Hospital Team 1	145	74	51.03	71	48.97	-4.82	
Special Hospital Team 2	286	137	47.90	149	52.10	4.10	
ABSENT	4128	2185	52.93	1943	47.07	-	
POSTAL	3444	1558	45.24	1886	54.76	-	
PRE POLL	2561	1295	50.57	1266	49.43	-	
PROVISIONAL	735	427	58.10	308	41.90	-	
Division Total	75757	40011	52.81	35746	47.19	-3.59	
							
							
Jagajaga							
							
Polling Place	Formal	MACKLIN		JONES		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Banyule	2466	1386	56.20	1080	43.80	2.34	
Briar Hill	2574	1402	54.47	1172	45.53	-0.66	
Bundoora	1973	1263	64.01	710	35.99	-0.73	
Eaglemont	1348	609	45.18	739	54.82	3.58	
Eltham	3945	2070	52.47	1875	47.53	-0.24	
Eltham East	3213	1674	52.10	1539	47.90	2.10	
Eltham North	1964	1031	52.49	933	47.51	2.52	
Eltham Woods	839	390	46.48	449	53.52	-0.20	
Fairy Hills	1342	617	45.98	725	54.02	0.95	
Glen Katherine	3124	1510	48.34	1614	51.66	1.09	
Golf Links	1137	570	50.13	567	49.87	-1.08	
Grace Park	1330	762	57.29	568	42.71	-3.71	
Greensborough Central	1120	632	56.43	488	43.57	-1.87	
Haig	2010	1462	72.74	548	27.26	-1.81	
Heidelberg	3286	1813	55.17	1473	44.83	0.75
Heidelberg North	2458	1962	79.82	496	20.18	-3.04
Heidelberg West	1383	1014	73.32	369	26.68	-4.59
Ivanhoe	2807	1655	58.96	1152	41.04	1.10
Ivanhoe East	2376	1119	47.10	1257	52.90	4.27
Ivanhoe West	1730	1242	71.79	488	28.21	-2.57
Lower Plenty	1931	790	40.91	1141	59.09	1.21
Macleod	3182	1854	58.27	1328	41.73	-0.84
Melbourne (Jagajaga)	105	65	61.90	40	38.10	-3.53
Montmorency	3655	1992	54.50	1663	45.50	0.27
Montmorency South	1682	956	56.84	726	43.16	-2.28
Repatriation Hospital	271	192	70.85	79	29.15	-0.94
Research (Jagajaga)	1327	595	44.84	732	55.16	-3.85
Rosanna	2091	1092	52.22	999	47.78	1.80
Rosanna East	935	478	51.12	457	48.88	-0.41
Special Hospital Team 1	209	96	45.93	113	54.07	-0.16
Telfer Reserve	555	359	64.68	196	35.32	-2.39	
Viewbank	2208	1199	54.30	1009	45.70	1.38	
Warringal Parklands	665	339	50.98	326	49.02	1.66	
Watsonia	2590	1529	59.03	1061	40.97	-2.05	
Watsonia Central	958	590	61.59	368	38.41	0.05	
Watsonia South	1173	717	61.13	456	38.87	-1.31	
Yallambie	2532	1180	46.60	1352	53.40	-3.53	
ABSENT	4795	2676	55.81	2119	44.19	-	
POSTAL	4206	2333	55.47	1873	44.53	-	
PRE POLL	3422	1798	52.54	1624	47.46	-	
PROVISIONAL	267	157	58.80	110	41.20	-	
Division Total	81184	45170	55.64	36014	44.36	-0.27	
							
							
Kooyong							
							
Polling Place	Formal	WILSON		GEORGIOU		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Auburn	1527	714	46.76	813	53.24	-0.64	
Auburn North	2777	1241	44.69	1536	55.31	1.14	
Auburn South	3255	1146	35.21	2109	64.79	-0.94	
Balwyn	2437	846	34.71	1591	65.29	-0.90	
Balwyn Central	1466	522	35.61	944	64.39	2.17	
Balwyn North	3214	1344	41.82	1870	58.18	-2.73	
Balwyn North Central	1604	505	31.48	1099	68.52	0.06	
Balwyn North East	3830	1482	38.69	2348	61.31	1.62	
Balwyn North West	1408	539	38.28	869	61.72	0.96	
Balwyn West	1749	742	42.42	1007	57.58	0.14	
Boroondara	2212	865	39.10	1347	60.90	3.57	
Camberwell East	1071	353	32.96	718	67.04	1.62	
Camberwell North	2029	587	28.93	1442	71.07	0.01	
Canterbury North	1597	639	40.01	958	59.99	-0.04	
Canterbury South	2938	1141	38.84	1797	61.16	-0.88
Chatham	1697	722	42.55	975	57.45	-1.01
Cotham	2213	639	28.87	1574	71.13	1.55
Deepdene	1193	382	32.02	811	67.98	-0.19
Glenferrie	2917	1321	45.29	1596	54.71	-0.95
Glenferrie Central	1456	666	45.74	790	54.26	3.10
Glenferrie South	1382	411	29.74	971	70.26	0.26
Hartwell	1981	882	44.52	1099	55.48	-0.34
Hawthorn	2666	1159	43.47	1507	56.53	-3.32
Highfield Park	1961	815	41.56	1146	58.44	3.61
Hyde Park	1233	549	44.53	684	55.47	-3.90
Kew	3472	1686	48.56	1786	51.44	0.77
Kew East	1498	689	45.99	809	54.01	2.71
Kew North	2415	1098	45.47	1317	54.53	-0.37
Kew South	2395	941	39.29	1454	60.71	1.05
Melbourne (Kooyong)	168	84	50.00	84	50.00	-2.34
Special Hospital Team 1	219	65	29.68	154	70.32	4.03	
Special Hospital Team 2	176	53	30.11	123	69.89	4.08	
Special Hospital Team 3	173	45	26.01	128	73.99	-3.55	
Studley Park	1588	531	33.44	1057	66.56	-0.69	
Surrey Hills West	1383	561	40.56	822	59.44	-0.26	
Willison	1173	421	35.89	752	64.11	1.47	
ABSENT	6029	2405	39.89	3624	60.11	-	
POSTAL	3828	1060	27.69	2768	72.31	-	
PRE POLL	3640	1375	37.77	2265	62.23	-	
PROVISIONAL	351	151	43.02	200	56.98	-	
Division Total	80321	31377	39.06	48944	60.94	0.45	
							
							
Lalor							
							
Polling Place	Formal	GILLARD		McCONNELL		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Altona	3090	1920	62.14	1170	37.86	-9.19	
Altona Bay	4545	3356	73.84	1189	26.16	-2.21	
Altona Meadows	3789	2845	75.09	944	24.91	-3.29	
Altona West	1872	1235	65.97	637	34.03	-1.30	
Ardeer East (Lalor)	339	266	78.47	73	21.53	-2.67	
Ardeer South	2342	1858	79.33	484	20.67	-6.79	
Bellbridge	4384	2908	66.33	1476	33.67	-3.01	
Cambridge	2935	1860	63.37	1075	36.63	-2.34	
Derrimut Heath	2327	1415	60.81	912	39.19	-1.99	
Exford	130	68	52.31	62	47.69	-4.53	
Galvin Park	3393	2205	64.99	1188	35.01	-4.96	
Glengala (Lalor)	2212	1752	79.20	460	20.80	-4.55	
Glengala South	1819	1484	81.58	335	18.42	-6.64	
Glenorden	2339	1690	72.25	649	27.75	-5.61	
Iramoo	3380	2268	67.10	1112	32.90	-3.55	
Laverton	1178	858	72.84	320	27.16	-1.62
Laverton North	1994	1485	74.47	509	25.53	-4.88
Little River	399	204	51.13	195	48.87	-4.23
Manorvale	2631	1556	59.14	1075	40.86	-6.09
Melbourne (Lalor)	81	48	59.26	33	40.74	-10.44
Mossfiel	4209	2714	64.48	1495	35.52	-3.53
Point Cook	94	45	47.87	49	52.13	4.68
Seabrook	3482	2216	63.64	1266	36.36	-2.88
Seaholme	2506	1567	62.53	939	37.47	-2.86
Special Hospital Team 1	19	10	52.63	9	47.37	-32.55
The Grange	2239	1451	64.81	788	35.19	-3.72
Thomas Chirnside	1654	1038	62.76	616	37.24	-5.47
Werribee	3116	1593	51.12	1523	48.88	-5.83
Werribee Central	2311	1241	53.70	1070	46.30	-4.60
Werribee South	855	334	39.06	521	60.94	-2.35
Westgrove	1809	1258	69.54	551	30.46	-4.14
Woodville	3003	1874	62.40	1129	37.60	-4.50	
ABSENT	3980	2513	63.14	1467	36.86	-	
POSTAL	2025	1266	62.52	759	37.48	-	
PRE POLL	4734	2884	60.92	1850	39.08	-	
PROVISIONAL	527	359	68.12	168	31.88	-	
Division Total	81742	53644	65.63	28098	34.37	-4.19	
							
							
La Trobe							
							
Polling Place	Formal	STAINDL		CHARLES		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bayswater East	819	391	47.74	428	52.26	-5.04	
Beaconsfield	1611	598	37.12	1013	62.88	-0.64	
Beaconsfield Upper	1656	574	34.66	1082	65.34	0.89	
Belgrave	1393	823	59.08	570	40.92	0.89	
Belgrave South	2130	997	46.81	1133	53.19	-1.04
Berwick	4691	1474	31.42	3217	68.58	-1.61
Berwick Lodge	2488	1055	42.40	1433	57.60	-3.58
Berwick South	3472	1403	40.41	2069	59.59	-5.65
Boronia	2056	1042	50.68	1014	49.32	-4.52
Boronia Central	1265	636	50.28	629	49.72	-3.98
Boronia East	1821	960	52.72	861	47.28	-2.43
Boronia North	2536	1226	48.34	1310	51.66	-1.81
Clematis	357	176	49.30	181	50.70	2.63
Cockatoo	1904	1034	54.31	870	45.69	-3.86
Emerald	3280	1526	46.52	1754	53.48	-3.34
Fairhills	2083	1125	54.01	958	45.99	-4.32
Ferntree Gully	1624	816	50.25	808	49.75	-5.73
Ferntree Gully North	2140	1047	48.93	1093	51.07	-3.15
Ferntree Gully Upper	1690	933	55.21	757	44.79	-3.43
Ferntree Gully West	2735	1366	49.95	1369	50.05	-4.30
Ferny Creek	765	397	51.90	368	48.10	-0.36
Gembrook	918	463	50.44	455	49.56	1.60
Hallam Valley	2655	1291	48.63	1364	51.37	-2.50
Harkaway	606	175	28.88	431	71.12	0.58
Kallista (La Trobe)	211	98	46.45	113	53.55	-0.54
Macclesfield	659	294	44.61	365	55.39	-2.28
Melbourne (La Trobe)	48	25	52.08	23	47.92	-2.20
Menzies Creek	478	226	47.28	252	52.72	1.00
Mount Dandenong (La Trobe)	479	252	52.61	227	47.39	2.42
Narre Warren (La Trobe)	2308	1129	48.92	1179	51.08	-2.44
Narre Warren East	353	94	26.63	259	73.37	-1.06
Narre Warren North	1022	359	35.13	663	64.87	2.94
Oatlands	2173	1084	49.88	1089	50.12	-0.26
Officer	638	184	28.84	454	71.16	-2.74
Olinda	536	261	48.69	275	51.31	0.45
Pakenham Upper (La Trobe)	173	53	30.64	120	69.36	2.25
Sassafras	778	403	51.80	375	48.20	0.00	
Selby	882	556	63.04	326	36.96	5.64	
Special Hospital Team 1	306	82	26.80	224	73.20	4.35	
Special Hospital Team 2	222	99	44.59	123	55.41	-8.38	
Tecoma	1875	1080	57.60	795	42.40	2.62	
The Basin	2610	1263	48.39	1347	51.61	-1.32	
Timbarra	2125	927	43.62	1198	56.38	-1.44	
Upwey	3563	1912	53.66	1651	46.34	-2.71	
ABSENT	5470	2520	46.07	2950	53.93	-	
POSTAL	3868	1624	41.99	2244	58.01	-	
PRE POLL	2940	1217	41.39	1723	58.61	-	
PROVISIONAL	386	162	41.97	224	58.03	-	
Division Total	80798	37432	46.33	43366	53.67	-2.68	
							
							
McEwen							
							
Polling Place	Formal	MACLEOD		BAILEY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alexandra	1629	650	39.90	979	60.10	0.87	
Arthurs Creek	363	118	32.51	245	67.49	3.45	
Avenel	618	279	45.15	339	54.85	1.37	
Badger Creek	1256	647	51.51	609	48.49	-3.53	
Beveridge	237	123	51.90	114	48.10	10.48	
Bonnie Doon	301	109	36.21	192	63.79	1.92	
Broadford	2044	1159	56.70	885	43.30	-1.19	
Buxton	245	84	34.29	161	65.71	-4.39	
Christmas Hills	128	85	66.41	43	33.59	10.71	
Clonbinane	231	140	60.61	91	39.39	-0.08	
Craigieburn	4767	3164	66.37	1603	33.63	-3.35	
Craigieburn South	2440	1678	68.77	762	31.23	-3.60	
Diamond Creek	2728	1317	48.28	1411	51.72	0.77	
Diamond Creek East	2595	1180	45.47	1415	54.53	-2.47
Dixons Creek	205	61	29.76	144	70.24	-2.09
Don Valley	250	94	37.60	156	62.40	-7.44
Doreen	429	123	28.67	306	71.33	2.82
Eden Park	541	241	44.55	300	55.45	-6.07
Eildon	550	234	42.55	316	57.45	-3.65
Flowerdale	367	188	51.23	179	48.77	-4.01
Gladysdale	358	163	45.53	195	54.47	5.15
Glenburn	237	89	37.55	148	62.45	3.89
Healesville	3378	1733	51.30	1645	48.70	-1.16
Hoddles Creek	314	105	33.44	209	66.56	-0.34
Hurstbridge	2191	1202	54.86	989	45.14	-1.17
Jamieson	228	91	39.91	137	60.09	-9.65
Kalkallo	159	65	40.88	94	59.12	3.57
Kangaroo Ground	820	344	41.95	476	58.05	1.20
Kilmore	2619	1176	44.90	1443	55.10	0.18
Kinglake	731	460	62.93	271	37.07	2.27
Kinglake West	805	433	53.79	372	46.21	-3.45
Launching Place	1036	514	49.61	522	50.39	-1.50
Longwood	181	69	38.12	112	61.88	-3.08
Mansfield	2438	906	37.16	1532	62.84	3.08
Marysville	373	170	45.58	203	54.42	5.09
Melbourne (McEwen)	78	39	50.00	39	50.00	2.50
Mernda	578	255	44.12	323	55.88	-4.83
Merrijig	225	87	38.67	138	61.33	1.90
Merton	114	28	24.56	86	75.44	2.01
Mickleham	558	214	38.35	344	61.65	5.24
Mill Park Lakes	369	221	59.89	148	40.11	11.44
Millgrove	716	425	59.36	291	40.64	0.73
Molesworth	100	26	26.00	74	74.00	2.25
Mount Buller	22	7	31.82	15	68.18	-6.64
Nagambie	1280	558	43.59	722	56.41	2.79
Narbethong	129	50	38.76	79	61.24	-1.92
Panton Hill	700	370	52.86	330	47.14	1.33
Piries-Goughs Bay	89	36	40.45	53	59.55	5.38
Powelltown	99	56	56.57	43	43.43	0.47
Puckapunyal	442	136	30.77	306	69.23	-1.48
Pyalong	336	134	39.88	202	60.12	1.42
Research (McEwen)	2033	862	42.40	1171	57.60	2.49
Roxburgh Park (McEwen)	1171	819	69.94	352	30.06	0.23
Ruffy	83	18	21.69	65	78.31	-1.91
Seymour	1473	667	45.28	806	54.72	1.63
Seymour East	2765	1424	51.50	1341	48.50	-0.19
Special Hospital Team 1	26	10	38.46	16	61.54	7.21
Special Hospital Team 2	60	35	58.33	25	41.67	19.35
St Andrews	788	481	61.04	307	38.96	2.59
Strath Creek	86	49	56.98	37	43.02	9.36
Taggerty	223	82	36.77	141	63.23	-4.90
Tallarook	361	184	50.97	177	49.03	7.36
Thornton	273	109	39.93	164	60.07	-1.30
Tolmie	110	63	57.27	47	42.73	6.25
Toolangi	260	105	40.38	155	59.62	0.99
Wallan East	238	124	52.10	114	47.90	0.72
Wallan Wallan	2152	1217	56.55	935	43.45	1.40
Wandong	907	480	52.92	427	47.08	0.50
Warburton	885	468	52.88	417	47.12	-0.99
Warburton East	472	269	56.99	203	43.01	3.77
Warrandyte North	1224	627	51.23	597	48.77	2.83
Wattle Glen	643	328	51.01	315	48.99	-2.81
Wesburn	660	316	47.88	344	52.12	-2.45
Whittlesea	2192	946	43.16	1246	56.84	-3.61
Wollert	284	119	41.90	165	58.10	-1.88
Woori Yallock	1802	759	42.12	1043	57.88	-6.11
Yan Yean	187	69	36.90	118	63.10	1.68
Yarck	155	46	29.68	109	70.32	2.70	
Yarra Glen	1313	515	39.22	798	60.78	-1.02	
Yarra Junction	1054	503	47.72	551	52.28	2.67	
Yarrambat	748	285	38.10	463	61.90	3.22	
Yea	1093	414	37.88	679	62.12	1.03	
ABSENT	5664	2771	48.92	2893	51.08	-	
POSTAL	4230	1808	42.74	2422	57.26	-	
PRE POLL	2574	1070	41.57	1504	58.43	-	
PROVISIONAL	702	391	55.70	311	44.30	-	
Division Total	82518	40269	48.80	42249	51.20	-0.16	
							
							
McMillan							
							
Polling Place	Formal	ZAHRA		FORBES		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bona Vista	196	56	28.57	140	71.43	0.97
Boolarra	667	373	55.92	294	44.08	2.33
Buln Buln	377	138	36.60	239	63.40	2.78
Bunyip	1287	541	42.04	746	57.96	3.85
Churchill	2999	2050	68.36	949	31.64	1.33
Cloverlea	139	40	28.78	99	71.22	4.85
Cora Lynn	139	30	21.58	109	78.42	-0.43
Darnum	350	108	30.86	242	69.14	-4.75
Drouin	3717	1458	39.23	2259	60.77	1.40
Drouin South	527	132	25.05	395	74.95	-3.52
Drouin West	290	100	34.48	190	65.52	-2.55
Ellinbank	289	83	28.72	206	71.28	-1.01
Erica	203	115	56.65	88	43.35	5.98
Garfield	652	248	38.04	404	61.96	-1.16
Hallora	78	13	16.67	65	83.33	-3.33
Hazelwood North	668	322	48.20	346	51.80	2.64
Hill End	118	49	41.53	69	58.47	9.99
Iona	101	38	37.62	63	62.38	14.55
Jindivick	277	110	39.71	167	60.29	9.35
Labertouche	223	81	36.32	142	63.68	2.83
Lillico	256	69	26.95	187	73.05	6.95
Longwarry	719	311	43.25	408	56.75	7.23
Maryknoll	313	120	38.34	193	61.66	0.03
Melbourne (McMillan)	38	24	63.16	14	36.84	25.32
Moe	3376	2330	69.02	1046	30.98	2.85
Moe Central	1588	1209	76.13	379	23.87	3.58
Moe West	1039	703	67.66	336	32.34	-2.17
Morwell	1502	908	60.45	594	39.55	-3.10
Morwell Central	2926	1995	68.18	931	31.82	1.46
Morwell Estate	2497	1700	68.08	797	31.92	0.15
Morwell North	440	316	71.82	124	28.18	3.02
Nar Nar Goon	581	234	40.28	347	59.72	5.85
Nar Nar Goon North	263	95	36.12	168	63.88	-0.09
Narracan	191	83	43.46	108	56.54	-7.91
Neerim Junction	218	85	38.99	133	61.01	5.81
Neerim South	756	284	37.57	472	62.43	2.95
Newborough	2285	1586	69.41	699	30.59	2.99
Newborough East	1338	1025	76.61	313	23.39	5.18
Nilma	228	85	37.28	143	62.72	0.05
Noojee	142	77	54.23	65	45.77	8.51
Pakenham	2650	1238	46.72	1412	53.28	2.83
Pakenham Central	2212	937	42.36	1275	57.64	2.95
Pakenham North	1045	457	43.73	588	56.27	7.22
Pakenham South	132	47	35.61	85	64.39	-4.95
Pakenham Upper (McMillan)	346	133	38.44	213	61.56	5.00
Rawson	155	83	53.55	72	46.45	-6.10
Ripplebrook	107	24	22.43	83	77.57	1.33
