Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group																																																															
By Polling Place																																																															

Dunkley (85129)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Seaford		34	1.90		37	2.07		17	0.95		1	0.06		0	0.00		1	0.06		70	3.91		563	31.45		4	0.22		1	0.06		723	40.39		12	0.67		162	9.05		0	0.00		0	0.00		164	9.16		1	0.06		0	0.00		1790	91.98		156	8.02		1946	2.38
Seaford North		44	3.11		36	2.54		15	1.06		2	0.14		0	0.00		0	0.00		36	2.54		487	34.42		7	0.49		1	0.07		563	39.79		8	0.57		127	8.98		1	0.07		1	0.07		87	6.15		0	0.00		0	0.00		1415	93.96		91	6.04		1506	1.84
Skye (Dunkley)		6	1.75		7	2.04		6	1.75		0	0.00		0	0.00		1	0.29		8	2.33		103	30.03		0	0.00		0	0.00		159	46.36		2	0.58		30	8.75		1	0.29		0	0.00		19	5.54		1	0.29		0	0.00		343	92.70		27	7.30		370	0.45
Tanti Park		54	2.75		51	2.59		19	0.97		3	0.15		0	0.00		1	0.05		55	2.80		682	34.69		6	0.31		1	0.05		832	42.32		6	0.31		188	9.56		2	0.10		1	0.05		64	3.26		1	0.05		0	0.00		1966	92.65		156	7.35		2122	2.59
Special Hospitals		45	6.80		10	1.51		3	0.45		0	0.00		0	0.00		1	0.15		18	2.72		329	49.70		4	0.60		3	0.45		212	32.02		3	0.45		23	3.47		0	0.00		0	0.00		11	1.66		0	0.00		0	0.00		662	89.70		76	10.30		738	0.90
Total Ordinary		1589	2.45		1164	1.79		639	0.99		39	0.06		12	0.02		22	0.03		1578	2.43		29343	45.25		149	0.23		39	0.06		20928	32.27		249	0.38		5067	7.81		11	0.02		40	0.06		3934	6.07		24	0.04		24	0.04		64851	93.97		4158	6.03		69009	84.39
ABSENT		161	3.95		121	2.97		60	1.47		6	0.15		0	0.00		0	0.00		85	2.09		1599	39.23		9	0.22		2	0.05		1244	30.52		21	0.52		393	9.64		0	0.00		3	0.07		365	8.95		5	0.12		2	0.05		4076	96.56		145	3.44		4221	5.16
POSTAL		160	4.66		51	1.48		61	1.77		2	0.06		0	0.00		0	0.00		87	2.53		1688	49.11		4	0.12		1	0.03		1046	30.43		17	0.49		195	5.67		0	0.00		1	0.03		122	3.55		2	0.06		0	0.00		3437	98.31		59	1.69		3496	4.28
PRE_POLL		113	2.69		82	1.95		46	1.09		6	0.14		2	0.05		1	0.02		104	2.47		1952	46.43		11	0.26		5	0.12		1395	33.18		18	0.43		288	6.85		0	0.00		2	0.05		175	4.16		4	0.10		0	0.00		4204	97.97		87	2.03		4291	5.25
PROVISIONAL		30	4.14		29	4.00		10	1.38		1	0.14		0	0.00		0	0.00		21	2.90		252	34.76		2	0.28		0	0.00		260	35.86		7	0.97		61	8.41		1	0.14		1	0.14		50	6.90		0	0.00		0	0.00		725	95.39		35	4.61		760	0.93
Division Summary		2053	2.66		1447	1.87		816	1.06		54	0.07		14	0.02		23	0.03		1875	2.43		34834	45.07		175	0.23		47	0.06		24873	32.18		312	0.4		6004	7.77		12	0.02		47	0.06		4646	6.01		35	0.05		26	0.03		77293	94.52		4484	5.48		81777	96.06
